**** Analysis Summary ****

Time of run: ,04/10/16 01:52
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      5.9,  7.62000, 17.01500, 21.52000, 29.15500, 79.07000, 100.00 %, 100.00 %
Na,Strong,      3.2,  0.04057,  0.35663,  0.52255,  0.82082,  3.96295, 100.00 %, 100.00 %
Mg,Strong,      1.8,  0.00898,  0.11508,  0.15831,  0.20305,  0.70738, 100.00 %, 100.00 %
Al,Strong,      9.4,  0.16455,  0.52958,  0.87922,  1.61850,  4.34223, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.45745,  1.33726,  2.08888,  3.54365,  9.51549, 100.00 %, 100.00 %
P,Strong,      1.9,  0.00039,  0.00599,  0.01195,  0.02129,  0.05120, 100.00 %, 100.00 %
S,Strong,      6.0,  0.00105,  0.12957,  0.16693,  0.21361,  2.06066, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.50937,  1.18027,  1.52167,  1.96174,  6.45379, 100.00 %, 100.00 %
K,Strong,      7.7,  0.00047,  0.16401,  0.24739,  0.34756,  1.76252, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.24073,  0.56278,  0.75843,  1.15714,  2.91479, 100.00 %, 100.00 %
Ti,Strong,      9.8,  0.01251,  0.04786,  0.07422,  0.12917,  0.37888, 100.00 %, 100.00 %
V,Strong,      1.1,  0.00000,  0.00041,  0.00122,  0.00206,  0.00691, 100.00 %, 100.00 %
Mn,Strong,      7.3,  0.00144,  0.00580,  0.00950,  0.01521,  0.04242, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.15697,  0.50465,  0.81483,  1.21733,  2.87908, 100.00 %, 100.00 %
Zn,Strong,      3.7,  0.00038,  0.00903,  0.01288,  0.01755,  0.06649, 100.00 %, 100.00 %
Br,Strong,      2.1,  0.00003,  0.00242,  0.00409,  0.00612,  0.08034, 100.00 %, 100.00 %
Pb,Strong,      0.6,  0.00050,  0.00217,  0.00379,  0.00523,  0.06992, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,6
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,741.139     ,741.136     ,Yes      ,842,0.7280315
2,739.054     ,739.053     ,Yes      ,697,0.7259853
3,739.05      ,739.049     ,Yes      ,779,0.7259814
4,739.049     ,739.048     ,Yes      ,1041,0.7259803
5,739.052     ,739.051     ,Yes      ,685,0.7259833
6,741.224     ,741.221     ,Yes      ,824,0.7281149
7,739.053     ,739.052     ,Yes      ,802,0.7259843
8,739.052     ,739.05      ,Yes      ,974,0.7259823
9,739.051     ,739.05      ,Yes      ,832,0.7259823
10,741.236     ,741.233     ,Yes      ,655,0.7281267
11,739.052     ,739.051     ,Yes      ,1033,0.7259833
12,739.052     ,739.051     ,Yes      ,739,0.7259833
13,739.059     ,739.058     ,Yes      ,600,0.7259902
14,739.051     ,739.05      ,Yes      ,986,0.7259823
15,741.141     ,741.138     ,Yes      ,1277,0.7280334
16,739.05      ,739.049     ,Yes      ,869,0.7259814
17,739.049     ,739.048     ,Yes      ,612,0.7259803
18,739.052     ,739.051     ,Yes      ,746,0.7259833
19,741.141     ,741.138     ,Yes      ,1256,0.7280334
20,739.05      ,739.049     ,Yes      ,654,0.7259814

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,4.45186,
3,4.37888,0.00327,
4,4.46803,0.00063,0.00378,
5,4.43279,0.00317,0.00104,0.00300,
6,0.15113,5.48975,5.39997,5.50772,5.46225,
7,4.38584,0.00432,0.00055,0.00499,0.00106,5.40695,
8,4.46251,0.00114,0.00502,0.00054,0.00456,5.50278,0.00676,
9,4.41426,0.00115,0.00244,0.00087,0.00238,5.44566,0.00369,0.00122,
10,0.18845,5.64239,5.55078,5.66052,5.61395,0.00339,5.55769,5.65568,5.59737,
11,4.45439,0.00137,0.00409,0.00058,0.00308,5.49271,0.00542,0.00088,0.00074,5.64520,
12,4.53801,0.00207,0.00833,0.00243,0.00796,5.58888,0.00987,0.00223,0.00452,5.74347,0.00395,
13,4.42130,0.00388,0.01077,0.00445,0.01077,5.45915,0.01225,0.00467,0.00530,5.61111,0.00507,0.00551,
14,4.45651,0.00123,0.00431,0.00045,0.00315,5.49423,0.00551,0.00089,0.00103,5.64667,0.00046,0.00360,0.00443,
15,0.00324,4.52365,4.44884,4.54012,4.50347,0.12102,4.45554,4.53491,4.48578,0.15605,4.52666,4.61084,4.49314,4.52854,
16,4.42670,0.00406,0.00147,0.00355,0.00066,5.45541,0.00182,0.00486,0.00243,5.60708,0.00308,0.00926,0.01233,0.00353,4.49770,
17,4.42210,0.00198,0.00261,0.00175,0.00162,5.45359,0.00300,0.00307,0.00136,5.60514,0.00156,0.00659,0.00545,0.00139,4.49323,0.00214,
18,4.39949,0.00217,0.00503,0.00186,0.00428,5.42936,0.00596,0.00263,0.00175,5.58056,0.00168,0.00606,0.00260,0.00131,4.47063,0.00500,0.00114,
19,0.00150,4.47595,4.40239,4.49224,4.45642,0.13508,4.40911,4.48705,4.43826,0.17121,4.47871,4.56268,4.44474,4.48061,0.00118,4.45065,4.44560,4.42283,
20,4.43064,0.00260,0.00113,0.00223,0.00039,5.45976,0.00153,0.00345,0.00169,5.61153,0.00225,0.00697,0.00971,0.00229,4.50142,0.00056,0.00136,0.00354,4.45441,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00435,0.05735,0.32161,0.05346,0.02211,0.48710,0.30736,0.02661,0.27314,0.43975,0.04980,0.10741,0.03145,0.11975,0.60668,1.43864,0.10529,
3                    1,0.00446,0.05869,0.30123,0.05336,0.02203,0.47593,0.30258,0.02589,0.26727,0.42775,0.04868,0.10740,0.03128,0.11821,0.60128,1.41992,0.11293,
3                    2,0.00001,0.00013,0.00095,0.00004,0.00004,0.00029,0.00008,0.00007,0.00009,0.00026,0.00006,0.00001,0.00003,0.00009,0.00065,0.00015,0.00032,
4                    1,0.00441,0.05790,0.32966,0.05377,0.02210,0.49115,0.31051,0.02625,0.27425,0.43809,0.05028,0.10809,0.03100,0.12026,0.60843,1.43649,0.10542,
4                    2,0.00000,0.00004,0.00008,0.00005,0.00003,0.00007,0.00004,0.00001,0.00003,0.00004,0.00002,0.00001,0.00003,0.00002,0.00010,0.00005,0.00001,
4                    3,0.00001,0.00012,0.00128,0.00005,0.00005,0.00034,0.00015,0.00007,0.00012,0.00022,0.00008,0.00002,0.00003,0.00010,0.00067,0.00017,0.00031,
5                    1,0.00457,0.05900,0.31530,0.05414,0.02183,0.49168,0.30468,0.02595,0.26732,0.42900,0.04947,0.10786,0.03140,0.12040,0.61254,1.42529,0.11235,
5                    2,0.00001,0.00012,0.00059,0.00006,0.00004,0.00036,0.00007,0.00010,0.00009,0.00031,0.00004,0.00002,0.00003,0.00006,0.00082,0.00017,0.00027,
5                    3,0.00001,0.00002,0.00022,0.00004,0.00002,0.00024,0.00003,0.00003,0.00001,0.00007,0.00002,0.00002,0.00001,0.00004,0.00017,0.00007,0.00002,
5                    4,0.00001,0.00011,0.00070,0.00004,0.00004,0.00024,0.00010,0.00009,0.00011,0.00025,0.00005,0.00002,0.00003,0.00005,0.00076,0.00015,0.00026,
6                    1,0.00011,0.00196,0.01765,0.00290,0.00198,0.01599,0.01033,0.00104,0.00541,0.01525,0.00265,0.00149,0.00189,0.00734,0.01135,0.05048,0.00332,
6                    2,0.00444,0.06544,0.45591,0.07043,0.02562,0.62506,0.39495,0.03171,0.32059,0.54250,0.06891,0.11685,0.03530,0.16595,0.61734,1.85133,0.09743,
6                    3,0.00453,0.06638,0.43173,0.07032,0.02550,0.61195,0.38974,0.03076,0.31414,0.52781,0.06728,0.11677,0.03505,0.16356,0.61128,1.82923,0.10396,
6                    4,0.00449,0.06595,0.46529,0.07080,0.02559,0.63009,0.39831,0.03134,0.32169,0.54030,0.06953,0.11753,0.03495,0.16669,0.61893,1.84878,0.09746,
6                    5,0.00464,0.06676,0.44823,0.07111,0.02526,0.63042,0.39213,0.03076,0.31417,0.52907,0.06831,0.11736,0.03528,0.16648,0.62287,1.83590,0.10352,
7                    1,0.00447,0.05894,0.29716,0.05380,0.02188,0.48121,0.30177,0.02597,0.26512,0.42674,0.04851,0.10756,0.03177,0.11923,0.60808,1.41877,0.11486,
7                    2,0.00001,0.00017,0.00134,0.00004,0.00004,0.00031,0.00013,0.00008,0.00015,0.00033,0.00007,0.00001,0.00004,0.00009,0.00086,0.00021,0.00043,
7                    3,0.00000,0.00002,0.00006,0.00002,0.00001,0.00006,0.00004,0.00001,0.00003,0.00005,0.00001,0.00001,0.00002,0.00002,0.00010,0.00005,0.00003,
7                    4,0.00001,0.00016,0.00173,0.00007,0.00007,0.00033,0.00021,0.00008,0.00020,0.00029,0.00010,0.00002,0.00006,0.00010,0.00091,0.00024,0.00042,
7                    5,0.00001,0.00002,0.00038,0.00004,0.00002,0.00016,0.00005,0.00002,0.00003,0.00003,0.00003,0.00001,0.00003,0.00004,0.00010,0.00006,0.00004,
7                    6,0.00454,0.06656,0.42703,0.07073,0.02535,0.61791,0.38912,0.03081,0.31180,0.52666,0.06708,0.11703,0.03549,0.16478,0.61785,1.82844,0.10579,
8                    1,0.00432,0.05726,0.33245,0.05266,0.02209,0.48573,0.31109,0.02647,0.27540,0.43880,0.05054,0.10794,0.03068,0.12019,0.60167,1.44036,0.10486,
