
Residuals from Base Run #19 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
19,11/12/06 04:19,-3.705000E+000,1.986000E-001,-2.300000E-002,-5.288000E-001,8.912000E-002,-1.909000E-003,1.453000E-002,-4.779000E-002,-2.898000E-002,3.796000E-001,-1.156000E-002,2.987000E-004,3.168000E-003,9.017000E-002,-5.769000E-004,-2.853000E-004,-1.319000E-003
19,11/16/06 04:08,6.458000E+000,9.719000E-002,-9.387000E-003,-2.505000E-001,3.810000E-001,-5.428000E-004,1.341000E-002,-4.662000E-002,-2.603000E-002,2.678000E-001,-1.472000E-002,-1.868000E-004,1.546000E-003,-8.834000E-003,-1.763000E-004,-9.279000E-005,-1.305000E-003
19,11/18/06 04:01,-1.841000E+000,3.619000E-002,-6.203000E-002,5.140000E-002,6.631000E-001,-2.102000E-004,5.065000E-004,-1.326000E-002,5.893000E-003,9.694000E-002,-1.721000E-002,-1.528000E-003,2.618000E-003,-7.884000E-002,-1.375000E-004,-4.282000E-005,-1.956000E-004
19,11/20/06 03:11,3.474000E+000,3.849000E-002,4.883000E-002,-3.870000E-001,8.666000E-002,1.235000E-003,-6.015000E-003,-1.015000E-002,2.029000E-002,4.681000E-002,-1.632000E-002,1.515000E-004,4.361000E-003,-4.236000E-003,1.171000E-004,1.635000E-005,5.710000E-004
19,11/22/06 03:22,6.351000E+000,2.561000E-002,8.036000E-002,-2.370000E-001,1.074000E-002,-5.276000E-004,1.283000E-002,-2.384000E-002,-2.180000E-002,2.155000E-001,-1.658000E-002,6.883000E-004,4.433000E-004,6.171000E-004,-3.940000E-004,-4.674000E-004,-1.702000E-004
19,11/26/06 03:04,-9.823000E-001,-3.491000E-002,1.843000E-002,-4.051000E-002,-3.867000E-002,9.227000E-004,3.469000E-003,8.367000E-003,-2.662000E-003,5.384000E-002,-4.774000E-003,-1.616000E-004,1.151000E-003,-7.058000E-002,-3.733000E-005,-1.805000E-004,-8.261000E-004
19,11/28/06 03:01,3.329000E+000,8.041000E-002,-7.323000E-003,-7.154000E-002,7.066000E-002,4.107000E-004,-1.472000E-002,-1.939000E-002,2.313000E-002,-5.018000E-002,-8.133000E-004,4.738000E-005,3.958000E-004,9.454000E-002,2.941000E-004,7.118000E-004,1.009000E-003
19,11/30/06 03:08,-7.505000E+000,8.900000E-002,-3.772000E-002,-9.865000E-003,-1.634000E-001,6.429000E-004,-1.738000E-002,-1.692000E-002,5.445000E-003,-1.365000E-001,1.557000E-003,9.573000E-004,2.634000E-003,1.370000E-001,1.605000E-003,2.834000E-004,1.334000E-003
19,02/02/07 03:13,-1.407000E+000,-2.628000E-002,2.359000E-002,3.943000E-002,1.715000E-001,3.166000E-003,-4.207000E-003,2.137000E-002,-1.041000E-002,-1.449000E-001,9.059000E-003,6.314000E-004,1.252000E-003,-7.415000E-002,8.991000E-004,3.860000E-004,-1.205000E-003
19,02/04/07 03:16,4.697000E+000,-5.849000E-002,-4.203000E-002,1.310000E-001,2.624000E-001,2.367000E-003,-2.733000E-002,7.514000E-002,2.557000E-002,-2.411000E-001,2.348000E-002,2.168000E-004,1.139000E-003,-6.549000E-002,8.352000E-004,3.376000E-004,1.012000E-004
19,02/06/07 03:20,2.466000E+000,-6.251000E-002,-1.871000E-002,-6.124000E-004,-1.512000E-001,-1.017000E-003,4.628000E-003,3.359000E-002,-1.304000E-003,-7.398000E-003,1.155000E-002,-3.051000E-004,3.035000E-005,-9.936000E-003,-4.828000E-004,-3.321000E-004,1.286000E-003
19,02/08/07 03:14,3.011000E+000,1.566000E-001,1.162000E-002,5.217000E-002,-9.747000E-002,2.555000E-003,-4.102000E-003,-5.899000E-002,7.066000E-003,-1.137000E-002,4.119000E-003,8.682000E-004,-9.574000E-005,-5.935000E-002,-5.770000E-004,2.553000E-004,-1.624000E-003
19,02/12/07 03:09,-3.204000E+000,7.314000E-002,-4.923000E-003,5.623000E-002,-1.148000E-001,1.462000E-003,3.449000E-003,-3.648000E-002,-2.790000E-003,-1.643000E-003,8.253000E-003,5.185000E-004,1.842000E-005,-7.729000E-002,2.541000E-004,-2.677000E-005,1.599000E-004
19,02/14/07 03:01,4.102000E-001,1.449000E-001,1.391000E-002,3.621000E-002,-1.800000E-001,3.923000E-003,-4.820000E-003,-4.588000E-002,-6.339000E-003,-6.936000E-002,4.318000E-003,-1.027000E-004,2.491000E-003,-3.235000E-002,2.132000E-003,4.998000E-004,-1.522000E-003
19,02/16/07 02:51,2.466000E+000,-5.524000E-002,-4.291000E-002,-2.183000E-002,3.499000E-002,-2.543000E-004,-6.739000E-003,4.229000E-002,2.158000E-002,-3.144000E-002,5.319000E-003,-2.075000E-004,7.001000E-004,-5.268000E-002,-1.664000E-004,-1.560000E-005,-1.044000E-003
19,02/18/07 02:34,-5.361000E+000,6.094000E-003,-7.851000E-002,1.887000E-001,4.076000E-001,1.948000E-003,-2.995000E-003,2.725000E-002,1.053000E-002,-1.143000E-001,1.755000E-002,-1.441000E-003,2.195000E-003,-2.123000E-001,4.985000E-004,1.622000E-004,-1.435000E-003
19,02/20/07 02:37,7.320000E-001,-1.617000E-001,-4.146000E-002,1.685000E-002,-1.410000E-002,-3.231000E-004,-8.793000E-004,1.393000E-001,8.836000E-003,1.312000E-002,2.308000E-003,1.444000E-004,4.124000E-004,-8.993000E-002,-5.581000E-004,-3.873000E-004,1.218000E-003
19,02/22/07 02:35,1.268000E+000,1.126000E-002,-3.959000E-002,5.800000E-002,2.879000E-001,1.440000E-003,9.343000E-003,1.709000E-002,-1.354000E-002,-4.693000E-002,1.651000E-003,-1.966000E-005,5.895000E-004,-8.218000E-002,2.631000E-004,-4.274000E-005,3.801000E-004
19,02/24/07 02:38,-2.508000E+000,1.551000E-002,-3.989000E-004,8.468000E-002,-9.877000E-002,-3.089000E-004,-2.289000E-002,7.705000E-003,5.536000E-002,-9.752000E-002,6.597000E-003,2.563000E-004,-2.290000E-003,1.198000E-001,1.590000E-004,2.967000E-004,4.024000E-004
19,02/26/07 00:46,-2.808000E+000,-3.002000E-002,5.063000E-002,1.184000E-001,-5.850000E-001,-5.135000E-004,-6.408000E-003,1.472000E-002,4.189000E-002,1.665000E-001,-3.137000E-003,7.657000E-004,-2.810000E-003,-6.482000E-002,-3.613000E-004,-1.903000E-004,9.831000E-004
