**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 17

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.35730,  2.80640,  3.47320,  4.34850,  4.51950,  4.98520,  4.12596,  0.65207,  0.15804,  0.14965
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.04914,  0.00443,  0.01372,  3.09832,  0.00000
Mg,  0.00657,  0.00000,  0.00017,  0.00595,  0.00837,  0.01172,  0.00521,  0.00395,  0.75818,  0.60133
Al,  0.25297,  0.12401,  0.18451,  0.25215,  0.26561,  0.29745,  0.23324,  0.05091,  0.21826,  0.20123
Si,  0.63299,  0.34735,  0.48530,  0.63137,  0.66145,  0.73403,  0.59097,  0.11270,  0.19070,  0.17804
P,  0.01292,  0.01257,  0.01276,  0.01305,  0.01372,  0.01378,  0.01320,  0.00047,  0.03567,  0.03644
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00155,  0.00834,  0.00138,  0.00282,  2.04795,  0.00000
Cl,  0.11914,  0.08705,  0.11403,  0.12094,  0.12656,  0.16461,  0.12010,  0.01845,  0.15361,  0.15484
K,  0.02071,  0.00837,  0.02006,  0.02143,  0.02427,  0.02671,  0.02079,  0.00460,  0.22146,  0.22232
Ca,  0.24792,  0.18256,  0.20728,  0.24768,  0.25889,  0.27519,  0.23801,  0.02928,  0.12301,  0.11809
Ti,  0.02322,  0.01368,  0.01806,  0.02316,  0.02410,  0.02663,  0.02178,  0.00384,  0.17651,  0.16562
V,  0.00037,  0.00018,  0.00026,  0.00037,  0.00039,  0.00043,  0.00034,  0.00008,  0.23494,  0.21364
Mn,  0.00241,  0.00123,  0.00180,  0.00240,  0.00253,  0.00281,  0.00223,  0.00046,  0.20697,  0.19183
Fe,  0.27455,  0.18895,  0.23432,  0.27424,  0.28578,  0.30832,  0.26386,  0.03402,  0.12894,  0.12392
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  4.02983,  0.22363
Pb,  0.00061,  0.00043,  0.00054,  0.00061,  0.00064,  0.00067,  0.00059,  0.00007,  0.11723,  0.11286

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  3.55310,  3.49180,  3.52723,  3.58240,  4.51893,  4.96600,  3.89548,  0.59864,  0.15368,  0.16848
