
Factor Contributions (avg = 1) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
10,11/12/06 03:20,-1.816800E-001,7.086000E-001,5.470800E-001,3.461100E+000,1.959100E+000,2.753300E-001
10,11/14/06 02:25,-2.000000E-001,5.462700E-001,3.749000E-001,3.586300E+000,2.269100E+000,1.117200E+000
10,11/16/06 03:20,-9.405100E-002,1.034100E+000,6.867600E-001,2.738600E+000,1.827000E+000,2.942700E-001
10,11/18/06 03:18,1.796500E-001,1.026700E+000,1.068800E+000,2.306700E+000,1.530400E+000,1.869200E-001
10,11/20/06 02:28,6.642400E-002,8.366900E-001,4.530400E-001,2.364200E+000,1.990500E+000,6.582400E-001
10,11/22/06 02:36,8.632300E-001,7.261200E-001,6.232800E-001,1.751600E+000,1.862800E+000,1.623100E+000
10,11/24/06 02:30,1.820400E-001,1.318300E+000,1.195300E+000,2.567400E+000,1.694600E+000,5.046700E-001
10,11/26/06 02:31,1.779400E+000,9.881200E-001,7.445300E-001,1.708500E+000,1.121300E+000,6.381600E-001
10,11/28/06 02:26,1.229400E+000,1.578300E+000,1.410200E+000,7.499000E-001,8.286300E-001,-1.908500E-001
10,11/30/06 02:31,6.014400E-001,2.496500E+000,1.712700E+000,3.974100E-001,6.542400E-001,4.131100E-001
10,12/02/06 02:40,8.423900E-001,1.998400E+000,1.434100E+000,2.495000E-001,1.814300E-001,2.758700E-001
10,12/04/06 02:53,2.761500E+000,2.375000E+000,1.683100E+000,7.785900E-001,7.032000E-001,1.426300E-001
10,12/06/06 02:55,6.943500E-001,3.255700E+000,2.083300E+000,2.634500E-001,2.323100E+000,-2.000000E-001
10,12/08/06 02:45,2.286100E+000,3.326900E+000,1.408400E+000,3.676100E-001,1.742600E+000,-2.000000E-001
10,12/10/06 02:48,1.238500E+000,3.441100E+000,1.542600E+000,1.210000E+000,1.634300E+000,4.501200E-001
10,12/12/06 02:49,1.084000E+000,2.338300E+000,1.121900E+000,4.945200E-001,1.651800E+000,7.311400E-001
10,12/14/06 02:50,3.857200E+000,2.088600E+000,1.355800E+000,1.382000E+000,1.292300E+000,-2.000000E-001
10,12/16/06 02:39,2.373300E+000,2.606400E+000,1.143800E+000,8.707500E-001,1.103200E+000,-2.000000E-001
10,12/18/06 02:36,8.208100E-001,2.432700E+000,1.019800E+000,6.916800E-001,1.121900E+000,1.150600E+000
10,12/20/06 02:55,1.368300E+000,2.843100E+000,1.465300E+000,5.586700E-001,8.372700E-001,6.966500E-001
10,12/22/06 02:57,5.771000E-001,2.685000E+000,1.070000E+000,1.078300E+000,7.003500E-001,1.621400E+000
10,12/24/06 04:00,1.120400E+000,2.786600E+000,1.357400E+000,5.519100E-001,4.233200E-001,1.087700E+000
10,12/26/06 02:52,3.181400E+000,3.523900E+000,1.263400E+000,5.957000E-001,2.941500E-001,5.216700E-001
10,12/28/06 02:53,2.047700E+000,2.436000E+000,1.435400E+000,8.279200E-001,1.714000E-001,8.847800E-001
10,12/30/06 03:04,8.918300E-001,2.600800E+000,1.775600E+000,2.443600E+000,3.528500E-001,1.244900E+000
10,01/01/07 03:27,3.213500E+000,2.736700E+000,1.103300E+000,-1.502800E-001,5.285200E+000,2.854200E-001
10,01/03/07 03:25,-2.000000E-001,-2.000000E-001,-8.387800E-002,4.969900E+000,1.350900E+001,-2.000000E-001
10,01/05/07 02:58,1.174500E+000,-3.968000E-002,-2.000000E-001,5.744400E+000,1.428200E+001,-2.383800E-002
10,01/07/07 02:53,5.515900E-001,1.823900E+000,5.445500E-001,3.162100E+000,6.935700E+000,2.567000E-001
10,01/09/07 02:25,-1.740200E-001,2.157800E+000,4.706500E-001,2.959000E+000,8.153300E+000,-2.000000E-001
10,01/11/07 02:28,1.773200E+000,2.304800E+000,1.128400E+000,1.540600E+000,5.176900E+000,-1.308100E-001
10,01/13/07 02:51,2.091200E-001,8.950600E-001,7.316400E-001,2.945600E+000,8.863300E+000,-2.000000E-001
10,01/15/07 02:43,3.510800E-002,9.423300E-001,1.508700E+000,9.060600E+000,2.336400E+001,-2.000000E-001
10,01/17/07 02:40,8.887100E-001,1.348700E+000,1.237300E+000,2.537600E+000,7.158800E+000,4.384200E-002
10,01/19/07 03:06,3.622000E-001,8.942500E-001,1.142000E+000,3.056500E+000,1.178800E+001,-2.000000E-001
10,01/21/07 02:59,1.735000E+000,1.068500E+000,9.239800E-001,1.960200E+000,7.265100E+000,6.823000E-001
10,01/23/07 05:16,-4.720200E-002,1.483800E+000,8.113100E-001,2.799100E+000,5.305600E+000,6.225600E-001
10,01/25/07 03:02,1.650500E+000,1.426600E+000,5.012700E-001,2.222400E+000,2.818300E+000,1.005800E+000
10,01/27/07 02:55,8.647700E-002,1.899100E+000,7.561400E-001,1.488000E+000,2.080100E+000,5.684100E-001
10,01/29/07 03:00,3.657100E-001,2.108300E+000,1.650000E+000,2.005400E+000,2.140000E+000,1.885500E-003
10,01/31/07 02:59,1.176800E+000,1.987500E+000,1.210000E+000,9.334200E-001,6.492700E-001,2.727700E-001
10,02/02/07 02:41,7.077800E-001,2.040900E+000,1.091100E+000,1.472100E+000,6.971800E-001,4.406700E-001
10,02/04/07 02:45,4.214500E-001,1.863600E+000,9.123900E-001,1.107800E+000,7.847000E-001,8.477200E-001
10,02/06/07 02:47,8.319100E-001,9.852900E-001,7.098200E-001,1.699900E+000,2.133000E-001,1.937900E+000
10,02/08/07 02:47,7.533900E-002,1.163700E+000,4.373300E-001,1.577900E+000,1.883700E-001,2.563200E+000
10,02/10/07 02:43,4.558300E-001,1.121600E+000,7.835900E-001,1.716500E+000,1.566100E-001,1.908600E+000
10,02/12/07 02:42,1.537400E+000,7.056500E-001,9.227700E-001,1.227900E+000,7.686300E-002,1.122100E+000
10,02/14/07 02:34,9.733600E-001,1.491100E+000,1.253400E+000,7.083100E-001,2.150800E-001,1.022800E-001
10,02/16/07 02:20,2.675900E-001,1.388500E+000,1.162600E+000,1.236400E+000,8.335300E-001,4.290000E-001
10,02/18/07 02:08,3.409500E-001,8.350500E-001,1.337400E+000,2.338400E+000,7.553900E-001,1.547300E+000
10,02/20/07 02:12,3.335300E-002,2.119000E-001,5.734300E-002,2.058300E+000,6.734300E-001,3.836200E+000
10,02/22/07 02:11,5.574600E-001,7.625200E-001,8.242600E-001,7.719300E-001,3.312900E-001,1.890000E+000
10,02/24/07 02:17,1.029800E+000,1.442500E+000,1.419300E+000,4.316800E-001,6.717700E-001,7.547200E-001
10,02/26/07 00:17,7.857200E-001,9.375500E-001,1.087300E+000,1.111100E+000,6.218400E-001,6.456300E-001
10,02/28/07 00:09,2.612300E-001,1.254800E+000,1.001900E+000,1.153900E+000,7.757000E-001,4.931300E-001
10,03/02/07 00:06,5.889400E-001,1.068100E+000,1.107800E+000,7.915200E-001,7.592500E-001,2.458700E-001
10,03/04/07 00:26,3.955200E-001,9.710000E-001,6.621200E-001,2.077900E+000,1.777300E+000,2.132200E-001
10,03/06/07 00:33,1.038900E+000,5.015000E-001,7.277700E-002,3.581400E+000,2.632000E+000,6.203900E-001
10,03/08/07 00:13,2.258700E-002,6.163200E-001,4.453800E-001,2.067400E+000,1.257300E+000,1.214100E+000
10,03/10/07 00:11,9.330400E-002,7.543100E-001,5.227100E-001,1.905200E+000,1.185200E+000,9.140100E-001
10,03/12/07 00:18,5.155300E-001,6.490700E-001,5.421200E-001,1.425800E+000,8.963300E-001,1.455300E+000
10,03/16/07 00:10,2.922300E-001,5.905700E-001,1.257900E+000,1.398700E+000,4.883500E-001,1.330200E+000
10,03/18/07 00:15,4.217600E-001,6.997400E-001,9.454000E-001,7.744600E-001,2.544600E-001,7.696000E-001
10,03/20/07 00:26,1.268500E+000,4.773900E-001,7.633200E-001,1.320000E+000,7.576800E-001,1.222300E+000
10,03/22/07 00:21,1.143300E+000,7.550300E-001,7.973400E-001,1.458800E+000,7.603900E-001,5.495200E-001
10,03/24/07 00:07,4.896700E-001,4.534900E-001,7.654200E-001,1.079100E+000,4.210900E-001,1.107400E+000
10,03/26/07 00:47,2.325300E-001,2.296000E-001,1.765700E+000,6.437900E-001,8.030100E-002,1.428100E+000
10,03/28/07 00:47,7.394800E-001,7.713800E-001,1.318100E+000,2.276000E-001,5.073900E-002,9.544900E-001
10,03/30/07 00:36,6.766300E-001,7.356900E-001,1.348100E+000,9.418600E-001,2.528000E-003,6.450600E-001
10,04/01/07 00:27,2.164200E-001,2.463800E-001,8.249200E-001,5.509900E-001,4.309200E-002,9.089500E-001
10,04/03/07 00:30,2.087600E+000,1.833400E-001,1.226900E+000,8.412800E-001,-5.789600E-002,5.620000E-001
10,04/05/07 00:29,3.060400E-001,3.767800E-001,9.794400E-001,2.595900E-001,1.954700E-001,7.982800E-001
10,04/07/07 00:12,6.531800E-001,6.506000E-001,1.203400E+000,2.595000E-001,1.201200E-001,6.032100E-001
10,04/09/07 00:30,6.668900E-001,6.787300E-001,1.255600E+000,3.245800E-001,1.534600E-001,5.375900E-001
10,04/11/07 00:36,4.495700E-001,4.074900E-001,8.573400E-001,6.465000E-001,-8.939100E-003,6.448400E-001
10,04/13/07 00:28,1.728800E+000,6.550500E-001,1.095900E+000,7.444800E-001,8.333200E-002,9.302900E-001
