**** Analysis Summary ****

Time of run: ,03/27/16 12:45
Concentration file: ,E:\pmf_fa\TFcH.csv
Uncertainty file: ,E:\pmf_fa\TFcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      9.4, 11.98000, 29.92875, 36.36000, 65.54250,1292.02000, 100.00 %, 100.00 %
Na,Strong,      2.5,  0.00335,  0.13000,  0.21842,  0.35112,  1.27128, 100.00 %, 100.00 %
Mg,Strong,      3.5,  0.00110,  0.05792,  0.11183,  0.41005,  6.95825, 100.00 %, 100.00 %
Al,Strong,      9.7,  0.09335,  0.40596,  0.99584,  3.17087, 47.26370, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.18537,  0.79790,  1.90230,  6.85642,125.05882, 100.00 %, 100.00 %
P,Strong,      5.1,  0.00115,  0.01384,  0.02142,  0.03534,  0.16725, 100.00 %, 100.00 %
S,Strong,     10.0,  0.17551,  0.49891,  0.78739,  1.05081,  2.31183, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.04426,  0.29868,  0.47927,  0.75255,  4.50778, 100.00 %, 100.00 %
K,Strong,     10.0,  0.23489,  0.83753,  1.04046,  1.59069, 15.45510, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.07104,  0.30272,  0.50025,  1.15615, 24.40530, 100.00 %, 100.00 %
Ti,Strong,      9.9,  0.00656,  0.03011,  0.06874,  0.20469,  4.05869, 100.00 %, 100.00 %
V,Strong,      4.1,  0.00039,  0.00152,  0.00226,  0.00430,  0.06958, 100.00 %, 100.00 %
Mn,Strong,      9.4,  0.00318,  0.00756,  0.01231,  0.03355,  0.78532, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.07834,  0.33710,  0.63302,  1.71436, 36.90912, 100.00 %, 100.00 %
Zn,Strong,      9.2,  0.01001,  0.02703,  0.03314,  0.04266,  0.29750, 100.00 %, 100.00 %
Br,Strong,      9.2,  0.00550,  0.01402,  0.02082,  0.03456,  0.13954, 100.00 %, 100.00 %
Pb,Strong,      6.6,  0.00929,  0.01419,  0.01664,  0.02162,  0.09755, 100.00 %, 100.00 %
BC,Strong,     10.0,  1.55456,  3.11401,  3.48436,  3.95274,  8.88342, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,6
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,4508.36     ,4748.11     ,Yes      ,1728,2.269651
2,4508.36     ,4748.11     ,Yes      ,1572,2.269651
3,4416.83     ,4637.11     ,Yes      ,842,2.216592
4,4519.04     ,4752.41     ,Yes      ,821,2.271707
5,4416.72     ,4637.11     ,Yes      ,774,2.216592
6,4518.31     ,4751.97     ,Yes      ,1691,2.271496
7,4508.29     ,4748.11     ,Yes      ,1844,2.269651
8,4508.34     ,4748.11     ,Yes      ,1550,2.269651
9,4508.34     ,4748.13     ,Yes      ,1849,2.269661
10,4416.42     ,4637.14     ,Yes      ,728,2.216606
11,4519.76     ,4752.31     ,Yes      ,1023,2.271659
12,4416.88     ,4637.13     ,Yes      ,937,2.216601
13,4416.85     ,4637.11     ,Yes      ,578,2.216592
14,4519.06     ,4752.44     ,Yes      ,750,2.271721
15,4518.32     ,4751.95     ,Yes      ,971,2.271487
16,4439.66     ,4645.44     ,Yes      ,1148,2.220574
17,4518.3      ,4751.97     ,Yes      ,1203,2.271496
18,4508.34     ,4748.12     ,Yes      ,1716,2.269656
19,4508.4      ,4748.12     ,Yes      ,2095,2.269656
20,4440.11     ,4643.97     ,Yes      ,1081,2.219871

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00094,
3,1496.22385,1496.20673,
4,20.42621,20.39706,1523.76166,
5,1496.55112,1496.52853,0.03899,1524.07708,
6,21.25345,21.26395,1523.46390,1.33529,1524.03505,
7,0.00066,0.00047,1496.15460,20.43189,1496.47851,21.28309,
8,0.00105,0.00120,1496.08594,20.48952,1496.41147,21.31870,0.00092,
9,0.00048,0.00071,1496.12949,20.45321,1496.45456,21.29474,0.00043,0.00073,
10,1496.44789,1496.42526,0.03739,1523.98468,0.00183,1523.94733,1496.37530,1496.30822,1496.35128,
11,22.30127,22.27292,1525.38958,0.66205,1525.73593,1.50667,22.31087,22.36175,22.33320,1525.64522,
12,1495.77531,1495.75862,0.00542,1523.34435,0.05131,1523.04376,1495.70595,1495.63771,1495.68104,0.04957,1525.00769,
13,1496.75316,1496.73044,0.03195,1524.27317,0.00426,1524.23217,1496.68060,1496.61350,1496.65671,0.00331,1525.92813,0.04340,
14,20.45875,20.42801,1523.78317,0.00381,1524.08842,1.41426,20.46340,20.52209,20.48508,1523.99586,0.71135,1523.36492,1524.28428,
15,21.20753,21.21809,1523.40378,1.34105,1523.97525,0.00104,21.23724,21.27282,21.24897,1523.88728,1.50987,1522.98279,1524.17214,1.42004,
16,1538.33694,1538.36619,129.95246,1545.87716,131.66432,1542.96191,1538.30579,1538.25652,1538.27736,131.59493,1546.59886,129.86220,131.08934,1545.95786,1542.87598,
17,21.25591,21.26641,1523.45235,1.34012,1524.02372,0.00047,21.28560,21.32103,21.29722,1523.93594,1.50417,1523.03249,1524.22094,1.41938,0.00114,1542.97479,
18,0.00063,0.00060,1496.09068,20.44305,1496.41555,21.28479,0.00037,0.00061,0.00038,1496.31236,22.31982,1495.64225,1496.61766,20.47498,21.23883,1538.23329,21.28719,
19,0.00122,0.00103,1496.29072,20.34534,1496.61392,21.21363,0.00121,0.00245,0.00127,1496.51074,22.22567,1495.84231,1496.81600,20.37621,21.16779,1538.40054,21.21624,0.00142,
20,1557.85276,1557.82311,142.68356,1561.94159,144.14758,1561.90706,1557.78684,1557.76497,1557.77571,144.08090,1562.78186,142.60422,143.51207,1561.92186,1561.82584,3.68767,1561.92306,1557.72893,1557.86567,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.00000,0.00036,0.00005,0.00002,0.00003,0.00006,0.00009,0.00006,0.00004,0.00003,0.00001,0.00001,0.00004,0.00001,0.00003,0.00003,0.00002,0.00003,
3                    1,3.37822,54.25262,101.57395,12.53744,23.07004,188.98338,20.06150,17.80749,176.78030,220.46642,13.01534,7.01622,80.41477,24.00454,236.47427,8.24585,26.10126,282.04026,
3                    2,3.37824,54.25376,101.57704,12.53689,23.07403,189.00724,20.03371,17.80457,176.79411,220.48474,13.01493,7.01536,80.43615,24.00224,236.44786,8.24074,26.10346,282.00166,
4                    1,0.00459,6.03752,1.35870,0.33736,0.49284,1.00254,0.75465,2.67055,0.22544,1.42329,0.13870,0.08937,0.75900,0.18368,3.13260,0.20411,0.58632,1.02498,
4                    2,0.00460,6.01993,1.36061,0.33740,0.49309,0.99907,0.75101,2.66547,0.22383,1.42253,0.13882,0.08930,0.75839,0.18352,3.13102,0.20437,0.58671,1.02741,
4                    3,3.37567,60.93902,101.62910,13.07727,24.46474,181.90578,16.98086,23.31695,177.67373,219.43867,13.35253,6.07838,82.57575,23.80353,250.79815,7.91845,29.36438,287.06871,
5                    1,3.37866,55.06406,101.58184,12.54914,23.07488,188.78624,20.08321,17.91817,176.41805,220.30991,12.99901,7.00933,80.49358,23.97426,236.61880,8.23416,26.06449,281.99335,
5                    2,3.37868,55.06129,101.58497,12.54859,23.07886,188.80989,20.05479,17.91499,176.43179,220.32821,12.99861,7.00847,80.51495,23.97193,236.59235,8.22900,26.06659,281.95458,
5                    3,0.00003,0.01600,0.00034,0.00018,0.00103,0.00178,0.00326,0.00296,0.00143,0.00242,0.00038,0.00008,0.00117,0.00102,0.00085,0.00031,0.00335,0.00239,
5                    4,3.37608,61.67038,101.63172,13.09329,24.46816,181.70307,16.99424,23.46551,177.30556,219.25978,13.33756,6.07228,82.64696,23.77131,250.98255,7.90750,29.34330,287.04785,
6                    1,0.00443,6.09362,1.47409,0.38255,0.51494,1.03475,0.65919,2.92471,0.20834,1.46090,0.15015,0.07855,0.85709,0.18517,3.16883,0.24009,0.56233,1.25373,
6                    2,0.00445,6.10600,1.47615,0.38267,0.51519,1.03253,0.65909,2.92165,0.20656,1.45999,0.15032,0.07854,0.85674,0.18506,3.16787,0.24086,0.56303,1.25725,
6                    3,3.38949,61.44223,102.24621,13.13974,24.45256,181.21063,17.87329,23.26962,177.94803,219.80559,13.35446,6.23392,82.27038,23.85130,248.54739,7.94928,29.07821,287.40158,
6                    4,0.00044,0.75490,0.02645,0.01188,0.02943,0.05118,0.10267,0.10417,0.01196,0.04151,0.00599,0.00275,0.01619,0.01042,0.07859,0.01949,0.01968,0.04759,
6                    5,3.38992,62.36667,102.24949,13.15706,24.45714,181.01014,17.90766,23.42794,177.58103,219.62685,13.34021,6.22794,82.34213,23.82045,248.73819,7.93935,29.06432,287.38856,
7                    1,0.00001,0.00018,0.00005,0.00002,0.00002,0.00003,0.00006,0.00005,0.00003,0.00003,0.00001,0.00001,0.00003,0.00002,0.00004,0.00002,0.00002,0.00004,
7                    2,0.00001,0.00008,0.00005,0.00001,0.00001,0.00004,0.00006,0.00004,0.00002,0.00003,0.00001,0.00001,0.00002,0.00001,0.00003,0.00002,0.00001,0.00002,
7                    3,3.37834,54.24869,101.61567,12.54175,23.07231,188.99733,20.04712,17.80326,176.78169,220.46977,13.01512,7.01581,80.42403,24.00018,236.40555,8.24194,26.09549,282.00055,
7                    4,0.00462,6.03213,1.36308,0.33776,0.49378,1.00255,0.75348,2.66581,0.22503,1.42382,0.13915,0.08929,0.76016,0.18378,3.13667,0.20448,0.58822,1.02809,
7                    5,3.37879,55.05763,101.62356,12.55345,23.07714,188.80015,20.06852,17.91383,176.41943,220.31324,12.99879,7.00892,80.50283,23.96990,236.55002,8.23024,26.05869,281.95339,
7                    6,0.00447,6.10751,1.47823,0.38301,0.51588,1.03573,0.66064,2.92108,0.20772,1.46123,0.15057,0.07847,0.85833,0.18528,3.17217,0.24061,0.56426,1.25792,
8                    1,0.00001,0.00009,0.00015,0.00003,0.00005,0.00004,0.00004,0.00003,0.00008,0.00009,0.00002,0.00002,0.00005,0.00003,0.00017,0.00004,0.00005,0.00006,
8                    2,0.00001,0.00020,0.00014,0.00002,0.00004,0.00007,0.00010,0.00007,0.00006,0.00008,0.00002,0.00002,0.00005,0.00003,0.00016,0.00003,0.00004,0.00005,
8                    3,3.37910,54.24781,101.70598,12.54428,23.07463,188.98604,20.06205,17.80098,176.82576,220.50162,13.01492,7.02619,80.41825,23.99897,236.25082,8.24407,26.07862,281.92585,
