
Factor Profiles (conc. of species) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
10,mass,9.741500E-001,6.945200E+000,1.451800E+001,6.361000E+000,3.440900E+001,6.361100E+000
10,Na,2.612400E-002,1.143800E-003,5.023500E-002,0.000000E+000,0.000000E+000,1.643600E-001
10,Mg,1.398000E-002,2.886400E-002,1.666900E-003,5.043800E-002,3.412600E-001,1.912800E-002
10,Al,2.793200E-002,2.531400E-001,1.639400E-001,5.466300E-001,2.254600E+000,8.694400E-003
10,Si,5.053400E-002,5.564300E-001,3.110600E-001,1.073400E+000,5.329700E+000,5.310800E-002
10,P,0.000000E+000,1.588200E-002,0.000000E+000,9.356900E-003,1.856200E-003,0.000000E+000
10,S,5.397400E-002,4.355500E-001,4.769200E-002,8.332500E-002,4.898800E-002,1.465000E-001
10,Cl,0.000000E+000,0.000000E+000,0.000000E+000,2.136200E-001,1.328200E-001,2.717000E-001
10,K,6.185800E-002,2.944800E-001,3.566000E-001,0.000000E+000,6.236500E-001,2.264000E-001
10,Ca,1.456100E-002,1.267400E-001,9.136900E-002,3.488200E-001,6.108400E-001,0.000000E+000
10,Ti,1.261300E-003,1.634400E-002,1.233000E-002,4.121200E-002,1.381700E-001,0.000000E+000
10,V,1.219200E-005,3.135500E-004,8.049900E-004,6.541400E-004,2.138700E-003,2.819600E-004
10,Mn,0.000000E+000,1.588700E-003,5.077000E-003,2.619400E-003,2.392800E-002,1.690200E-003
10,Fe,0.000000E+000,1.455900E-001,1.539600E-001,3.791000E-001,1.142200E+000,0.000000E+000
10,Zn,2.101000E-003,2.499600E-003,1.626800E-002,0.000000E+000,1.133000E-002,7.625900E-003
10,Br,1.915300E-002,7.362200E-005,0.000000E+000,1.623600E-003,2.535500E-003,4.297800E-003
10,Pb,1.856200E-003,0.000000E+000,8.864000E-003,3.001600E-004,4.492000E-003,3.990500E-003
10,BC,7.235000E-002,1.702800E-001,2.161800E+000,6.074100E-001,0.000000E+000,5.204900E-001

Factor Profiles (% of species sum) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
10,mass,1.400276E+000,9.983261E+000,2.086866E+001,9.143513E+000,4.946064E+001,9.143657E+000
10,Na,1.080116E+001,4.729127E-001,2.077004E+001,0.000000E+000,0.000000E+000,6.795588E+001
10,Mg,3.070254E+000,6.339043E+000,3.660806E-001,1.107707E+001,7.494670E+001,4.200846E+000
10,Al,8.581427E-001,7.777111E+000,5.036657E+000,1.679388E+001,6.926710E+001,2.671143E-001
10,Si,6.852781E-001,7.545599E+000,4.218202E+000,1.455609E+001,7.227464E+001,7.201835E-001
10,P,0.000000E+000,5.861576E+001,0.000000E+000,3.453355E+001,6.850685E+000,0.000000E+000
10,S,6.614226E+000,5.337433E+001,5.844400E+000,1.021103E+001,6.003218E+000,1.795279E+001
10,Cl,0.000000E+000,0.000000E+000,0.000000E+000,3.455851E+001,2.148704E+001,4.395444E+001
10,K,3.957676E+000,1.884084E+001,2.281528E+001,0.000000E+000,3.990114E+001,1.448508E+001
10,Ca,1.221222E+000,1.062961E+001,7.663063E+000,2.925532E+001,5.123078E+001,0.000000E+000
10,Ti,6.025780E-001,7.808241E+000,5.890579E+000,1.968877E+001,6.600983E+001,0.000000E+000
10,V,2.899039E-001,7.455656E+000,1.914122E+001,1.555427E+001,5.085445E+001,6.704503E+000
10,Mn,0.000000E+000,4.551719E+000,1.454590E+001,7.504735E+000,6.855512E+001,4.842522E+000
10,Fe,0.000000E+000,7.995716E+000,8.455392E+000,2.081995E+001,6.272895E+001,0.000000E+000
10,Zn,5.275647E+000,6.276538E+000,4.084922E+001,0.000000E+000,2.844982E+001,1.914877E+001
10,Br,6.918556E+001,2.659416E-001,0.000000E+000,5.864861E+000,9.158878E+000,1.552476E+001
10,Pb,9.517578E+000,0.000000E+000,4.544975E+001,1.539056E+000,2.303252E+001,2.046110E+001
10,BC,2.048223E+000,4.820614E+000,6.120040E+001,1.719573E+001,0.000000E+000,1.473503E+001

Factor Profiles (% of total variable) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
10,mass,*,*,*,*,*,*
10,Na,2.681723E+000,1.646893E-002,3.460187E-001,0.000000E+000,0.000000E+000,2.583830E+000
10,Mg,1.435097E+000,4.155964E-001,1.148161E-002,7.929257E-001,9.917754E-001,3.007027E-001
10,Al,2.867320E+000,3.644819E+000,1.129219E+000,8.593460E+000,6.552355E+000,1.366808E-001
10,Si,5.187497E+000,8.011721E+000,2.142582E+000,1.687470E+001,1.548926E+001,8.348870E-001
10,P,0.000000E+000,2.286759E-001,0.000000E+000,1.470979E-001,5.394519E-003,0.000000E+000
10,S,5.540625E+000,6.271238E+000,3.285025E-001,1.309936E+000,1.423697E-001,2.303061E+000
10,Cl,0.000000E+000,0.000000E+000,0.000000E+000,3.358277E+000,3.860037E-001,4.271274E+000
10,K,6.349946E+000,4.240051E+000,2.456261E+000,0.000000E+000,1.812462E+000,3.559133E+000
10,Ca,1.494739E+000,1.824857E+000,6.293498E-001,5.483729E+000,1.775233E+000,0.000000E+000
10,Ti,1.294770E-001,2.353280E-001,8.492906E-002,6.478856E-001,4.015519E-001,0.000000E+000
10,V,1.251553E-003,4.514629E-003,5.544772E-003,1.028360E-002,6.215525E-003,4.432566E-003
10,Mn,0.000000E+000,2.287479E-002,3.497038E-002,4.117906E-002,6.953995E-002,2.657088E-002
10,Fe,0.000000E+000,2.096268E+000,1.060477E+000,5.959755E+000,3.319480E+000,0.000000E+000
10,Zn,2.156752E-001,3.599032E-002,1.120540E-001,0.000000E+000,3.292743E-002,1.198834E-001
10,Br,1.966124E+000,1.060041E-003,0.000000E+000,2.552429E-002,7.368712E-003,6.756379E-002
10,Pb,1.905456E-001,0.000000E+000,6.105524E-002,4.718755E-003,1.305472E-002,6.273286E-002
10,BC,7.426988E+000,2.451765E+000,1.489048E+001,9.548970E+000,0.000000E+000,8.182390E+000
