
Residuals from Base Run #10 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
10,11/12/06 03:20,-2.588000E+000,-3.753000E-002,2.628000E-001,3.546000E-001,2.591000E+000,-3.493000E-003,6.104000E-002,6.539000E-004,-1.924000E-001,-1.680000E-001,-5.544000E-002,1.067000E-003,1.001000E-002,-3.846000E-001,-2.883000E-003,-3.306000E-005,3.509000E-003,1.723000E-001
10,11/14/06 02:25,-1.033000E+001,1.627000E-001,3.149000E-001,3.691000E-002,2.679000E+000,-3.881000E-003,4.824000E-002,-8.190000E-002,-1.926000E-001,2.702000E-001,-6.346000E-002,-7.230000E-005,6.596000E-003,-2.785000E-001,-2.683000E-003,-9.874000E-005,2.005000E-003,1.576000E-001
10,11/16/06 03:20,2.148000E+000,-3.076000E-002,2.051000E-001,-1.649000E-001,1.364000E+000,3.125000E-003,3.049000E-002,6.086000E-004,-2.003000E-001,8.085000E-002,-5.615000E-002,9.301000E-005,1.025000E-002,-3.009000E-001,-1.732000E-003,-5.848000E-005,6.344000E-003,-7.432000E-002
10,11/18/06 03:18,4.591000E+000,2.418000E-002,1.178000E-001,-2.457000E-002,1.123000E+000,-5.392000E-003,9.317000E-002,-5.987000E-003,-2.198000E-001,-4.307000E-002,-2.548000E-002,-2.608000E-003,2.071000E-002,1.080000E-001,2.859000E-004,1.052000E-005,-2.158000E-003,5.271000E-001
10,11/20/06 02:28,6.544000E+000,4.393000E-002,1.557000E-001,-4.661000E-002,1.209000E+000,2.641000E-003,5.902000E-004,-1.706000E-002,-1.214000E-001,-1.547000E-002,-3.640000E-002,-5.263000E-004,8.304000E-003,-2.053000E-001,7.943000E-005,1.051000E-005,-6.074000E-004,8.745000E-002
10,11/22/06 02:36,-7.560000E+000,-1.305000E-001,1.170000E-001,-1.866000E-001,8.082000E-001,-1.465000E-003,9.360000E-003,9.449000E-002,1.798000E-002,8.475000E-002,-3.230000E-002,-1.054000E-003,3.065000E-003,-1.686000E-001,8.293000E-003,2.145000E-004,-2.710000E-003,7.648000E-002
10,11/24/06 02:30,-5.003000E+000,1.082000E-002,1.909000E-001,-2.731000E-001,6.023000E-001,1.389000E-003,-1.622000E-002,1.094000E-002,9.444000E-002,-2.685000E-002,-4.876000E-002,-7.506000E-004,2.190000E-002,-2.151000E-001,-3.214000E-003,1.367000E-004,-4.320000E-003,7.617000E-001
10,11/26/06 02:31,-6.570000E+000,-6.132000E-003,1.139000E-003,4.577000E-003,4.508000E-001,4.854000E-003,-4.779000E-002,1.857000E-002,1.273000E-001,-1.023000E-001,-2.196000E-002,2.935000E-004,7.919000E-003,-1.401000E-001,-2.007000E-003,1.255000E-003,-2.345000E-003,2.501000E-001
10,11/28/06 02:26,1.515000E+000,7.526000E-002,4.825000E-003,-7.156000E-002,-4.630000E-002,1.707000E-003,-1.345000E-002,-2.030000E-003,-1.072000E-002,-5.883000E-005,-1.444000E-002,4.797000E-004,9.629000E-003,-4.622000E-002,-3.388000E-003,3.788000E-004,-2.476000E-003,3.867000E-001
10,11/30/06 02:31,-8.791000E+000,-3.571000E-002,-3.903000E-002,-9.539000E-002,-4.884000E-001,1.048000E-002,-1.102000E-001,2.371000E-003,-5.499000E-002,1.270000E-001,-6.796000E-003,-3.685000E-004,8.844000E-003,-1.787000E-002,1.717000E-002,4.704000E-005,5.797000E-005,-5.534000E-001
10,12/02/06 02:40,-8.471000E-001,-4.975000E-002,-1.601000E-002,-3.539000E-003,-1.548000E-001,5.692000E-003,-6.485000E-002,2.081000E-003,5.056000E-002,1.489000E-002,-2.239000E-003,-4.752000E-004,4.639000E-003,-3.223000E-002,-1.080000E-004,2.339000E-004,-7.714000E-004,-3.491000E-002
10,12/04/06 02:53,1.109000E+000,-6.200000E-002,-7.429000E-003,-5.434000E-002,-1.522000E-001,8.192000E-003,-7.125000E-002,3.826000E-003,-4.472000E-002,2.986000E-003,-1.295000E-002,4.906000E-004,2.350000E-003,1.018000E-002,1.648000E-003,-7.589000E-006,4.595000E-003,-3.886000E-001
10,12/06/06 02:55,-5.850000E+000,1.362000E-001,1.581000E-001,1.443000E-001,1.098000E+000,6.578000E-003,-5.902000E-002,-1.974000E-002,-4.377000E-001,2.842000E-001,-1.716000E-002,1.312000E-003,1.606000E-003,-5.401000E-003,-3.514000E-003,2.468000E-004,-6.668000E-003,1.029000E+000
10,12/08/06 02:45,-1.294000E+000,-5.107000E-002,3.128000E-002,3.302000E-002,9.309000E-001,5.106000E-003,-1.157000E-001,-8.498000E-003,-2.821000E-003,7.807000E-002,-9.793000E-003,-4.991000E-004,-1.001000E-004,9.187000E-002,-2.691000E-003,1.226000E-003,-2.453000E-003,4.331000E-001
10,12/10/06 02:48,-1.034000E+001,1.390000E-001,2.013000E-001,1.763000E-001,1.979000E+000,-2.067000E-003,-9.551000E-003,-6.874000E-003,3.777000E-001,6.016000E-003,-3.888000E-002,-3.099000E-004,-3.922000E-005,-1.800000E-001,-1.245000E-002,-6.707000E-005,2.913000E-003,6.471000E-001
10,12/12/06 02:49,-9.172000E+000,6.311000E-003,5.063000E-002,-9.375000E-002,9.210000E-001,2.312000E-005,-1.911000E-002,-2.309000E-003,1.132000E-001,9.279000E-002,-2.523000E-002,3.191000E-005,-2.000000E-003,-3.978000E-002,-2.107000E-003,-1.083000E-004,9.307000E-004,1.267000E-002
10,12/14/06 02:50,-4.119000E+000,-8.867000E-002,5.324000E-003,-3.758000E-002,5.304000E-001,5.175000E-003,-4.358000E-002,1.234000E-002,-3.704000E-002,-1.095000E-001,-1.757000E-002,-7.741000E-005,2.068000E-003,-3.387000E-002,5.910000E-003,1.534000E-003,-6.144000E-004,-6.722000E-002
10,12/16/06 02:39,-5.175000E+000,8.141000E-002,-4.794000E-002,4.005000E-001,4.374000E-001,2.377000E-002,-8.919000E-002,-3.147000E-003,-2.086000E-001,-1.963000E-001,1.345000E-002,-8.065000E-005,3.110000E-003,5.578000E-002,1.740000E-003,9.296000E-004,-9.370000E-004,1.120000E-001
10,12/18/06 02:36,-6.429000E+000,-3.467000E-002,-8.715000E-003,3.602000E-001,6.771000E-001,2.633000E-004,6.458000E-002,1.417000E-002,-6.803000E-002,-1.809000E-001,1.314000E-002,1.105000E-004,-6.337000E-004,7.308000E-003,-4.390000E-003,6.716000E-005,1.553000E-003,2.342000E-001
10,12/20/06 02:55,-3.179000E+000,-6.636000E-002,-1.908000E-002,1.288000E-001,4.563000E-001,1.234000E-002,-7.273000E-002,7.491000E-003,-8.625000E-002,-1.173000E-001,-2.562000E-004,2.747000E-004,7.031000E-004,-3.009000E-002,-6.838000E-004,1.523000E-004,2.696000E-003,-9.052000E-003
10,12/22/06 02:57,-1.001000E+001,-2.359000E-001,-7.017000E-002,1.105000E-001,1.441000E-001,6.394000E-003,-1.875000E-002,1.713000E-001,1.862000E-002,-1.954000E-001,5.567000E-003,6.855000E-004,2.908000E-003,-4.761000E-003,2.689000E-003,2.972000E-004,1.940000E-003,-1.921000E-001
10,12/24/06 04:00,-3.810000E+000,2.568000E-002,-4.872000E-002,6.495000E-002,-1.825000E-001,-3.633000E-005,4.949000E-003,-1.876000E-003,4.601000E-002,-4.617000E-003,4.662000E-003,3.139000E-004,1.074000E-003,9.324000E-003,-3.242000E-003,5.163000E-006,2.351000E-003,-1.225000E-001
10,12/26/06 02:52,2.802000E+000,-1.096000E-002,-5.075000E-002,6.895000E-002,1.400000E-001,5.016000E-003,-2.010000E-001,3.686000E-003,6.159000E-001,-2.692000E-002,4.728000E-003,-7.676000E-004,2.452000E-004,-9.504000E-003,-3.815000E-003,8.916000E-004,5.054000E-004,9.771000E-002
