**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 10

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  0.97415,  0.47588,  0.96641,  2.22620,  3.22353,  3.22710,  2.11394,  1.04057,  0.49224,  1.06818
Na,  0.02612,  0.01914,  0.02594,  0.03392,  0.03996,  0.03998,  0.03279,  0.00715,  0.21792,  0.27353
Mg,  0.01398,  0.00000,  0.00000,  0.00728,  0.01395,  0.01731,  0.00716,  0.00641,  0.89561,  0.45841
Al,  0.02793,  0.01866,  0.02676,  0.02767,  0.03685,  0.06581,  0.03123,  0.01057,  0.33837,  0.37827
Si,  0.05053,  0.00689,  0.01155,  0.04101,  0.05551,  0.12837,  0.03855,  0.03205,  0.83136,  0.63427
P,  0.00000,  0.00000,  0.00001,  0.00147,  0.00228,  0.00228,  0.00128,  0.00095,  0.73888,  0.00000
S,  0.05397,  0.03778,  0.05385,  0.09745,  0.11463,  0.11477,  0.08705,  0.02813,  0.32313,  0.52114
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.06186,  0.03479,  0.06134,  0.10604,  0.13291,  0.13304,  0.09793,  0.03548,  0.36234,  0.57361
Ca,  0.01456,  0.01431,  0.01646,  0.03927,  0.05677,  0.05681,  0.03797,  0.01708,  0.44980,  1.17304
Ti,  0.00126,  0.00125,  0.00135,  0.00280,  0.00290,  0.00404,  0.00235,  0.00083,  0.35211,  0.65475
V,  0.00001,  0.00000,  0.00001,  0.00009,  0.00015,  0.00015,  0.00009,  0.00006,  0.70874,  5.01749
Mn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Fe,  0.00000,  0.00000,  0.00238,  0.01803,  0.02522,  0.02527,  0.01489,  0.01041,  0.69874,  0.00000
Zn,  0.00210,  0.00082,  0.00208,  0.00456,  0.00604,  0.00604,  0.00413,  0.00191,  0.46186,  0.90766
Br,  0.01915,  0.01764,  0.01900,  0.02111,  0.02142,  0.02144,  0.02034,  0.00133,  0.06531,  0.06937
Pb,  0.00186,  0.00110,  0.00184,  0.00279,  0.00336,  0.00336,  0.00261,  0.00078,  0.29809,  0.41941
BC,  0.07235,  0.00000,  0.07111,  0.13019,  0.25923,  0.25999,  0.15429,  0.09766,  0.63295,  1.34976

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  6.94520,  6.79980,  6.82183,  7.01950, 10.09200, 12.66900,  8.17588,  1.80778,  0.22111,  0.26029
Na,  0.00114,  0.00000,  0.00000,  0.00000,  0.00000,  0.00715,  0.00054,  0.00162,  2.99317,  1.41596
Mg,  0.02886,  0.02863,  0.02890,  0.03096,  0.05410,  0.05416,  0.03907,  0.01173,  0.30018,  0.40634
Al,  0.25314,  0.18161,  0.21576,  0.25190,  0.28714,  0.39937,  0.25636,  0.05232,  0.20408,  0.20668
Si,  0.55643,  0.50481,  0.55217,  0.55709,  0.63349,  0.85538,  0.60069,  0.08313,  0.13839,  0.14939
P,  0.01588,  0.00760,  0.01258,  0.01587,  0.01615,  0.01892,  0.01451,  0.00296,  0.20434,  0.18666
S,  0.43555,  0.32959,  0.38623,  0.43295,  0.44289,  0.50149,  0.42114,  0.04525,  0.10744,  0.10389
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.29448,  0.29392,  0.30727,  0.31473,  0.37420,  0.43502,  0.34069,  0.04461,  0.13095,  0.15150
Ca,  0.12674,  0.00000,  0.00000,  0.12646,  0.13733,  0.22419,  0.08179,  0.07672,  0.93809,  0.60536
Ti,  0.01634,  0.00818,  0.00867,  0.01626,  0.01851,  0.02774,  0.01449,  0.00579,  0.39930,  0.35397
V,  0.00031,  0.00021,  0.00021,  0.00031,  0.00048,  0.00067,  0.00033,  0.00014,  0.40813,  0.43590
Mn,  0.00159,  0.00155,  0.00193,  0.00285,  0.00290,  0.00340,  0.00260,  0.00061,  0.23317,  0.38099
Fe,  0.14559,  0.05651,  0.06780,  0.14483,  0.17073,  0.25642,  0.12567,  0.05871,  0.46717,  0.40326
Zn,  0.00250,  0.00164,  0.00166,  0.00251,  0.00680,  0.00925,  0.00396,  0.00256,  0.64594,  1.02377
Br,  0.00007,  0.00000,  0.00000,  0.00000,  0.00006,  0.00032,  0.00006,  0.00011,  2.00278,  1.53416
