
Factor Contributions (avg = 1) from Base Run #20 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
20,03/02/07 00:06,6.715200E-001,-1.999900E-001,7.707800E-001,6.511100E+000,8.919100E-001,3.493900E-001
20,03/10/07 00:11,-1.079000E-001,5.429300E-001,-1.999800E-001,1.015800E+001,7.300000E-001,1.136700E+000
20,03/12/07 00:18,8.291700E-002,1.125200E+000,1.925000E-001,7.904000E+000,1.044900E+000,4.779400E-001
20,03/16/07 00:10,1.484800E+000,9.355200E-001,-1.355000E-002,4.655800E+000,7.522400E-001,2.121500E+000
20,03/18/07 00:15,9.674000E-001,5.188100E-001,5.928900E-001,2.881100E+000,5.575200E-001,9.185400E-001
20,03/20/07 00:26,2.954400E-001,1.092600E+000,2.939400E-001,6.958800E+000,1.885200E+000,-1.656100E-001
20,03/22/07 00:21,1.288800E-001,2.728100E-001,2.270800E-001,6.845200E+000,1.844600E+000,1.231900E+000
20,03/24/07 00:07,7.230800E-001,8.143900E-001,1.410600E-001,3.933600E+000,8.880800E-001,1.332300E+000
20,03/26/07 00:47,2.569700E+000,1.039700E+000,-2.096700E-002,1.076400E+000,5.195800E-001,1.558500E+000
20,03/28/07 00:47,1.666200E+000,6.726100E-001,1.026400E+000,1.084300E+000,7.430500E-001,3.596300E-001
20,03/30/07 00:36,1.431700E+000,3.590700E-001,6.597100E-001,1.132400E+000,8.664600E-001,2.201000E+000
20,04/01/07 00:27,1.153700E+000,6.924900E-001,1.770000E-001,8.254200E-001,3.553200E-001,1.117100E+000
20,04/03/07 00:30,1.000500E+000,6.267000E-001,4.590200E-001,5.241700E-001,2.643400E+000,1.068500E+000
20,04/05/07 00:29,1.419100E+000,5.905900E-001,3.374400E-001,1.889500E+000,4.122700E-001,-1.205700E-002
20,04/07/07 00:12,1.310300E+000,2.817400E-001,7.235500E-001,1.336700E+000,7.861300E-001,7.307900E-001
20,04/09/07 00:30,1.390500E+000,2.289600E-001,7.139900E-001,1.669800E+000,8.147800E-001,7.029900E-001
20,04/11/07 00:36,9.779400E-001,5.193000E-001,4.130600E-001,7.943500E-001,5.570800E-001,1.123800E+000
20,04/13/07 00:28,8.063000E-001,7.269800E-001,9.813900E-001,1.543700E+000,2.151000E+000,1.145900E+000
20,04/15/07 00:33,9.995300E-001,8.509400E-001,2.020100E-001,2.176600E+000,8.912700E-001,1.137000E+000
20,04/17/07 00:38,1.591700E+000,1.023900E+000,5.842800E-002,1.878000E+000,4.354400E-001,1.201600E+000
20,04/19/07 00:42,1.160800E+000,5.899900E-001,4.028900E-001,1.902900E+000,1.465000E+000,2.131700E+000
20,04/21/07 00:40,1.116700E+000,1.207500E+000,-9.722400E-002,1.984600E+000,1.109800E+000,2.566400E+000
20,04/23/07 00:42,1.279200E+000,8.183900E-002,3.003600E-001,1.267100E+000,6.370600E-001,2.291200E+000
20,04/25/07 00:54,1.276700E+000,1.405300E+000,3.704100E-001,8.968000E-001,1.808800E+000,1.022900E+000
20,04/27/07 00:45,9.330300E-001,4.909100E-001,7.022300E-002,4.576400E-001,1.802000E+000,1.374800E+000
20,04/29/07 00:52,1.235100E+000,4.887600E-001,3.323500E-001,4.956500E-001,1.252800E+000,1.043300E+000
20,05/01/07 00:57,1.377500E+000,3.156400E-001,3.172700E-001,1.015400E+000,7.568100E-001,1.749800E+000
20,05/03/07 01:03,1.029900E+000,1.310800E-001,5.360200E-001,8.532400E-001,1.342000E+000,1.748000E+000
20,05/05/07 00:59,1.579300E+000,9.063800E-001,-1.999900E-001,7.651000E-001,1.187200E+000,2.042500E+000
20,05/07/07 00:57,1.286800E+000,8.302700E-001,-5.506400E-002,8.768800E-001,4.544700E-001,1.522000E+000
20,05/09/07 00:57,1.655900E+000,-1.204100E-001,3.554900E-001,1.088600E+000,6.039400E-001,2.362200E+000
20,05/11/07 01:03,1.677800E+000,1.048600E-001,5.713300E-001,5.001500E-001,4.585900E-001,1.373700E+000
20,05/13/07 01:04,1.368300E+000,3.842900E-001,1.852300E-001,2.393100E+000,9.525400E-001,4.299300E-001
20,05/15/07 01:10,9.469800E-001,4.898300E-001,1.895300E-001,2.758900E+000,3.998400E-001,1.926700E-001
20,05/17/07 01:01,1.331500E+000,2.920000E-001,1.254600E+000,6.623500E-001,2.640200E-001,1.846000E+000
20,05/19/07 01:01,8.747900E-001,-8.349400E-002,-1.007900E-001,-1.432800E-001,4.243400E-001,1.770000E+000
20,05/21/07 00:47,2.275600E+000,6.068300E-001,2.309400E-001,-1.335500E-001,4.148100E-001,1.597600E+000
20,05/23/07 01:28,1.352000E+000,1.470900E+000,1.217100E-002,3.814500E-001,6.970500E-001,5.826600E-001
20,05/25/07 01:33,1.366800E+000,1.050100E+000,1.998700E-001,9.589000E-001,5.007100E-001,9.676100E-001
20,05/27/07 01:29,9.667700E-001,9.772800E-001,1.749600E-001,1.225100E+000,1.017300E+000,1.020100E+000
20,05/29/07 02:04,1.920400E+000,7.112900E-001,2.812900E-001,5.245700E-001,3.681500E-001,1.365400E+000
20,05/31/07 02:01,1.923000E+000,6.396100E-002,6.402500E-001,3.195400E-001,5.704400E-001,1.044700E+000
20,06/02/07 01:20,1.120100E+000,7.450300E-001,6.402200E-001,1.848800E-001,2.783800E-001,6.630700E-001
20,06/04/07 00:54,1.491700E+000,1.129600E+000,8.009000E-001,-1.540400E-001,2.627600E-001,-1.999900E-001
20,06/06/07 00:44,1.512800E+000,1.223800E+000,4.794200E-001,-3.750200E-002,4.922000E-001,1.902800E-001
20,06/08/07 00:33,1.986600E+000,1.254500E+000,5.650600E-001,-1.999900E-001,9.000500E-001,1.533200E-001
20,06/10/07 00:25,1.004200E+000,1.716500E+000,3.713300E-001,4.048100E-001,6.398100E-001,8.010600E-001
20,06/12/07 00:47,1.845300E+000,1.878200E+000,-1.230900E-001,5.165200E-001,2.041100E-001,2.789300E-001
20,06/14/07 01:15,1.768000E+000,3.448900E-001,2.538100E-001,5.157900E-002,3.862600E-001,9.374200E-001
20,06/16/07 01:14,1.696500E+000,2.419500E+000,-1.497700E-001,6.128400E-001,4.013100E-001,4.689500E-001
20,06/18/07 01:21,7.799200E-001,1.967800E+000,1.003200E+000,2.097300E-001,1.954300E-001,1.052000E+000
20,06/20/07 01:10,1.430300E+000,1.972900E+000,1.342300E+000,1.976900E-001,7.181700E-001,5.774100E-001
20,06/22/07 01:10,1.905900E+000,1.242800E+000,1.935800E+000,1.408900E-001,5.030600E-001,8.512800E-001
20,06/24/07 01:38,1.369900E+000,1.030100E+000,2.793500E+000,-1.056200E-001,6.526900E-001,2.716700E-001
20,06/26/07 01:30,3.936300E-001,3.645900E-001,3.640400E+000,2.435800E-002,2.316800E+000,4.570900E-001
20,06/28/07 00:38,3.667200E-001,8.026800E-001,2.247900E+000,-8.572600E-003,2.222400E+000,1.051100E-001
20,06/30/07 00:20,1.147900E+000,8.728800E-001,1.861600E+000,-9.531900E-002,8.381700E-001,6.468200E-001
20,07/02/07 01:02,3.349500E-001,1.230200E+000,2.704200E+000,-5.357600E-002,1.351000E+000,5.010400E-001
20,07/04/07 00:43,6.521000E-001,4.073800E-001,2.819700E+000,-2.106800E-002,1.092600E+000,8.486400E-001
20,07/06/07 00:39,1.597700E+000,9.058500E-001,9.541900E-001,2.476300E-002,3.770500E-001,-3.032200E-002
20,07/08/07 00:44,1.454800E+000,1.614900E+000,9.380400E-001,-2.035500E-002,3.274800E-001,3.985600E-001
20,07/12/07 00:41,1.212400E+000,-1.862700E-001,2.348100E+000,1.975900E-001,4.810900E-001,1.888900E+000
20,07/14/07 00:40,-1.016900E-001,6.816600E-001,2.976200E+000,7.169900E-002,2.804800E+000,1.583100E-001
20,07/16/07 00:42,4.376700E-001,9.331100E-001,2.451200E+000,4.528500E-001,9.992400E-001,5.676800E-001
20,07/18/07 00:40,7.592600E-001,1.832900E+000,3.420600E+000,1.908900E-001,-1.999400E-001,-6.582300E-003
20,07/20/07 02:14,4.976400E-001,1.880300E-001,2.647200E+000,-9.695500E-003,5.602800E-001,4.333900E-001
20,07/24/07 00:41,4.973800E-001,1.938100E+000,2.383400E+000,1.613900E-001,6.358500E-001,1.047800E+000
20,07/26/07 00:44,2.983000E-001,3.859400E+000,1.737400E+000,1.580300E-001,8.231000E-002,-2.000000E-001
20,07/28/07 00:41,4.662300E-001,4.996300E+000,7.034900E-001,2.433700E-001,4.538100E-001,8.844800E-001
20,07/30/07 00:40,3.435300E-001,2.229700E+000,1.670400E+000,1.832000E-001,1.374600E+000,4.643100E-001
20,08/01/07 00:45,1.166600E+000,9.098100E-001,1.011900E+000,1.611500E-001,7.238200E-001,2.368500E+000
20,08/03/07 00:44,4.221000E-001,3.975900E+000,4.498400E-001,6.536400E-001,-1.999900E-001,2.340800E+000
20,08/05/07 00:45,-2.000000E-001,1.663000E+000,1.852800E+000,4.537100E-002,2.768300E+000,2.349700E-001
20,08/07/07 01:02,6.442200E-001,5.538700E-001,2.612700E+000,-1.998200E-001,2.119100E+000,1.260900E+000
20,08/09/07 01:11,7.434500E-001,1.433300E+000,1.852900E+000,2.560300E-001,1.164300E+000,1.353200E+000
