
Factor Profiles (conc. of species) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
2,mass,9.587500E+000,6.252300E-001,1.020000E+001,2.364100E+000,8.448500E+000,9.286400E+000
2,Na,0.000000E+000,1.067200E-002,0.000000E+000,1.506800E-001,1.000100E-001,1.218400E-002
2,Mg,1.563200E-001,2.241700E-003,0.000000E+000,9.950000E-003,2.362400E-002,1.195000E-002
2,Al,9.011800E-001,3.422600E-002,3.803900E-001,1.734500E-003,4.129300E-002,1.282900E-001
2,Si,1.985100E+000,4.792600E-002,7.275900E-001,0.000000E+000,9.705700E-002,2.621400E-001
2,P,0.000000E+000,5.349200E-005,1.304200E-002,0.000000E+000,7.023200E-003,0.000000E+000
2,S,2.885300E-002,0.000000E+000,1.816400E-001,5.003800E-002,3.636700E-001,6.020900E-002
2,Cl,1.109700E-001,0.000000E+000,1.597600E-002,4.011900E-001,0.000000E+000,0.000000E+000
2,K,1.701000E-001,1.331600E-002,1.777300E-001,4.562100E-002,3.688500E-001,2.495400E-001
2,Ca,1.985100E-001,3.252900E-002,2.921900E-001,5.720500E-002,0.000000E+000,4.555600E-002
2,Ti,4.888100E-002,2.733100E-003,3.133100E-002,2.557900E-003,3.508400E-004,8.156000E-003
2,V,5.847700E-004,1.872500E-005,7.970700E-004,1.980100E-004,2.861600E-004,4.800400E-004
2,Mn,8.093900E-003,0.000000E+000,2.784100E-003,0.000000E+000,1.864300E-003,3.485500E-003
2,Fe,3.826000E-001,1.955400E-002,3.115800E-001,2.357000E-002,9.497200E-003,9.571300E-002
2,Zn,2.659000E-004,2.840500E-003,9.461000E-003,2.737800E-003,7.614000E-003,7.908400E-003
2,Br,1.968500E-003,1.507800E-002,0.000000E+000,0.000000E+000,7.376100E-003,0.000000E+000
2,Pb,8.244000E-004,2.000500E-003,2.813300E-003,1.542200E-003,3.704700E-003,5.248800E-003
2,BC,8.156400E-007,1.245600E-001,8.699400E-001,1.372400E-001,8.712900E-001,1.391800E+000

Factor Profiles (% of species sum) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
2,mass,2.366599E+001,1.543331E+000,2.517789E+001,5.835594E+000,2.085445E+001,2.292274E+001
2,Na,0.000000E+000,3.901355E+000,0.000000E+000,5.508397E+001,3.656058E+001,4.454095E+000
2,Mg,7.659528E+001,1.098411E+000,0.000000E+000,4.875403E+000,1.157553E+001,5.855383E+000
2,Al,6.059927E+001,2.301506E+000,2.557908E+001,1.166353E-001,2.776721E+000,8.626780E+000
2,Si,6.362881E+001,1.536182E+000,2.332159E+001,0.000000E+000,3.110988E+000,8.402427E+000
2,P,0.000000E+000,2.658821E-001,6.482529E+001,0.000000E+000,3.490883E+001,0.000000E+000
2,S,4.215748E+000,0.000000E+000,2.653965E+001,7.311115E+000,5.313628E+001,8.797213E+000
2,Cl,2.101163E+001,0.000000E+000,3.024978E+000,7.596339E+001,0.000000E+000,0.000000E+000
2,K,1.659258E+001,1.298923E+000,1.733686E+001,4.450148E+000,3.597985E+001,2.434164E+001
2,Ca,3.171137E+001,5.196409E+000,4.667646E+001,9.138325E+000,0.000000E+000,7.277432E+000
2,Ti,5.199562E+001,2.907249E+000,3.332736E+001,2.720885E+000,3.731950E-001,8.675688E+000
2,V,2.472836E+001,7.918301E-001,3.370596E+001,8.373312E+000,1.210094E+001,2.029961E+001
2,Mn,4.987675E+001,0.000000E+000,1.715636E+001,0.000000E+000,1.148831E+001,2.147857E+001
