
Factor Contributions (avg = 1) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
17,11/14/06 02:25,6.696900E-001,1.683800E+000,2.741700E-001,8.828700E-001,1.032700E+000,8.697600E-001
17,11/16/06 03:20,1.116400E+000,1.480600E+000,3.717600E-001,1.116200E+000,8.652300E-001,1.367000E+000
17,11/18/06 03:18,7.507500E-001,2.209900E+000,5.925200E-001,1.583900E+000,1.102300E+000,1.044600E+000
17,11/20/06 02:28,8.928100E-001,3.243000E+000,3.851100E-001,1.516300E+000,7.859900E-001,7.974900E-001
17,11/22/06 02:36,1.011700E+000,1.422500E+000,6.061700E-001,1.308900E+000,1.027900E+000,9.194400E-001
17,11/24/06 02:30,6.997400E-001,7.740400E-001,5.170500E-001,1.704500E-003,1.163900E+000,6.565500E-001
17,11/26/06 02:31,4.591900E-001,7.895500E-001,3.789800E-001,1.351000E-001,1.263300E+000,6.626100E-001
17,11/28/06 02:26,8.749500E-001,1.009300E+000,8.750600E-002,1.162800E+000,1.088600E+000,1.311300E+000
17,11/30/06 02:31,9.687000E-001,9.293100E-001,3.163100E-001,3.993500E-001,1.444200E-001,9.607300E-001
17,12/02/06 02:40,1.029300E+000,9.378500E-001,5.624400E-001,7.974700E-001,1.338000E+000,1.784400E+000
17,12/04/06 02:53,1.497300E+000,1.118800E+000,3.167100E-001,1.590100E+000,1.202700E+000,1.487300E+000
17,12/06/06 02:55,8.797700E-001,2.064400E+000,3.215800E-002,8.352900E-001,1.526900E+000,1.185700E+000
17,12/08/06 02:45,1.473500E+000,1.452000E+000,-2.000000E-003,8.191100E-001,4.326400E-001,1.080600E+000
17,12/10/06 02:48,1.713200E-001,1.944100E+000,1.625600E+000,4.126700E+000,3.727900E+000,2.903200E+000
17,12/12/06 02:49,5.976500E-001,1.648300E+000,6.324600E-001,1.585200E+000,9.907300E-001,1.090300E+000
17,12/14/06 02:50,6.138600E-001,1.588900E+000,6.720600E-001,1.338300E+000,1.150500E+000,9.065800E-001
17,12/16/06 02:39,9.363000E-001,1.060100E+000,5.381900E-001,8.988600E-001,9.844800E-001,1.299200E+000
17,12/18/06 02:36,4.830500E-001,1.198800E+000,4.193200E-001,1.801600E-001,1.361800E+000,1.408200E+000
17,12/20/06 02:55,1.072300E+000,1.210500E+000,2.783400E-001,8.140600E-001,1.418900E+000,1.690600E+000
17,12/22/06 02:57,9.037100E-001,9.217400E-001,1.460000E-001,-1.904400E-002,1.268400E+000,9.348200E-001
17,12/24/06 04:00,3.122200E-001,1.127800E+000,7.738600E-001,-1.969300E-001,1.523300E+000,1.115800E+000
17,12/26/06 02:52,2.520100E-001,1.573400E+000,4.174300E-001,-1.801200E-001,1.357500E+000,2.797200E-001
17,12/28/06 02:53,4.328300E-001,1.031800E+000,4.645200E-001,4.504700E-001,1.567100E+000,1.311600E+000
17,12/30/06 03:04,1.770400E+000,6.272400E-001,3.997200E-001,8.037600E-001,1.273100E+000,2.596400E+000
17,01/01/07 03:27,5.625400E+000,2.433900E+000,-1.193400E-001,2.375600E-001,1.786300E+000,1.295000E+000
17,01/03/07 03:25,1.389800E+001,1.624200E+000,-6.897400E-002,8.499400E-001,1.446800E+000,5.908200E-001
17,01/05/07 02:58,7.690600E+000,-2.000000E-001,-1.013500E-001,-1.493400E-001,1.099100E+000,-2.000000E-001
17,01/07/07 02:53,9.044900E+000,3.348500E+000,-1.798500E-001,1.129600E+000,2.146000E+000,2.551400E+000
17,01/09/07 02:25,1.076100E+001,1.544300E+000,-2.000000E-001,2.435800E+000,3.522800E+000,1.916300E+000
17,01/11/07 02:28,8.523500E+000,4.872600E+000,-3.997600E-002,3.377900E+000,2.870200E+000,3.315400E+000
17,01/13/07 02:51,8.825300E+000,2.636600E+000,-6.989800E-002,2.157500E+000,1.726100E+000,-2.000000E-001
17,01/17/07 02:40,8.216500E+000,4.298700E-001,-1.115000E-001,-1.787400E-001,2.394000E+000,2.396100E+000
17,01/19/07 03:06,4.610300E+000,3.337000E+000,-2.793200E-002,-2.000000E-001,-2.000000E-001,5.933000E-001
17,01/21/07 02:59,1.146700E+001,3.072500E+000,-1.649600E-001,-2.000000E-001,2.150000E+000,1.948600E+000
17,01/23/07 05:16,2.802900E+000,3.756200E+000,3.756600E-001,9.613000E-001,3.707100E-001,-2.000000E-001
17,01/25/07 03:02,1.216700E+000,3.214800E+000,6.160700E-001,9.691200E-001,1.160800E+000,8.229600E-001
17,01/27/07 02:55,1.803200E-001,3.433500E+000,5.880800E-001,1.166700E+000,1.193700E+000,2.450200E-001
17,01/29/07 03:00,3.964200E-002,2.881700E+000,-5.612700E-002,4.251300E-001,2.498700E+000,1.566000E+000
17,01/31/07 02:59,3.614200E-001,2.183000E+000,8.723700E-001,8.754600E-001,1.562500E+000,1.563900E+000
17,02/02/07 02:41,3.773500E-001,1.696800E+000,4.050700E-001,1.314900E+000,1.526400E+000,1.686300E+000
17,02/04/07 02:45,3.242300E-001,2.236900E+000,8.463900E-001,1.374000E+000,1.196400E+000,1.767900E+000
17,02/06/07 02:47,4.081800E-002,9.878700E-001,9.082100E-001,5.815600E-001,1.197100E+000,9.640500E-001
17,02/08/07 02:47,-8.712500E-002,1.117500E+000,1.474900E+000,1.144100E+000,9.174900E-001,1.182400E+000
17,02/10/07 02:43,4.236100E-001,6.966600E-001,8.315100E-001,2.033000E-001,1.495900E+000,1.256200E+000
17,02/12/07 02:42,2.560900E-001,4.713800E-001,6.848700E-001,1.160500E+000,1.034100E+000,1.103100E+000
17,02/14/07 02:34,8.943300E-001,1.038100E+000,6.138200E-001,8.742600E-001,1.155100E+000,1.400800E+000
17,02/16/07 02:20,2.633900E-001,2.158300E+000,4.481300E-001,1.136600E+000,9.226100E-001,1.004700E+000
17,02/18/07 02:08,3.221700E-001,2.016700E+000,5.577700E-001,1.230600E+000,2.098000E+000,1.956000E+000
17,02/20/07 02:12,1.924900E-002,1.506900E+000,1.441900E+000,9.032100E-001,7.329100E-001,9.329700E-001
17,02/22/07 02:11,-1.275400E-001,1.437500E+000,1.783200E+000,1.397900E+000,9.443000E-001,6.684200E-001
17,02/24/07 02:17,7.315700E-002,2.231000E+000,8.325500E-001,1.516100E+000,1.808700E+000,1.057800E+000
17,02/26/07 00:17,-1.711500E-001,2.962200E+000,8.100900E-001,2.400600E+000,9.874400E-001,1.323200E+000
17,02/28/07 00:09,-2.000000E-001,3.341100E+000,8.894600E-001,2.109900E+000,1.312000E+000,1.209100E+000
17,03/02/07 00:06,1.508000E-001,2.950700E+000,4.221800E-001,1.904300E+000,1.432200E+000,1.498000E+000
17,03/04/07 00:26,9.420600E-001,2.742400E+000,3.051200E-001,1.875200E+000,9.029400E-001,2.280800E+000
17,03/06/07 00:33,9.862400E-001,3.508200E+000,2.287700E-001,1.419400E+000,9.784000E-001,1.756900E+000
17,03/08/07 00:13,1.023300E-001,3.276000E+000,8.646200E-001,1.324000E+000,1.198100E+000,1.894100E+000
17,03/10/07 00:11,5.372000E-001,2.461800E+000,8.187000E-001,1.323400E+000,1.934100E+000,1.520800E+000
17,03/12/07 00:18,-1.260800E-001,2.593700E+000,1.001800E+000,1.230300E+000,1.165100E+000,1.138300E+000
