
Factor Profiles (conc. of species) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
17,mass,1.858700E+001,1.966800E+001,5.570700E+000,1.959900E+000,6.749700E+000,5.037400E+000
17,Na,1.034800E-002,0.000000E+000,5.174500E-001,0.000000E+000,0.000000E+000,0.000000E+000
17,Mg,7.712800E-002,1.849500E-001,3.310500E-002,4.291500E-002,0.000000E+000,2.566700E-002
17,Al,4.775300E-001,1.190200E+000,4.079700E-002,7.207800E-002,1.725900E-001,8.447500E-001
17,Si,1.671700E+000,2.862300E+000,1.490800E-001,2.354400E-001,3.958400E-001,1.297500E+000
17,P,1.414900E-003,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,2.722400E-002
17,S,0.000000E+000,1.341000E-002,5.124400E-002,1.214600E-001,0.000000E+000,5.208000E-002
17,Cl,0.000000E+000,2.288800E-001,1.041700E+000,1.337200E-001,3.452500E-001,0.000000E+000
17,K,1.276300E-001,1.699100E-001,0.000000E+000,1.587900E-001,9.401400E-003,1.091800E-001
17,Ca,5.628400E-001,6.991900E-001,1.424800E-001,2.021100E-001,5.288100E-001,3.048200E-002
17,Ti,6.406600E-002,9.892900E-002,4.008000E-003,9.339300E-003,2.752700E-002,4.186800E-002
17,V,1.451600E-003,1.338800E-003,7.029700E-005,7.160500E-005,7.468100E-005,8.229300E-004
17,Mn,1.323900E-002,1.445300E-002,0.000000E+000,2.605800E-003,3.501800E-003,0.000000E+000
17,Fe,8.088500E-001,7.713100E-001,1.082200E-001,0.000000E+000,1.598500E-001,4.887100E-001
17,Zn,2.728200E-003,0.000000E+000,1.182400E-005,8.212800E-003,1.330800E-002,1.643000E-003
17,Br,6.422100E-004,0.000000E+000,1.218900E-003,3.789200E-003,0.000000E+000,0.000000E+000
17,Pb,1.189800E-003,1.065400E-003,1.424500E-004,2.239200E-003,2.071400E-003,1.127900E-003

Factor Profiles (% of species sum) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
17,mass,3.228440E+001,3.416203E+001,9.675941E+000,3.404218E+000,1.172379E+001,8.749633E+000
17,Na,1.960599E+000,0.000000E+000,9.803940E+001,0.000000E+000,0.000000E+000,0.000000E+000
17,Mg,2.120270E+001,5.084327E+001,9.100656E+000,1.179745E+001,0.000000E+000,7.055929E+000
17,Al,1.706717E+001,4.253836E+001,1.458106E+000,2.576105E+000,6.168456E+000,3.019180E+001
17,Si,2.528335E+001,4.329039E+001,2.254736E+000,3.560874E+000,5.986818E+000,1.962383E+001
17,P,4.940483E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,9.505952E+001
17,S,0.000000E+000,5.629865E+000,2.151356E+001,5.099205E+001,0.000000E+000,2.186453E+001
17,Cl,0.000000E+000,1.308222E+001,5.954102E+001,7.643108E+000,1.973365E+001,0.000000E+000
17,K,2.219994E+001,2.955412E+001,0.000000E+000,2.761991E+001,1.635278E+000,1.899075E+001
17,Ca,2.598628E+001,3.228155E+001,6.578291E+000,9.331404E+000,2.441512E+001,1.407352E+000
17,Ti,2.607093E+001,4.025803E+001,1.631010E+000,3.800522E+000,1.120180E+001,1.703771E+001
17,V,3.790165E+001,3.495641E+001,1.835472E+000,1.869625E+000,1.949940E+000,2.148691E+001
17,Mn,3.916910E+001,4.276086E+001,0.000000E+000,7.709558E+000,1.036048E+001,0.000000E+000
17,Fe,3.461150E+001,3.300513E+001,4.630842E+000,0.000000E+000,6.840141E+000,2.091239E+001
17,Zn,1.053204E+001,0.000000E+000,4.564577E-002,3.170497E+001,5.137465E+001,6.342693E+000
17,Br,1.136592E+001,0.000000E+000,2.157227E+001,6.706181E+001,0.000000E+000,0.000000E+000
17,Pb,1.518348E+001,1.359596E+001,1.817857E+000,2.857526E+001,2.643390E+001,1.439355E+001

Factor Profiles (% of total variable) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
17,mass,*,*,*,*,*,*
17,Na,5.567332E-002,0.000000E+000,9.288779E+000,0.000000E+000,0.000000E+000,0.000000E+000
17,Mg,4.149567E-001,9.403600E-001,5.942700E-001,2.189652E+000,0.000000E+000,5.095287E-001
17,Al,2.569161E+000,6.051454E+000,7.323496E-001,3.677637E+000,2.557003E+000,1.676956E+001
17,Si,8.993920E+000,1.455308E+001,2.676145E+000,1.201286E+001,5.864557E+000,2.575734E+001
17,P,7.612310E-003,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.404375E-001
17,S,0.000000E+000,6.818182E-002,9.198844E-001,6.197255E+000,0.000000E+000,1.033867E+000
17,Cl,0.000000E+000,1.163718E+000,1.869963E+001,6.822797E+000,5.115042E+000,0.000000E+000
17,K,6.866627E-001,8.638906E-001,0.000000E+000,8.101944E+000,1.392862E-001,2.167388E+000
17,Ca,3.028138E+000,3.554962E+000,2.557668E+000,1.031226E+001,7.834570E+000,6.051137E-001
17,Ti,3.446818E-001,5.029947E-001,7.194787E-002,4.765192E-001,4.078255E-001,8.311430E-001
17,V,7.809760E-003,6.806996E-003,1.261906E-003,3.653503E-003,1.106434E-003,1.633640E-002
17,Mn,7.122720E-002,7.348485E-002,0.000000E+000,1.329558E-001,5.188083E-002,0.000000E+000
17,Fe,4.351697E+000,3.921649E+000,1.942664E+000,0.000000E+000,2.368253E+000,9.701632E+000
17,Zn,1.467800E-002,0.000000E+000,2.122534E-004,4.190418E-001,1.971643E-001,3.261603E-002
17,Br,3.455157E-003,0.000000E+000,2.188055E-002,1.933364E-001,0.000000E+000,0.000000E+000
17,Pb,6.401248E-003,5.416921E-003,2.557129E-003,1.142507E-001,3.068877E-002,2.239052E-002
