
Factor Contributions (avg = 1) from Base Run #13 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
13,11/14/06 02:25,8.110100E-002,2.262000E+000,1.272400E+000,3.453300E-001,1.037500E+000,1.181000E+000
13,11/16/06 03:20,-5.202100E-003,2.094000E+000,1.795600E+000,8.212400E-001,1.094900E+000,1.709900E+000
13,11/18/06 03:18,4.868900E-001,3.145800E+000,6.516200E-001,6.238500E-001,1.507000E+000,1.845100E+000
13,11/20/06 02:28,2.893800E-001,4.591200E+000,4.364200E-001,2.445200E-001,1.257800E+000,1.611900E+000
13,11/22/06 02:36,3.506600E-001,2.240700E+000,1.337600E+000,1.329000E+000,1.174600E+000,8.066800E-001
13,11/24/06 02:30,2.391500E-001,1.306500E+000,1.509600E+000,1.139000E-001,7.529700E-001,2.272000E-002
13,11/26/06 02:31,1.754500E-001,1.191200E+000,1.389800E+000,3.039200E-001,8.301400E-001,4.532300E-002
13,11/28/06 02:26,-2.000000E-001,1.517900E+000,1.584900E+000,1.069400E+000,1.230700E+000,1.399200E+000
13,11/30/06 02:31,-1.337700E-001,1.120200E+000,2.021900E+000,7.705400E-001,1.616800E-001,8.134800E-001
13,02/02/07 02:41,2.130100E-001,1.983400E+000,1.500800E+000,4.817900E-001,1.709900E+000,2.375800E+000
13,02/04/07 02:45,6.034500E-001,2.486200E+000,1.562900E+000,6.787900E-001,1.489400E+000,2.348200E+000
13,02/06/07 02:47,7.652300E-001,1.049300E+000,1.159400E+000,4.788000E-001,1.039800E+000,7.777600E-001
13,02/08/07 02:47,1.291800E+000,8.460100E-001,1.290100E+000,1.234700E+000,9.836600E-001,1.265200E+000
13,02/10/07 02:43,5.129900E-001,8.399900E-001,1.964600E+000,2.995900E-001,1.076700E+000,7.523200E-001
13,02/12/07 02:42,4.968900E-001,3.945200E-001,1.417900E+000,1.673000E+000,1.019500E+000,8.702200E-001
13,02/14/07 02:34,2.654500E-001,1.523500E+000,1.829700E+000,7.849300E-001,1.183200E+000,1.347900E+000
13,02/16/07 02:20,3.103800E-001,2.555400E+000,1.140100E+000,6.737400E-001,1.058400E+000,1.174300E+000
13,02/18/07 02:08,2.707500E-001,2.106500E+000,2.475900E+000,6.058500E-001,1.892400E+000,2.257500E+000
13,02/20/07 02:12,1.271900E+000,1.407000E+000,1.204800E+000,7.635400E-001,7.545700E-001,1.127500E+000
13,02/22/07 02:11,1.761300E+000,1.651000E+000,2.828800E-001,1.239400E+000,1.200400E+000,7.430200E-001
13,02/24/07 02:17,8.264900E-001,2.878000E+000,4.033400E-001,4.149500E-001,2.177200E+000,1.746200E+000
13,02/26/07 00:17,8.344400E-001,3.103400E+000,4.427800E-001,1.242100E+000,1.669300E+000,2.884500E+000
13,02/28/07 00:09,9.637300E-001,3.537500E+000,4.546900E-001,7.131700E-001,1.716600E+000,2.988800E+000
13,03/02/07 00:06,3.675200E-001,3.305000E+000,1.136000E+000,7.031200E-001,1.761800E+000,2.698100E+000
13,03/04/07 00:26,-1.239500E-001,3.054100E+000,2.395200E+000,1.045600E+000,1.479500E+000,3.442000E+000
13,03/06/07 00:33,-6.997300E-002,4.737400E+000,1.349500E+000,-1.939700E-002,1.476000E+000,2.492300E+000
13,03/08/07 00:13,5.904900E-001,3.364000E+000,2.032100E+000,4.158000E-001,1.370300E+000,2.521400E+000
13,03/10/07 00:11,5.856300E-001,3.146000E+000,1.830000E+000,7.333400E-001,1.838700E+000,1.546200E+000
13,03/12/07 00:18,8.852000E-001,2.749000E+000,1.270600E+000,7.770900E-001,1.205000E+000,1.237400E+000
13,03/16/07 00:10,3.897900E-001,1.070900E+000,1.478400E+000,6.976400E-001,9.063700E-001,1.116500E+000
13,03/18/07 00:15,8.844100E-001,1.338600E+000,1.113600E+000,1.103700E+000,1.377200E+000,1.628400E+000
13,03/20/07 00:26,1.082400E+000,2.917700E+000,9.389900E-001,1.429600E+000,1.376200E+000,1.570200E+000
13,03/22/07 00:21,5.700400E-001,2.005100E+000,1.621900E+000,5.847900E-001,1.276400E+000,1.702100E+000
13,03/24/07 00:07,5.692200E-001,1.018700E+000,1.695000E+000,1.061100E+000,1.813500E+000,1.415700E+000
13,03/26/07 00:47,4.337500E-001,3.529100E-001,1.640900E+000,1.334000E+000,2.434400E+000,1.492100E+000
13,03/28/07 00:47,6.313300E-001,3.006000E-001,1.579700E+000,-1.322400E-002,7.459900E-001,1.024500E+000
13,03/30/07 00:36,8.559500E-001,8.698400E-001,1.135600E+000,1.700900E+000,1.576200E+000,1.388100E+000
13,04/01/07 00:27,9.739200E-001,3.439200E-001,9.983200E-001,8.630500E-001,1.175700E+000,1.405800E+000
13,04/03/07 00:30,7.264000E-001,1.105600E-001,8.206000E-001,1.822100E+000,1.109100E+000,1.199900E+000
13,04/05/07 00:29,6.568900E-001,4.554300E-001,8.602500E-001,2.722300E-001,7.107600E-001,1.029700E+000
13,04/07/07 00:12,5.150600E-001,3.280700E-001,7.957100E-001,2.640300E-001,3.957300E-001,7.697300E-001
13,04/09/07 00:30,5.289500E-001,2.715800E-001,7.579200E-001,2.209600E-001,4.275700E-001,4.813000E-001
13,04/11/07 00:36,7.065400E-001,5.501200E-001,1.013100E+000,5.474700E-001,9.837100E-001,1.244800E+000
13,04/13/07 00:28,1.063300E+000,1.167100E+000,7.578500E-001,9.528000E-001,1.224800E+000,1.098600E+000
13,04/15/07 00:33,7.484100E-001,8.846700E-001,1.040000E+000,1.011600E+000,1.152300E+000,1.205200E+000
13,04/17/07 00:38,1.057200E+000,1.037000E+000,9.177600E-001,8.743000E-001,1.182000E+000,1.186500E+000
13,04/19/07 00:42,7.958200E-001,1.106100E+000,1.535500E+000,1.343500E+000,1.916100E+000,1.010200E+000
13,04/21/07 00:40,5.069900E-001,7.866700E-001,1.415600E+000,9.894700E-001,1.162100E+000,8.547700E-001
13,04/23/07 00:42,3.622100E-001,5.986800E-001,1.703600E+000,3.441600E-001,8.485600E-001,9.551300E-001
13,04/25/07 00:54,2.028300E-001,5.721800E-001,2.539700E+000,2.010200E+000,2.102500E+000,-2.000000E-001
13,04/27/07 00:45,1.450500E+000,3.580800E-001,3.918100E-001,1.211900E+000,7.219500E-001,1.326800E+000
13,04/29/07 00:52,5.730300E-001,4.868300E-001,1.682900E+000,1.243800E+000,1.155700E+000,7.783700E-001
13,05/01/07 00:57,1.263200E-001,3.540000E-001,2.013600E+000,5.228300E-001,9.877600E-001,1.189700E+000
13,05/03/07 01:03,1.793400E-001,6.955000E-001,1.598300E+000,9.156900E-001,1.080500E+000,1.134000E+000
13,05/05/07 00:59,4.321200E-001,4.999700E-001,1.793700E+000,4.033700E-001,1.220200E+000,8.901200E-001
13,05/07/07 00:57,6.205600E-001,7.122500E-001,1.884200E+000,1.425400E+000,1.404500E+000,9.833200E-001
13,05/09/07 00:57,2.236600E-001,9.905000E-001,2.766500E+000,5.449200E-001,1.446300E+000,1.829700E+000
13,05/11/07 01:03,3.228500E-001,2.985400E-001,1.010300E+000,4.673900E-001,7.009900E-001,5.878500E-001
13,05/13/07 01:04,9.224400E-001,5.626800E-001,8.415500E-001,9.166100E-001,8.433300E-001,1.138500E+000
13,05/15/07 01:10,6.410100E-001,6.665500E-001,6.414600E-001,5.398800E-001,5.775200E-001,1.058300E+000
13,05/17/07 01:01,1.008100E+000,4.487100E-001,1.432400E+000,8.045000E-001,3.629700E-002,1.326700E+000
13,05/19/07 01:01,7.400600E-001,2.151000E-001,6.781700E-001,4.384900E+000,1.461100E+000,3.720200E+000
13,05/21/07 00:47,2.573100E-001,2.647900E-001,7.237200E-001,8.511500E-001,1.580800E+000,1.574400E+000
13,05/23/07 01:28,2.082800E+000,5.098900E-001,1.573600E-001,6.006500E-001,8.890300E-001,1.107100E+000
13,05/25/07 01:33,1.543700E+000,4.864200E-001,1.178500E+000,1.011100E+000,1.002400E+000,1.408200E+000
13,05/27/07 01:29,8.935700E-001,3.382400E-001,1.027000E+000,3.967600E-001,9.983100E-001,1.278400E+000
13,05/29/07 02:04,5.854000E-001,-1.784300E-002,1.099400E+000,7.929400E-001,7.016000E-001,7.997600E-001
13,05/31/07 02:01,6.207200E-001,5.275300E-001,8.209600E-001,1.090900E+000,1.064500E+000,1.185300E+000
13,06/02/07 01:20,9.686000E-001,1.209200E-001,3.499600E-001,8.680100E-001,3.131500E-001,4.801300E-001
13,06/04/07 00:54,1.337200E+000,6.204000E-002,1.852100E-002,5.494600E-001,6.879500E-002,3.074800E-001
13,06/06/07 00:44,1.359200E+000,4.354900E-002,4.600600E-001,7.184600E-001,6.589500E-001,5.863900E-001
13,06/08/07 00:33,6.362300E-001,1.523500E-001,8.315900E-001,-2.000000E-001,2.444600E-001,3.941400E-001
13,06/10/07 00:25,1.765400E+000,2.344500E-001,3.546100E-001,1.452900E+000,8.431000E-001,6.140200E-001
13,06/12/07 00:47,1.131200E+000,1.357700E-001,7.505300E-001,5.328300E-001,6.334400E-001,7.771300E-001
13,06/14/07 01:15,6.393400E-001,8.916600E-002,9.588500E-001,8.227900E-001,7.074100E-001,1.135700E+000
13,06/16/07 01:14,1.632400E+000,4.387700E-001,4.167900E-001,8.992600E-001,8.449100E-001,5.707300E-001
13,06/18/07 01:21,2.591000E+000,4.940800E-001,3.537000E-001,1.115800E+000,7.276300E-001,4.335500E-001
13,06/22/07 01:10,2.254500E+000,-4.277100E-002,4.358500E-001,2.097900E+000,-2.000000E-001,1.517100E+000
13,06/24/07 01:38,2.137500E+000,3.836300E-001,-2.000000E-001,1.821500E+000,1.343600E+000,5.552200E-002
13,06/26/07 01:30,1.660500E+000,3.574300E-001,3.209300E-001,6.120700E-001,4.128800E-001,6.237100E-001
13,06/28/07 00:38,1.076100E+000,3.867500E-001,5.925400E-001,-4.158300E-002,3.680100E-001,-1.065400E-002
13,06/30/07 00:20,3.299100E+000,3.923300E-001,-9.109700E-002,3.249900E-001,5.940300E-001,6.727900E-001
13,07/02/07 01:02,2.596500E+000,2.018800E-001,4.589100E-001,1.213900E+000,-3.653600E-002,6.426500E-001
13,07/04/07 00:43,1.648300E+000,6.519400E-001,6.666500E-001,1.151100E+000,8.577900E-001,2.782000E-001
13,07/06/07 00:39,1.089400E+000,1.086300E-001,2.739700E-001,6.171800E-001,4.069600E-001,7.342800E-001
13,07/08/07 00:44,2.648400E+000,4.884300E-001,3.302500E-001,3.778900E-001,7.863900E-001,8.038800E-001
13,07/12/07 00:41,1.032900E+000,6.054400E-001,9.322800E-001,9.613700E-001,8.256300E-001,6.254100E-001
13,07/14/07 00:40,3.458400E+000,4.271700E-001,-9.276400E-002,2.710500E+000,1.036100E+000,9.362900E-001
13,07/16/07 00:42,2.374300E+000,4.369100E-001,4.257500E-001,1.453000E+000,9.295800E-001,8.220100E-001
13,07/18/07 00:40,1.848600E+000,5.118500E-001,-2.000000E-001,3.460300E-001,4.459600E-001,9.379900E-002
13,07/20/07 02:14,1.448900E+000,3.201400E-002,-2.000000E-001,2.651400E+000,9.852800E-001,1.211400E+000
13,07/24/07 00:41,1.436800E+000,2.506300E-001,4.147400E-001,5.612400E-001,6.490600E-001,4.302600E-001
13,07/26/07 00:44,6.962900E-001,2.274400E-001,1.129800E-002,7.185400E-001,2.829000E-001,-1.398900E-001
13,07/28/07 00:41,3.284500E+000,2.507300E-001,-1.725800E-001,1.315600E+000,5.855600E-001,7.365800E-001
13,07/30/07 00:40,2.753700E+000,4.622300E-001,6.393300E-001,1.367100E+000,8.750000E-001,3.355000E-002
13,08/01/07 00:45,1.519100E+000,1.740500E-001,1.516100E+000,1.533000E+000,1.019600E+000,5.302500E-001
13,08/03/07 00:44,1.698900E+000,5.580900E-001,3.051200E-001,1.242500E+000,7.918700E-001,1.592900E-001
13,08/05/07 00:45,2.637300E+000,3.627200E-001,2.290300E-001,2.402100E+000,9.620200E-001,1.114400E-001
