
Factor Profiles (conc. of species) from Base Run #13 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
13,mass,6.261600E+000,1.541800E+001,1.050800E+001,2.099300E+000,2.668000E+000,4.995200E+000
13,Na,5.352200E-001,0.000000E+000,5.157500E-002,0.000000E+000,0.000000E+000,2.773900E-002
13,Mg,3.859100E-002,1.443900E-001,9.586900E-003,1.069400E-002,8.523500E-003,7.037600E-002
13,Al,3.328300E-002,9.870200E-001,4.891200E-001,1.146000E-001,1.643600E-001,3.833000E-001
13,Si,1.755200E-001,2.339300E+000,9.889200E-001,2.550500E-001,2.579100E-001,8.621500E-001
13,P,0.000000E+000,0.000000E+000,1.475200E-002,3.855800E-003,0.000000E+000,7.263900E-003
13,S,5.170300E-002,2.732200E-002,0.000000E+000,7.358200E-002,1.636800E-002,7.216900E-002
13,Cl,1.078200E+000,1.737100E-001,2.739800E-001,0.000000E+000,3.085800E-001,0.000000E+000
13,K,6.556400E-003,1.574900E-001,2.510000E-002,9.588900E-002,3.333700E-002,1.325100E-001
13,Ca,1.574300E-001,6.321600E-001,4.672300E-001,1.988000E-001,1.866200E-001,0.000000E+000
13,Ti,5.063300E-003,8.165400E-002,4.671800E-002,1.426200E-002,1.026600E-002,2.140900E-002
13,V,1.927500E-004,1.059100E-003,5.833200E-004,0.000000E+000,5.424200E-005,7.234000E-004
13,Mn,5.694600E-004,1.171600E-002,4.423900E-003,2.007600E-003,0.000000E+000,3.480100E-003
13,Fe,1.459100E-001,5.853500E-001,4.120900E-001,0.000000E+000,1.885600E-001,3.181500E-001
13,Zn,0.000000E+000,0.000000E+000,0.000000E+000,4.129800E-004,2.213000E-002,0.000000E+000
13,Br,8.724300E-004,1.073900E-003,0.000000E+000,3.653700E-003,0.000000E+000,0.000000E+000
13,Pb,0.000000E+000,1.630400E-003,1.128900E-003,1.921200E-003,1.858600E-003,4.439000E-005

Factor Profiles (% of species sum) from Base Run #13 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
13,mass,1.492631E+001,3.675319E+001,2.504881E+001,5.004279E+000,6.359937E+000,1.190748E+001
13,Na,8.709364E+001,0.000000E+000,8.392538E+000,0.000000E+000,0.000000E+000,4.513827E+000
13,Mg,1.367692E+001,5.117284E+001,3.397665E+000,3.790029E+000,3.020789E+000,2.494175E+001
13,Al,1.532590E+000,4.544954E+001,2.252262E+001,5.277013E+000,7.568324E+000,1.764991E+001
13,Si,3.597569E+000,4.794777E+001,2.026953E+001,5.227666E+000,5.286287E+000,1.767117E+001
13,P,0.000000E+000,0.000000E+000,5.701983E+001,1.490354E+001,0.000000E+000,2.807662E+001
13,S,2.144072E+001,1.133016E+001,0.000000E+000,3.051372E+001,6.787645E+000,2.992776E+001
13,Cl,5.877447E+001,9.469220E+000,1.493510E+001,0.000000E+000,1.682121E+001,0.000000E+000
13,K,1.454126E+000,3.492929E+001,5.566862E+000,2.126696E+001,7.393724E+000,2.938904E+001
13,Ca,9.586297E+000,3.849376E+001,2.845078E+001,1.210542E+001,1.136375E+001,0.000000E+000
13,Ti,2.822788E+000,4.552208E+001,2.604527E+001,7.951060E+000,5.723292E+000,1.193551E+001
13,V,7.377110E+000,4.053487E+001,2.232537E+001,0.000000E+000,2.076001E+000,2.768665E+001
13,Mn,2.565475E+000,5.278176E+001,1.993012E+001,9.044441E+000,0.000000E+000,1.567820E+001
13,Fe,8.842709E+000,3.547447E+001,2.497424E+001,0.000000E+000,1.142746E+001,1.928112E+001
13,Zn,0.000000E+000,0.000000E+000,0.000000E+000,1.831967E+000,9.816803E+001,0.000000E+000
13,Br,1.557902E+001,1.917668E+001,0.000000E+000,6.524429E+001,0.000000E+000,0.000000E+000
13,Pb,0.000000E+000,2.476498E+001,1.714744E+001,2.918209E+001,2.823123E+001,6.742625E-001

Factor Profiles (% of total variable) from Base Run #13 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
13,mass,*,*,*,*,*,*
13,Na,8.547655E+000,0.000000E+000,4.908165E-001,0.000000E+000,0.000000E+000,5.553131E-001
13,Mg,6.163121E-001,9.365028E-001,9.123430E-002,5.094079E-001,3.194715E-001,1.408872E+000
13,Al,5.315415E-001,6.401738E+000,4.654739E+000,5.458962E+000,6.160420E+000,7.673367E+000
13,Si,2.803118E+000,1.517253E+001,9.411116E+000,1.214929E+001,9.666792E+000,1.725957E+001
13,P,0.000000E+000,0.000000E+000,1.403883E-001,1.836707E-001,0.000000E+000,1.454176E-001
13,S,8.257155E-001,1.772085E-001,0.000000E+000,3.505073E+000,6.134933E-001,1.444767E+000
13,Cl,1.721924E+001,1.126670E+000,2.607347E+000,0.000000E+000,1.156597E+001,0.000000E+000
13,K,1.047081E-001,1.021468E+000,2.388656E-001,4.567666E+000,1.249513E+000,2.652747E+000
13,Ca,2.514214E+000,4.100142E+000,4.446422E+000,9.469823E+000,6.994752E+000,0.000000E+000
13,Ti,8.086272E-002,5.296018E-001,4.445946E-001,6.793693E-001,3.847826E-001,4.285915E-001
13,V,3.078287E-003,6.869244E-003,5.551199E-003,0.000000E+000,2.033059E-003,1.448190E-002
