
Residuals from Base Run #13 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
13,11/14/06 02:25,7.928000E+000,-5.422000E-002,-4.310000E-002,-3.807000E-001,6.611000E-001,-4.203000E-003,3.138000E-002,-1.081000E-002,-3.260000E-002,2.926000E-001,-2.681000E-002,1.724000E-003,6.816000E-004,3.207000E-002,-2.263000E-004,-1.558000E-003,-1.301000E-003
13,11/16/06 03:20,4.207000E+000,1.992000E-001,-2.145000E-002,-2.682000E-001,5.160000E-001,4.405000E-004,7.841000E-003,-5.816000E-002,1.398000E-003,2.774000E-001,-1.950000E-002,-1.552000E-003,2.665000E-003,9.200000E-002,7.916000E-004,-4.113000E-004,-3.135000E-003
13,11/18/06 03:18,-6.169000E+000,1.663000E-001,1.615000E-002,-2.598000E-001,4.421000E-001,5.936000E-004,2.665000E-004,-6.414000E-002,4.170000E-003,9.081000E-002,-1.538000E-002,-2.224000E-003,2.433000E-003,2.373000E-001,3.093000E-004,-4.491000E-004,1.565000E-003
13,11/20/06 02:28,-4.010000E+000,4.461000E-002,-4.987000E-002,-2.153000E-001,7.729000E-001,4.521000E-004,-1.078000E-002,-1.512000E-002,7.130000E-003,-8.224000E-002,-1.943000E-002,-5.477000E-005,2.888000E-003,2.500000E-001,2.538000E-004,5.248000E-004,-3.571000E-004
13,11/22/06 02:36,2.119000E+000,4.618000E-002,2.283000E-003,-2.834000E-001,6.220000E-002,-1.987000E-003,1.252000E-002,-2.811000E-002,-2.528000E-002,1.244000E-001,-1.859000E-002,1.074000E-003,1.513000E-003,1.470000E-001,9.882000E-005,-2.971000E-004,4.259000E-004
13,11/24/06 02:30,1.383000E+001,-8.086000E-002,-3.430000E-002,-2.286000E-001,7.273000E-002,-4.146000E-003,-4.353000E-003,1.270000E-002,2.340000E-002,5.570000E-002,-1.028000E-002,4.296000E-004,-2.370000E-003,2.733000E-001,-7.759000E-004,1.954000E-004,3.687000E-004
13,11/26/06 02:31,7.029000E+000,-7.935000E-003,-2.157000E-002,-1.077000E-001,-5.940000E-002,-4.150000E-003,1.437000E-002,-9.964000E-003,-1.244000E-002,5.482000E-002,-5.042000E-004,1.746000E-004,-8.445000E-004,1.443000E-001,-3.217000E-004,-4.117000E-004,-1.721000E-004
13,11/28/06 02:26,-4.495000E+000,7.140000E-003,-1.431000E-002,-1.417000E-001,-7.879000E-002,-1.837000E-003,-9.047000E-003,-3.550000E-003,1.888000E-002,2.560000E-002,-5.114000E-003,8.165000E-004,-8.676000E-004,1.801000E-001,-3.147000E-004,2.375000E-004,1.791000E-003
13,11/30/06 02:31,2.844000E+000,2.991000E-002,1.273000E-003,-1.464000E-001,-2.865000E-001,-3.073000E-003,-1.069000E-002,-5.354000E-003,3.680000E-002,9.680000E-002,-6.270000E-003,4.585000E-004,-8.278000E-004,1.742000E-001,-4.623000E-004,-3.787000E-004,3.209000E-003
13,02/02/07 02:41,-1.884000E+000,1.285000E-001,4.348000E-002,-4.585000E-002,1.277000E-001,1.585000E-003,3.797000E-003,-2.604000E-002,1.546000E-002,8.421000E-002,3.969000E-003,4.270000E-005,-9.247000E-004,-1.755000E-001,3.515000E-004,-1.110000E-003,1.377000E-003
13,02/04/07 02:45,-3.691000E+000,-7.108000E-003,-8.497000E-002,3.384000E-001,7.451000E-001,1.009000E-003,-4.027000E-002,5.100000E-002,2.743000E-002,-2.445000E-001,2.465000E-002,1.075000E-003,-1.022000E-003,-1.771000E-001,1.403000E-004,9.054000E-004,1.461000E-003
13,02/06/07 02:47,5.693000E-001,1.911000E-002,4.007000E-002,1.462000E-001,-1.224000E-001,5.441000E-004,-7.367000E-003,3.163000E-003,8.192000E-003,-2.629000E-002,1.769000E-002,-9.023000E-005,-1.593000E-003,-7.201000E-002,-1.239000E-004,9.436000E-006,5.104000E-004
13,02/08/07 02:47,-2.947000E+000,2.230000E-002,2.638000E-002,2.159000E-001,7.905000E-002,2.663000E-003,-7.614000E-003,5.959000E-002,2.640000E-002,-6.789000E-002,1.887000E-002,-1.342000E-003,-9.618000E-004,-1.684000E-001,-3.289000E-004,-7.527000E-004,2.465000E-003
13,02/10/07 02:43,3.524000E+000,3.656000E-002,2.299000E-003,9.313000E-002,-4.295000E-002,8.296000E-004,-1.910000E-002,6.344000E-003,1.534000E-002,-5.896000E-002,9.629000E-003,1.248000E-004,-8.288000E-004,-4.099000E-002,-2.880000E-005,3.661000E-004,1.300000E-003
13,02/12/07 02:42,-6.651000E-001,-1.918000E-001,-2.685000E-002,1.071000E-001,-1.423000E-004,-7.944000E-004,-7.730000E-003,1.231000E-001,1.002000E-002,-6.221000E-002,5.481000E-003,1.073000E-003,-8.928000E-004,-4.533000E-002,-6.940000E-004,1.409000E-003,-2.400000E-003
13,02/14/07 02:34,-8.074000E-002,2.082000E-002,1.975000E-002,-1.933000E-002,-4.020000E-001,-6.232000E-005,-1.836000E-002,-8.708000E-003,3.595000E-003,-5.273000E-002,6.736000E-003,1.852000E-003,-4.307000E-004,5.255000E-002,2.783000E-004,8.694000E-004,2.781000E-004
13,02/16/07 02:20,1.624000E+000,-8.312000E-002,-3.137000E-002,-4.157000E-002,-8.029000E-002,-3.685000E-004,-8.434000E-003,4.489000E-002,4.464000E-002,-1.079000E-001,1.091000E-002,-2.046000E-003,4.215000E-004,1.569000E-001,-7.361000E-004,-1.532000E-004,1.568000E-003
13,02/18/07 02:08,-4.773000E+000,-3.326000E-001,-1.822000E-001,-2.152000E-001,4.963000E-001,-5.545000E-003,1.155000E-002,1.400000E-001,6.417000E-002,2.863000E-002,1.688000E-002,1.045000E-003,-1.750000E-003,-1.581000E-001,-2.446000E-003,-1.485000E-003,-9.181000E-004
13,02/20/07 02:12,-5.018000E+000,-1.690000E-001,-6.605000E-002,8.685000E-002,-9.062000E-002,-7.893000E-004,2.095000E-002,1.513000E-001,2.684000E-002,1.207000E-002,1.740000E-002,-9.524000E-004,4.263000E-004,-1.498000E-001,-3.987000E-004,-1.226000E-003,-1.319000E-003
13,02/22/07 02:11,2.250000E-001,-1.304000E-001,-4.648000E-002,2.282000E-001,2.977000E-001,1.075000E-003,-1.615000E-003,2.323000E-001,-1.747000E-002,-1.524000E-001,8.384000E-003,-5.522000E-005,5.645000E-004,-1.134000E-001,2.022000E-004,6.070000E-004,-6.631000E-004
13,02/24/07 02:17,2.777000E+000,-9.248000E-003,-1.044000E-002,1.715000E-001,-6.395000E-002,6.701000E-004,-1.673000E-002,3.252000E-002,1.580000E-002,-1.143000E-001,3.806000E-003,-4.161000E-005,9.136000E-005,-6.139000E-003,1.488000E-005,4.511000E-004,3.929000E-004
