
Factor Profiles (conc. of species) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
17,mass,1.119900E+001,9.065200E+000,1.184400E+001,3.038600E+001,5.246900E-001,2.277900E+000
17,Na,1.063000E-001,0.000000E+000,0.000000E+000,0.000000E+000,3.568200E-002,1.100900E-001
17,Mg,0.000000E+000,0.000000E+000,2.294100E-001,1.689200E-001,1.353700E-002,1.966200E-002
17,Al,8.583200E-002,8.131900E-002,1.420700E+000,1.477500E+000,3.344600E-002,0.000000E+000
17,Si,1.068700E-001,1.759800E-001,3.353000E+000,3.174200E+000,5.442000E-002,2.846900E-002
17,P,0.000000E+000,1.493200E-002,2.749600E-003,6.291600E-003,7.787300E-005,2.255800E-003
17,S,1.638600E-002,4.898500E-001,0.000000E+000,5.895000E-002,5.521700E-002,1.714400E-001
17,Cl,0.000000E+000,0.000000E+000,0.000000E+000,1.756300E-001,0.000000E+000,4.268600E-001
17,K,2.987000E-001,3.873500E-001,1.904800E-001,4.455800E-001,4.717000E-002,8.577600E-002
17,Ca,0.000000E+000,1.460900E-001,8.354200E-002,1.022000E+000,0.000000E+000,2.647700E-002
17,Ti,3.823600E-003,9.071300E-003,7.205100E-002,1.153400E-001,9.134500E-004,7.764200E-004
17,V,6.018700E-004,4.918800E-004,8.523000E-004,2.073900E-003,3.379600E-005,1.189900E-004
17,Cr,1.129700E-003,1.054100E-004,6.185800E-004,1.931500E-003,6.257700E-005,0.000000E+000
17,Mn,2.920800E-003,1.326600E-003,1.122200E-002,1.602200E-002,0.000000E+000,1.713800E-006
17,Fe,6.836400E-002,9.474200E-002,5.754600E-001,1.045700E+000,9.726300E-004,0.000000E+000
17,Ni,2.919900E-003,0.000000E+000,0.000000E+000,4.829800E-004,7.536400E-005,0.000000E+000
17,Cu,2.095500E-003,1.099600E-003,1.012300E-004,2.898700E-003,7.956000E-004,1.454400E-003
17,Zn,1.324300E-002,6.963800E-003,1.119900E-003,1.000200E-002,2.152500E-003,2.989200E-003
17,Br,1.915000E-003,0.000000E+000,3.919400E-003,0.000000E+000,2.153900E-002,0.000000E+000
17,Rb,3.379300E-004,7.415900E-004,1.059600E-003,2.464600E-003,0.000000E+000,2.793200E-004
17,Sr,6.314400E-004,1.088100E-003,1.879400E-003,8.643400E-003,1.775800E-004,1.726900E-004
17,Zr,2.430600E-004,5.856800E-004,1.868800E-003,5.462300E-003,0.000000E+000,3.473100E-005
17,Pb,8.656100E-003,1.925300E-003,1.448400E-003,3.403000E-003,1.655300E-003,1.452100E-003
17,BC,2.669500E+000,2.572100E-001,4.125900E-001,0.000000E+000,0.000000E+000,0.000000E+000

Factor Profiles (% of species sum) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
17,mass,1.715092E+001,1.388307E+001,1.813872E+001,4.653521E+001,8.035464E-001,3.488533E+000
17,Na,4.217049E+001,0.000000E+000,0.000000E+000,0.000000E+000,1.415548E+001,4.367403E+001
17,Mg,0.000000E+000,0.000000E+000,5.316213E+001,3.914453E+001,3.136985E+000,4.556356E+000
17,Al,2.769849E+000,2.624212E+000,4.584682E+001,4.767979E+001,1.079322E+000,0.000000E+000
17,Si,1.550427E+000,2.553047E+000,4.864398E+001,4.605002E+001,7.895036E-001,4.130169E-001
17,P,0.000000E+000,5.676083E+001,1.045202E+001,2.391618E+001,2.960177E-001,8.574945E+000
17,S,2.069350E+000,6.186201E+001,0.000000E+000,7.444658E+000,6.973226E+000,2.165076E+001
17,Cl,0.000000E+000,0.000000E+000,0.000000E+000,2.915069E+001,0.000000E+000,7.084931E+001
17,K,2.052842E+001,2.662097E+001,1.309091E+001,3.062288E+001,3.241800E+000,5.895031E+000
17,Ca,0.000000E+000,1.143017E+001,6.536375E+000,7.996188E+001,0.000000E+000,2.071576E+000
17,Ti,1.893098E+000,4.491282E+000,3.567309E+001,5.710586E+001,4.522572E-001,3.844124E-001
17,V,1.442387E+001,1.178795E+001,2.042545E+001,4.970120E+001,8.099242E-001,2.851606E+000
17,Cr,2.935989E+001,2.739511E+000,1.607634E+001,5.019794E+001,1.626320E+000,0.000000E+000
17,Mn,9.274408E+000,4.212349E+000,3.563319E+001,5.087461E+001,0.000000E+000,5.441824E-003
17,Fe,3.829404E+000,5.306966E+000,3.223434E+001,5.857480E+001,5.448179E-002,0.000000E+000
17,Ni,8.394753E+001,0.000000E+000,0.000000E+000,1.388574E+001,2.166725E+000,0.000000E+000
17,Cu,2.481341E+001,1.302068E+001,1.198693E+000,3.432433E+001,9.420926E+000,1.722196E+001
17,Zn,3.631164E+001,1.909439E+001,3.070709E+000,2.742498E+001,5.902047E+000,8.196236E+000
17,Br,6.995842E+000,0.000000E+000,1.431828E+001,0.000000E+000,7.868587E+001,0.000000E+000
17,Rb,6.920484E+000,1.518706E+001,2.169960E+001,5.047266E+001,0.000000E+000,5.720207E+000
17,Sr,5.014369E+000,8.640782E+000,1.492463E+001,6.863867E+001,1.410192E+000,1.371360E+000
17,Zr,2.966110E+000,7.147171E+000,2.280534E+001,6.665755E+001,0.000000E+000,4.238294E-001
17,Pb,4.668828E+001,1.038446E+001,7.812213E+000,1.835471E+001,8.928167E+000,7.832170E+000
17,BC,7.994190E+001,7.702512E+000,1.235558E+001,0.000000E+000,0.000000E+000,0.000000E+000

Factor Profiles (% of total variable) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
17,mass,*,*,*,*,*,*
17,Na,9.491919E-001,0.000000E+000,0.000000E+000,0.000000E+000,6.800587E+000,4.832960E+000
17,Mg,0.000000E+000,0.000000E+000,1.936930E+000,5.559139E-001,2.580000E+000,8.631634E-001
17,Al,7.664255E-001,8.970459E-001,1.199510E+001,4.862437E+000,6.374431E+000,0.000000E+000
17,Si,9.542816E-001,1.941270E+000,2.830969E+001,1.044626E+001,1.037184E+001,1.249792E+000
17,P,0.000000E+000,1.647178E-001,2.321513E-002,2.070559E-002,1.484172E-002,9.902981E-002
17,S,1.463166E-001,5.403632E+000,0.000000E+000,1.940038E-001,1.052374E+001,7.526230E+000
17,Cl,0.000000E+000,0.000000E+000,0.000000E+000,5.779964E-001,0.000000E+000,1.873919E+001
17,K,2.667202E+000,4.272934E+000,1.608240E+000,1.466399E+000,8.990070E+000,3.765574E+000
17,Ca,0.000000E+000,1.611547E+000,7.053529E-001,3.363391E+000,0.000000E+000,1.162343E+000
17,Ti,3.414233E-002,1.000673E-001,6.083333E-001,3.795827E-001,1.740933E-001,3.408490E-002
17,V,5.374319E-003,5.426025E-003,7.196049E-003,6.825183E-003,6.441137E-003,5.223671E-003
17,Cr,1.008751E-002,1.162798E-003,5.222729E-003,6.356546E-003,1.192647E-002,0.000000E+000
17,Mn,2.608090E-002,1.463399E-002,9.474839E-002,5.272823E-002,0.000000E+000,7.523596E-005
17,Fe,6.104473E-001,1.045118E+000,4.858663E+000,3.441387E+000,1.853723E-001,0.000000E+000
17,Ni,2.607286E-002,0.000000E+000,0.000000E+000,1.589482E-003,1.436353E-002,0.000000E+000
17,Cu,1.871149E-002,1.212990E-002,8.546943E-004,9.539590E-003,1.516324E-001,6.384828E-002
17,Zn,1.182516E-001,7.681905E-002,9.455420E-003,3.291648E-002,4.102422E-001,1.312261E-001
17,Br,1.709974E-002,0.000000E+000,3.309186E-002,0.000000E+000,4.105091E+000,0.000000E+000
17,Rb,3.017502E-003,8.180625E-003,8.946302E-003,8.110972E-003,0.000000E+000,1.226217E-002
17,Sr,5.638361E-003,1.200304E-002,1.586795E-002,2.844534E-002,3.384475E-002,7.581105E-003
17,Zr,2.170372E-003,6.460751E-003,1.577845E-002,1.797637E-002,0.000000E+000,1.524694E-003
17,Pb,7.729351E-002,2.123836E-002,1.222898E-002,1.119924E-002,3.154815E-001,6.374731E-002
17,BC,2.383695E+001,2.837334E+000,3.483536E+000,0.000000E+000,0.000000E+000,0.000000E+000
