
Residuals from Base Run #17 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Zr,Pb,BC
17,11/12/06 03:20,-7.065000E+000,-2.398000E-001,1.442000E-001,1.127000E-001,1.832000E+000,9.433000E-003,3.254000E-002,1.057000E-003,-5.325000E-001,1.159000E-001,-4.832000E-002,1.028000E-003,-8.929000E-004,6.195000E-003,-3.007000E-001,9.254000E-004,-1.265000E-003,-1.021000E-002,7.785000E-005,-1.542000E-003,-5.641000E-004,-1.602000E-003,-1.835000E-003,2.470000E-001
17,11/12/06 06:43,-5.753000E+000,-1.277000E-001,2.202000E-001,1.535000E-001,2.250000E+000,6.209000E-003,3.638000E-002,1.088000E-003,-2.574000E-001,1.089000E-001,-3.613000E-002,-5.020000E-004,-4.054000E-004,5.145000E-004,-2.702000E-001,2.721000E-004,-2.995000E-003,-1.202000E-002,2.921000E-004,-2.077000E-004,1.253000E-003,-2.168000E-003,5.092000E-004,2.382000E-001
17,11/14/06 02:25,-1.594000E+001,3.991000E-002,2.710000E-001,2.350000E-002,2.649000E+000,6.053000E-003,3.361000E-002,-5.376000E-003,-4.796000E-001,2.390000E-001,-5.801000E-002,-2.716000E-004,-1.397000E-003,4.708000E-003,-2.645000E-001,4.575000E-004,2.962000E-003,-1.018000E-002,3.097000E-004,-1.644000E-003,1.373000E-003,-1.873000E-003,-2.919000E-003,2.365000E-001
17,11/14/06 03:18,-7.265000E+000,-1.892000E-001,2.797000E-001,8.635000E-002,2.554000E+000,-1.207000E-003,3.069000E-002,-3.606000E-004,-3.627000E-001,5.009000E-001,-4.023000E-002,-1.502000E-003,-1.760000E-003,2.912000E-003,-2.243000E-001,6.533000E-005,-1.971000E-003,-9.979000E-003,2.900000E-004,-1.551000E-003,3.063000E-003,-1.542000E-003,-7.764000E-004,2.249000E-001
17,11/16/06 03:20,-5.841000E-001,-1.775000E-001,1.630000E-001,-1.384000E-001,1.382000E+000,1.312000E-002,3.204000E-002,1.890000E-003,-4.054000E-001,1.180000E-001,-4.727000E-002,-6.084000E-006,-2.387000E-004,9.346000E-003,-2.374000E-001,-4.473000E-005,-1.361000E-003,-6.726000E-003,2.422000E-004,-9.944000E-004,-2.070000E-004,-1.554000E-003,2.784000E-003,2.222000E-001
17,11/16/06 04:08,-1.506000E+000,-2.057000E-001,1.906000E-001,-7.166000E-003,1.813000E+000,4.185000E-003,3.148000E-002,-9.342000E-004,-1.281000E-001,8.853000E-002,-3.873000E-002,-4.669000E-004,-8.518000E-004,2.682000E-003,-1.869000E-001,-5.506000E-004,3.263000E-003,-6.557000E-003,1.580000E-004,-1.561000E-003,-1.631000E-004,-1.089000E-003,1.858000E-003,2.498000E-001
17,11/18/06 03:18,1.485000E+000,-1.301000E-001,4.582000E-002,-1.833000E-001,6.943000E-001,1.018000E-003,4.192000E-002,-3.125000E-004,-4.455000E-001,5.837000E-002,-2.328000E-002,-2.763000E-003,-1.441000E-003,1.916000E-002,1.304000E-001,-5.996000E-004,1.955000E-004,-3.651000E-003,3.297000E-004,-1.753000E-003,6.659000E-005,-2.096000E-003,-5.545000E-003,4.207000E-001
17,11/18/06 04:01,-7.468000E-001,-8.615000E-002,9.734000E-002,-1.196000E-001,9.704000E-001,4.197000E-003,2.518000E-002,-2.903000E-003,-1.645000E-001,2.874000E-002,-2.098000E-002,-6.866000E-005,1.769000E-005,3.308000E-003,-7.874000E-002,-1.041000E-003,-1.152000E-004,7.935000E-003,-2.259000E-006,-1.191000E-003,1.043000E-004,-1.225000E-003,-1.169000E-003,8.534000E-002
17,11/20/06 02:28,8.291000E+000,-5.442000E-002,1.066000E-001,-1.235000E-001,1.046000E+000,9.039000E-003,2.249000E-002,9.395000E-005,-1.701000E-001,7.805000E-002,-2.970000E-002,-4.808000E-004,2.590000E-004,9.005000E-003,-1.623000E-001,-1.952000E-004,-1.808000E-003,-7.931000E-004,1.757000E-004,-8.889000E-004,-1.138000E-003,-1.062000E-003,-2.712000E-003,1.232000E-001
17,11/20/06 03:11,1.786000E+000,-1.016000E-001,1.208000E-001,-2.848000E-001,1.369000E+000,-1.247000E-002,3.428000E-002,-1.874000E-004,-1.322000E-001,1.098000E-001,-2.813000E-002,-9.785000E-004,9.428000E-004,4.999000E-003,-1.071000E-001,1.852000E-005,-2.713000E-003,-5.767000E-003,2.961000E-004,-2.718000E-004,-3.462000E-004,-6.943000E-004,-1.801000E-003,1.134000E-001
