**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 38.70700, 38.51900, 38.62175, 38.65800, 38.68750, 38.70700, 38.65150,  0.04539,  0.00117,  0.00117
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.38250,  0.38089,  0.38167,  0.38203,  0.38236,  0.38250,  0.38200,  0.00041,  0.00107,  0.00107
Al,  2.76100,  2.74940,  2.75498,  2.75755,  2.75995,  2.76100,  2.75738,  0.00294,  0.00107,  0.00107
Si,  5.76350,  5.73890,  5.75100,  5.75620,  5.76130,  5.76350,  5.75590,  0.00622,  0.00108,  0.00108
P,  0.00900,  0.00894,  0.00898,  0.00899,  0.00899,  0.00900,  0.00898,  0.00001,  0.00162,  0.00161
S,  0.07029,  0.06920,  0.06985,  0.07008,  0.07018,  0.07029,  0.07001,  0.00026,  0.00369,  0.00368
Cl,  0.19602,  0.19538,  0.19568,  0.19582,  0.19600,  0.19607,  0.19582,  0.00019,  0.00095,  0.00095
K,  0.58396,  0.58030,  0.58260,  0.58315,  0.58357,  0.58396,  0.58296,  0.00085,  0.00145,  0.00145
Ca,  0.94122,  0.93731,  0.93924,  0.94008,  0.94084,  0.94122,  0.93998,  0.00099,  0.00106,  0.00105
Ti,  0.17652,  0.17578,  0.17614,  0.17630,  0.17646,  0.17652,  0.17629,  0.00019,  0.00106,  0.00106
V,  0.00263,  0.00262,  0.00262,  0.00262,  0.00263,  0.00263,  0.00262,  0.00000,  0.00113,  0.00113
Cr,  0.00219,  0.00218,  0.00219,  0.00219,  0.00219,  0.00219,  0.00219,  0.00000,  0.00113,  0.00113
Mn,  0.02637,  0.02626,  0.02631,  0.02634,  0.02636,  0.02637,  0.02633,  0.00003,  0.00108,  0.00108
Fe,  1.54640,  1.53990,  1.54300,  1.54450,  1.54585,  1.54640,  1.54435,  0.00165,  0.00107,  0.00107
Ni,  0.00010,  0.00010,  0.00010,  0.00010,  0.00010,  0.00010,  0.00010,  0.00000,  0.00637,  0.00633
Cu,  0.00263,  0.00261,  0.00262,  0.00262,  0.00263,  0.00263,  0.00262,  0.00000,  0.00130,  0.00130
Zn,  0.00940,  0.00933,  0.00937,  0.00938,  0.00939,  0.00940,  0.00938,  0.00001,  0.00157,  0.00157
Br,  0.00181,  0.00179,  0.00180,  0.00181,  0.00181,  0.00181,  0.00181,  0.00001,  0.00367,  0.00365
Rb,  0.00323,  0.00322,  0.00322,  0.00323,  0.00323,  0.00323,  0.00323,  0.00000,  0.00114,  0.00113
