**** Analysis Summary ****

Time of run: ,07/07/15 17:08
Concentration file: ,E:\pmf\JIcH.csv
Uncertainty file: ,E:\pmf\JIcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  7.83000, 50.88500, 69.59500,117.46250,1255.81000, 100.00 %, 100.00 %
Na,Strong,      5.3,  0.01555,  0.38217,  0.62734,  1.00138,  4.84980, 100.00 %, 100.00 %
Mg,Strong,      6.3,  0.08476,  0.21990,  0.34716,  0.88510,  5.39446, 100.00 %, 100.00 %
Al,Strong,     10.0,  0.16102,  1.36879,  2.71550,  6.53539, 33.89111, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.34213,  3.00977,  5.74921, 14.67813, 94.11045, 100.00 %, 100.00 %
P,Strong,      7.3,  0.00069,  0.02614,  0.04016,  0.06001,  0.22152, 100.00 %, 100.00 %
S,Strong,     10.0,  0.11687,  0.67661,  0.95081,  1.25079,  3.21398, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.29429,  1.58127,  2.09065,  2.71462,  6.86616, 100.00 %, 100.00 %
K,Strong,     10.0,  0.18113,  1.05360,  1.35210,  2.25596, 11.31172, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.25519,  1.17185,  1.84916,  3.19538, 25.19560, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.01552,  0.11262,  0.21008,  0.44803,  3.78084, 100.00 %, 100.00 %
V,Strong,      6.2,  0.00033,  0.00278,  0.00451,  0.00817,  0.07357, 100.00 %, 100.00 %
Cr,Strong,      6.1,  0.00151,  0.00371,  0.00540,  0.00804,  0.05253, 100.00 %, 100.00 %
Mn,Strong,     10.0,  0.00455,  0.01662,  0.02803,  0.06569,  0.75172, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.14514,  1.19778,  2.03066,  4.12598, 35.88559, 100.00 %, 100.00 %
Ni,Strong,      3.3,  0.00108,  0.00260,  0.00349,  0.00492,  0.06469, 100.00 %, 100.00 %
Cu,Strong,      6.3,  0.00013,  0.00800,  0.01117,  0.01486,  0.08632, 100.00 %, 100.00 %
Zn,Strong,      9.9,  0.01414,  0.04001,  0.04973,  0.06571,  0.24775, 100.00 %, 100.00 %
Br,Strong,      9.8,  0.00896,  0.01841,  0.02620,  0.03905,  0.16748, 100.00 %, 100.00 %
Rb,Strong,      3.3,  0.00003,  0.00218,  0.00397,  0.00810,  0.08419, 100.00 %, 100.00 %
Sr,Strong,      8.9,  0.00379,  0.00990,  0.01403,  0.02760,  0.29287, 100.00 %, 100.00 %
Zr,Strong,      6.8,  0.00148,  0.00521,  0.00932,  0.01845,  0.18145, 100.00 %, 100.00 %
Pb,Strong,      8.3,  0.00713,  0.01769,  0.02231,  0.02817,  0.10325, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,3
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,76297.1     ,179280      ,Yes      ,510,24.04829
2,76272.8     ,179432      ,Yes      ,668,24.06868
3,76273.4     ,179438      ,Yes      ,948,24.06948
4,76278.5     ,179396      ,Yes      ,502,24.06385
5,76274.9     ,179428      ,Yes      ,817,24.06814
6,76275.7     ,179430      ,Yes      ,550,24.06841
7,76270.9     ,179436      ,Yes      ,535,24.06922
8,76275.1     ,179423      ,Yes      ,550,24.06747
9,76272.7     ,179436      ,Yes      ,734,24.06922
10,76281.9     ,179397      ,Yes      ,507,24.06398
11,76279.1     ,179409      ,Yes      ,705,24.06559
12,76278.1     ,179402      ,Yes      ,624,24.06466
13,76275.6     ,179421      ,Yes      ,739,24.0672
14,76274.5     ,179429      ,Yes      ,775,24.06828
15,76273.6     ,179439      ,Yes      ,860,24.06962
16,76284.8     ,179384      ,Yes      ,782,24.06224
17,76279       ,179398      ,Yes      ,486,24.06412
18,76285.7     ,179382      ,Yes      ,651,24.06197
19,76274.8     ,179427      ,Yes      ,380,24.06801
20,76272.6     ,179433      ,Yes      ,387,24.06881

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,69.00326,
3,74.51348,13.30035,
4,35.18152,12.74571,30.14986,
5,58.07910,11.38257,1.42710,20.97373,
6,54.54253,6.12856,7.88260,14.42607,4.61270,
7,93.31599,12.94066,46.61642,19.29383,43.58763,32.11035,
8,55.00157,3.24660,19.47483,5.23853,14.45709,6.34152,12.55301,
9,70.32578,6.60161,1.69826,21.00319,1.93606,4.69904,32.19087,10.85381,
10,26.92927,18.25056,17.58585,7.63272,9.20909,9.54065,43.78722,12.86404,14.69558,
11,34.34911,14.52253,11.24016,10.50448,4.72398,6.31188,43.34898,12.20596,9.53780,0.97104,
12,38.05398,8.77714,27.35649,1.21805,18.89640,11.99976,17.63341,4.23326,18.79685,8.32063,9.71102,
13,52.18943,14.00421,2.88794,20.61398,0.48707,5.87106,47.76957,16.62368,4.03946,7.24304,3.31049,18.63827,
14,63.60769,13.60163,0.68857,25.82057,0.40645,6.67240,47.72271,18.37566,2.45153,12.36921,7.05480,23.30927,0.81535,
15,82.63352,22.80596,1.80412,42.23708,4.54450,15.30516,62.70108,31.49237,6.78177,24.11938,16.56756,38.67876,5.23537,2.38285,
16,20.38483,23.79541,22.59441,10.15896,12.95342,13.11181,51.50275,17.75829,20.31420,0.75268,2.33724,10.65781,9.98370,16.18057,28.57683,
17,38.28839,14.08463,38.72678,1.41694,28.67158,19.08064,16.73462,6.93783,28.02208,13.16033,16.29977,1.15361,28.30549,34.04621,52.07415,15.31947,
18,21.03203,28.01481,22.41857,16.08682,13.19057,14.95389,61.22158,23.53740,22.29445,2.56403,3.33049,15.63672,9.52165,15.60103,26.27265,0.89060,21.64789,
19,74.34761,12.16326,46.27062,14.05300,40.33802,23.83480,6.85115,8.24605,33.20732,34.90744,35.53057,11.54158,43.36814,45.36325,62.12610,40.14037,10.10118,47.98948,
20,79.22168,5.23819,25.10077,14.14325,23.04300,13.39803,7.40204,3.67677,15.19267,27.67493,25.93071,13.03336,27.31776,26.56814,38.41482,34.91846,15.35768,42.20234,6.73643,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Cr          ,Mn          ,Fe          ,Ni          ,Cu          ,Zn          ,Br          ,Rb          ,Sr          ,Zr          ,Pb          ,
2                    1,0.05179,0.75215,0.14035,0.18696,0.23749,0.55636,16.71111,19.64350,12.49427,13.04163,0.26253,0.01404,0.04655,0.11155,0.16336,0.09505,0.12125,1.29365,2.62650,0.00695,0.14950,0.00736,0.28937,
3                    1,0.05638,0.90345,0.15615,0.19424,0.24514,0.62129,15.10281,23.09264,13.15773,14.97492,0.30340,0.01571,0.05447,0.13644,0.21929,0.10929,0.13923,1.43995,3.07438,0.00826,0.17809,0.00856,0.32166,
3                    2,0.01123,0.01197,0.00213,0.02320,0.02562,0.07924,7.06607,0.22471,5.25304,0.19914,0.01604,0.00103,0.00153,0.00363,0.02893,0.00343,0.00505,0.11926,0.19602,0.00016,0.00228,0.00027,0.02636,
4                    1,0.02955,0.39696,0.07042,0.10566,0.13524,0.18449,6.63351,11.52184,5.59896,8.31995,0.16494,0.00633,0.02286,0.05057,0.07532,0.05090,0.05351,0.45065,1.12351,0.00281,0.08551,0.00381,0.09421,
4                    2,0.00828,0.08505,0.01578,0.02082,0.02156,0.17341,4.95974,1.86647,3.17156,1.19313,0.02519,0.00310,0.00834,0.01345,0.02898,0.01407,0.02764,0.41433,0.58122,0.00105,0.01560,0.00087,0.09609,
4                    3,0.02299,0.15228,0.02356,0.05484,0.05940,0.29040,12.28387,3.35142,9.79199,2.11610,0.06125,0.00475,0.01293,0.02625,0.09133,0.02298,0.04051,0.62020,0.95062,0.00166,0.02864,0.00156,0.14031,
5                    1,0.04534,0.68628,0.12301,0.15946,0.20237,0.47174,11.36063,18.14640,9.93785,12.36557,0.25356,0.01227,0.04169,0.10897,0.17013,0.08446,0.10603,1.08333,2.32462,0.00589,0.13977,0.00664,0.24312,
5                    2,0.00943,0.00468,0.00191,0.01957,0.02170,0.06831,6.35075,0.06429,4.42673,0.09473,0.01127,0.00090,0.00115,0.00185,0.01832,0.00295,0.00410,0.10591,0.14971,0.00014,0.00076,0.00023,0.02318,
5                    3,0.00102,0.02023,0.00247,0.00235,0.00246,0.01176,0.30548,0.45566,0.25959,0.23785,0.00409,0.00035,0.00123,0.00171,0.00362,0.00242,0.00305,0.03035,0.07062,0.00028,0.00362,0.00021,0.00668,
5                    4,0.01629,0.06457,0.01156,0.03874,0.04193,0.19900,9.53889,1.35955,7.49431,0.97418,0.03734,0.00292,0.00683,0.01532,0.06153,0.01191,0.02344,0.40830,0.56163,0.00072,0.01249,0.00080,0.09148,
6                    1,0.04051,0.56417,0.11316,0.14388,0.17769,0.56581,13.00123,15.18538,9.16979,10.71152,0.21911,0.01340,0.04134,0.08575,0.12735,0.07983,0.11415,1.35546,2.38959,0.00450,0.11705,0.00562,0.31623,
6                    2,0.00460,0.02140,0.00279,0.00714,0.00743,0.04459,3.14744,0.47684,1.83889,0.27813,0.00600,0.00070,0.00184,0.00237,0.00636,0.00355,0.00586,0.09871,0.14971,0.00035,0.00400,0.00025,0.01961,
6                    3,0.00640,0.05755,0.00608,0.01512,0.01685,0.05751,2.74860,1.31620,2.40346,0.73846,0.01864,0.00129,0.00368,0.00712,0.02556,0.00730,0.00974,0.11986,0.28535,0.00068,0.01056,0.00054,0.02607,
6                    4,0.00897,0.02873,0.00925,0.01799,0.01553,0.25451,7.32748,0.47931,4.26927,0.41936,0.01521,0.00387,0.00879,0.00684,0.02511,0.01245,0.03491,0.63314,0.70265,0.00031,0.00576,0.00041,0.14623,
6                    5,0.00368,0.01138,0.00168,0.00844,0.00909,0.05215,2.19951,0.22770,1.59827,0.15525,0.00712,0.00097,0.00195,0.00222,0.01198,0.00325,0.00648,0.11486,0.16739,0.00017,0.00204,0.00018,0.02693,
7                    1,0.07007,0.96603,0.16422,0.24851,0.31290,0.55144,25.76927,24.81757,19.56321,15.20603,0.30638,0.01479,0.05363,0.11610,0.18930,0.11806,0.13152,1.29030,2.95768,0.00925,0.18696,0.00917,0.26361,
7                    2,0.00953,0.02463,0.00385,0.02401,0.02404,0.11005,6.45634,0.52059,4.79387,0.29858,0.01595,0.00164,0.00323,0.00285,0.02444,0.00691,0.01242,0.24586,0.30611,0.00029,0.00495,0.00040,0.05012,
7                    3,0.03773,0.01754,0.00651,0.08770,0.09474,0.31904,25.04099,0.19862,18.85194,0.38467,0.05399,0.00375,0.00529,0.01083,0.10133,0.01266,0.02225,0.56200,0.68138,0.00027,0.00409,0.00081,0.11829,
7                    4,0.01372,0.17650,0.02407,0.03785,0.04193,0.11958,6.77226,4.13056,4.61709,2.21787,0.04149,0.00283,0.01015,0.01440,0.02819,0.02245,0.02587,0.28159,0.62173,0.00203,0.03220,0.00163,0.05786,
7                    5,0.03480,0.04665,0.00910,0.08223,0.08882,0.27368,23.00288,0.93904,17.02509,0.65616,0.05095,0.00340,0.00567,0.00863,0.08150,0.01511,0.02097,0.48780,0.64635,0.00062,0.00901,0.00099,0.09819,
7                    6,0.02356,0.08767,0.01180,0.05061,0.05163,0.26064,16.15470,1.93762,10.77466,1.05763,0.03582,0.00387,0.00917,0.00722,0.04370,0.01893,0.03276,0.60221,0.80611,0.00105,0.01695,0.00102,0.12104,
8                    1,0.04340,0.55643,0.10748,0.15651,0.20007,0.40592,13.39205,15.14825,10.58718,10.60787,0.21847,0.01081,0.03486,0.08266,0.12714,0.07221,0.08899,0.92529,1.90350,0.00465,0.11437,0.00558,0.20790,
8                    2,0.00239,0.02144,0.00297,0.00570,0.00624,0.02531,1.29539,0.48473,0.93564,0.26930,0.00678,0.00051,0.00148,0.00267,0.00619,0.00281,0.00414,0.05553,0.10093,0.00032,0.00399,0.00024,0.01190,
8                    3,0.01633,0.06131,0.00786,0.04153,0.04793,0.12212,8.79220,1.35234,7.43001,0.82203,0.03769,0.00187,0.00446,0.01031,0.05154,0.00902,0.01270,0.20996,0.38467,0.00068,0.01163,0.00073,0.04593,
8                    4,0.00351,0.02223,0.00560,0.00804,0.00831,0.08514,2.31831,0.45419,1.42522,0.35728,0.00786,0.00150,0.00340,0.00454,0.01103,0.00523,0.01242,0.20385,0.24791,0.00031,0.00406,0.00030,0.04829,
8                    5,0.01239,0.01370,0.00254,0.03202,0.03741,0.08436,7.35294,0.25654,6.01942,0.22089,0.02341,0.00108,0.00162,0.00460,0.03293,0.00366,0.00527,0.12807,0.19347,0.00020,0.00269,0.00033,0.02754,
8                    6,0.00473,0.00251,0.00130,0.01067,0.01159,0.06689,3.45680,0.00930,2.35202,0.03973,0.00677,0.00089,0.00180,0.00103,0.00819,0.00260,0.00733,0.15291,0.17023,0.00006,0.00072,0.00014,0.03332,
