
Factor Profiles (conc. of species) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
7,mass,6.479200E+001,1.448400E+001,3.335600E+001
7,Na,0.000000E+000,7.490200E-001,0.000000E+000
7,Mg,5.803200E-001,5.942900E-002,1.101400E-001
7,Al,4.408100E+000,9.780100E-002,1.013700E+000
7,Si,9.456900E+000,2.761800E-001,2.266200E+000
7,P,1.368400E-002,6.099200E-003,3.030100E-002
7,S,5.137400E-014,3.133400E-001,6.582900E-001
7,Cl,3.198400E-001,1.602200E+000,2.749400E-001
7,K,7.465400E-001,2.997500E-001,8.921000E-001
7,Ca,2.093800E+000,2.849100E-001,6.618500E-001
7,Ti,3.205500E-001,1.289500E-002,7.714400E-002
7,V,5.004900E-003,6.100700E-004,1.802400E-003
7,Cr,4.206500E-003,1.230500E-003,1.948400E-003
7,Mn,4.464100E-002,2.093100E-003,1.203700E-002
7,Fe,2.829800E+000,1.426500E-001,8.127200E-001
7,Ni,6.197300E-004,1.469400E-003,1.289300E-003
7,Cu,4.691800E-003,3.666600E-003,4.496700E-003
7,Zn,1.427000E-002,1.623700E-002,2.589600E-002
7,Br,7.180500E-004,1.202400E-002,1.308500E-002
7,Rb,5.468900E-003,3.352200E-004,1.491000E-003
7,Sr,1.804000E-002,2.566600E-003,5.101200E-003
7,Zr,1.271000E-002,8.105600E-004,3.408800E-003
7,Pb,5.353100E-003,7.238100E-003,1.180900E-002

Factor Profiles (% of species sum) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
7,mass,5.752539E+001,1.285958E+001,2.961503E+001
7,Na,0.000000E+000,1.000000E+002,0.000000E+000
7,Mg,7.738745E+001,7.925040E+000,1.468751E+001
7,Al,7.986266E+001,1.771885E+000,1.836546E+001
7,Si,7.881223E+001,2.301638E+000,1.888613E+001
7,P,2.732199E+001,1.217789E+001,6.050012E+001
7,S,5.287404E-012,3.224890E+001,6.775110E+001
7,Cl,1.455817E+001,7.292738E+001,1.251445E+001
7,K,3.851340E+001,1.546386E+001,4.602273E+001
7,Ca,6.886231E+001,9.370314E+000,2.176737E+001
7,Ti,7.807077E+001,3.140610E+000,1.878862E+001
7,V,6.747540E+001,8.224883E+000,2.429972E+001
7,Cr,5.695697E+001,1.666125E+001,2.638178E+001
7,Mn,7.595740E+001,3.561444E+000,2.048116E+001
7,Fe,7.476019E+001,3.768655E+000,2.147116E+001
7,Ni,1.834373E+001,4.349358E+001,3.816270E+001
7,Cu,3.649758E+001,2.852253E+001,3.497989E+001
7,Zn,2.530007E+001,2.878748E+001,4.591245E+001
7,Br,2.780225E+000,4.655584E+001,5.066394E+001
7,Rb,7.496655E+001,4.595127E+000,2.043832E+001
7,Sr,7.017326E+001,9.983741E+000,1.984300E+001
7,Zr,7.507667E+001,4.787895E+000,2.013543E+001
7,Pb,2.193876E+001,2.966410E+001,4.839714E+001

Factor Profiles (% of total variable) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
7,mass,*,*,*
7,Na,0.000000E+000,5.171361E+000,0.000000E+000
7,Mg,8.956661E-001,4.103079E-001,3.301955E-001
7,Al,6.803463E+000,6.752347E-001,3.039033E+000
7,Si,1.459578E+001,1.906794E+000,6.793980E+000
7,P,2.111989E-002,4.210991E-002,9.084123E-002
7,S,7.929065E-014,2.163353E+000,1.973528E+000
7,Cl,4.936412E-001,1.106186E+001,8.242595E-001
7,K,1.152210E+000,2.069525E+000,2.674481E+000
7,Ca,3.231572E+000,1.967067E+000,1.984201E+000
7,Ti,4.947370E-001,8.902927E-002,2.312747E-001
7,V,7.724565E-003,4.212027E-003,5.403526E-003
7,Cr,6.492314E-003,8.495581E-003,5.841228E-003
7,Mn,6.889894E-002,1.445112E-002,3.608646E-002
7,Fe,4.367515E+000,9.848799E-001,2.436503E+000
7,Ni,9.564916E-004,1.014499E-002,3.865272E-003
7,Cu,7.241326E-003,2.531483E-002,1.348093E-002
7,Zn,2.202432E-002,1.121030E-001,7.763521E-002
7,Br,1.108239E-003,8.301574E-002,3.922832E-002
7,Rb,8.440702E-003,2.314416E-003,4.469960E-003
7,Sr,2.784294E-002,1.772024E-002,1.529320E-002
7,Zr,1.961662E-002,5.596244E-003,1.021945E-002
7,Pb,8.261977E-003,4.997307E-002,3.540293E-002
