
Residuals from Base Run #7 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Zr,Pb
7,11/12/06 04:19,-7.636000E+000,-1.614000E-001,4.476000E-001,6.345000E-001,5.963000E+000,-1.067000E-002,2.731000E-001,2.493000E-002,-6.547000E-002,5.633000E-003,-4.503000E-002,-3.311000E-004,-1.611000E-004,7.564000E-003,-4.365000E-001,-6.487000E-004,-3.741000E-003,-7.299000E-003,-8.267000E-003,-1.590000E-003,5.018000E-004,-3.322000E-003,-5.346000E-004
7,11/14/06 02:25,-4.927000E+000,-2.664000E-001,3.052000E-001,7.978000E-002,5.303000E+000,1.055000E-002,3.386000E-001,1.376000E-002,-1.868000E-001,3.189000E-001,-9.271000E-002,9.935000E-004,-1.143000E-003,5.243000E-003,-5.758000E-001,3.572000E-004,-8.600000E-005,-2.924000E-003,-7.372000E-003,-3.822000E-003,3.739000E-003,-3.353000E-003,4.572000E-004
7,11/14/06 03:18,-7.623000E+000,-2.687000E-001,3.074000E-001,8.597000E-001,4.288000E+000,1.626000E-003,4.034000E-002,7.364000E-003,-1.171000E-001,3.564000E-002,-3.270000E-002,-4.980000E-004,-2.009000E-004,4.235000E-003,-2.042000E-001,1.174000E-003,-3.081000E-003,-7.323000E-003,-2.141000E-003,-4.904000E-004,2.273000E-003,-2.969000E-003,2.061000E-003
7,11/16/06 03:20,4.287000E+000,-1.556000E-001,1.639000E-001,-1.415000E-001,3.334000E+000,3.445000E-002,3.583000E-001,1.883000E-002,-1.615000E-001,2.807000E-001,-7.388000E-002,-2.017000E-003,-8.229000E-004,1.028000E-002,-4.511000E-001,-6.925000E-004,-1.584000E-003,-1.309000E-003,-7.674000E-003,-1.528000E-004,-4.167000E-004,-2.983000E-003,2.823000E-003
7,11/16/06 04:08,3.210000E+000,-2.827000E-001,3.199000E-001,2.644000E-001,4.480000E+000,5.687000E-003,1.531000E-001,4.601000E-002,-4.538000E-002,4.112000E-002,-6.128000E-002,-8.953000E-004,-8.817000E-004,4.847000E-003,-3.277000E-001,-3.536000E-004,1.336000E-004,-1.444000E-002,-9.432000E-003,9.867000E-004,8.324000E-004,-1.892000E-003,-4.035000E-004
7,11/18/06 03:18,-4.818000E+000,-7.838000E-002,1.965000E-001,5.172000E-002,3.276000E+000,-5.962000E-004,2.449000E-001,1.241000E-002,-2.277000E-001,-2.501000E-002,-3.450000E-002,-5.265000E-003,-8.972000E-004,2.402000E-002,1.343000E-001,2.180000E-004,-1.753000E-004,5.218000E-003,-8.388000E-003,-2.139000E-003,-1.287000E-003,-3.525000E-004,-1.279000E-003
7,11/18/06 04:01,-2.448000E+000,-1.998000E-001,2.511000E-001,8.376000E-001,4.771000E+000,1.437000E-002,1.659000E-001,6.799000E-002,-1.283000E-002,-1.906000E-001,-2.428000E-002,-1.600000E-003,-3.837000E-004,9.713000E-003,-6.577000E-002,-1.670000E-003,-6.698000E-003,-9.822000E-003,-8.693000E-003,1.734000E-003,-1.360000E-003,-1.228000E-003,-3.066000E-003
7,11/20/06 02:28,1.055000E+000,-2.591000E-001,2.775000E-001,4.205000E-001,5.032000E+000,-3.081000E-003,1.705000E-001,5.349000E-002,-8.310000E-002,-8.641000E-002,-2.471000E-002,-1.107000E-003,-1.816000E-003,1.770000E-002,-2.178000E-001,-3.361000E-004,-3.674000E-003,-5.755000E-003,-5.200000E-003,-1.735000E-003,-9.036000E-004,2.397000E-004,-3.387000E-003
7,11/20/06 03:11,5.166000E+000,-3.815000E-001,4.831000E-001,7.754000E-001,6.174000E+000,-2.586000E-002,7.388000E-002,5.456000E-002,-3.354000E-002,-2.182000E-001,-1.621000E-002,-9.582000E-004,-1.677000E-004,1.580000E-002,-1.185000E-001,-5.564000E-004,-4.700000E-003,-8.616000E-003,-3.777000E-003,5.959000E-006,8.851000E-004,-1.228000E-003,-4.127000E-003
7,11/22/06 02:36,-9.867000E+000,-3.073000E-001,1.714000E-001,-1.636000E-001,2.501000E+000,-9.118000E-003,-3.340000E-002,-1.504000E-002,-2.388000E-002,7.345000E-002,-4.903000E-002,-1.043000E-003,-1.364000E-003,7.013000E-003,-5.184000E-001,-1.193000E-003,2.378000E-004,7.880000E-003,7.647000E-003,-1.305000E-003,-4.369000E-004,-1.251000E-003,-1.637000E-003
