**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 7

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 64.79200, 64.79200, 65.07075, 68.90950, 73.53625, 82.07500, 69.35830,  4.75961,  0.06862,  0.07346
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.58032,  0.58032,  0.58245,  0.60705,  0.62803,  0.69850,  0.60877,  0.03017,  0.04955,  0.05198
Al,  4.40810,  4.40810,  4.42548,  4.62215,  4.79405,  5.34100,  4.63610,  0.23990,  0.05175,  0.05442
Si,  9.45690,  9.45690,  9.49408,  9.92045, 10.29850, 11.47500,  9.95150,  0.52018,  0.05227,  0.05501
P,  0.01368,  0.01368,  0.01376,  0.01475,  0.01936,  0.02181,  0.01616,  0.00274,  0.16978,  0.20048
S,  0.00000,  0.00000,  0.00000,  0.00039,  0.10755,  0.12601,  0.04227,  0.05133,  1.21432,999234594190.40700
Cl,  0.31984,  0.31984,  0.32127,  0.34378,  0.38141,  0.42638,  0.34954,  0.03141,  0.08986,  0.09820
K,  0.74654,  0.74654,  0.75011,  0.80293,  0.93240,  1.04350,  0.83223,  0.09208,  0.11065,  0.12335
Ca,  2.09380,  2.09380,  2.10288,  2.20630,  2.30623,  2.57250,  2.21450,  0.12544,  0.05665,  0.05991
Ti,  0.32055,  0.32055,  0.32183,  0.33634,  0.34916,  0.38907,  0.33737,  0.01766,  0.05235,  0.05509
V,  0.00500,  0.00500,  0.00503,  0.00528,  0.00555,  0.00619,  0.00531,  0.00031,  0.05928,  0.06286
Cr,  0.00421,  0.00421,  0.00422,  0.00446,  0.00474,  0.00529,  0.00449,  0.00029,  0.06542,  0.06981
Mn,  0.04464,  0.04464,  0.04482,  0.04690,  0.04884,  0.05444,  0.04707,  0.00254,  0.05403,  0.05697
Fe,  2.82980,  2.82980,  2.84160,  2.97645,  3.10375,  3.46080,  2.98738,  0.16444,  0.05504,  0.05811
Ni,  0.00062,  0.00062,  0.00062,  0.00067,  0.00087,  0.00097,  0.00073,  0.00012,  0.16257,  0.19088
Cu,  0.00469,  0.00469,  0.00471,  0.00504,  0.00567,  0.00634,  0.00516,  0.00049,  0.09589,  0.10541
Zn,  0.01427,  0.01427,  0.01435,  0.01537,  0.01926,  0.02164,  0.01648,  0.00242,  0.14710,  0.16991
Br,  0.00072,  0.00072,  0.00073,  0.00079,  0.00290,  0.00335,  0.00159,  0.00104,  0.65187,  1.44401
Rb,  0.00547,  0.00547,  0.00549,  0.00575,  0.00599,  0.00667,  0.00577,  0.00031,  0.05421,  0.05717
Sr,  0.01804,  0.01804,  0.01812,  0.01897,  0.01977,  0.02205,  0.01904,  0.00104,  0.05477,  0.05780
Zr,  0.01271,  0.01271,  0.01276,  0.01336,  0.01390,  0.01550,  0.01340,  0.00072,  0.05393,  0.05686
Pb,  0.00535,  0.00535,  0.00538,  0.00577,  0.00757,  0.00852,  0.00632,  0.00107,  0.16954,  0.20010

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 14.48400,  9.28040, 14.54325, 15.82000, 16.04525, 22.14100, 15.56072,  2.70626,  0.17392,  0.18684
Na,  0.74902,  0.74759,  0.74846,  0.74887,  0.74931,  0.75101,  0.74893,  0.00084,  0.00112,  0.00112
Mg,  0.05943,  0.05038,  0.06175,  0.06833,  0.12126,  0.12164,  0.08711,  0.02938,  0.33721,  0.49429
Al,  0.09780,  0.00000,  0.11697,  0.17357,  0.52069,  0.57562,  0.29191,  0.20966,  0.71825,  2.14377
Si,  0.27618,  0.04753,  0.31799,  0.44188,  1.15895,  1.30430,  0.68367,  0.44336,  0.64849,  1.60532
P,  0.00610,  0.00001,  0.00020,  0.00520,  0.00725,  0.00851,  0.00407,  0.00328,  0.80621,  0.53816
S,  0.31334,  0.13366,  0.13867,  0.27405,  0.33546,  0.33643,  0.24884,  0.08722,  0.35052,  0.27837
Cl,  1.60220,  1.55250,  1.57845,  1.60345,  1.61365,  1.64090,  1.59678,  0.02205,  0.01381,  0.01376
K,  0.29975,  0.13542,  0.17846,  0.29275,  0.33479,  0.40489,  0.26253,  0.08160,  0.31080,  0.27221
