
Factor Contributions (avg = 1) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
14,11/12/06 06:43,1.367600E+000,1.123700E-001,1.846800E+000,2.046700E+000,3.981100E+000,1.897500E-001
14,11/14/06 03:18,1.284900E+000,-2.000000E-001,1.980400E+000,2.155300E+000,3.835600E+000,4.647100E-001
14,11/16/06 04:08,1.567100E+000,5.615800E-001,1.484800E+000,1.595400E+000,2.354400E+000,3.389000E-002
14,11/18/06 04:01,1.308000E+000,6.514100E-001,1.415200E+000,1.511100E+000,2.286800E+000,8.490300E-002
14,11/20/06 03:11,2.230700E+000,1.567200E-002,1.249700E+000,2.004700E+000,3.484000E+000,5.023900E-001
14,11/22/06 03:22,1.402000E+000,5.881700E-001,1.540600E+000,1.687100E+000,2.194000E+000,1.596400E+000
14,11/26/06 03:04,8.392400E-001,6.624300E-001,1.319100E+000,8.085100E-001,1.532700E+000,1.284400E+000
14,11/28/06 03:01,2.431100E-001,1.125900E+000,1.326200E+000,7.590200E-002,1.180400E+000,2.748700E+000
14,11/30/06 03:08,4.992200E-001,1.776000E+000,9.073800E-001,1.078300E-001,9.863300E-001,-2.000000E-001
14,12/02/06 05:11,5.623200E-001,1.646900E+000,4.676000E-001,3.755300E-001,5.076000E-001,3.727500E-001
14,12/04/06 05:21,7.018300E-001,1.984500E+000,1.197100E+000,-3.527800E-002,1.271400E+000,1.360800E+000
14,12/06/06 03:32,1.743200E+000,1.757100E+000,2.238600E+000,-2.000000E-001,4.325300E+000,-1.395600E-001
14,12/08/06 03:28,1.285900E+000,2.117000E+000,6.351100E-001,1.738400E-001,3.175900E+000,7.208000E-001
14,12/10/06 03:20,-2.000000E-001,2.611700E+000,6.311800E-001,3.493300E-001,1.646300E+000,6.271300E-002
14,12/12/06 03:18,1.390500E+000,1.747600E+000,7.392000E-001,9.797000E-001,2.349000E+000,8.009100E-001
14,12/14/06 03:19,7.536000E-001,1.426200E+000,1.112200E+000,6.865500E-001,2.114900E+000,2.423600E+000
14,12/16/06 03:09,4.039700E-001,1.302500E+000,9.222200E-001,3.803500E-001,2.124400E+000,1.736100E+000
14,12/18/06 03:10,4.859300E-001,1.711400E+000,6.756600E-001,4.463200E-001,2.469500E+000,4.113200E-001
14,12/20/06 03:26,6.285700E-001,1.949300E+000,7.158600E-001,1.243700E+000,1.888800E+000,8.569400E-001
14,12/22/06 03:29,4.313800E-001,1.937900E+000,4.998700E-001,1.244800E+000,1.727600E+000,1.268100E-001
14,12/24/06 04:27,4.031000E-002,2.657000E+000,1.065200E+000,2.523300E-001,1.073400E+000,9.610900E-002
14,12/26/06 03:20,4.476500E-001,2.919400E+000,-2.000000E-001,4.391400E-001,1.222200E+000,3.028100E+000
