**** Analysis Summary ****

Time of run: ,10/16/15 20:02
Concentration file: ,E:\pmf_fa\RFcH.csv
Uncertainty file: ,E:\pmf_fa\RFcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 23.19500, 29.43000, 55.60000,3318.47000, 100.00 %, 100.00 %
Na,Strong,      3.2,  0.02182,  0.13234,  0.21901,  0.35284,  1.43352, 100.00 %, 100.00 %
Mg,Strong,      4.2,  0.00236,  0.05843,  0.12468,  0.41947,  3.97355, 100.00 %, 100.00 %
Al,Strong,      9.9,  0.08604,  0.25628,  0.86578,  2.80725, 25.99831, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.12979,  0.50012,  1.52113,  6.29837, 72.73362, 100.00 %, 100.00 %
P,Strong,      5.3,  0.00021,  0.00950,  0.01672,  0.02765,  0.12503, 100.00 %, 100.00 %
S,Strong,     10.0,  0.04298,  0.48028,  0.70075,  1.01076,  2.06221, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.02523,  0.24598,  0.43730,  0.69569,  3.53752, 100.00 %, 100.00 %
K,Strong,     10.0,  0.07243,  0.73668,  0.94841,  1.46857,  9.75564, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.02640,  0.18565,  0.37876,  0.89060, 18.55965, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.00530,  0.01874,  0.05657,  0.16998,  2.76983, 100.00 %, 100.00 %
V,Strong,      4.8,  0.00052,  0.00132,  0.00219,  0.00403,  0.05313, 100.00 %, 100.00 %
Mn,Strong,      9.7,  0.00202,  0.00500,  0.00997,  0.02566,  0.52763, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.04657,  0.19574,  0.51792,  1.46922, 26.52248, 100.00 %, 100.00 %
Zn,Strong,      9.6,  0.00075,  0.02145,  0.02729,  0.04094,  0.18204, 100.00 %, 100.00 %
Br,Strong,      9.8,  0.00678,  0.01441,  0.02089,  0.03231,  0.10359, 100.00 %, 100.00 %
Pb,Strong,      8.1,  0.00738,  0.01221,  0.01532,  0.02037,  0.09400, 100.00 %, 100.00 %
BC,Strong,     10.0,  0.39235,  2.66320,  3.02087,  3.56797,  5.70093, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,6
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,19093.5     ,52517.1     ,Yes      ,1958,25.50612
2,19093.5     ,52516.8     ,Yes      ,1941,25.50597
3,19088       ,52486.3     ,Yes      ,2551,25.49116
4,19089.9     ,52506.5     ,Yes      ,2935,25.50097
5,19215.3     ,52907.6     ,Yes      ,2700,25.69577
6,17651.5     ,38921.3     ,Yes      ,2526,18.90301
7,19090.1     ,52511.3     ,Yes      ,3381,25.5033
8,19088.1     ,52480.5     ,Yes      ,2375,25.48834
9,19090.9     ,52506.2     ,Yes      ,1981,25.50083
10,19095.1     ,52520       ,Yes      ,1149,25.50753
11,17652.2     ,38940.8     ,Yes      ,2406,18.91248
12,17654.5     ,38913.5     ,Yes      ,1403,18.89922
13,19093.4     ,52516.7     ,Yes      ,1605,25.50593
14,17646.4     ,37832.2     ,Yes      ,1757,18.37407
15,17652.1     ,38933.5     ,Yes      ,1959,18.90894
16,19092.7     ,52518.8     ,Yes      ,1541,25.50694
17,18700.7     ,41346       ,Yes      ,1740,20.08062
18,19094.3     ,52517.3     ,Yes      ,1928,25.50622
19,19089.5     ,52485       ,Yes      ,2246,25.49053
20,19093.2     ,52497       ,Yes      ,1892,25.49636

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00838,
3,124.94128,125.56841,
4,6.88605,7.26452,85.74946,
5,506.38212,505.48603,584.11962,520.35841,
6,53830.40386,53828.76723,54351.47956,53927.78792,53464.17066,
7,5.19187,5.55298,94.30016,0.24424,520.04925,53905.65784,
8,97.35578,97.94012,2.04896,63.60262,559.62431,54267.17277,70.74530,
9,6.12410,6.47614,87.03742,0.03280,519.82456,53923.88817,0.20052,64.68634,
10,6.87441,6.41247,149.88673,24.58619,487.31037,53789.98120,22.38902,121.05698,23.05170,
11,53850.49861,53848.86437,54370.88013,53947.86329,53484.25362,0.76709,53925.73152,54286.56792,53943.96062,53810.14106,
12,53877.83106,53876.19592,54377.54908,53975.03011,53461.28609,23.19343,53952.95017,54293.48259,53971.10722,53837.67818,20.72935,
13,0.02432,0.05680,122.80950,6.13679,506.93100,53834.45242,4.52762,95.45683,5.42184,7.61193,53854.54721,53881.91636,
14,52439.97310,52438.04829,53000.69276,52539.57307,51933.52949,1288.47984,52517.54817,52916.69435,52536.09159,52392.38859,1310.92545,1390.42675,52444.09922,
15,53841.82149,53840.18619,54362.22424,53939.18132,53474.78663,0.58354,53917.05195,54277.91691,53935.28229,53801.44205,0.05795,20.79206,53845.87062,1302.76382,
16,1.40522,1.62532,116.68010,3.15466,518.81093,53856.07235,1.76040,89.86628,2.74949,14.47864,53876.13910,53903.36623,1.09659,52468.64210,53867.47076,
17,58074.34514,58074.58409,58133.05805,58074.79455,57954.19474,32642.05102,58072.81041,58107.30243,58074.13735,58087.74969,32688.30989,32599.12098,58073.63311,31928.64164,32675.54945,58072.17011,
18,1.55642,1.34160,136.71866,13.86322,497.11332,53807.11011,11.85287,108.32424,12.72449,1.91303,53827.23443,53854.67016,1.93295,52413.60039,53818.54831,5.91574,58079.80359,
19,39.39707,39.85017,32.52459,21.95830,510.81810,54035.77463,24.89690,18.25310,22.43340,59.28024,54055.17490,54062.95507,38.19920,52685.96120,54046.53954,34.26018,58059.49883,47.89813,
20,18.00869,18.00819,76.91905,18.83331,479.22314,53886.20755,18.93992,54.62014,18.30119,24.62768,53905.62793,53913.99833,17.79849,52532.99527,53897.00052,19.22580,58044.24500,19.82064,12.33170,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.00001,0.00003,0.00001,0.00002,0.00002,0.00002,0.00004,0.00003,0.00507,0.00003,0.00001,0.00001,0.00005,0.00002,0.00190,0.00099,0.00009,0.00003,
3                    1,0.15444,10.12332,0.47410,0.85313,0.73288,1.14259,1.44079,0.42822,68.76404,0.48186,0.15924,0.07963,0.36741,0.17495,16.13448,21.02853,1.63537,0.76632,
3                    2,0.15473,10.12189,0.47487,0.85517,0.73652,1.14281,1.44555,0.43062,69.06830,0.48376,0.15990,0.07896,0.37117,0.17612,16.27405,21.18544,1.64069,0.76785,
4                    1,0.00740,0.00761,0.00340,0.01989,0.01924,0.00935,0.03118,0.00614,4.02710,0.00785,0.00604,0.00068,0.02294,0.00636,1.15234,1.46745,0.07282,0.01827,
4                    2,0.00771,0.00813,0.00348,0.02042,0.02007,0.00952,0.03242,0.00659,4.25035,0.00847,0.00622,0.00063,0.02441,0.00665,1.23353,1.53092,0.07607,0.01892,
4                    3,0.10278,10.10916,0.44584,0.67227,0.56135,1.04939,1.16724,0.37770,45.73015,0.40507,0.11399,0.06814,0.22900,0.12719,10.34018,12.45275,1.11519,0.68209,
5                    1,0.10549,194.71753,7.17257,13.92536,17.18932,31.13760,17.06077,4.70623,63.27677,11.86706,5.00467,0.27707,3.70546,5.49037,59.92450,66.83393,1.11868,2.86875,
5                    2,0.10471,194.74733,7.17084,13.93115,17.20338,31.13834,17.06917,4.72004,62.55991,11.87702,5.00714,0.27657,3.71223,5.49600,59.49960,66.99049,1.10910,2.87300,
5                    3,0.26377,196.14858,7.91620,11.60581,14.46804,22.76922,11.94893,3.23146,146.06211,12.58606,4.16270,0.25379,3.29270,4.44075,99.62447,39.98955,2.57344,2.78204,
5                    4,0.12449,194.53920,7.05212,13.24710,16.54049,30.66778,16.33075,4.48464,81.45609,11.82482,4.79309,0.26185,3.50960,5.23842,70.30518,56.06655,1.33117,2.58508,
6                    1,35.29909,103.34273,53.45947,222.85133,151.49632,63.35260,665.67963,28.44904,11166.71354,5601.74942,76.38397,24.46841,92.77513,180.58684,1481.88023,32681.48606,117.69710,1082.73295,
6                    2,35.29924,103.33393,53.45841,222.85840,151.48230,63.35449,665.69140,28.44099,11165.47638,5601.74569,76.39201,24.47413,92.76587,180.61442,1480.79106,32682.14602,117.71201,1082.73049,
6                    3,35.66656,78.30431,53.56184,224.69191,152.39298,66.94851,655.37591,29.90612,11610.22534,5601.28295,73.11291,25.83592,92.18347,176.30545,1628.00284,32634.59763,128.84089,1084.24402,
6                    4,35.37945,103.55103,53.67429,223.88796,152.39993,63.74176,663.67513,28.77012,11250.78008,5603.86338,75.74066,24.52038,92.73798,179.62325,1514.11732,32659.21123,119.30708,1082.80690,
6                    5,34.25122,150.72109,66.87242,263.97920,187.55682,119.10288,647.58507,34.65025,10956.38898,5681.67776,59.06792,23.33837,78.78617,153.55213,1150.72929,32658.90179,121.36187,1075.64745,
7                    1,0.00506,0.00637,0.00209,0.01517,0.01497,0.00655,0.02473,0.00458,3.00128,0.00613,0.00479,0.00032,0.01721,0.00505,0.91449,1.09883,0.04999,0.01426,
7                    2,0.00536,0.00689,0.00215,0.01564,0.01572,0.00672,0.02583,0.00496,3.21726,0.00667,0.00496,0.00032,0.01854,0.00531,0.99219,1.15654,0.05308,0.01485,
7                    3,0.11546,10.15040,0.45188,0.70279,0.58537,1.06980,1.18895,0.38525,51.33823,0.41426,0.11937,0.07487,0.25188,0.13222,11.55347,13.82606,1.24588,0.69405,
7                    4,0.00040,0.00028,0.00023,0.00054,0.00042,0.00042,0.00055,0.00016,0.16449,0.00018,0.00013,0.00020,0.00069,0.00014,0.03408,0.03728,0.00369,0.00035,
7                    5,0.12206,194.56538,7.07815,13.31033,16.61769,30.76105,16.41493,4.52008,80.10009,11.84511,4.81627,0.26502,3.52307,5.26499,69.31638,57.58534,1.32133,2.62197,
7                    6,35.35855,103.60493,53.66516,223.79830,152.32688,63.64085,663.96541,28.72757,11231.93624,5603.78817,75.82288,24.45525,92.70880,179.70090,1508.77112,32661.78130,118.79738,1082.80816,
8                    1,0.11530,9.88954,0.45076,0.79183,0.67991,1.07975,1.35830,0.41250,51.06429,0.44623,0.14567,0.06089,0.29925,0.15866,12.12491,16.34315,1.20592,0.72892,
8                    2,0.11561,9.88815,0.45151,0.79379,0.68340,1.07994,1.36274,0.41477,51.35217,0.44797,0.14630,0.06031,0.30281,0.15977,12.25487,16.48492,1.21084,0.73027,
8                    3,0.00301,0.00397,0.00141,0.00212,0.00164,0.00360,0.00311,0.00063,1.36803,0.00134,0.00054,0.00138,0.00481,0.00069,0.30220,0.31539,0.03346,0.00163,
