
Factor Profiles (conc. of species) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
14,mass,2.596300E+001,1.248500E+001,8.995200E+000,1.554300E+000,1.156300E+001,2.401300E-001
14,Na,0.000000E+000,1.219600E-001,0.000000E+000,1.363900E-001,0.000000E+000,2.805400E-003
14,Mg,1.863500E-001,0.000000E+000,2.479000E-002,2.448800E-002,1.760100E-001,6.457400E-003
14,Al,1.371500E+000,2.400200E-002,2.585800E-001,2.377900E-002,1.180200E+000,1.107700E-002
14,Si,3.183900E+000,2.561200E-002,5.441100E-001,6.293600E-002,2.718200E+000,3.677400E-004
14,P,2.348100E-003,1.212800E-002,0.000000E+000,0.000000E+000,8.643400E-003,0.000000E+000
14,S,0.000000E+000,5.134800E-001,9.072800E-003,6.821100E-002,1.689600E-001,6.796000E-003
14,Cl,1.683500E-001,0.000000E+000,0.000000E+000,4.172800E-001,0.000000E+000,0.000000E+000
14,K,4.253000E-001,5.264600E-001,2.134300E-001,1.843900E-002,2.200000E-001,1.365400E-002
14,Ca,8.219100E-001,1.056900E-001,9.369000E-002,2.510600E-003,1.492600E-001,3.386500E-003
14,Ti,1.053500E-001,4.846700E-003,1.635300E-002,7.669900E-004,6.085000E-002,3.193300E-004
14,V,1.778600E-003,7.361200E-004,5.413100E-004,7.067100E-005,8.205800E-004,2.733300E-005
14,Mn,1.605900E-002,1.738400E-003,3.403700E-003,1.661600E-004,8.552100E-003,1.789200E-005
14,Fe,9.630300E-001,7.038900E-002,1.592500E-001,0.000000E+000,4.964000E-001,0.000000E+000
14,Zn,8.174000E-003,1.270900E-002,7.959600E-003,2.572000E-003,1.064400E-003,1.132700E-003
14,Br,2.145500E-003,8.069000E-003,0.000000E+000,0.000000E+000,1.065100E-003,1.575100E-002
14,Pb,3.565700E-003,6.323700E-003,5.133200E-003,1.694700E-003,0.000000E+000,1.056900E-003
14,BC,7.529200E-002,1.350600E+000,1.428000E+000,1.634300E-001,5.232300E-002,4.577500E-002

Factor Profiles (% of species sum) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
14,mass,4.270186E+001,2.053433E+001,1.479458E+001,2.556388E+000,1.901789E+001,3.949466E-001
14,Na,0.000000E+000,4.670016E+001,0.000000E+000,5.222561E+001,0.000000E+000,1.074226E+000
14,Mg,4.457117E+001,0.000000E+000,5.929269E+000,5.857037E+000,4.209805E+001,1.544480E+000
14,Al,4.780182E+001,8.365579E-001,9.012463E+000,8.287855E-001,4.113430E+001,3.860742E-001
14,Si,4.871980E+001,3.919129E-001,8.325930E+000,9.630419E-001,4.159369E+001,5.627130E-003
14,P,1.015636E+001,5.245788E+001,0.000000E+000,0.000000E+000,3.738576E+001,0.000000E+000
14,S,0.000000E+000,6.698849E+001,1.183635E+000,8.898791E+000,2.204248E+001,8.866046E-001
14,Cl,2.874682E+001,0.000000E+000,0.000000E+000,7.125318E+001,0.000000E+000,0.000000E+000
14,K,3.000812E+001,3.714572E+001,1.505910E+001,1.301010E+000,1.552266E+001,9.633926E-001
14,Ca,6.986375E+001,8.983829E+000,7.963809E+000,2.134053E-001,1.268735E+001,2.878582E-001
14,Ti,5.589274E+001,2.571384E+000,8.675975E+000,4.069214E-001,3.228356E+001,1.694184E-001
14,V,4.474900E+001,1.852054E+001,1.361918E+001,1.778059E+000,2.064553E+001,6.876894E-001
14,Mn,5.364220E+001,5.806812E+000,1.136945E+001,5.550275E-001,2.856675E+001,5.976500E-002
14,Fe,5.701543E+001,4.167325E+000,9.428271E+000,0.000000E+000,2.938897E+001,0.000000E+000
14,Zn,2.431891E+001,3.781124E+001,2.368104E+001,7.652097E+000,3.166754E+000,3.369957E+000
14,Br,7.937301E+000,2.985135E+001,0.000000E+000,0.000000E+000,3.940349E+000,5.827100E+001
14,Pb,2.006110E+001,3.557797E+001,2.888006E+001,9.534606E+000,0.000000E+000,5.946259E+000
14,BC,2.416753E+000,4.335210E+001,4.583652E+001,5.245842E+000,1.679485E+000,1.469304E+000

Factor Profiles (% of total variable) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
14,mass,*,*,*,*,*,*
14,Na,0.000000E+000,9.768522E-001,0.000000E+000,8.775011E+000,0.000000E+000,1.168284E+000
14,Mg,7.177522E-001,0.000000E+000,2.755914E-001,1.575500E+000,1.522183E+000,2.689127E+000
14,Al,5.282517E+000,1.922467E-001,2.874644E+000,1.529885E+000,1.020669E+001,4.612918E+000
14,Si,1.226322E+001,2.051422E-001,6.048893E+000,4.049154E+000,2.350774E+001,1.531420E-001
14,P,9.044024E-003,9.714057E-002,0.000000E+000,0.000000E+000,7.475050E-002,0.000000E+000
14,S,0.000000E+000,4.112775E+000,1.008627E-001,4.388535E+000,1.461213E+000,2.830134E+000
14,Cl,6.484228E-001,0.000000E+000,0.000000E+000,2.684681E+001,0.000000E+000,0.000000E+000
14,K,1.638100E+000,4.216740E+000,2.372710E+000,1.186322E+000,1.902620E+000,5.686087E+000
14,Ca,3.165697E+000,8.465359E-001,1.041556E+000,1.615261E-001,1.290841E+000,1.410278E+000
14,Ti,4.057697E-001,3.882018E-002,1.817970E-001,4.934633E-002,5.262475E-001,1.329821E-001
14,V,6.850518E-003,5.896035E-003,6.017765E-003,4.546806E-003,7.096601E-003,1.138258E-002
14,Mn,6.185341E-002,1.392391E-002,3.783907E-002,1.069034E-002,7.396091E-002,7.450964E-003
14,Fe,3.709240E+000,5.637885E-001,1.770389E+000,0.000000E+000,4.293004E+000,0.000000E+000
14,Zn,3.148327E-002,1.017942E-001,8.848719E-002,1.654764E-001,9.205224E-003,4.717028E-001
14,Br,8.263683E-003,6.462955E-002,0.000000E+000,0.000000E+000,9.211278E-003,6.559364E+000
14,Pb,1.373378E-002,5.065038E-002,5.706599E-002,1.090330E-001,0.000000E+000,4.401366E-001
14,BC,2.899973E-001,1.081778E+001,1.587513E+001,1.051470E+001,4.525037E-001,1.906259E+001
