
Residuals from Base Run #14 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
14,11/12/06 06:43,2.282000E-002,-1.460000E-001,1.555000E-001,-1.453000E-001,1.416000E+000,4.519000E-003,3.759000E-002,-2.901000E-003,-1.339000E-001,4.300000E-001,-3.253000E-002,-2.066000E-004,1.475000E-003,-2.339000E-001,-6.447000E-003,8.869000E-005,2.698000E-003,2.100000E-001
14,11/14/06 03:18,-1.364000E+000,-1.757000E-001,2.289000E-001,-1.550000E-001,1.874000E+000,-4.009000E-003,2.418000E-002,-3.432000E-003,-2.342000E-001,8.160000E-001,-3.388000E-002,-1.166000E-003,4.352000E-003,-1.653000E-001,-4.743000E-003,8.876000E-005,1.402000E-003,1.738000E-001
14,11/16/06 04:08,-1.016000E-001,-2.286000E-001,1.572000E-001,-1.022000E-001,1.393000E+000,5.407000E-003,3.318000E-002,-8.159000E-004,-1.438000E-001,1.774000E-001,-3.999000E-002,-4.488000E-004,2.024000E-003,-2.256000E-001,-4.753000E-003,5.889000E-005,2.073000E-003,2.210000E-001
14,11/18/06 04:01,-3.382000E-001,-1.161000E-001,8.781000E-002,-1.308000E-001,8.256000E-001,5.298000E-003,2.740000E-002,-4.091000E-003,-1.804000E-001,3.799000E-002,-2.092000E-002,-1.191000E-004,3.229000E-003,-1.130000E-001,8.839000E-003,-3.467000E-005,-1.128000E-003,6.392000E-002
14,11/20/06 03:11,2.300000E+000,-1.122000E-001,1.131000E-001,-2.782000E-001,1.184000E+000,-1.379000E-002,3.259000E-002,-5.112000E-003,-1.471000E-001,1.213000E-001,-2.739000E-002,-9.793000E-004,4.586000E-003,-1.620000E-001,-4.197000E-003,1.116000E-004,-1.055000E-003,9.799000E-002
14,11/22/06 03:22,-3.186000E-002,-1.914000E-001,5.952000E-002,-1.206000E-001,1.103000E+000,-4.739000E-003,-1.370000E-002,4.203000E-003,6.028000E-002,-1.403000E-002,-2.776000E-002,-4.019000E-004,2.380000E-003,-1.666000E-001,1.144000E-002,-3.740000E-005,-3.859000E-003,-1.121000E-001
14,11/26/06 03:04,-1.985000E+000,-6.484000E-002,-6.240000E-003,-3.816000E-002,4.248000E-001,-1.822000E-003,-1.529000E-003,8.221000E-004,1.272000E-002,6.665000E-003,-1.453000E-002,-3.439000E-004,1.946000E-003,-9.011000E-002,-6.473000E-004,7.637000E-005,-3.376000E-003,1.451000E-002
14,11/28/06 03:01,2.130000E+000,-3.849000E-003,-2.225000E-003,-5.026000E-002,5.193000E-002,2.984000E-003,-9.211000E-003,9.963000E-005,2.830000E-002,5.169000E-004,-7.531000E-003,1.094000E-005,3.595000E-003,-1.663000E-002,-6.037000E-003,4.738000E-004,-5.761000E-003,1.082000E-001
14,11/30/06 03:08,-2.994000E+000,-1.234000E-002,3.053000E-003,3.228000E-003,-1.255000E-001,1.968000E-002,-3.703000E-002,1.158000E-004,4.225000E-002,-8.820000E-003,-5.969000E-003,-4.555000E-005,2.490000E-003,2.940000E-002,-1.426000E-004,-3.903000E-005,1.879000E-003,-1.210000E-001
14,12/02/06 05:11,-3.902000E+000,-1.003000E-001,-3.857000E-002,1.162000E-003,-3.951000E-002,9.990000E-003,2.728000E-003,6.062000E-004,-5.640000E-003,1.900000E-003,-3.642000E-003,-1.577000E-004,8.150000E-004,3.086000E-002,-3.889000E-003,9.517000E-005,-8.821000E-004,8.202000E-002
14,12/04/06 05:21,5.666000E+000,-3.848000E-002,5.137000E-002,-2.905000E-002,2.896000E-002,1.539000E-002,1.139000E-002,-3.630000E-005,-5.294000E-002,5.372000E-003,-1.150000E-002,-8.593000E-004,1.617000E-003,6.294000E-002,1.686000E-003,-3.889000E-005,2.001000E-003,3.896000E-002
14,12/06/06 03:32,1.959000E+000,-2.439000E-002,1.146000E-001,-3.898000E-001,5.976000E-001,4.508000E-003,-3.085000E-002,-9.296000E-003,1.467000E-002,1.216000E-001,-4.511000E-002,3.730000E-004,4.615000E-003,-7.340000E-002,1.981000E-002,-6.302000E-005,-3.369000E-003,-2.429000E-001
14,12/08/06 03:28,-1.382000E+000,-1.703000E-001,2.373000E-002,-2.684000E-001,5.257000E-001,2.321000E-003,-5.000000E-002,8.353000E-004,1.497000E-001,-1.336000E-002,-1.933000E-002,4.942000E-004,1.611000E-003,-1.475000E-002,-4.841000E-003,9.675000E-005,-2.668000E-004,-2.473000E-002
