**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 14

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 25.96300, 11.59500, 18.64975, 19.55950, 21.06550, 25.96300, 19.68125,  2.80630,  0.14259,  0.10809
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.18635,  0.03590,  0.09334,  0.19146,  0.19314,  0.33361,  0.16325,  0.07464,  0.45719,  0.40052
Al,  1.37150,  0.33896,  0.72737,  1.26985,  1.28698,  2.28970,  1.12494,  0.45894,  0.40797,  0.33463
Si,  3.18390,  0.75063,  1.66353,  2.91060,  2.95990,  5.16250,  2.57559,  1.04679,  0.40643,  0.32878
P,  0.00235,  0.00000,  0.00139,  0.00247,  0.00248,  0.00826,  0.00222,  0.00172,  0.77810,  0.73421
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00429,  0.00046,  0.00120,  2.62554,  0.00000
Cl,  0.16835,  0.04144,  0.13189,  0.13686,  0.16770,  0.17201,  0.14079,  0.02879,  0.20447,  0.17099
K,  0.42530,  0.04218,  0.18156,  0.21356,  0.33451,  0.42530,  0.23908,  0.09174,  0.38370,  0.21570
Ca,  0.82191,  0.68977,  0.76565,  0.79309,  0.79785,  0.82191,  0.77429,  0.04321,  0.05581,  0.05257
Ti,  0.10535,  0.05163,  0.06997,  0.09736,  0.09858,  0.14482,  0.09011,  0.02265,  0.25138,  0.21500
V,  0.00178,  0.00105,  0.00134,  0.00159,  0.00161,  0.00206,  0.00153,  0.00023,  0.15391,  0.13204
Mn,  0.01606,  0.00773,  0.01070,  0.01426,  0.01455,  0.02006,  0.01333,  0.00301,  0.22583,  0.18739
Fe,  0.96303,  0.52589,  0.66967,  0.88825,  0.89923,  1.26360,  0.83102,  0.18073,  0.21748,  0.18767
Zn,  0.00817,  0.00000,  0.00118,  0.00127,  0.00677,  0.00905,  0.00325,  0.00337,  1.03582,  0.41199
Br,  0.00215,  0.00000,  0.00000,  0.00000,  0.00048,  0.00215,  0.00033,  0.00062,  1.87123,  0.28820
Pb,  0.00357,  0.00021,  0.00118,  0.00122,  0.00306,  0.00359,  0.00181,  0.00108,  0.59501,  0.30240
BC,  0.07529,  0.00000,  0.00000,  0.00000,  0.00000,  0.07529,  0.00565,  0.01709,  3.02481,  0.22701

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 12.48500,  5.75700,  8.90385,  9.48080,  9.70840, 17.45200,  9.54209,  2.32906,  0.24408,  0.18655
Na,  0.12196,  0.00000,  0.05310,  0.11510,  0.12009,  0.12196,  0.09215,  0.04130,  0.44817,  0.33862
Mg,  0.00000,  0.00000,  0.00400,  0.00693,  0.00695,  0.02701,  0.00876,  0.00793,  0.90538,  0.00000
Al,  0.02400,  0.00000,  0.00000,  0.00000,  0.04801,  0.18423,  0.03306,  0.06267,  1.89569,  2.61122
Si,  0.02561,  0.00000,  0.00868,  0.00919,  0.11728,  0.43414,  0.08676,  0.15026,  1.73196,  5.86674
P,  0.01213,  0.00093,  0.01167,  0.01217,  0.01222,  0.01360,  0.01149,  0.00253,  0.22033,  0.20867
S,  0.51348,  0.23370,  0.45469,  0.49066,  0.50209,  0.51348,  0.46614,  0.06478,  0.13897,  0.12615
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.52646,  0.27887,  0.40912,  0.47080,  0.47208,  0.79584,  0.45615,  0.10231,  0.22430,  0.19434
Ca,  0.10569,  0.00000,  0.05736,  0.06701,  0.06812,  0.10569,  0.06082,  0.02348,  0.38609,  0.22218
Ti,  0.00485,  0.00060,  0.00199,  0.00204,  0.00379,  0.01092,  0.00340,  0.00287,  0.84428,  0.59224
V,  0.00074,  0.00024,  0.00043,  0.00045,  0.00048,  0.00074,  0.00045,  0.00009,  0.19205,  0.11852
Mn,  0.00174,  0.00071,  0.00071,  0.00084,  0.00123,  0.00188,  0.00099,  0.00038,  0.38031,  0.21677
Fe,  0.07039,  0.01493,  0.02976,  0.03011,  0.04468,  0.10213,  0.04143,  0.02270,  0.54787,  0.32248
Zn,  0.01271,  0.00352,  0.00683,  0.00811,  0.00874,  0.01716,  0.00823,  0.00283,  0.34445,  0.22300
Br,  0.00807,  0.00000,  0.00202,  0.01079,  0.01083,  0.01237,  0.00802,  0.00481,  0.59913,  0.59567
Pb,  0.00632,  0.00061,  0.00271,  0.00321,  0.00383,  0.00638,  0.00328,  0.00141,  0.42927,  0.22246
BC,  1.35060,  0.00000,  0.37184,  0.37878,  0.58555,  1.35060,  0.45469,  0.27463,  0.60400,  0.20334

