**** Analysis Summary ****

Time of run: ,02/02/16 22:59
Concentration file: ,\\VBOXSVR\Downloads\pmf_fa\RFsH.csv
Uncertainty file: ,\\VBOXSVR\Downloads\pmf_fa\RFsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      9.6,  2.45000, 21.41000, 26.84500, 38.98500,298.89000, 100.00 %, 100.00 %
Na,Strong,      3.3,  0.02182,  0.16490,  0.25052,  0.41704,  1.43352, 100.00 %, 100.00 %
Mg,Strong,      2.7,  0.00236,  0.04732,  0.09097,  0.21455,  2.81918, 100.00 %, 100.00 %
Al,Strong,      9.4,  0.08604,  0.21547,  0.52338,  1.54504, 14.89216, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.12979,  0.43208,  0.99133,  3.32821, 45.09615, 100.00 %, 100.00 %
P,Strong,      4.0,  0.00021,  0.00846,  0.01420,  0.02096,  0.05093, 100.00 %, 100.00 %
S,Strong,     10.0,  0.04298,  0.43683,  0.59279,  0.81779,  1.29675, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.02523,  0.24506,  0.42634,  0.63546,  2.55173, 100.00 %, 100.00 %
K,Strong,     10.0,  0.07243,  0.67927,  0.86307,  1.07966,  3.46680, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.02640,  0.16467,  0.26319,  0.61152,  9.00901, 100.00 %, 100.00 %
Ti,Strong,      9.8,  0.00530,  0.01628,  0.03514,  0.09978,  1.14153, 100.00 %, 100.00 %
V,Strong,      3.4,  0.00052,  0.00121,  0.00179,  0.00286,  0.01426, 100.00 %, 100.00 %
Mn,Strong,      8.6,  0.00202,  0.00471,  0.00718,  0.01541,  0.20077, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.04657,  0.17182,  0.35465,  0.88609,  9.85383, 100.00 %, 100.00 %
Zn,Strong,      8.6,  0.00075,  0.02061,  0.02500,  0.03269,  0.10811, 100.00 %, 100.00 %
Br,Strong,      9.3,  0.00678,  0.01323,  0.01772,  0.02714,  0.10359, 100.00 %, 100.00 %
Pb,Strong,      6.2,  0.00738,  0.01190,  0.01407,  0.01785,  0.03033, 100.00 %, 100.00 %
BC,Strong,     10.0,  0.39235,  2.60144,  2.85286,  3.25504,  5.70093, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  666
Number of factors:  ,4
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,5916.53     ,6882.32     ,Yes      ,698,3.518569
2,5916.61     ,6882.33     ,Yes      ,471,3.518574
3,5916.45     ,6882.3      ,Yes      ,645,3.518558
4,6445.04     ,7010.71     ,Yes      ,493,3.584208
5,5916.55     ,6882.26     ,Yes      ,694,3.518538
6,5916.48     ,6882.35     ,Yes      ,417,3.518584
7,6445.74     ,7011.55     ,Yes      ,342,3.584637
8,5916.56     ,6882.35     ,Yes      ,446,3.518584
9,5916.46     ,6882.35     ,Yes      ,536,3.518584
10,5916.65     ,6882.22     ,Yes      ,524,3.518517
11,5916.76     ,6882.27     ,Yes      ,460,3.518543
12,5916.37     ,6882.31     ,Yes      ,619,3.518564
13,5916.71     ,6882.25     ,Yes      ,442,3.518533
14,5916.59     ,6882.28     ,Yes      ,519,3.518548
15,6444.9      ,7010.65     ,Yes      ,639,3.584177
16,5916.46     ,6882.28     ,Yes      ,455,3.518548
17,5916.51     ,6882.35     ,Yes      ,407,3.518584
18,5916.48     ,6882.38     ,Yes      ,499,3.518599
19,5916.29     ,6882.39     ,Yes      ,668,3.518604
20,5916.84     ,6882.21     ,Yes      ,312,3.518512

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00038,
3,0.00047,0.00084,
4,4421.06213,4420.73989,4421.35330,
5,0.00060,0.00058,0.00110,4420.61605,
6,0.00091,0.00119,0.00053,4421.58448,0.00197,
7,4419.13070,4418.80810,4419.42224,0.62953,4418.68420,4419.65340,
8,0.00025,0.00045,0.00039,4421.13162,0.00079,0.00063,4419.19999,
9,0.00042,0.00060,0.00051,4421.30891,0.00112,0.00048,4419.37794,0.00027,
10,0.00141,0.00082,0.00199,4419.95496,0.00125,0.00228,4418.02224,0.00139,0.00154,
11,0.00191,0.00125,0.00274,4419.73273,0.00126,0.00332,4417.79945,0.00192,0.00224,0.00049,
12,0.00191,0.00223,0.00153,4421.03081,0.00199,0.00243,4419.09943,0.00195,0.00213,0.00335,0.00396,
13,0.00441,0.00379,0.00506,4419.27632,0.00308,0.00643,4417.34391,0.00469,0.00517,0.00323,0.00289,0.00301,
14,0.00070,0.00042,0.00118,4420.36242,0.00050,0.00173,4418.43017,0.00071,0.00100,0.00057,0.00067,0.00241,0.00325,
15,4425.26878,4424.94704,4425.55971,0.15277,4424.82332,4425.79069,1.39069,4425.33836,4425.51500,4424.16327,4423.94157,4425.23698,4423.48414,4424.57015,
16,0.00056,0.00082,0.00025,4421.35979,0.00135,0.00035,4419.42859,0.00043,0.00036,0.00188,0.00280,0.00181,0.00541,0.00129,4425.56616,
17,0.00043,0.00060,0.00053,4421.30580,0.00120,0.00052,4419.37465,0.00034,0.00022,0.00167,0.00241,0.00217,0.00527,0.00109,4425.51205,0.00041,
18,0.00031,0.00055,0.00046,4421.23002,0.00091,0.00076,4419.29883,0.00030,0.00033,0.00168,0.00231,0.00167,0.00482,0.00093,4425.43629,0.00046,0.00034,
19,0.00156,0.00223,0.00126,4422.35393,0.00280,0.00099,4420.42401,0.00143,0.00113,0.00423,0.00532,0.00288,0.00832,0.00312,4426.55844,0.00110,0.00106,0.00128,
20,0.00290,0.00194,0.00387,4419.24203,0.00226,0.00423,4417.30856,0.00288,0.00324,0.00073,0.00057,0.00535,0.00344,0.00135,4423.45146,0.00377,0.00340,0.00340,0.00692,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.00000,0.00003,0.00003,0.00001,0.00001,0.00005,0.00005,0.00002,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00008,0.00001,0.00002,
3                    1,0.00000,0.00003,0.00001,0.00001,0.00004,0.00003,0.00004,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00008,0.00003,0.00010,
3                    2,0.00000,0.00006,0.00002,0.00001,0.00004,0.00008,0.00012,0.00002,0.00004,0.00002,0.00000,0.00001,0.00001,0.00001,0.00002,0.00026,0.00003,0.00008,
4                    1,5.56411,167.23809,34.27560,24.02179,23.33318,275.79089,976.98735,18.71250,106.12520,21.84923,5.42411,4.22613,47.89731,55.94581,111.23300,1859.18919,133.87996,549.36868,
4                    2,5.56389,167.28010,34.25452,24.01570,23.32693,275.71645,976.91284,18.70876,106.12553,21.84992,5.42530,4.22597,47.88779,55.94902,111.23323,1859.03651,133.87789,549.34956,
4                    3,5.56473,167.24656,34.27008,24.00903,23.31989,275.78090,977.04180,18.71175,106.12704,21.84745,5.42640,4.22706,47.89806,55.94265,111.23161,1859.35540,133.88316,549.46973,
5                    1,0.00000,0.00008,0.00010,0.00001,0.00002,0.00005,0.00006,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002,0.00010,0.00002,0.00005,
5                    2,0.00000,0.00010,0.00015,0.00002,0.00003,0.00001,0.00003,0.00003,0.00002,0.00002,0.00001,0.00001,0.00001,0.00002,0.00002,0.00003,0.00001,0.00005,
5                    3,0.00001,0.00009,0.00013,0.00002,0.00006,0.00007,0.00011,0.00003,0.00005,0.00002,0.00001,0.00001,0.00002,0.00002,0.00004,0.00028,0.00003,0.00011,
5                    4,5.56324,167.13838,34.33582,24.02030,23.32535,275.72876,976.89258,18.71702,106.12288,21.85440,5.42388,4.22649,47.89329,55.94273,111.20998,1858.97718,133.87456,549.36922,
6                    1,0.00001,0.00007,0.00016,0.00003,0.00006,0.00004,0.00007,0.00006,0.00004,0.00002,0.00003,0.00001,0.00002,0.00001,0.00003,0.00010,0.00003,0.00012,
6                    2,0.00001,0.00007,0.00012,0.00003,0.00005,0.00010,0.00016,0.00006,0.00006,0.00004,0.00002,0.00001,0.00002,0.00002,0.00002,0.00028,0.00003,0.00009,
6                    3,0.00001,0.00007,0.00014,0.00001,0.00002,0.00003,0.00004,0.00004,0.00002,0.00002,0.00002,0.00000,0.00001,0.00001,0.00001,0.00005,0.00001,0.00004,
6                    4,5.56586,167.35715,34.20061,24.01148,23.32743,275.78084,977.07431,18.71352,106.14102,21.85346,5.42734,4.22781,47.89852,55.95030,111.23224,1859.46667,133.89273,549.46322,
6                    5,0.00001,0.00021,0.00045,0.00004,0.00010,0.00010,0.00018,0.00009,0.00009,0.00004,0.00004,0.00001,0.00003,0.00003,0.00005,0.00030,0.00005,0.00016,
7                    1,5.56407,167.12582,34.23304,23.99986,23.30212,276.03885,980.33292,18.80157,106.88821,21.89927,5.42671,4.21203,47.81652,55.87919,111.11985,1857.59521,133.71502,545.18045,
7                    2,5.56385,167.16778,34.21198,23.99378,23.29587,275.96430,980.25832,18.79786,106.88851,21.89995,5.42789,4.21186,47.80701,55.88241,111.12009,1857.44245,133.71295,545.16125,
7                    3,5.56469,167.13429,34.22752,23.98711,23.28885,276.02892,980.38743,18.80082,106.89013,21.89749,5.42900,4.21297,47.81728,55.87603,111.11874,1857.76150,133.71821,545.28127,
7                    4,0.00212,0.00047,0.00018,0.00086,0.00132,0.00443,0.05785,0.00032,0.04438,0.00282,0.00034,0.00084,0.00148,0.00025,0.01406,0.00163,0.00398,0.49222,
7                    5,5.56320,167.02614,34.29321,23.99836,23.29430,275.97666,980.23806,18.80610,106.88588,21.90442,5.42648,4.21239,47.81251,55.87610,111.09686,1857.38309,133.70963,545.18083,
7                    6,5.56582,167.24484,34.15811,23.98955,23.29638,276.02887,980.42000,18.80259,106.90408,21.90350,5.42994,4.21372,47.81765,55.88368,111.11910,1857.87287,133.72778,545.27492,
8                    1,0.00000,0.00002,0.00001,0.00001,0.00001,0.00002,0.00003,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001,0.00003,
8                    2,0.00000,0.00003,0.00002,0.00002,0.00001,0.00004,0.00007,0.00003,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00010,0.00002,0.00003,
8                    3,0.00000,0.00004,0.00001,0.00001,0.00003,0.00005,0.00005,0.00002,0.00002,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00008,0.00001,0.00004,
