
Factor Profiles (conc. of species) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
4,mass,1.304800E+001,2.839100E+000,1.680000E+000,6.706400E+000,3.765300E+000
4,Na,3.769700E-003,1.301900E-001,1.890700E-001,0.000000E+000,1.626900E-003
4,Mg,0.000000E+000,1.508900E-002,2.558400E-002,9.151200E-002,0.000000E+000
4,Al,1.611600E-001,0.000000E+000,0.000000E+000,5.742600E-001,5.565900E-002
4,Si,3.065400E-001,2.709800E-003,3.960900E-003,1.224600E+000,1.028700E-001
4,P,7.381100E-004,8.212200E-003,0.000000E+000,2.518400E-003,2.196100E-003
4,S,1.166600E-001,2.976500E-001,9.947600E-002,4.114900E-002,5.164900E-002
4,Cl,0.000000E+000,0.000000E+000,3.721000E-001,4.606700E-002,3.682200E-002
4,K,3.972500E-001,1.657300E-001,5.313500E-002,1.031700E-001,1.063700E-001
4,Ca,0.000000E+000,4.779000E-002,2.397000E-002,1.690300E-001,1.113600E-001
4,Ti,7.655400E-003,1.165300E-003,5.825800E-004,3.402400E-002,7.133500E-003
4,V,5.536600E-004,2.314700E-004,8.237400E-005,4.377400E-004,4.398100E-004
4,Mn,3.382800E-003,3.376700E-005,1.894900E-005,5.117700E-003,1.040400E-003
4,Fe,8.375200E-002,1.417100E-002,5.132600E-005,2.957700E-001,8.199300E-002
4,Zn,1.326000E-002,2.691700E-003,2.791800E-003,1.158800E-003,4.071600E-003
4,Br,8.106000E-003,3.792700E-003,6.135700E-003,4.254300E-004,0.000000E+000
4,Pb,7.799900E-003,8.338400E-004,1.488900E-003,1.968200E-004,3.874800E-003
4,BC,2.055000E+000,0.000000E+000,0.000000E+000,0.000000E+000,7.875300E-001

Factor Profiles (% of species sum) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
4,mass,4.653551E+001,1.012561E+001,5.991697E+000,2.391829E+001,1.342889E+001
4,Na,1.161135E+000,4.010083E+001,5.823692E+001,0.000000E+000,5.011141E-001
4,Mg,0.000000E+000,1.141506E+001,1.935469E+001,6.923025E+001,0.000000E+000
4,Al,2.037218E+001,0.000000E+000,0.000000E+000,7.259200E+001,7.035833E+000
4,Si,1.868371E+001,1.651632E-001,2.414181E-001,7.463976E+001,6.269958E+000
4,P,5.401539E+000,6.009743E+001,0.000000E+000,1.842982E+001,1.607121E+001
4,S,1.923229E+001,4.906987E+001,1.639938E+001,6.783727E+000,8.514731E+000
4,Cl,0.000000E+000,0.000000E+000,8.178220E+001,1.012486E+001,8.092943E+000
4,K,4.811332E+001,2.007255E+001,6.435497E+000,1.249553E+001,1.288311E+001
4,Ca,0.000000E+000,1.357092E+001,6.806758E+000,4.799943E+001,3.162289E+001
4,Ti,1.514098E+001,2.304751E+000,1.152237E+000,6.729327E+001,1.410876E+001
4,V,3.172738E+001,1.326435E+001,4.720427E+000,2.508461E+001,2.520323E+001
4,Mn,3.526095E+001,3.519737E-001,1.975168E-001,5.334485E+001,1.084471E+001
4,Fe,1.760467E+001,2.978745E+000,1.078873E-002,6.217086E+001,1.723493E+001
4,Zn,5.531015E+001,1.122763E+001,1.164516E+001,4.833590E+000,1.698347E+001
4,Br,4.391156E+001,2.054569E+001,3.323812E+001,2.304626E+000,0.000000E+000
4,Pb,5.495108E+001,5.874487E+000,1.048945E+001,1.386617E+000,2.729836E+001
4,BC,7.229475E+001,0.000000E+000,0.000000E+000,0.000000E+000,2.770525E+001

Factor Profiles (% of total variable) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
4,mass,*,*,*,*,*
4,Na,2.889102E-002,4.585608E+000,1.125417E+001,0.000000E+000,4.320771E-002
4,Mg,0.000000E+000,5.314713E-001,1.522857E+000,1.364547E+000,0.000000E+000
4,Al,1.235132E+000,0.000000E+000,0.000000E+000,8.562865E+000,1.478209E+000
4,Si,2.349326E+000,9.544574E-002,2.357679E-001,1.826017E+001,2.732053E+000
4,P,5.656882E-003,2.892536E-001,0.000000E+000,3.755219E-002,5.832470E-002
4,S,8.940834E-001,1.048396E+001,5.921190E+000,6.135781E-001,1.371710E+000
4,Cl,0.000000E+000,0.000000E+000,2.214881E+001,6.869110E-001,9.779301E-001
4,K,3.044528E+000,5.837413E+000,3.162798E+000,1.538381E+000,2.825007E+000
4,Ca,0.000000E+000,1.683280E+000,1.426786E+000,2.520428E+000,2.957533E+000
4,Ti,5.867106E-002,4.104470E-002,3.467738E-002,5.073363E-001,1.894537E-001
4,V,4.243256E-003,8.152936E-003,4.903215E-003,6.527198E-003,1.168061E-002
4,Mn,2.592581E-002,1.189356E-003,1.127917E-003,7.631069E-002,2.763126E-002
4,Fe,6.418762E-001,4.991370E-001,3.055119E-003,4.410265E+000,2.177595E+000
4,Zn,1.016248E-001,9.480821E-002,1.661786E-001,1.727902E-002,1.081348E-001
4,Br,6.212446E-002,1.335881E-001,3.652202E-001,6.343642E-003,0.000000E+000
4,Pb,5.977851E-002,2.936987E-002,8.862500E-002,2.934809E-003,1.029081E-001
4,BC,1.574954E+001,0.000000E+000,0.000000E+000,0.000000E+000,2.091546E+001
