
Residuals from Base Run #19 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
19,11/12/06 06:43,4.876000E+000,5.832000E-003,1.452000E-001,-1.560000E-001,2.630000E+000,7.790000E-003,2.044000E-001,8.869000E-002,-1.241000E-003,-1.065000E-003,-5.961000E-002,-2.887000E-004,2.615000E-003,-4.715000E-001,-4.432000E-003,-3.356000E-003,2.412000E-003,3.465000E-001
19,11/14/06 03:18,2.744000E+000,-7.992000E-002,2.327000E-001,-5.762000E-002,3.263000E+000,-3.639000E-003,5.581000E-002,6.761000E-002,-1.797000E-001,3.902000E-001,-5.519000E-002,-1.273000E-003,6.116000E-003,-3.581000E-001,-3.533000E-003,-1.466000E-003,1.227000E-003,4.218000E-001
19,11/16/06 04:08,7.266000E+000,-7.408000E-002,9.897000E-002,-4.324000E-001,1.637000E+000,7.008000E-003,2.036000E-001,8.408000E-002,6.937000E-002,1.301000E-001,-6.075000E-002,-2.888000E-004,3.351000E-003,-3.587000E-001,-1.014000E-003,-2.758000E-003,2.129000E-003,-2.263000E-002
19,11/18/06 04:01,5.597000E+000,5.169000E-003,4.560000E-002,-3.587000E-001,1.200000E+000,7.889000E-003,2.004000E-001,4.474000E-002,2.040000E-003,-5.492000E-002,-3.916000E-002,-1.329000E-005,4.323000E-003,-2.384000E-001,1.142000E-002,-3.125000E-003,-1.491000E-003,-1.565000E-001
19,11/20/06 03:11,1.431000E+001,-6.736000E-002,7.086000E-002,-3.271000E-001,2.429000E+000,-1.543000E-002,2.978000E-002,-3.080000E-002,7.300000E-002,1.020000E-001,-3.390000E-002,-6.004000E-004,9.725000E-003,-1.585000E-001,8.482000E-004,1.166000E-003,-1.747000E-004,-7.612000E-002
19,11/22/06 03:22,6.121000E+000,-1.757000E-001,3.683000E-002,-1.776000E-001,1.818000E+000,-7.147000E-003,-5.801000E-002,3.845000E-002,1.496000E-001,-1.791000E-002,-3.318000E-002,-2.304000E-004,5.186000E-003,-1.799000E-001,1.402000E-002,1.477000E-002,-3.099000E-003,-3.406000E-001
19,11/26/06 03:04,1.884000E+000,-8.209000E-002,-1.752000E-002,-1.503000E-002,1.015000E+000,-4.286000E-003,-7.437000E-002,2.658000E-003,5.643000E-002,-4.225000E-003,-1.586000E-002,-2.190000E-004,4.014000E-003,-8.281000E-002,1.050000E-003,1.132000E-002,-2.442000E-003,-1.206000E-002
19,11/28/06 03:01,3.572000E+000,-4.690000E-002,2.530000E-003,4.232000E-002,5.120000E-001,1.196000E-003,-6.672000E-002,3.909000E-004,5.586000E-002,-8.034000E-002,-9.568000E-003,8.193000E-005,4.354000E-003,-3.940000E-002,-2.955000E-003,3.383000E-002,-2.539000E-003,4.728000E-001
19,11/30/06 03:08,1.726000E+000,7.807000E-002,-2.660000E-002,-1.478000E-001,-9.184000E-002,2.682000E-002,2.776000E-001,9.151000E-004,2.860000E-001,2.776000E-002,-1.323000E-002,1.773000E-004,2.688000E-003,-1.002000E-002,2.229000E-003,-5.425000E-003,1.707000E-003,-3.414000E-001
19,02/02/07 03:13,3.107000E+000,-1.273000E-001,-8.235000E-002,1.435000E-001,7.980000E-001,1.300000E-002,1.897000E-001,3.047000E-002,3.788000E-002,-1.024000E-001,9.876000E-004,-5.407000E-005,-1.819000E-004,-3.275000E-002,-1.653000E-003,-2.531000E-003,-1.353000E-003,1.531000E-001
