**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.36400, 11.32400, 11.34825, 11.35600, 11.36350, 11.37200, 11.35310,  0.01320,  0.00116,  0.00116
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.15327,  0.15048,  0.15303,  0.15319,  0.15328,  0.15339,  0.15280,  0.00096,  0.00630,  0.00628
Al,  1.00330,  1.00050,  1.00218,  1.00295,  1.00360,  1.01640,  1.00463,  0.00478,  0.00476,  0.00476
Si,  2.13500,  2.12140,  2.13125,  2.13355,  2.13495,  2.13670,  2.13210,  0.00435,  0.00204,  0.00204
P,  0.00487,  0.00351,  0.00486,  0.00486,  0.00487,  0.00487,  0.00466,  0.00049,  0.10617,  0.10166
S,  0.07201,  0.04974,  0.07184,  0.07196,  0.07201,  0.07207,  0.06863,  0.00811,  0.11822,  0.11268
Cl,  0.08631,  0.08619,  0.08626,  0.08631,  0.08635,  0.09187,  0.08712,  0.00203,  0.02327,  0.02349
K,  0.18213,  0.16106,  0.18176,  0.18200,  0.18212,  0.18227,  0.17888,  0.00762,  0.04258,  0.04183
Ca,  0.32007,  0.31542,  0.31951,  0.31986,  0.32006,  0.32032,  0.31924,  0.00157,  0.00491,  0.00490
Ti,  0.06249,  0.06232,  0.06242,  0.06247,  0.06251,  0.06319,  0.06255,  0.00026,  0.00412,  0.00412
V,  0.00085,  0.00083,  0.00085,  0.00085,  0.00085,  0.00085,  0.00085,  0.00001,  0.00781,  0.00779
Mn,  0.00827,  0.00824,  0.00826,  0.00826,  0.00827,  0.00862,  0.00831,  0.00013,  0.01544,  0.01553
Fe,  0.53081,  0.52933,  0.53021,  0.53061,  0.53096,  0.54155,  0.53207,  0.00392,  0.00737,  0.00739
Zn,  0.00164,  0.00164,  0.00164,  0.00164,  0.00164,  0.00198,  0.00169,  0.00013,  0.07405,  0.07631
Br,  0.00088,  0.00088,  0.00088,  0.00089,  0.00089,  0.00264,  0.00115,  0.00064,  0.56070,  0.72826
Pb,  0.00056,  0.00056,  0.00056,  0.00056,  0.00056,  0.00096,  0.00062,  0.00015,  0.23735,  0.26275
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.07261,  0.01087,  0.02656,  2.44232,  0.00000

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.20280,  3.71880,  5.18923,  5.19230,  5.19813,  5.20470,  4.97304,  0.53917,  0.10842,  0.10363
Na,  0.16322,  0.16286,  0.16295,  0.16305,  0.16325,  0.16610,  0.16349,  0.00106,  0.00651,  0.00652
Mg,  0.02140,  0.01381,  0.02122,  0.02135,  0.02138,  0.02141,  0.02021,  0.00275,  0.13629,  0.12868
Al,  0.07012,  0.00000,  0.06882,  0.06985,  0.07004,  0.07023,  0.05926,  0.02555,  0.43111,  0.36433
Si,  0.14447,  0.00736,  0.14170,  0.14390,  0.14430,  0.14470,  0.12318,  0.04993,  0.40536,  0.34563
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.09272,  0.08332,  0.09253,  0.09258,  0.09268,  0.09285,  0.09125,  0.00339,  0.03714,  0.03655
Cl,  0.39363,  0.38794,  0.39291,  0.39307,  0.39329,  0.39367,  0.39241,  0.00186,  0.00475,  0.00473
K,  0.13111,  0.10458,  0.13080,  0.13090,  0.13102,  0.13117,  0.12699,  0.00963,  0.07587,  0.07348
Ca,  0.05695,  0.03525,  0.05653,  0.05680,  0.05689,  0.05695,  0.05355,  0.00788,  0.14710,  0.13834
Ti,  0.00541,  0.00120,  0.00533,  0.00539,  0.00540,  0.00541,  0.00475,  0.00153,  0.32189,  0.28302
V,  0.00031,  0.00020,  0.00031,  0.00031,  0.00031,  0.00031,  0.00030,  0.00004,  0.13458,  0.12731
