
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
4,11/12/06 06:43,1.472100E-001,3.860000E-001,1.052200E+000,1.121500E+001,4.164300E+000
4,11/14/06 03:18,-2.000000E-001,-2.000000E-001,1.187700E+000,1.106200E+001,4.693300E+000
4,11/16/06 04:08,2.414200E-001,4.892300E-001,9.319500E-001,9.010800E+000,4.082800E+000
4,11/18/06 04:01,6.461400E-001,6.883600E-001,9.680900E-001,8.044100E+000,2.708800E+000
4,11/20/06 03:11,4.532100E-001,-2.000000E-001,1.357800E+000,1.341400E+001,2.171400E+000
4,11/22/06 03:22,1.880200E+000,3.660600E-001,1.506000E+000,8.781900E+000,-2.000000E-001
4,11/26/06 03:04,1.378300E+000,7.336900E-001,5.415500E-001,5.721100E+000,4.985400E-001
4,11/28/06 03:01,1.794800E+000,1.665500E+000,-2.000000E-001,3.270000E+000,-8.709800E-002
4,11/30/06 03:08,1.335600E+000,2.454800E+000,-2.000000E-001,3.327800E+000,1.385300E+000
4,04/01/07 00:30,5.618800E-001,2.989800E-001,1.207600E+000,1.578600E+000,2.590600E+000
4,04/03/07 00:34,1.089500E+000,4.008100E-001,3.076700E-001,1.458900E-001,1.017000E+000
4,04/05/07 00:24,1.392900E+000,1.826900E-001,7.312500E-001,9.690800E-001,2.830200E-001
4,04/07/07 00:28,1.160500E+000,5.389100E-001,2.063100E-001,9.135700E-001,3.819500E-001
4,04/09/07 00:46,4.208500E-001,9.308000E-001,9.917900E-002,7.422600E-001,-1.270000E-001
4,04/11/07 00:50,7.204100E-001,4.663300E-001,5.338400E-001,4.663600E-001,6.991500E-001
4,04/13/07 00:45,1.001100E+000,6.424700E-001,9.961900E-001,9.378000E-001,6.781000E-001
4,04/15/07 01:15,9.225400E-001,4.650500E-001,9.327700E-001,1.595500E+000,2.536600E-001
4,04/17/07 01:10,1.054400E+000,1.379100E-001,1.511200E+000,1.584000E+000,6.866000E-001
4,04/19/07 01:21,8.998100E-001,5.191200E-001,9.454400E-001,1.946200E+000,8.985400E-001
4,04/21/07 01:15,6.054600E-001,5.025900E-001,6.733300E-001,7.289500E-001,1.076200E+000
4,04/23/07 01:00,8.019900E-001,4.663700E-001,3.458000E-001,8.878600E-001,1.864300E+000
4,04/25/07 01:11,6.225300E-001,1.326800E-001,9.703400E-001,5.458300E-001,1.914000E+000
4,04/27/07 01:17,5.941900E-001,-2.000000E-001,1.040600E+000,6.642600E-001,2.418500E+000
4,04/29/07 01:20,6.383100E-001,1.893800E-001,4.687800E-001,4.986000E-001,1.363800E+000
4,05/01/07 01:31,1.019300E+000,5.364600E-001,3.350000E-001,6.507700E-001,2.106400E+000
4,05/03/07 01:39,6.899200E-001,5.025400E-001,2.200200E-001,4.445000E-001,1.667000E+000
4,05/05/07 01:33,6.237400E-001,4.611600E-001,3.552300E-001,9.364600E-001,3.329300E+000
4,05/07/07 01:31,2.761600E-001,-1.319400E-001,7.540600E-001,8.892000E-001,3.124900E+000
4,05/09/07 01:25,4.894500E-001,5.636400E-001,8.089200E-001,1.272600E+000,3.148800E+000
