**** Analysis Summary ****

Time of run: ,10/16/15 20:00
Concentration file: ,E:\pmf_fa\RFsH.csv
Uncertainty file: ,E:\pmf_fa\RFsHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 20.81250, 24.50500, 28.85250,115.18000, 100.00 %, 100.00 %
Na,Strong,      4.2,  0.04390,  0.17792,  0.29219,  0.52058,  1.43352, 100.00 %, 100.00 %
Mg,Strong,      1.9,  0.00236,  0.03672,  0.07049,  0.11926,  1.24843, 100.00 %, 100.00 %
Al,Strong,      9.9,  0.08604,  0.19021,  0.30708,  0.77191,  7.27001, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.12979,  0.35358,  0.60351,  1.42622, 18.56404, 100.00 %, 100.00 %
P,Strong,      4.3,  0.00021,  0.00787,  0.01190,  0.01807,  0.05093, 100.00 %, 100.00 %
S,Strong,     10.0,  0.04298,  0.39592,  0.56963,  0.80810,  1.29675, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.02523,  0.22794,  0.38039,  0.59766,  2.10209, 100.00 %, 100.00 %
K,Strong,     10.0,  0.07243,  0.64851,  0.79106,  0.91719,  1.88688, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.02640,  0.14291,  0.21733,  0.33664,  2.61604, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.00530,  0.01354,  0.02143,  0.05011,  0.44183, 100.00 %, 100.00 %
V,Strong,      3.3,  0.00052,  0.00115,  0.00150,  0.00213,  0.00775, 100.00 %, 100.00 %
Mn,Strong,      9.5,  0.00202,  0.00442,  0.00547,  0.00916,  0.07483, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.04657,  0.14969,  0.23152,  0.46108,  3.91579, 100.00 %, 100.00 %
Zn,Strong,      9.4,  0.00075,  0.01941,  0.02355,  0.03037,  0.10811, 100.00 %, 100.00 %
Br,Strong,      9.7,  0.00678,  0.01271,  0.01772,  0.02705,  0.10291, 100.00 %, 100.00 %
Pb,Strong,      7.6,  0.00738,  0.01174,  0.01404,  0.01753,  0.02854, 100.00 %, 100.00 %
BC,Strong,     10.0,  0.39235,  2.57046,  2.79532,  3.20178,  5.70093, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,5
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,11982.8     ,29678.9     ,Yes      ,888,22.38228
2,11982.7     ,29669.7     ,Yes      ,1224,22.37534
3,11982.8     ,29659.9     ,Yes      ,640,22.36795
4,11982.4     ,29645.7     ,Yes      ,618,22.35724
5,11982.6     ,29672       ,Yes      ,891,22.37707
6,11986.4     ,29738.9     ,Yes      ,929,22.42753
7,11982.9     ,29678.6     ,Yes      ,854,22.38205
8,11986.2     ,29730.4     ,Yes      ,747,22.42112
9,11983       ,29674.2     ,Yes      ,921,22.37873
10,11986       ,29738.8     ,Yes      ,1247,22.42745
11,11982.8     ,29671.3     ,Yes      ,722,22.37655
12,13835.1     ,33643.7     ,Yes      ,1446,25.37232
13,11986.1     ,29735.9     ,Yes      ,1093,22.42526
14,11983.1     ,29669.8     ,Yes      ,603,22.37541
15,11982.6     ,29662       ,Yes      ,901,22.36953
16,11987.7     ,29657.8     ,Yes      ,964,22.36637
17,11982.7     ,29671.3     ,Yes      ,1054,22.37655
18,11982.7     ,29666.3     ,Yes      ,887,22.37278
19,11987.6     ,29660.9     ,Yes      ,913,22.3687
20,11983.1     ,29669.3     ,Yes      ,957,22.37504

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.27594,
3,1.21720,0.33568,
4,3.19121,1.63883,0.56730,
5,0.15102,0.02124,0.51744,1.98992,
6,34.17417,33.99270,34.65152,35.68931,33.95059,
7,0.00908,0.28567,1.22720,3.18553,0.15469,34.22748,
8,35.32129,34.51249,34.48326,34.83518,34.64288,0.40182,35.38530,
9,0.07401,0.25585,1.09240,2.77074,0.15083,34.30301,0.07083,35.42549,
10,34.28705,33.98369,34.50804,35.49959,33.97859,0.04980,34.34987,0.24044,34.48158,
11,0.19002,0.01022,0.44939,1.86783,0.00544,34.03803,0.19961,34.67524,0.18250,34.05531,
12,34454.95002,34452.63901,34451.83018,34451.12608,34452.95224,34517.94454,34454.52763,34515.99119,34454.52263,34518.44131,34454.34252,
13,34.65912,34.14612,34.43977,35.18820,34.19782,0.14924,34.72307,0.08563,34.83162,0.04302,34.25466,34518.10417,
14,0.25916,0.02994,0.41299,1.75983,0.03007,34.24817,0.24916,34.87258,0.21217,34.28669,0.02599,34453.21510,34.47419,
15,0.98755,0.22152,0.01495,0.71552,0.36970,34.36627,0.99210,34.34117,0.87554,34.25755,0.31406,34451.91140,34.23487,0.27900,
16,4.03959,3.85058,4.24370,5.78470,3.88524,45.98828,4.05706,46.40958,4.13103,45.82301,3.89725,34403.40865,46.02514,4.04543,4.18625,
17,0.20357,0.01870,0.45265,1.85791,0.01044,34.13923,0.20542,34.79792,0.17996,34.17307,0.00773,34453.22327,34.37580,0.01243,0.31189,3.99381,
18,0.55071,0.04979,0.13453,1.16433,0.13050,34.23759,0.56217,34.51397,0.48667,34.18651,0.09478,34453.60817,34.26416,0.09079,0.06670,3.99042,0.09779,
19,3.97521,3.97020,4.56559,6.33423,3.95862,46.02432,3.99907,46.64376,4.10691,45.89055,3.98491,34404.25785,46.16048,4.16349,4.47251,0.03490,4.08838,4.18467,
20,0.37024,0.07558,0.38396,1.64463,0.08880,34.56356,0.35496,35.15733,0.29178,34.61418,0.07490,34454.14503,34.78334,0.02418,0.25512,4.22894,0.04225,0.09710,4.37242,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.00016,0.00166,0.00029,0.00028,0.00068,0.00278,0.13374,0.00012,0.00494,0.00682,0.00035,0.00015,0.00112,0.00150,0.00168,0.02033,0.00135,0.09800,
3                    1,0.00058,0.00736,0.00110,0.00101,0.00253,0.01233,0.59000,0.00043,0.01780,0.03258,0.00146,0.00067,0.00480,0.00615,0.00723,0.09054,0.00590,0.43473,
3                    2,0.00016,0.00207,0.00032,0.00027,0.00076,0.00346,0.16202,0.00013,0.00416,0.00971,0.00045,0.00022,0.00133,0.00172,0.00200,0.02522,0.00164,0.12004,
4                    1,0.00277,0.01684,0.00393,0.00385,0.00833,0.02659,1.15818,0.00107,0.13549,0.10440,0.00523,0.00213,0.01736,0.01856,0.03192,0.18403,0.02099,1.44952,
4                    2,0.00170,0.00803,0.00217,0.00216,0.00462,0.01229,0.50509,0.00056,0.11040,0.05806,0.00302,0.00123,0.00982,0.00999,0.01915,0.08364,0.01181,0.79509,
4                    3,0.00089,0.00204,0.00134,0.00108,0.00208,0.00280,0.09568,0.00022,0.09786,0.02089,0.00129,0.00047,0.00409,0.00383,0.00913,0.01977,0.00477,0.29907,
5                    1,0.00009,0.00095,0.00030,0.00032,0.00046,0.00151,0.07032,0.00009,0.00428,0.00675,0.00037,0.00012,0.00072,0.00093,0.00097,0.01103,0.00073,0.05108,
5                    2,0.00003,0.00015,0.00008,0.00002,0.00011,0.00022,0.01019,0.00003,0.00018,0.00007,0.00002,0.00002,0.00009,0.00018,0.00013,0.00172,0.00013,0.00786,
5                    3,0.00027,0.00311,0.00058,0.00026,0.00108,0.00526,0.25318,0.00019,0.00522,0.00989,0.00041,0.00027,0.00195,0.00248,0.00303,0.03912,0.00256,0.18857,
5                    4,0.00199,0.00986,0.00223,0.00204,0.00513,0.01548,0.65784,0.00062,0.11070,0.05816,0.00290,0.00132,0.01125,0.01135,0.02203,0.10574,0.01403,0.95725,
6                    1,0.01839,1.32937,0.64648,1.07683,1.17734,0.47324,1.49034,0.23094,2.13058,9.62722,0.30612,0.07065,0.55044,0.32957,0.74449,12.67503,0.21033,1.08680,
6                    2,0.01768,1.32355,0.64185,1.06096,1.16043,0.46805,1.32111,0.22990,2.07712,9.73586,0.29771,0.07064,0.53780,0.32071,0.75467,12.84283,0.20752,0.92431,
6                    3,0.01747,1.32601,0.63937,1.05119,1.15241,0.46873,1.44993,0.23103,2.05200,9.95018,0.29342,0.07129,0.52991,0.31951,0.77775,13.13568,0.20954,0.97609,
6                    4,0.01783,1.32083,0.62092,1.02249,1.12929,0.47095,1.74973,0.22504,1.97082,10.11173,0.27757,0.07154,0.51644,0.30857,0.79959,13.31691,0.21954,1.53953,
6                    5,0.01779,1.32458,0.64093,1.05908,1.16214,0.46839,1.33955,0.22861,2.07364,9.72912,0.29755,0.07046,0.53638,0.32028,0.75187,12.77570,0.20794,0.94658,
7                    1,0.00002,0.00014,0.00014,0.00023,0.00024,0.00010,0.00021,0.00009,0.00044,0.00341,0.00029,0.00004,0.00012,0.00034,0.00011,0.00287,0.00003,0.00027,
7                    2,0.00015,0.00161,0.00029,0.00022,0.00072,0.00285,0.13713,0.00017,0.00402,0.00111,0.00013,0.00013,0.00113,0.00126,0.00154,0.03130,0.00140,0.10052,
7                    3,0.00058,0.00705,0.00114,0.00065,0.00246,0.01225,0.59685,0.00047,0.01589,0.01596,0.00064,0.00060,0.00472,0.00533,0.00680,0.10987,0.00597,0.43997,
7                    4,0.00274,0.01611,0.00332,0.00278,0.00753,0.02638,1.16753,0.00101,0.13016,0.07160,0.00329,0.00199,0.01697,0.01649,0.03114,0.20784,0.02107,1.45761,
7                    5,0.00008,0.00083,0.00016,0.00019,0.00039,0.00154,0.07274,0.00011,0.00322,0.00090,0.00010,0.00010,0.00066,0.00064,0.00085,0.01882,0.00074,0.05261,
7                    6,0.01832,1.33028,0.63940,1.07164,1.17682,0.47250,1.50354,0.22570,2.13524,9.72119,0.30020,0.07090,0.54670,0.32471,0.75729,12.63987,0.21038,1.08283,
8                    1,0.01927,1.33152,0.64006,1.07623,1.18153,0.48679,2.15586,0.22881,2.18281,9.61323,0.30282,0.07065,0.55371,0.33006,0.75225,12.67069,0.21744,1.50754,
8                    2,0.01833,1.32152,0.63501,1.06034,1.16367,0.47464,1.62861,0.22772,2.11808,9.72274,0.29442,0.07045,0.53894,0.31878,0.75962,12.82391,0.21175,1.12396,
8                    3,0.01789,1.31934,0.63193,1.05056,1.15473,0.46765,1.36339,0.22880,2.08317,9.93812,0.29023,0.07085,0.52864,0.31512,0.77979,13.10114,0.21060,0.93132,
8                    4,0.01770,1.30985,0.61329,1.02184,1.12998,0.46319,1.36236,0.22283,2.03641,10.10191,0.27467,0.07077,0.51128,0.30154,0.79505,13.27641,0.21526,1.11086,
8                    5,0.01851,1.32366,0.63433,1.05844,1.16558,0.47688,1.74559,0.22646,2.11561,9.71618,0.29430,0.07031,0.53808,0.31922,0.75755,12.76123,0.21297,1.20797,
8                    6,0.00013,0.00280,0.00038,0.00016,0.00068,0.00458,0.24060,0.00009,0.01399,0.00058,0.00017,0.00016,0.00130,0.00170,0.00134,0.00630,0.00163,0.12522,
8                    7,0.01920,1.33229,0.63316,1.07112,1.18099,0.48615,2.17317,0.22360,2.18586,9.70823,0.29711,0.07094,0.55008,0.32551,0.76498,12.63942,0.21754,1.50599,
9                    1,0.00015,0.00013,0.00006,0.00033,0.00028,0.00014,0.00230,0.00009,0.03385,0.00748,0.00052,0.00009,0.00043,0.00069,0.00131,0.00748,0.00035,0.01832,
9                    2,0.00004,0.00165,0.00020,0.00014,0.00030,0.00299,0.16755,0.00009,0.03816,0.00037,0.00018,0.00007,0.00031,0.00075,0.00009,0.01079,0.00038,0.03177,
9                    3,0.00021,0.00715,0.00084,0.00045,0.00155,0.01255,0.65864,0.00029,0.05109,0.00961,0.00050,0.00043,0.00270,0.00396,0.00245,0.06152,0.00348,0.27498,
9                    4,0.00173,0.01626,0.00347,0.00226,0.00621,0.02677,1.25301,0.00071,0.05877,0.05684,0.00275,0.00159,0.01293,0.01401,0.02056,0.13306,0.01615,1.14366,
9                    5,0.00005,0.00088,0.00025,0.00013,0.00017,0.00165,0.09542,0.00005,0.03706,0.00024,0.00014,0.00006,0.00013,0.00035,0.00011,0.00542,0.00012,0.00858,
9                    6,0.01797,1.32240,0.64258,1.06163,1.16832,0.47232,1.53743,0.22689,2.11033,9.74455,0.29571,0.07026,0.54095,0.31869,0.75839,12.81146,0.20948,0.99364,
9                    7,0.00015,0.00006,0.00016,0.00011,0.00021,0.00005,0.00215,0.00007,0.03344,0.00101,0.00007,0.00005,0.00035,0.00018,0.00118,0.01162,0.00037,0.01963,
9                    8,0.01866,1.32455,0.63606,1.06115,1.17230,0.48623,2.24629,0.22480,2.19193,9.73218,0.29274,0.07024,0.54325,0.31889,0.76379,12.80823,0.21521,1.31900,
10                    1,0.01820,1.33449,0.63637,1.06362,1.16911,0.47525,1.65435,0.22874,2.11730,9.62148,0.29593,0.06998,0.54082,0.31832,0.74020,12.67001,0.21086,1.12203,
10                    2,0.01753,1.32775,0.63190,1.04818,1.15246,0.46819,1.37228,0.22776,2.06034,9.73913,0.28815,0.07000,0.52827,0.31006,0.75077,12.84662,0.20786,0.93645,
10                    3,0.01737,1.32924,0.62912,1.03880,1.14441,0.46684,1.37686,0.22894,2.03194,9.96382,0.28457,0.07067,0.52041,0.30922,0.77429,13.14913,0.20967,0.96276,
10                    4,0.01786,1.32335,0.61196,1.01112,1.12164,0.46732,1.58175,0.22309,2.00754,10.14188,0.27017,0.07101,0.50721,0.29945,0.79709,13.34373,0.21925,1.48420,
10                    5,0.01763,1.32914,0.63135,1.04632,1.15402,0.46907,1.42175,0.22647,2.05730,9.73249,0.28803,0.06982,0.52693,0.30964,0.74784,12.77768,0.20833,0.96479,
10                    6,0.00003,0.00037,0.00071,0.00049,0.00071,0.00041,0.02422,0.00008,0.01184,0.00367,0.00057,0.00006,0.00031,0.00091,0.00011,0.00354,0.00005,0.00172,
10                    7,0.01813,1.33563,0.62984,1.05893,1.16893,0.47459,1.66876,0.22354,2.12159,9.72189,0.29073,0.07028,0.53734,0.31437,0.75293,12.63353,0.21092,1.11796,
10                    8,0.00017,0.00181,0.00049,0.00036,0.00091,0.00240,0.11265,0.00014,0.00405,0.00278,0.00036,0.00013,0.00124,0.00179,0.00176,0.00740,0.00140,0.10061,
10                    9,0.01784,1.32777,0.63246,1.04909,1.16054,0.47453,1.71545,0.22478,2.13507,9.74867,0.28653,0.06968,0.53165,0.30866,0.75447,12.81537,0.20995,1.01908,
11                    1,0.00010,0.00114,0.00021,0.00029,0.00047,0.00191,0.08948,0.00011,0.00207,0.00605,0.00038,0.00011,0.00082,0.00106,0.00108,0.01831,0.00092,0.06549,
11                    2,0.00002,0.00006,0.00002,0.00006,0.00018,0.00012,0.00454,0.00002,0.00087,0.00011,0.00007,0.00001,0.00008,0.00018,0.00010,0.00018,0.00007,0.00351,
11                    3,0.00024,0.00276,0.00044,0.00032,0.00100,0.00469,0.22009,0.00015,0.00817,0.01088,0.00045,0.00027,0.00177,0.00230,0.00278,0.02774,0.00221,0.16312,
11                    4,0.00193,0.00931,0.00241,0.00219,0.00503,0.01446,0.60425,0.00057,0.11974,0.06044,0.00292,0.00134,0.01082,0.01096,0.02141,0.08749,0.01322,0.89934,
11                    5,0.00002,0.00005,0.00007,0.00007,0.00010,0.00007,0.00129,0.00003,0.00081,0.00010,0.00006,0.00001,0.00006,0.00007,0.00005,0.00132,0.00005,0.00122,
11                    6,0.01797,1.32286,0.64147,1.06393,1.16526,0.46900,1.33192,0.23024,2.10032,9.70458,0.29638,0.07049,0.53923,0.31791,0.75222,12.86290,0.20861,0.94274,
11                    7,0.00010,0.00111,0.00021,0.00019,0.00046,0.00202,0.09232,0.00017,0.00186,0.00081,0.00009,0.00010,0.00079,0.00078,0.00100,0.02901,0.00096,0.06761,
11                    8,0.01869,1.32158,0.63474,1.06340,1.16876,0.47684,1.70478,0.22807,2.14589,9.69161,0.29321,0.07033,0.54082,0.31675,0.75778,12.84540,0.21338,1.18321,
11                    9,0.00004,0.00112,0.00013,0.00008,0.00016,0.00214,0.11757,0.00009,0.03603,0.00031,0.00010,0.00006,0.00014,0.00040,0.00005,0.00905,0.00017,0.01484,
11                    10,0.01782,1.32724,0.63154,1.05124,1.15714,0.46948,1.40367,0.22811,2.08476,9.70755,0.28692,0.06985,0.52980,0.30728,0.74827,12.86670,0.20899,0.95896,
12                    1,10.96628,10.63524,10.84420,591.54956,1752.18908,32.30517,115.94542,69.94198,1239.99042,15316.08271,108.18356,19.21448,158.32135,305.46137,177.76159,14247.78817,52.98455,234.78490,
12                    2,10.96112,10.60238,10.81821,591.62695,1751.55903,32.32299,116.73439,69.92884,1239.43068,15316.15772,108.16179,19.20687,158.21842,305.26760,177.76093,14246.65211,52.98449,234.24449,
12                    3,10.95436,10.55783,10.84862,591.81860,1751.53736,32.35776,117.90441,69.89258,1239.13450,15315.44661,108.19465,19.19774,158.15998,305.28590,177.79993,14245.83825,52.99043,233.91071,
12                    4,10.94641,10.51385,10.69303,591.83411,1751.32141,32.35217,119.05042,69.92692,1237.67812,15315.50526,108.15391,19.17957,158.00267,305.07465,177.87669,14245.81215,52.99445,234.21031,
