
Factor Profiles (conc. of species) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
5,mass,2.838700E+000,1.592700E+001,9.304500E+000
5,Na,1.779800E-001,1.514000E-001,0.000000E+000
5,Mg,2.218800E-002,1.193200E-002,1.011900E-001
5,Al,0.000000E+000,1.389000E-001,6.333500E-001
5,Si,1.595100E-003,2.711800E-001,1.195200E+000
5,P,0.000000E+000,1.034200E-002,3.150300E-003
5,S,1.111700E-001,3.621800E-001,5.967500E-002
5,Cl,3.955300E-001,0.000000E+000,5.877700E-002
5,K,8.141500E-002,5.871800E-001,1.580900E-001
5,Ca,2.810700E-002,8.791400E-002,2.267200E-001
5,Ti,8.553400E-004,9.416600E-003,3.993800E-002
5,V,1.649100E-004,9.136700E-004,6.436300E-004
5,Cr,8.090100E-005,1.325800E-003,5.174700E-004
5,Mn,1.985800E-004,3.110500E-003,6.227100E-003
5,Fe,6.447400E-003,1.069000E-001,3.664900E-001
5,Ni,3.315000E-004,2.877300E-003,1.509600E-004
5,Cu,1.504300E-003,3.555600E-003,5.439100E-004
5,Zn,4.329300E-003,1.644600E-002,2.876200E-003
5,Br,6.338500E-003,1.173000E-002,4.921200E-004
5,Rb,1.736900E-004,1.212000E-003,6.908700E-004
5,Sr,3.977500E-004,1.632000E-003,2.152300E-003
5,Zr,5.161300E-005,8.263400E-004,1.394800E-003
5,Pb,2.655400E-003,9.346600E-003,1.654400E-003
5,BC,1.993300E-001,2.194400E+000,3.292600E-001

Factor Profiles (% of species sum) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
5,mass,1.011286E+001,5.673989E+001,3.314725E+001
5,Na,5.403485E+001,4.596515E+001,0.000000E+000
5,Mg,1.639790E+001,8.818269E+000,7.478383E+001
5,Al,0.000000E+000,1.798640E+001,8.201360E+001
5,Si,1.086599E-001,1.847307E+001,8.141827E+001
5,P,0.000000E+000,7.665113E+001,2.334887E+001
5,S,2.085643E+001,6.794804E+001,1.119553E+001
5,Cl,8.706227E+001,0.000000E+000,1.293773E+001
5,K,9.848371E+000,7.102827E+001,1.912337E+001
5,Ca,8.200653E+000,2.565027E+001,6.614908E+001
5,Ti,1.703527E+000,1.875445E+001,7.954202E+001
5,V,9.575487E+000,5.305218E+001,3.737233E+001
5,Cr,4.204460E+000,6.890240E+001,2.689314E+001
5,Mn,2.082385E+000,3.261788E+001,6.529973E+001
5,Fe,1.343663E+000,2.227838E+001,7.637795E+001
5,Ni,9.866776E+000,8.564005E+001,4.493178E+000
5,Cu,2.684424E+001,6.344969E+001,9.706075E+000
5,Zn,1.830455E+001,6.953470E+001,1.216075E+001
5,Br,3.415026E+001,6.319832E+001,2.651420E+000
5,Rb,8.364314E+000,5.836576E+001,3.326993E+001
5,Sr,9.510886E+000,3.902392E+001,5.146519E+001
5,Zr,2.270946E+000,3.635855E+001,6.137051E+001
5,Pb,1.944436E+001,6.844117E+001,1.211447E+001
5,BC,7.320262E+000,8.058788E+001,1.209186E+001

Factor Profiles (% of total variable) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3
5,mass,*,*,*
5,Na,6.269772E+000,9.505870E-001,0.000000E+000
5,Mg,7.816254E-001,7.491681E-002,1.087538E+000
5,Al,0.000000E+000,8.721040E-001,6.806921E+000
5,Si,5.619121E-002,1.702643E+000,1.284540E+001
5,P,0.000000E+000,6.493376E-002,3.385781E-002
5,S,3.916229E+000,2.274000E+000,6.413563E-001
5,Cl,1.393349E+001,0.000000E+000,6.317051E-001
5,K,2.868038E+000,3.686696E+000,1.699070E+000
5,Ca,9.901363E-001,5.519809E-001,2.436671E+000
5,Ti,3.013140E-002,5.912350E-002,4.292332E-001
5,V,5.809349E-003,5.736611E-003,6.917405E-003
5,Cr,2.849931E-003,8.324229E-003,5.561503E-003
5,Mn,6.995456E-003,1.952973E-002,6.692568E-002
5,Fe,2.271251E-001,6.711873E-001,3.938847E+000
5,Ni,1.167788E-002,1.806555E-002,1.622441E-003
5,Cu,5.299257E-002,2.232436E-002,5.845666E-003
5,Zn,1.525100E-001,1.032586E-001,3.091192E-002
5,Br,2.232888E-001,7.364852E-002,5.289054E-003
5,Rb,6.118646E-003,7.609719E-003,7.425117E-003
5,Sr,1.401170E-002,1.024675E-002,2.313182E-002
5,Zr,1.818191E-003,5.188297E-003,1.499060E-002
5,Pb,9.354282E-002,5.868400E-002,1.778064E-002
5,BC,7.021876E+000,1.377786E+001,3.538718E+000
