
Residuals from Base Run #4 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
4,11/12/06 06:43,7.125000E+000,-1.092000E-001,1.491000E-001,2.636000E-001,3.514000E+000,2.834000E-003,1.226000E-002,1.983000E-002,3.869000E-002,-6.429000E-002,-2.734000E-002,-2.739000E-004,2.047000E-003,-3.153000E-001,-5.305000E-003,-2.725000E-003,5.447000E-005,7.164000E-002
4,11/14/06 03:18,4.452000E+000,-1.102000E-001,2.087000E-001,1.162000E-001,3.627000E+000,-6.641000E-003,4.819000E-003,-1.211000E-002,-7.148000E-002,2.045000E-001,-4.069000E-002,-1.491000E-003,3.715000E-003,-3.598000E-001,-2.921000E-003,3.022000E-003,-1.375000E-003,1.177000E-001
4,11/16/06 04:08,8.760000E+000,-1.898000E-001,8.401000E-002,-1.790000E-001,2.171000E+000,3.940000E-004,-6.261000E-003,1.654000E-002,9.265000E-002,-4.002000E-003,-4.206000E-002,-4.624000E-004,2.409000E-003,-2.988000E-001,-5.255000E-004,-2.369000E-003,3.026000E-004,-1.078000E-001
4,11/18/06 04:01,7.140000E+000,-1.099000E-001,3.543000E-002,-9.372000E-002,1.754000E+000,3.699000E-003,1.726000E-002,1.612000E-002,1.273000E-002,-5.757000E-002,-1.581000E-002,1.290000E-004,3.781000E-003,-1.122000E-001,1.201000E-002,-5.409000E-003,-1.565000E-003,-2.739000E-002
4,11/20/06 03:11,9.415000E+000,-7.141000E-002,-3.390000E-002,-6.271000E-001,1.768000E+000,-1.549000E-002,-1.174000E-002,3.817000E-003,5.290000E-002,6.805000E-002,-3.410000E-002,-4.528000E-004,2.368000E-003,-2.650000E-001,-3.234000E-005,-3.047000E-004,8.978000E-004,-3.670000E-002
4,11/22/06 03:22,-2.966000E-001,-2.243000E-001,-5.090000E-002,-4.729000E-001,1.173000E+000,-1.421000E-003,-3.024000E-002,-1.334000E-002,5.831000E-002,1.661000E-001,-2.977000E-002,3.159000E-004,-9.004000E-004,-1.843000E-001,1.164000E-002,5.593000E-003,-8.519000E-004,-2.548000E-001
4,11/26/06 03:04,-1.994000E+000,-7.409000E-002,-6.774000E-002,-2.230000E-001,5.648000E-001,-1.114000E-003,-2.078000E-002,-3.941000E-003,2.841000E-002,5.456000E-002,-1.698000E-002,-8.348000E-007,-1.647000E-004,-1.232000E-001,-1.265000E-004,9.373000E-003,-1.922000E-003,-9.774000E-002
4,11/28/06 03:01,-5.557000E-001,-3.411000E-002,-1.591000E-002,-8.366000E-002,2.413000E-001,4.368000E-003,-1.101000E-002,-3.157000E-004,-3.247000E-004,1.143000E-002,-8.211000E-003,2.833000E-004,1.360000E-003,-4.002000E-002,-5.778000E-003,3.360000E-002,-3.329000E-003,1.214000E-001
4,11/30/06 03:08,2.330000E-001,-7.066000E-002,-4.292000E-002,-7.380000E-002,5.763000E-002,1.835000E-002,-1.926000E-002,-7.416000E-004,1.820000E-001,-8.294000E-003,-5.973000E-003,9.516000E-005,2.063000E-003,2.478000E-002,1.575000E-003,-7.062000E-003,1.329000E-003,-1.645000E-001
4,04/01/07 00:30,-1.121000E+000,1.066000E-001,-1.549000E-002,-1.296000E-002,-7.323000E-002,-4.213000E-003,-2.044000E-002,-1.674000E-003,6.757000E-002,1.002000E-002,-2.612000E-003,4.082000E-004,-2.222000E-004,1.574000E-002,-6.476000E-004,1.371000E-004,5.744000E-003,-2.157000E-001
4,04/03/07 00:34,4.598000E-001,1.013000E-001,-2.291000E-002,1.581000E-002,-2.754000E-002,3.603000E-003,-9.997000E-003,-7.017000E-004,1.229000E-002,6.197000E-004,5.775000E-004,-5.015000E-004,5.393000E-005,6.767000E-003,-3.130000E-003,1.427000E-002,-5.197000E-004,-1.115000E-001
4,04/05/07 00:24,1.671000E+000,2.044000E-002,-6.261000E-003,4.822000E-002,-1.512000E-001,1.090000E-003,1.332000E-002,4.279000E-003,-1.407000E-002,-5.289000E-003,1.183000E-002,3.163000E-004,5.019000E-004,4.837000E-002,-4.974000E-003,-7.460000E-003,-1.739000E-003,2.497000E-001
4,04/07/07 00:28,-1.505000E+000,2.975000E-002,1.665000E-002,5.473000E-002,-1.508000E-001,6.594000E-004,2.859000E-003,-5.903000E-004,-2.333000E-002,-1.615000E-003,6.157000E-003,1.050000E-003,-1.809000E-004,2.077000E-002,1.505000E-002,1.947000E-002,3.976000E-004,1.561000E-002
4,04/09/07 00:46,8.559000E+000,2.863000E-002,-5.251000E-002,-5.656000E-003,-1.637000E-001,-2.544000E-003,-1.925000E-002,-3.033000E-004,2.263000E-001,8.809000E-004,1.921000E-003,1.784000E-003,1.692000E-003,1.792000E-002,7.901000E-003,5.026000E-003,1.610000E-002,-8.712000E-002
4,04/11/07 00:50,-1.111000E+000,5.350000E-002,-3.307000E-002,1.217000E-002,-4.227000E-002,2.757000E-003,7.884000E-003,-1.738000E-003,-2.263000E-002,-1.997000E-003,2.656000E-003,-4.925000E-004,-8.166000E-005,1.820000E-002,1.304000E-003,3.184000E-003,6.030000E-004,8.709000E-002
4,04/13/07 00:45,-2.444000E+000,-4.389000E-002,-4.978000E-002,6.670000E-002,-8.722000E-002,4.919000E-003,3.135000E-002,-1.413000E-003,-1.431000E-001,-6.656000E-003,5.902000E-003,2.680000E-003,8.134000E-006,3.194000E-002,2.096000E-003,4.894000E-002,2.070000E-003,1.808000E-001
4,04/15/07 01:15,-2.491000E+000,-2.851000E-002,-3.855000E-002,5.877000E-002,1.343000E-001,3.169000E-003,2.236000E-002,-6.675000E-005,-9.228000E-002,-5.994000E-003,2.836000E-003,6.889000E-004,-1.359000E-003,-1.351000E-003,1.643000E-002,-2.810000E-004,1.272000E-002,1.222000E-001
4,04/17/07 01:10,-1.008000E+000,-4.272000E-003,-4.711000E-002,2.350000E-002,-4.182000E-002,1.666000E-003,-3.283000E-003,-9.392000E-003,-9.648000E-003,1.247000E-003,4.373000E-003,3.111000E-004,-1.317000E-003,1.089000E-002,-5.234000E-004,4.351000E-003,2.157000E-003,2.458000E-003
4,04/19/07 01:21,-4.139000E+000,4.077000E-002,-4.596000E-002,6.567000E-002,5.472000E-002,-3.095000E-003,3.037000E-002,6.969000E-004,-5.815000E-002,-1.046000E-002,-1.119000E-004,1.070000E-004,1.495000E-003,3.734000E-002,8.035000E-002,-2.970000E-003,3.197000E-003,1.775000E-001
4,04/21/07 01:15,-6.698000E-001,4.629000E-002,-3.129000E-002,3.525000E-002,-5.799000E-002,-2.054000E-003,1.031000E-002,-3.457000E-003,-2.418000E-002,-1.666000E-003,3.560000E-003,9.733000E-004,2.720000E-004,3.813000E-003,1.299000E-003,5.278000E-003,1.609000E-003,7.357000E-002
4,04/23/07 01:00,7.155000E-001,8.045000E-002,-7.254000E-003,-2.433000E-003,-9.092000E-002,7.100000E-003,-1.066000E-002,-1.530000E-004,1.572000E-002,-1.375000E-003,3.641000E-003,-2.987000E-004,-1.442000E-004,3.684000E-002,1.033000E-003,4.944000E-004,-4.356000E-003,-9.554000E-002
4,04/25/07 01:11,-1.697000E+000,5.017000E-002,-3.037000E-002,4.714000E-002,-4.321000E-002,2.818000E-003,-4.151000E-003,-4.705000E-003,-2.588000E-003,1.889000E-003,1.286000E-003,8.864000E-004,1.095000E-004,2.281000E-004,1.392000E-002,1.161000E-002,4.791000E-003,-5.980000E-002
4,04/27/07 01:17,-1.795000E+000,1.773000E-001,7.953000E-002,7.923000E-002,9.441000E-004,-4.634000E-003,9.376000E-003,-4.301000E-003,-1.787000E-002,2.568000E-004,-2.092000E-003,2.800000E-003,1.864000E-003,-2.370000E-003,3.147000E-002,7.177000E-003,-4.630000E-004,1.147000E-001
4,04/29/07 01:20,4.861000E-001,4.700000E-002,-3.856000E-002,2.642000E-002,-1.969000E-002,-2.341000E-003,6.950000E-003,2.995000E-004,-1.337000E-002,-3.124000E-003,4.572000E-004,-8.378000E-005,1.041000E-003,1.193000E-002,-1.114000E-003,-1.047000E-003,-1.040000E-005,8.911000E-002
4,05/01/07 01:31,-4.403000E+000,-1.997000E-003,3.991000E-003,6.702000E-003,-5.897000E-002,-3.114000E-003,-1.286000E-002,5.236000E-004,8.161000E-002,4.899000E-004,1.912000E-003,3.719000E-004,-3.017000E-004,1.235000E-002,-1.440000E-003,-2.036000E-003,-1.711000E-003,-2.285000E-001
4,05/03/07 01:39,7.929000E-001,1.574000E-001,1.920000E-002,3.676000E-002,-2.680000E-002,5.063000E-004,-1.203000E-004,-9.061000E-004,-1.178000E-002,6.494000E-004,-1.809000E-004,1.946000E-004,-6.263000E-004,1.069000E-002,-7.534000E-005,5.517000E-003,-3.586000E-003,6.900000E-002
4,05/05/07 01:33,-7.471000E+000,2.036000E-001,-7.867000E-003,7.123000E-002,-4.103000E-003,1.825000E-003,-9.709000E-004,-1.316000E-003,-3.227000E-003,3.701000E-003,3.642000E-003,3.549000E-003,3.363000E-004,-1.911000E-002,6.716000E-003,1.435000E-002,6.515000E-003,4.709000E-002
