**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 4

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 13.04800, 12.18400, 12.31175, 13.01050, 13.02175, 13.04800, 12.77890,  0.35180,  0.02753,  0.02696
Na,  0.00377,  0.00000,  0.00000,  0.00388,  0.00401,  0.00410,  0.00257,  0.00193,  0.75355,  0.51316
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Al,  0.16116,  0.13585,  0.14971,  0.16052,  0.16074,  0.17313,  0.15531,  0.01078,  0.06944,  0.06692
Si,  0.30654,  0.25403,  0.28347,  0.30527,  0.30575,  0.33979,  0.29493,  0.02315,  0.07850,  0.07553
P,  0.00074,  0.00031,  0.00073,  0.00074,  0.00080,  0.00246,  0.00080,  0.00042,  0.52255,  0.56462
S,  0.11666,  0.09987,  0.10937,  0.11653,  0.11664,  0.11674,  0.11341,  0.00549,  0.04841,  0.04706
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.39725,  0.36889,  0.37716,  0.39663,  0.39693,  0.39757,  0.38945,  0.01080,  0.02774,  0.02719
Ca,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.08542,  0.00427,  0.01910,  4.47214,  0.00000
Ti,  0.00766,  0.00648,  0.00712,  0.00762,  0.00763,  0.01190,  0.00757,  0.00112,  0.14800,  0.14628
V,  0.00055,  0.00052,  0.00054,  0.00055,  0.00055,  0.00069,  0.00055,  0.00003,  0.06071,  0.06055
Mn,  0.00338,  0.00309,  0.00316,  0.00337,  0.00338,  0.00341,  0.00330,  0.00013,  0.03827,  0.03732
Fe,  0.08375,  0.07372,  0.07839,  0.08345,  0.08354,  0.13363,  0.08358,  0.01243,  0.14874,  0.14843
Zn,  0.01326,  0.01233,  0.01280,  0.01323,  0.01324,  0.01327,  0.01303,  0.00033,  0.02511,  0.02467
Br,  0.00811,  0.00000,  0.00760,  0.00811,  0.00812,  0.00814,  0.00755,  0.00180,  0.23766,  0.22146
Pb,  0.00780,  0.00736,  0.00763,  0.00778,  0.00779,  0.00835,  0.00774,  0.00020,  0.02533,  0.02514
BC,  2.05500,  1.94450,  1.99578,  2.05005,  2.05108,  2.15600,  2.03460,  0.04611,  0.02266,  0.02244

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  2.83910,  2.83910,  2.84190,  2.84455,  3.26998,  3.49280,  3.02136,  0.25672,  0.08497,  0.09042
Na,  0.13019,  0.11504,  0.13013,  0.13022,  0.14614,  0.15813,  0.13658,  0.01259,  0.09220,  0.09673
Mg,  0.01509,  0.01463,  0.01483,  0.01508,  0.01509,  0.01642,  0.01512,  0.00047,  0.03125,  0.03132
Al,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  4.47214,  0.00000
Si,  0.00271,  0.00266,  0.00269,  0.00271,  0.00272,  0.01638,  0.00347,  0.00305,  0.87858,  1.12570
P,  0.00821,  0.00806,  0.00821,  0.00821,  0.00833,  0.00964,  0.00850,  0.00058,  0.06839,  0.07078
S,  0.29765,  0.29747,  0.29768,  0.29792,  0.32327,  0.34852,  0.31038,  0.02085,  0.06716,  0.07004
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.16573,  0.16529,  0.16540,  0.16565,  0.19191,  0.19323,  0.17455,  0.01276,  0.07310,  0.07699
Ca,  0.04779,  0.01821,  0.04770,  0.04774,  0.04784,  0.06092,  0.04618,  0.01250,  0.27077,  0.26166
Ti,  0.00117,  0.00000,  0.00116,  0.00116,  0.00117,  0.00155,  0.00108,  0.00046,  0.42200,  0.39125
V,  0.00023,  0.00015,  0.00023,  0.00023,  0.00023,  0.00028,  0.00023,  0.00003,  0.13871,  0.13941
Mn,  0.00003,  0.00003,  0.00003,  0.00003,  0.00003,  0.00010,  0.00004,  0.00002,  0.57563,  0.70390
Fe,  0.01417,  0.00049,  0.01414,  0.01415,  0.01419,  0.01882,  0.01323,  0.00532,  0.40211,  0.37529
Zn,  0.00269,  0.00232,  0.00269,  0.00269,  0.00304,  0.00328,  0.00280,  0.00024,  0.08474,  0.08822
Br,  0.00379,  0.00000,  0.00376,  0.00378,  0.00415,  0.00513,  0.00380,  0.00099,  0.25983,  0.26006
Pb,  0.00083,  0.00040,  0.00083,  0.00083,  0.00084,  0.00100,  0.00083,  0.00013,  0.16105,  0.16058
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.68000,  1.29480,  1.67620,  1.67855,  2.02193,  4.59170,  1.87693,  0.68183,  0.36327,  0.40585
Na,  0.18907,  0.15844,  0.17375,  0.18883,  0.18899,  0.18914,  0.18100,  0.01242,  0.06860,  0.06567
Mg,  0.02558,  0.01613,  0.02527,  0.02558,  0.02559,  0.02562,  0.02497,  0.00210,  0.08398,  0.08198
Al,  0.00000,  0.00000,  0.00000,  0.00000,  0.00137,  0.02526,  0.00518,  0.01029,  1.98589,  0.00000
Si,  0.00396,  0.00395,  0.00395,  0.00396,  0.01554,  0.05785,  0.01573,  0.02182,  1.38712,  5.50949
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.09948,  0.08312,  0.09603,  0.09919,  0.09935,  0.09948,  0.09697,  0.00491,  0.05065,  0.04938
Cl,  0.37210,  0.30404,  0.37166,  0.37189,  0.37218,  0.39901,  0.36057,  0.02962,  0.08214,  0.07960
K,  0.05314,  0.03447,  0.05292,  0.05303,  0.06436,  0.13525,  0.05828,  0.02027,  0.34785,  0.38155
Ca,  0.02397,  0.00000,  0.02394,  0.02396,  0.02398,  0.04431,  0.02185,  0.01298,  0.59402,  0.54147
Ti,  0.00058,  0.00058,  0.00058,  0.00058,  0.00086,  0.00152,  0.00077,  0.00033,  0.42744,  0.56856
V,  0.00008,  0.00004,  0.00008,  0.00008,  0.00008,  0.00019,  0.00008,  0.00003,  0.39383,  0.39729
Mn,  0.00002,  0.00000,  0.00002,  0.00002,  0.00023,  0.00051,  0.00010,  0.00015,  1.55026,  7.96804
Fe,  0.00005,  0.00000,  0.00005,  0.00006,  0.00006,  0.01753,  0.00198,  0.00490,  2.47427, 95.45184
Zn,  0.00279,  0.00243,  0.00279,  0.00279,  0.00282,  0.00452,  0.00285,  0.00041,  0.14384,  0.14675
