
Factor Contributions (avg = 1) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
6,11/12/06 04:19,1.663300E+000,1.967200E+000,1.480000E-001,1.121100E+000,6.967700E-001,9.068700E-001
6,11/16/06 04:08,2.349700E+000,1.345100E+000,4.077400E-001,6.652500E-001,1.069700E+000,6.307300E-001
6,11/18/06 04:01,3.096500E+000,7.072100E-001,6.426300E-001,2.188300E-001,1.088800E+000,3.932200E-001
6,11/20/06 03:11,2.121700E+000,1.269600E+000,2.481600E-001,9.837300E-001,1.055700E+000,1.392700E+000
6,11/22/06 03:22,1.161400E+000,1.366300E+000,3.770700E-001,5.742600E-001,7.593100E-001,5.691200E-001
6,11/26/06 03:04,8.329800E-001,1.167500E+000,3.486300E-001,5.243900E-001,8.778300E-001,1.162600E+000
6,11/28/06 03:01,1.086400E+000,9.381600E-001,1.265400E-001,9.879600E-001,9.875800E-001,1.613300E+000
6,11/30/06 03:08,7.870200E-002,1.146700E+000,8.775400E-002,1.429400E+000,1.658900E+000,2.394200E+000
6,12/02/06 05:11,5.789900E-001,1.069600E+000,3.505100E-001,8.031600E-001,1.067300E+000,1.545900E+000
6,12/04/06 05:21,9.246900E-001,8.508600E-001,2.800800E-001,1.407800E+000,1.617900E+000,1.811600E+000
6,12/06/06 03:32,1.607200E+000,1.283300E+000,1.232000E-001,1.700100E+000,-4.639200E-002,6.773500E-001
6,12/08/06 03:28,1.168500E+000,7.943100E-001,5.218600E-002,1.077200E+000,4.726700E-001,8.391800E-001
6,12/10/06 03:20,5.247300E+000,8.734600E-001,-1.730400E-001,7.251100E-001,1.505000E+000,1.158700E+000
6,12/12/06 03:18,1.041100E+000,1.118200E+000,6.530500E-001,8.984900E-001,1.080400E+000,4.531300E-001
6,12/14/06 03:19,1.924700E+000,4.090800E-001,5.683500E-001,6.503500E-001,1.707900E+000,9.647300E-001
6,12/16/06 03:09,1.827900E+000,1.611900E-001,4.284100E-001,7.142900E-001,1.968600E+000,1.892700E+000
6,12/18/06 03:10,1.265300E+000,8.395100E-001,6.124700E-001,3.903200E-001,8.139400E-001,1.541100E+000
6,12/20/06 03:26,1.589200E+000,4.636200E-001,1.406300E-001,9.109500E-001,1.154700E+000,1.016500E+000
6,12/22/06 03:29,5.228300E-001,7.795100E-001,1.833600E-001,9.870000E-001,4.345200E-001,1.481700E+000
6,12/24/06 04:27,7.962000E-001,1.978500E+000,1.630500E-001,2.497700E-001,-1.283200E-001,1.682400E+000
6,12/26/06 03:20,2.216400E-001,1.363900E+000,2.180700E-001,3.892200E-001,-2.000000E-001,1.190000E+000
6,12/28/06 03:22,2.109600E-001,1.443500E+000,5.089700E-001,8.850700E-001,-1.788200E-001,1.647300E+000
6,01/01/07 03:20,3.903500E+000,1.024100E+000,-5.501700E-002,4.391200E+000,-2.000000E-001,3.097900E+000
6,01/03/07 03:07,7.813700E-001,1.497900E+000,-9.552700E-002,1.876900E+001,1.480100E+000,2.347800E+000
6,01/05/07 02:54,-9.322300E-002,-8.883200E-002,3.300500E-002,1.624500E-001,1.789700E-002,5.000200E-002
