**** Analysis Summary ****

Time of run: ,10/16/15 20:11
Concentration file: ,E:\pmf_fa\RGcH.csv
Uncertainty file: ,E:\pmf_fa\RGcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      7.1,  7.62000, 19.81000, 29.66000, 49.52000,437.88000, 100.00 %, 100.00 %
Na,Strong,      2.7,  0.01957,  0.20677,  0.38114,  0.62658,  3.96295, 100.00 %, 100.00 %
Mg,Strong,      2.7,  0.00898,  0.13366,  0.19566,  0.39788,  1.60603, 100.00 %, 100.00 %
Al,Strong,      9.8,  0.00353,  0.63994,  1.59943,  2.83009, 10.48102, 100.00 %, 100.00 %
Si,Strong,      9.9,  0.00186,  1.63112,  3.54954,  7.02649, 29.53665, 100.00 %, 100.00 %
P,Strong,      2.3,  0.00039,  0.00790,  0.01510,  0.02410,  0.07352, 100.00 %, 100.00 %
S,Strong,      6.5,  0.00028,  0.12922,  0.17290,  0.23003,  2.06066, 100.00 %, 100.00 %
Cl,Strong,      9.9,  0.00077,  1.05613,  1.39451,  1.76715,  6.45379, 100.00 %, 100.00 %
K,Strong,      9.0,  0.00047,  0.20929,  0.33720,  0.55960,  3.15296, 100.00 %, 100.00 %
Ca,Strong,      9.9,  0.00043,  0.65751,  1.14776,  1.84966, 11.59203, 100.00 %, 100.00 %
Ti,Strong,      9.9,  0.00042,  0.05707,  0.12898,  0.22414,  1.56528, 100.00 %, 100.00 %
V,Strong,      1.9,  0.00000,  0.00082,  0.00206,  0.00350,  0.03096, 100.00 %, 100.00 %
Mn,Strong,      9.1,  0.00042,  0.00765,  0.01509,  0.03025,  0.31505, 100.00 %, 100.00 %
Fe,Strong,      9.9,  0.00042,  0.64293,  1.19815,  2.09693, 15.58105, 100.00 %, 100.00 %
Zn,Strong,      4.9,  0.00038,  0.01058,  0.01544,  0.02165,  0.08107, 100.00 %, 100.00 %
Br,Strong,      2.2,  0.00003,  0.00264,  0.00405,  0.00628,  0.08034, 100.00 %, 100.00 %
Pb,Strong,      0.9,  0.00050,  0.00304,  0.00466,  0.00732,  0.06992, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,6
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,2558.64     ,2688.79     ,Yes      ,912,1.556013
2,2555.46     ,2687.03     ,Yes      ,1396,1.554994
3,2558.39     ,2688.45     ,Yes      ,1014,1.555816
4,2558.31     ,2689.09     ,Yes      ,1641,1.556186
5,2555.42     ,2687.11     ,Yes      ,2140,1.55504
6,2554.53     ,2687.17     ,Yes      ,1052,1.555075
7,2556.96     ,2688.66     ,Yes      ,1116,1.555938
8,2558.35     ,2689.18     ,Yes      ,959,1.556238
9,2555.21     ,2687.05     ,Yes      ,3004,1.555006
10,2555.9      ,2688.88     ,Yes      ,1263,1.556065
11,2558.77     ,2688.75     ,Yes      ,982,1.55599
12,2558.39     ,2688.48     ,Yes      ,958,1.555833
13,2555.42     ,2687.06     ,Yes      ,1814,1.555012
14,2554.64     ,2687.49     ,Yes      ,971,1.55526
15,2558.27     ,2688.51     ,Yes      ,852,1.555851
16,2556.82     ,2688.8      ,Yes      ,1574,1.556018
17,2556.83     ,2688.76     ,Yes      ,1632,1.555995
18,2555.17     ,2687.14     ,Yes      ,1858,1.555058
19,2557.44     ,2689.1      ,Yes      ,1282,1.556192
20,2558.39     ,2688.44     ,Yes      ,1049,1.55581

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,5.13617,
3,2.97209,3.91945,
4,1.59437,5.98685,2.04127,
5,5.18877,0.00554,4.05344,6.05686,
6,6.10148,0.50605,5.13403,6.95653,0.44868,
7,4.35017,3.91761,4.60459,5.26740,3.91791,4.21704,
8,1.69152,5.97275,1.81682,0.04221,6.04876,6.99261,5.22430,
9,5.33612,0.02558,4.22108,6.16136,0.01207,0.35334,3.95817,6.16239,
10,2.83205,5.82387,4.81411,3.10272,5.84575,6.19629,5.21751,3.44177,5.87332,
11,0.01537,5.14885,2.81226,1.51711,5.20737,6.16885,4.45259,1.61346,5.36124,2.80273,
12,2.98452,3.95239,0.00212,2.03792,4.08692,5.16715,4.61205,1.81345,4.25542,4.81903,2.82262,
13,5.14724,0.00321,3.98360,6.00620,0.00335,0.47396,3.89935,5.99297,0.01676,5.81093,5.16326,4.01672,
14,6.03448,0.57851,5.12833,6.66693,0.51595,0.14658,4.04574,6.70518,0.42167,5.97636,6.09828,5.16041,0.53166,
15,2.78318,3.96434,0.03592,1.83282,4.09628,5.16939,4.58275,1.60799,4.25949,4.71300,2.64048,0.03777,4.02534,5.12576,
16,4.03758,3.85842,4.43070,4.91619,3.85937,4.18066,0.09944,4.88666,3.90340,4.92975,4.15080,4.43642,3.84145,3.98309,4.37703,
17,4.21493,3.82284,4.54067,5.13222,3.82017,4.12057,0.02926,5.09522,3.85932,5.11529,4.32509,4.54813,3.80433,3.94946,4.50442,0.02790,
18,5.37104,0.04490,4.34319,6.23697,0.02305,0.31295,3.95566,6.24391,0.00512,5.87021,5.40278,4.37836,0.03321,0.38729,4.38098,3.89941,3.85336,
19,3.60424,5.20394,4.89918,4.27900,5.20730,5.36049,1.33638,4.31567,5.21046,3.97365,3.74629,4.90635,5.17246,4.97884,4.67171,1.08832,1.23895,5.20568,
20,2.99470,3.92390,0.00281,2.06148,4.05789,5.13930,4.61694,1.83427,4.22595,4.83409,2.83710,0.00422,3.98857,5.12976,0.03085,4.43748,4.55123,4.34795,4.89734,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00109,0.51163,0.18779,0.12798,0.12215,0.87890,0.50506,0.04377,0.44610,0.29176,0.05776,0.00847,0.09448,0.38677,0.96861,0.47389,0.02995,
3                    1,0.00060,0.10877,0.09509,0.07197,0.08655,0.39027,0.46962,0.01321,0.42457,0.17467,0.04464,0.00389,0.05020,0.31271,0.33052,0.38375,0.01107,
3                    2,0.00123,0.38807,0.26558,0.16877,0.12761,0.69319,0.16428,0.02304,0.14206,0.26325,0.08626,0.00957,0.08082,0.41499,0.72966,0.33412,0.02696,
4                    1,0.00039,0.06936,0.14372,0.04345,0.05698,0.14820,0.19882,0.00905,0.08871,0.07673,0.02767,0.00152,0.02844,0.16461,0.25081,0.27165,0.01427,
4                    2,0.00131,0.77458,0.56038,0.12610,0.11054,0.62741,0.39115,0.07199,0.27400,0.27144,0.05884,0.01247,0.09062,0.52960,1.35369,0.66154,0.07119,
4                    3,0.00061,0.16708,0.20958,0.05723,0.02955,0.21766,0.22615,0.02460,0.23716,0.11605,0.02930,0.00421,0.03157,0.18985,0.27813,0.20096,0.02159,
5                    1,0.00111,0.52019,0.18941,0.13650,0.12761,0.90860,0.49998,0.04388,0.44146,0.29415,0.06125,0.00850,0.09733,0.39553,0.96212,0.47144,0.02971,
5                    2,0.00001,0.00056,0.00018,0.00046,0.00037,0.00090,0.00032,0.00004,0.00030,0.00016,0.00023,0.00002,0.00019,0.00116,0.00057,0.00003,0.00003,
5                    3,0.00127,0.39613,0.27092,0.18119,0.13403,0.73479,0.17367,0.02349,0.14861,0.26741,0.09292,0.00975,0.08486,0.43919,0.73488,0.33372,0.02662,
5                    4,0.00135,0.78004,0.56314,0.13319,0.11587,0.65287,0.39366,0.07205,0.27298,0.27530,0.06294,0.01251,0.09412,0.54463,1.35129,0.66033,0.07059,
6                    1,0.00131,0.66826,0.17438,0.20721,0.15863,1.48699,0.45623,0.04962,0.39705,0.35106,0.08845,0.00851,0.11017,0.38378,0.93917,0.59282,0.02785,
6                    2,0.00021,0.05943,0.02030,0.03085,0.02053,0.14346,0.01187,0.00181,0.02405,0.01984,0.01164,0.00174,0.01262,0.06636,0.06247,0.01752,0.00137,
6                    3,0.00164,0.48202,0.19861,0.27482,0.18048,1.33752,0.16423,0.02834,0.17696,0.33237,0.13532,0.01129,0.10636,0.48900,0.73144,0.45692,0.02672,
6                    4,0.00167,0.92400,0.51206,0.19367,0.15959,1.11402,0.34117,0.07813,0.24689,0.33082,0.09408,0.01266,0.11832,0.57248,1.32331,0.86547,0.06820,
6                    5,0.00018,0.05199,0.02080,0.02720,0.01786,0.12421,0.01089,0.00156,0.02229,0.01764,0.00988,0.00161,0.01097,0.05713,0.05571,0.01753,0.00125,
7                    1,0.00178,0.37251,0.36940,0.18848,0.12624,0.57196,0.34923,0.03192,0.26321,0.17942,0.07686,0.01181,0.12544,0.74043,0.58997,0.31663,0.03490,
7                    2,0.00185,0.66544,0.27612,0.12421,0.07422,0.43152,0.36023,0.05428,0.25833,0.17379,0.05591,0.01284,0.14821,0.43243,0.46568,0.37546,0.00707,
7                    3,0.00233,0.41557,0.22160,0.29161,0.16824,0.94696,0.38508,0.03505,0.19434,0.18694,0.12930,0.01340,0.16296,0.78309,0.59635,0.03938,0.03238,
7                    4,0.00254,0.57595,0.68144,0.19170,0.13643,0.57978,0.43789,0.05623,0.22381,0.11974,0.10162,0.01513,0.14465,0.75191,0.92750,0.24293,0.07815,
7                    5,0.00182,0.67207,0.27933,0.12626,0.07647,0.43224,0.35831,0.05438,0.25801,0.17705,0.05552,0.01286,0.14685,0.43358,0.45175,0.37429,0.00711,
7                    6,0.00162,0.70849,0.18990,0.11138,0.11104,0.64580,0.34932,0.05596,0.26150,0.23859,0.04888,0.01156,0.15107,0.46877,0.36652,0.48946,0.00717,
8                    1,0.00040,0.07190,0.17548,0.04671,0.05837,0.14773,0.21853,0.00742,0.10239,0.07944,0.02727,0.00147,0.03017,0.17021,0.25344,0.29407,0.00653,
8                    2,0.00128,0.77928,0.61379,0.12950,0.10920,0.67149,0.36936,0.06517,0.25768,0.28669,0.05809,0.01192,0.09068,0.50423,1.33862,0.63275,0.05303,
8                    3,0.00059,0.16176,0.24684,0.05176,0.02766,0.16114,0.19435,0.02086,0.20363,0.09509,0.02814,0.00362,0.02891,0.17633,0.24718,0.15569,0.01328,
8                    4,0.00002,0.00185,0.00355,0.00170,0.00110,0.00740,0.00235,0.00047,0.00266,0.00264,0.00061,0.00010,0.00064,0.00399,0.00637,0.00435,0.00242,
8                    5,0.00132,0.78460,0.61652,0.13700,0.11427,0.70067,0.37284,0.06524,0.25768,0.29063,0.06216,0.01195,0.09414,0.51879,1.33670,0.63168,0.05255,
8                    6,0.00166,0.92442,0.56240,0.20649,0.16006,1.20230,0.32014,0.07099,0.23116,0.34584,0.09518,0.01224,0.11896,0.54928,1.31077,0.83020,0.05051,
8                    7,0.00255,0.55577,0.73054,0.20520,0.13303,0.64653,0.42956,0.05089,0.21416,0.13164,0.10119,0.01435,0.13778,0.70256,0.90834,0.20066,0.05954,
9                    1,0.00121,0.53489,0.19250,0.15192,0.13451,0.99950,0.49555,0.04444,0.43386,0.29616,0.06922,0.00861,0.10161,0.39345,0.97513,0.47415,0.02944,
9                    2,0.00003,0.00224,0.00055,0.00230,0.00110,0.00755,0.00092,0.00013,0.00096,0.00073,0.00120,0.00010,0.00072,0.00415,0.00269,0.00011,0.00010,
9                    3,0.00137,0.40384,0.27705,0.20051,0.14193,0.82504,0.16477,0.02399,0.14659,0.26906,0.10485,0.01018,0.08943,0.45434,0.74659,0.33505,0.02650,
9                    4,0.00139,0.79681,0.56585,0.14498,0.12283,0.72215,0.37186,0.07256,0.26187,0.27728,0.07059,0.01272,0.09832,0.54985,1.36094,0.66143,0.06993,
9                    5,0.00003,0.00132,0.00021,0.00093,0.00033,0.00362,0.00087,0.00006,0.00068,0.00032,0.00052,0.00007,0.00033,0.00131,0.00130,0.00013,0.00006,
9                    6,0.00015,0.04263,0.02078,0.02124,0.01522,0.08663,0.00865,0.00122,0.01762,0.01417,0.00715,0.00122,0.00926,0.04661,0.04297,0.01683,0.00099,
9                    7,0.00187,0.67719,0.28393,0.13008,0.08070,0.45567,0.36206,0.05474,0.25818,0.17904,0.05740,0.01262,0.14949,0.42582,0.44565,0.37671,0.00701,
9                    8,0.00136,0.80224,0.61918,0.14955,0.12108,0.77693,0.35093,0.06573,0.24654,0.29243,0.06996,0.01220,0.09843,0.52409,1.34708,0.63263,0.05203,
10                    1,0.00074,0.07161,0.04654,0.14628,0.09224,0.78849,0.33497,0.00596,0.23712,0.21325,0.05673,0.00492,0.06832,0.16961,0.30047,0.06813,0.22668,
10                    2,0.00138,0.55801,0.19452,0.17882,0.11051,0.96264,0.44052,0.05035,0.21677,0.30758,0.07283,0.01256,0.11560,0.46194,1.34343,0.45106,0.34537,
10                    3,0.00117,0.17061,0.03255,0.22975,0.09055,1.57706,0.21163,0.01664,0.16719,0.51210,0.06000,0.00888,0.09072,0.37874,0.79347,0.23575,0.23729,
10                    4,0.00099,0.15906,0.21390,0.17285,0.06796,0.82167,0.09611,0.01532,0.08827,0.24939,0.05448,0.00570,0.07631,0.19247,0.64587,0.09754,0.14481,
10                    5,0.00142,0.56835,0.19785,0.18608,0.11591,0.94805,0.44937,0.05055,0.22195,0.30979,0.07731,0.01261,0.11584,0.47202,1.32508,0.44964,0.34393,
10                    6,0.00134,0.70411,0.14787,0.18532,0.15168,1.07148,0.40861,0.05660,0.21893,0.38421,0.08792,0.01116,0.11815,0.46044,1.24330,0.60680,0.33838,
10                    7,0.00165,0.33719,0.24926,0.12612,0.15629,0.76525,0.49855,0.02682,0.24137,0.25507,0.07234,0.01003,0.16912,0.79870,0.91429,0.23488,0.36059,
10                    8,0.00106,0.17386,0.25665,0.19527,0.07656,0.93668,0.08612,0.01457,0.08129,0.28809,0.05955,0.00618,0.08045,0.22122,0.66989,0.11237,0.18196,
10                    9,0.00144,0.57575,0.20226,0.19396,0.12307,0.96165,0.42519,0.05133,0.21239,0.31622,0.08329,0.01238,0.11829,0.46957,1.33355,0.45101,0.34198,
11                    1,0.00003,0.00121,0.00028,0.00068,0.00072,0.00282,0.00059,0.00009,0.00074,0.00063,0.00047,0.00004,0.00078,0.00108,0.00046,0.00047,0.00428,
11                    2,0.00115,0.49559,0.18927,0.13439,0.12228,0.91787,0.48977,0.04280,0.42962,0.29049,0.06202,0.00856,0.09517,0.38569,0.96062,0.47621,0.04735,
11                    3,0.00054,0.10663,0.08790,0.06757,0.07806,0.35686,0.44781,0.01281,0.40342,0.16512,0.03997,0.00357,0.04463,0.28996,0.32221,0.36985,0.01537,
11                    4,0.00034,0.07727,0.14350,0.04418,0.04931,0.14973,0.18538,0.00904,0.07924,0.07252,0.02621,0.00144,0.02477,0.15033,0.24568,0.25284,0.00534,
11                    5,0.00118,0.50442,0.19103,0.14317,0.12786,0.95030,0.48518,0.04290,0.42526,0.29285,0.06588,0.00860,0.09836,0.39521,0.95447,0.47377,0.04695,
11                    6,0.00140,0.65227,0.17387,0.21742,0.16067,1.55791,0.44247,0.04875,0.38276,0.34974,0.09557,0.00869,0.11267,0.38581,0.93504,0.59915,0.04465,
11                    7,0.00190,0.38346,0.36156,0.20148,0.12838,0.62436,0.35146,0.03248,0.25510,0.17915,0.08301,0.01239,0.12819,0.75480,0.59524,0.30636,0.05328,
11                    8,0.00036,0.08142,0.17611,0.04702,0.05079,0.14183,0.20420,0.00754,0.09221,0.07437,0.02576,0.00140,0.02620,0.15655,0.24904,0.27485,0.00381,
11                    9,0.00128,0.51846,0.19431,0.15920,0.13502,1.04604,0.48029,0.04349,0.41769,0.29473,0.07446,0.00872,0.10302,0.39393,0.96764,0.47649,0.04647,
11                    10,0.00078,0.06678,0.04115,0.15170,0.08539,0.86674,0.31623,0.00549,0.22372,0.21568,0.05735,0.00514,0.07079,0.16182,0.30455,0.05952,0.16991,
12                    1,0.00063,0.11048,0.09561,0.07051,0.08845,0.38952,0.47537,0.01321,0.42647,0.17460,0.04385,0.00400,0.05164,0.31834,0.32813,0.38261,0.01110,
12                    2,0.00133,0.39173,0.26522,0.17031,0.13202,0.69549,0.16640,0.02282,0.14324,0.26551,0.08809,0.00970,0.08338,0.41987,0.73519,0.33503,0.02705,
12                    3,0.00002,0.00029,0.00003,0.00026,0.00026,0.00008,0.00013,0.00003,0.00012,0.00006,0.00025,0.00002,0.00031,0.00012,0.00012,0.00003,0.00001,
12                    4,0.00058,0.16748,0.21098,0.05550,0.02886,0.21665,0.22909,0.02467,0.23944,0.11531,0.02742,0.00429,0.03016,0.19105,0.27538,0.19950,0.02156,
12                    5,0.00139,0.39972,0.27059,0.18281,0.13860,0.73711,0.17589,0.02327,0.14976,0.26968,0.09483,0.00989,0.08751,0.44423,0.74032,0.33463,0.02671,
