
Factor Profiles (conc. of species) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
6,mass,1.526500E+001,7.062000E+000,3.076700E+000,1.587500E+001,3.172700E+000,1.543300E+000
6,Na,0.000000E+000,0.000000E+000,4.597100E-001,7.442600E-003,0.000000E+000,0.000000E+000
6,Mg,1.670600E-001,3.103600E-002,5.190600E-002,7.727700E-002,6.395700E-004,0.000000E+000
6,Al,9.990500E-001,2.180500E-001,3.380100E-002,4.587700E-001,2.443300E-002,5.254600E-001
6,Si,2.496200E+000,5.930500E-001,1.216500E-001,1.775700E+000,0.000000E+000,7.474800E-001
6,P,1.970400E-003,0.000000E+000,8.874200E-004,2.376800E-004,3.297200E-003,1.203400E-002
6,S,2.037200E-002,2.002900E-003,3.090400E-002,0.000000E+000,1.303500E-001,0.000000E+000
6,Cl,1.484800E-001,2.429500E-001,8.829300E-001,0.000000E+000,9.398700E-002,1.213300E-001
6,K,1.523700E-001,0.000000E+000,0.000000E+000,1.341600E-001,1.729600E-001,2.850600E-002
6,Ca,4.870000E-001,5.052500E-001,2.926700E-002,5.657600E-001,9.889900E-002,0.000000E+000
6,Ti,7.334600E-002,2.994000E-002,1.745300E-003,4.929600E-002,3.717500E-003,2.916900E-002
6,V,1.177700E-003,4.522200E-004,3.074800E-005,1.424700E-003,1.197700E-004,9.493100E-005
6,Mn,1.146700E-002,3.849200E-003,3.822600E-004,1.135600E-002,0.000000E+000,5.588000E-004
6,Fe,6.395600E-001,1.668700E-001,7.543800E-002,7.501600E-001,2.176000E-002,2.880500E-001
6,Zn,0.000000E+000,3.891700E-003,1.299600E-004,1.670100E-003,6.109500E-003,6.031800E-003
6,Br,4.716600E-004,0.000000E+000,1.054800E-003,2.859500E-004,2.682400E-003,1.233100E-004
6,Pb,8.591500E-004,5.081200E-004,1.880100E-004,1.319100E-003,1.934100E-003,9.508100E-004

Factor Profiles (% of species sum) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
6,mass,3.318861E+001,1.535394E+001,6.689249E+000,3.451485E+001,6.897969E+000,3.355386E+000
