
Residuals from Base Run #6 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
6,11/12/06 04:19,-7.180000E+000,1.908000E-001,6.647000E-002,2.421000E-002,6.366000E-001,-1.455000E-002,5.810000E-003,-6.677000E-003,-1.166000E-002,-2.053000E-002,-1.935000E-003,-1.440000E-005,1.376000E-003,-5.311000E-002,4.609000E-003,-1.089000E-003,-2.313000E-003
6,11/16/06 04:08,2.466000E+000,6.960000E-002,-1.805000E-002,7.432000E-003,4.085000E-001,1.113000E-002,2.647000E-002,-5.387000E-003,-1.301000E-002,3.049000E-002,-1.311000E-002,-5.119000E-004,-2.005000E-003,5.221000E-002,-2.230000E-003,-1.023000E-003,-1.773000E-003
6,11/18/06 04:01,-5.458000E+000,-2.358000E-002,-1.279000E-001,6.476000E-002,2.523000E-001,1.985000E-002,2.158000E-002,1.008000E-003,7.146000E-003,3.921000E-002,-2.158000E-002,-1.764000E-003,-1.617000E-003,5.421000E-002,-5.951000E-003,-8.160000E-004,-3.021000E-004
6,11/20/06 03:11,2.463000E+000,-3.346000E-002,1.106000E-001,-9.057000E-002,3.772000E-001,-1.085000E-002,-1.127000E-002,3.985000E-003,1.840000E-002,-3.108000E-002,-8.538000E-003,2.172000E-005,3.769000E-003,-1.324000E-001,3.557000E-003,-9.795000E-004,-4.696000E-004
6,11/22/06 03:22,3.926000E+000,3.671000E-003,8.686000E-002,2.093000E-002,2.317000E-001,4.392000E-003,8.489000E-003,-2.831000E-003,-2.342000E-002,9.206000E-003,-1.245000E-002,5.029000E-004,-1.188000E-003,3.604000E-002,-8.336000E-004,6.396000E-004,-1.360000E-005
6,11/26/06 03:04,-1.798000E+000,-6.344000E-002,4.041000E-003,-2.504000E-002,2.564000E-002,1.124000E-002,6.319000E-003,1.828000E-003,5.116000E-005,7.931000E-003,-6.870000E-003,-2.594000E-004,2.335000E-004,6.139000E-003,-2.720000E-003,-2.358000E-004,-9.400000E-004
6,11/28/06 03:01,2.141000E+000,-2.496000E-002,-7.953000E-003,-3.290000E-002,6.225000E-002,6.022000E-003,-3.702000E-003,1.892000E-004,1.664000E-003,5.750000E-003,-8.544000E-006,-1.585000E-004,-8.175000E-004,8.611000E-003,-2.607000E-003,2.145000E-003,9.417000E-004
6,11/30/06 03:08,-6.411000E+000,-1.041000E-002,-1.905000E-002,-6.596000E-003,1.698000E-002,-2.038000E-002,-1.139000E-002,1.174000E-003,6.561000E-004,-2.484000E-002,3.128000E-003,7.320000E-004,3.392000E-003,-8.861000E-002,2.441000E-002,-1.773000E-003,6.564000E-004
6,12/02/06 05:11,2.426000E+000,5.328000E-002,4.921000E-003,6.810000E-003,-2.161000E-001,8.574000E-003,1.669000E-002,-1.357000E-003,1.387000E-002,6.549000E-003,6.328000E-003,-6.473000E-004,-1.076000E-004,2.112000E-002,-3.196000E-003,-1.243000E-003,-1.459000E-003
6,12/04/06 05:21,-2.965000E+000,-9.867000E-002,-6.676000E-002,2.473000E-002,2.599000E-002,-2.559000E-003,-6.582000E-003,1.494000E-003,7.675000E-003,4.728000E-003,3.378000E-004,1.184000E-004,-1.743000E-003,6.883000E-002,-3.155000E-003,1.110000E-003,2.622000E-003
6,12/06/06 03:32,1.260000E+001,-3.054000E-003,2.247000E-002,-4.415000E-002,5.385000E-002,-1.053000E-002,-3.202000E-002,-4.314000E-005,2.038000E-002,3.475000E-003,1.414000E-002,-1.896000E-003,-4.467000E-003,1.150000E-001,-2.947000E-004,2.355000E-003,3.719000E-003
6,12/08/06 03:28,5.473000E+000,8.557000E-003,-2.276000E-002,-2.110000E-002,4.943000E-002,-4.275000E-003,-1.537000E-002,-2.094000E-005,-7.113000E-003,-6.676000E-003,5.555000E-003,-4.476000E-004,1.072000E-003,-3.499000E-002,7.701000E-004,6.809000E-004,2.830000E-003
6,12/10/06 03:20,-3.855000E+000,3.512000E-001,1.215000E-001,5.175000E-002,7.547000E-001,2.658000E-002,1.213000E-002,-6.601000E-003,7.245000E-003,5.558000E-002,-3.238000E-002,-1.718000E-003,-2.494000E-003,-9.915000E-002,-3.005000E-003,-3.446000E-004,6.210000E-004
6,12/12/06 03:18,-2.662000E+000,7.200000E-002,8.520000E-002,2.620000E-002,6.114000E-002,-1.071000E-002,1.405000E-003,-3.324000E-003,-2.592000E-002,-4.951000E-003,2.324000E-003,-3.190000E-004,-1.058000E-003,4.439000E-002,2.293000E-003,-3.992000E-005,4.607000E-003
6,12/14/06 03:19,-9.283000E+000,7.476000E-002,3.294000E-002,2.723000E-002,1.566000E-001,-2.985000E-003,-1.978000E-002,-3.731000E-003,-2.797000E-002,2.115000E-003,6.105000E-004,9.477000E-004,-1.212000E-003,3.959000E-003,5.503000E-004,6.511000E-003,-4.476000E-005
