**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 6

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 15.26500,  4.36880,  5.26788, 10.16000, 15.21750, 16.33200,  9.84440,  4.51418,  0.45855,  0.29572
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.16706,  0.10391,  0.11020,  0.13886,  0.16639,  0.17075,  0.13504,  0.02558,  0.18943,  0.15313
Al,  0.99905,  0.56945,  0.61826,  0.86040,  0.89970,  0.99905,  0.77656,  0.15495,  0.19954,  0.15510
Si,  2.49620,  1.02650,  1.15590,  1.92210,  2.34800,  2.49620,  1.74241,  0.56729,  0.32558,  0.22726
P,  0.00197,  0.00000,  0.00000,  0.00034,  0.00231,  0.00251,  0.00088,  0.00110,  1.24773,  0.56016
S,  0.02037,  0.00835,  0.01479,  0.02075,  0.02697,  0.02992,  0.02069,  0.00683,  0.33030,  0.33540
Cl,  0.14848,  0.14808,  0.16217,  0.17646,  0.23839,  0.26907,  0.19794,  0.04089,  0.20658,  0.27539
K,  0.15237,  0.01300,  0.03641,  0.10869,  0.14604,  0.15272,  0.08887,  0.05221,  0.58750,  0.34267
Ca,  0.48700,  0.19810,  0.29369,  0.32993,  0.48592,  0.61282,  0.36706,  0.13384,  0.36462,  0.27482
Ti,  0.07335,  0.03794,  0.04092,  0.05817,  0.07041,  0.07399,  0.05528,  0.01367,  0.24729,  0.18638
V,  0.00118,  0.00014,  0.00022,  0.00072,  0.00117,  0.00124,  0.00066,  0.00042,  0.64633,  0.36063
Mn,  0.01147,  0.00309,  0.00377,  0.00771,  0.01141,  0.01199,  0.00726,  0.00341,  0.46934,  0.29702
Fe,  0.63956,  0.03008,  0.08561,  0.40894,  0.57772,  0.63956,  0.32985,  0.23427,  0.71025,  0.36631
Zn,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Br,  0.00047,  0.00000,  0.00007,  0.00038,  0.00043,  0.00058,  0.00032,  0.00020,  0.64787,  0.43284
Pb,  0.00086,  0.00000,  0.00000,  0.00051,  0.00082,  0.00087,  0.00039,  0.00038,  0.97415,  0.43995

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.06200,  4.30710,  5.23140,  5.33410,  6.70268, 18.37100,  6.23808,  3.00093,  0.48107,  0.42494
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00291,  0.00704,  0.00120,  0.00221,  1.85080,  0.00000
Mg,  0.03104,  0.02266,  0.02499,  0.03999,  0.06994,  0.15636,  0.05165,  0.03139,  0.60777,  1.01149
Al,  0.21805,  0.16524,  0.18933,  0.50904,  0.60128,  1.03020,  0.45543,  0.23038,  0.50586,  1.05656
Si,  0.59305,  0.46500,  0.53850,  1.07555,  1.31508,  2.88320,  1.06271,  0.55381,  0.52113,  0.93383
