
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
11,11/12/06 04:19,1.666700E+000,4.758400E-001,3.130600E+000,-1.768500E-002
11,11/16/06 04:08,1.278500E+000,8.645100E-001,3.482000E+000,2.349900E-001
11,11/18/06 04:01,7.615900E-001,8.604300E-001,4.016600E+000,4.426300E-001
11,11/20/06 03:11,1.764000E+000,8.477500E-001,3.417600E+000,-5.075900E-002
11,11/22/06 03:22,1.177100E+000,6.322100E-001,1.907500E+000,2.519400E-001
11,11/26/06 03:04,1.441600E+000,8.040900E-001,1.253600E+000,1.748300E-001
11,11/28/06 03:01,1.704400E+000,9.289800E-001,1.930900E+000,-1.377200E-001
11,11/30/06 03:08,2.233400E+000,1.585600E+000,9.464500E-001,-1.999900E-001
11,02/02/07 03:13,1.233200E+000,1.056000E+000,2.355900E+000,4.783800E-001
11,02/04/07 03:16,1.593400E+000,5.160300E-001,1.976300E+000,4.412800E-001
11,02/06/07 03:20,1.059000E+000,4.805700E-001,8.371800E-001,7.970400E-001
11,02/08/07 03:14,3.458700E-001,4.245800E-001,1.400000E+000,1.259400E+000
11,02/12/07 03:09,1.387500E+000,1.459300E+000,5.140300E-001,6.212300E-001
11,02/14/07 03:01,1.721700E+000,9.647700E-001,8.017600E-001,1.993000E-001
11,02/16/07 02:51,1.478800E+000,6.923100E-001,2.492700E+000,3.575400E-001
11,02/18/07 02:34,2.782400E+000,1.548200E+000,2.199400E+000,5.643400E-001
11,02/20/07 02:37,1.135800E+000,8.076400E-001,1.242300E+000,1.135900E+000
11,02/22/07 02:35,6.856700E-001,1.032100E+000,1.404900E+000,1.481500E+000
11,02/24/07 02:38,1.139600E+000,1.558000E+000,3.577500E+000,8.600900E-001
11,02/26/07 00:46,1.070300E+000,1.695800E+000,3.792000E+000,7.259000E-001
11,02/28/07 00:39,1.041100E+000,1.671700E+000,4.169800E+000,8.259900E-001
11,03/02/07 00:30,1.116400E+000,1.324600E+000,4.427400E+000,3.986400E-001
11,03/04/07 00:54,1.510700E+000,1.210200E+000,5.700300E+000,-8.866300E-002
11,03/06/07 01:01,2.095200E+000,1.518100E+000,8.195800E+000,-1.051500E-002
11,03/08/07 00:42,2.018000E+000,7.209900E-001,3.769400E+000,5.600900E-001
11,03/10/07 00:43,2.133800E+000,1.295800E+000,3.596600E+000,6.853100E-001
11,03/12/07 00:44,1.403900E+000,5.083800E-001,2.723000E+000,7.040900E-001
11,03/14/07 00:44,9.556300E-001,6.549200E-001,2.831600E+000,8.694600E-001
11,03/16/07 00:42,1.289200E+000,1.023000E+000,9.474800E-001,2.395600E-001
11,03/18/07 00:52,9.441200E-001,8.271500E-001,9.208300E-001,8.042600E-001
11,03/20/07 00:53,1.163900E+000,1.599500E+000,2.859200E+000,1.053400E+000
11,03/22/07 00:46,1.151500E+000,1.391200E+000,2.617000E+000,5.825700E-001
11,03/24/07 00:30,9.996100E-001,6.662000E-001,1.387600E+000,8.740100E-001
11,03/28/07 01:29,1.101700E+000,5.278500E-001,4.940400E-001,5.327000E-001
11,03/30/07 00:38,1.492400E+000,1.328300E+000,7.029300E-001,1.001800E+000
