**** Analysis Summary ****

Time of run: ,02/02/16 23:19
Concentration file: ,\\VBOXSVR\Downloads\pmf_fa\RGsH.csv
Uncertainty file: ,\\VBOXSVR\Downloads\pmf_fa\RGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Strong,      5.9,  7.62000, 18.50250, 24.95000, 35.22000,120.24000, 100.00 %, 100.00 %
Na,Strong,      2.9,  0.04057,  0.32096,  0.45297,  0.70288,  3.96295, 100.00 %, 100.00 %
Mg,Strong,      2.2,  0.00898,  0.12072,  0.18055,  0.26237,  1.07258, 100.00 %, 100.00 %
Al,Strong,      9.4,  0.16455,  0.57583,  1.16580,  1.93108,  8.40825, 100.00 %, 100.00 %
Si,Strong,      9.9,  0.45745,  1.49126,  2.71287,  4.35631, 20.29437, 100.00 %, 100.00 %
P,Strong,      2.1,  0.00039,  0.00682,  0.01396,  0.02246,  0.05120, 100.00 %, 100.00 %
S,Strong,      6.0,  0.00105,  0.13359,  0.17268,  0.22856,  2.06066, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.50937,  1.18027,  1.48541,  1.90933,  6.45379, 100.00 %, 100.00 %
K,Strong,      8.0,  0.00047,  0.18878,  0.28935,  0.44388,  1.76252, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.24073,  0.60396,  0.95172,  1.38595,  3.92764, 100.00 %, 100.00 %
Ti,Strong,      9.7,  0.01251,  0.05330,  0.09738,  0.15230,  0.63700, 100.00 %, 100.00 %
V,Strong,      1.4,  0.00000,  0.00061,  0.00161,  0.00287,  0.00840, 100.00 %, 100.00 %
Mn,Strong,      7.7,  0.00144,  0.00712,  0.01179,  0.02109,  0.09332, 100.00 %, 100.00 %
Fe,Strong,      9.9,  0.15697,  0.58976,  1.03235,  1.57297,  5.15140, 100.00 %, 100.00 %
Zn,Strong,      4.0,  0.00038,  0.00959,  0.01462,  0.01986,  0.06649, 100.00 %, 100.00 %
Br,Strong,      2.2,  0.00003,  0.00291,  0.00419,  0.00592,  0.08034, 100.00 %, 100.00 %
Pb,Strong,      0.7,  0.00050,  0.00283,  0.00422,  0.00592,  0.06992, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  666
Number of factors:  ,4
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,1635.25     ,1659.97     ,Yes      ,260,0.9201608
2,1635.24     ,1659.98     ,Yes      ,297,0.9201663
3,1635.24     ,1659.98     ,Yes      ,330,0.9201663
4,1635.25     ,1659.97     ,Yes      ,270,0.9201608
5,1635.24     ,1659.98     ,Yes      ,183,0.9201663
6,1635.25     ,1659.97     ,Yes      ,264,0.9201608
7,1635.23     ,1659.98     ,Yes      ,359,0.9201663
8,1635.24     ,1659.98     ,Yes      ,304,0.9201663
9,1635.24     ,1659.97     ,Yes      ,332,0.9201608
10,1635.23     ,1659.98     ,Yes      ,328,0.9201663
11,1635.22     ,1659.98     ,Yes      ,301,0.9201663
12,1635.23     ,1659.98     ,Yes      ,218,0.9201663
13,1635.24     ,1659.98     ,Yes      ,299,0.9201663
14,1635.24     ,1659.97     ,Yes      ,237,0.9201608
15,1635.24     ,1659.97     ,Yes      ,292,0.9201608
16,1635.23     ,1659.98     ,Yes      ,246,0.9201663
17,1635.24     ,1659.98     ,Yes      ,363,0.9201663
18,1635.23     ,1659.98     ,Yes      ,287,0.9201663
19,1635.24     ,1659.97     ,Yes      ,269,0.9201608
20,1635.25     ,1659.97     ,Yes      ,230,0.9201608

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00010,
3,0.00011,0.00011,
4,0.00012,0.00013,0.00013,
5,0.00012,0.00011,0.00011,0.00011,
6,0.00011,0.00012,0.00011,0.00010,0.00011,
7,0.00014,0.00014,0.00012,0.00014,0.00010,0.00013,
8,0.00023,0.00025,0.00026,0.00025,0.00028,0.00025,0.00025,
9,0.00020,0.00019,0.00020,0.00016,0.00018,0.00018,0.00019,0.00037,
10,0.00022,0.00021,0.00025,0.00030,0.00029,0.00030,0.00026,0.00023,0.00030,
11,0.00012,0.00013,0.00012,0.00014,0.00012,0.00012,0.00013,0.00031,0.00018,0.00031,
12,0.00061,0.00058,0.00059,0.00060,0.00058,0.00061,0.00055,0.00065,0.00064,0.00067,0.00060,
13,0.00020,0.00024,0.00022,0.00023,0.00023,0.00021,0.00020,0.00017,0.00030,0.00026,0.00024,0.00067,
14,0.00013,0.00012,0.00010,0.00014,0.00011,0.00012,0.00011,0.00030,0.00020,0.00030,0.00010,0.00060,0.00026,
15,0.00012,0.00008,0.00011,0.00009,0.00008,0.00009,0.00013,0.00028,0.00015,0.00030,0.00010,0.00060,0.00025,0.00009,
16,0.00011,0.00014,0.00014,0.00014,0.00014,0.00011,0.00016,0.00030,0.00018,0.00028,0.00013,0.00061,0.00024,0.00014,0.00012,
17,0.00012,0.00011,0.00012,0.00011,0.00010,0.00009,0.00010,0.00026,0.00015,0.00029,0.00010,0.00058,0.00021,0.00010,0.00007,0.00011,
18,0.00027,0.00029,0.00027,0.00027,0.00031,0.00028,0.00026,0.00012,0.00040,0.00026,0.00033,0.00071,0.00016,0.00032,0.00032,0.00032,0.00028,
19,0.00018,0.00019,0.00018,0.00018,0.00017,0.00018,0.00019,0.00036,0.00024,0.00038,0.00019,0.00072,0.00031,0.00019,0.00016,0.00016,0.00017,0.00040,
20,0.00015,0.00015,0.00015,0.00015,0.00014,0.00014,0.00012,0.00025,0.00020,0.00028,0.00015,0.00062,0.00023,0.00016,0.00014,0.00018,0.00014,0.00028,0.00022,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00000,0.00001,0.00000,0.00000,0.00000,0.00001,0.00002,0.00000,0.00000,
3                    1,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,
3                    2,0.00000,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,
4                    1,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00000,0.00000,
4                    2,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,
4                    3,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,
5                    1,0.00001,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,
5                    2,0.00000,0.00001,0.00001,0.00000,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,0.00002,0.00001,0.00000,
5                    3,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,
5                    4,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,
6                    1,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,
6                    2,0.00000,0.00001,0.00001,0.00000,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,
6                    3,0.00000,0.00002,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,
6                    4,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,
6                    5,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00000,
7                    1,0.00001,0.00001,0.00001,0.00000,0.00001,0.00002,0.00000,0.00002,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,
7                    2,0.00000,0.00001,0.00001,0.00000,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00002,0.00001,0.00000,
7                    3,0.00000,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,
7                    4,0.00000,0.00002,0.00001,0.00001,0.00000,0.00001,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,
7                    5,0.00000,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,
7                    6,0.00000,0.00002,0.00001,0.00000,0.00000,0.00001,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00000,
8                    1,0.00000,0.00000,0.00002,0.00001,0.00002,0.00003,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,0.00001,0.00002,0.00004,0.00000,0.00001,
8                    2,0.00000,0.00001,0.00001,0.00002,0.00002,0.00004,0.00000,0.00001,0.00001,0.00002,0.00001,0.00000,0.00002,0.00002,0.00005,0.00001,0.00001,
