
Factor Profiles (conc. of species) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
11,mass,1.190300E+001,2.588300E+000,1.136600E+001,4.988100E+000
11,Na,2.657800E-002,1.588900E-003,6.111700E-004,5.325300E-001
11,Mg,3.778500E-002,3.318400E-006,1.304300E-001,6.825500E-002
11,Al,6.911800E-001,1.195700E-002,7.804000E-001,6.679500E-002
11,Si,1.622300E+000,4.640400E-002,1.824900E+000,1.899500E-001
11,P,1.358500E-002,1.295300E-003,1.802100E-004,1.785000E-004
11,S,2.407900E-009,1.346900E-001,2.292500E-002,3.248600E-002
11,Cl,3.795100E-001,2.978500E-002,1.430700E-001,1.040300E+000
11,K,6.312400E-002,1.695900E-001,1.227900E-001,0.000000E+000
11,Ca,5.724500E-001,3.794300E-002,3.630100E-001,1.518600E-001
11,Ti,5.925800E-002,2.509600E-003,5.480400E-002,7.299900E-003
11,V,8.662500E-004,5.858700E-005,8.782300E-004,1.514200E-004
11,Mn,6.385000E-003,1.014500E-003,8.047500E-003,8.464000E-004
11,Fe,6.149500E-001,4.321100E-002,4.743900E-001,8.618500E-002
11,Zn,9.621700E-003,4.853900E-003,4.087700E-009,7.940700E-004
11,Br,1.453900E-004,2.919900E-003,3.990100E-004,1.019100E-003
11,Pb,1.799700E-003,1.945000E-003,5.667100E-004,1.415200E-004

Factor Profiles (% of species sum) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
11,mass,3.858922E+001,8.391203E+000,3.684828E+001,1.617129E+001
11,Na,4.735011E+000,2.830709E-001,1.088832E-001,9.487303E+001
11,Mg,1.597855E+001,1.403287E-003,5.515633E+001,2.886372E+001
11,Al,4.458271E+001,7.712542E-001,5.033760E+001,4.308432E+000
11,Si,4.404171E+001,1.259762E+000,4.954183E+001,5.156704E+000
11,P,8.914621E+001,8.499896E+000,1.182557E+000,1.171336E+000
11,S,1.266642E-006,7.085181E+001,1.205938E+001,1.708881E+001
11,Cl,2.382862E+001,1.870136E+000,8.983057E+000,6.531819E+001
11,K,1.775620E+001,4.770411E+001,3.453970E+001,0.000000E+000
11,Ca,5.087255E+001,3.371923E+000,3.226001E+001,1.349551E+001
11,Ti,4.783828E+001,2.025970E+000,4.424262E+001,5.893123E+000
11,V,4.432109E+001,2.997564E+000,4.493404E+001,7.747302E+000
11,Mn,3.918764E+001,6.226448E+000,4.939116E+001,5.194741E+000
11,Fe,5.045802E+001,3.545559E+000,3.892476E+001,7.071671E+000
11,Zn,6.301182E+001,3.178784E+001,2.677005E-005,5.200307E+000
11,Br,3.242851E+000,6.512691E+001,8.899719E+000,2.273052E+001
11,Pb,4.041608E+001,4.367910E+001,1.272668E+001,3.178132E+000

Factor Profiles (% of factor total) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
11,mass,7.438195E+001,8.408843E+001,7.431963E+001,6.959921E+001
11,Na,1.660862E-001,5.162003E-002,3.996299E-003,7.430418E+000
11,Mg,2.361188E-001,1.078078E-004,8.528515E-001,9.523654E-001
11,Al,4.319190E+000,3.884578E-001,5.102854E+000,9.319940E-001
11,Si,1.013777E+001,1.507569E+000,1.193260E+001,2.650382E+000
11,P,8.489279E-002,4.208158E-002,1.178351E-003,2.490619E-003
11,S,1.504699E-008,4.375795E+000,1.499012E-001,4.532788E-001
11,Cl,2.371561E+000,9.676521E-001,9.355015E-001,1.451536E+001
11,K,3.944624E-001,5.509623E+000,8.028952E-001,0.000000E+000
11,Ca,3.577245E+000,1.232688E+000,2.373638E+000,2.118910E+000
11,Ti,3.703038E-001,8.153164E-002,3.583506E-001,1.018559E-001
11,V,5.413204E-003,1.903369E-003,5.742542E-003,2.112771E-003
11,Mn,3.989992E-002,3.295898E-002,5.262073E-002,1.180986E-002
11,Fe,3.842828E+000,1.403835E+000,3.101926E+000,1.202544E+000
11,Zn,6.012609E-002,1.576930E-001,2.672852E-008,1.107970E-002
11,Br,9.085434E-004,9.486142E-002,2.609034E-003,1.421955E-002
11,Pb,1.124634E-002,6.318897E-002,3.705585E-003,1.974636E-003
