
Residuals from Base Run #11 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
11,11/12/06 04:19,-2.599000E+000,2.296000E-001,3.004000E-002,-4.718000E-001,2.060000E-001,-2.148000E-002,3.747000E-003,-5.176000E-002,-3.178000E-002,3.851000E-001,-7.869000E-003,3.873000E-004,5.014000E-003,-6.155000E-002,5.551000E-003,-7.102000E-004,-1.865000E-003
11,11/16/06 04:08,5.811000E+000,9.938000E-002,-2.902000E-002,-3.022000E-001,2.605000E-001,8.241000E-003,2.518000E-002,-4.620000E-002,-1.762000E-002,2.842000E-001,-1.509000E-002,-2.394000E-004,9.198000E-004,1.859000E-002,-2.175000E-003,-6.861000E-004,-1.437000E-003
11,11/18/06 04:01,-2.837000E+000,1.369000E-002,-1.205000E-001,-3.288000E-002,4.722000E-001,2.263000E-002,2.552000E-002,2.347000E-004,2.064000E-002,1.609000E-001,-1.650000E-002,-1.603000E-003,1.130000E-003,5.316000E-002,-5.581000E-003,-3.227000E-004,2.238000E-004
11,11/20/06 03:11,3.913000E+000,6.465000E-002,8.508000E-002,-3.698000E-001,1.158000E-001,-1.164000E-002,-1.111000E-002,-1.606000E-002,2.117000E-002,3.702000E-002,-1.501000E-002,1.911000E-004,5.447000E-003,-1.211000E-001,3.977000E-003,-4.758000E-004,-4.458000E-005
11,11/22/06 03:22,6.281000E+000,1.366000E-002,7.724000E-002,-2.536000E-001,-3.591000E-002,-6.955000E-004,8.448000E-003,-2.568000E-002,-3.762000E-002,2.476000E-001,-1.569000E-002,6.933000E-004,6.510000E-004,-3.130000E-002,-1.031000E-003,8.213000E-004,5.166000E-005
11,11/26/06 03:04,-1.224000E+000,-3.272000E-002,8.683000E-003,-4.963000E-002,-5.723000E-002,9.327000E-003,8.101000E-003,8.259000E-003,9.791000E-004,5.979000E-002,-4.610000E-003,-2.004000E-004,7.601000E-004,-2.368000E-002,-2.791000E-003,-6.309000E-005,-9.643000E-004
11,11/28/06 03:01,3.095000E+000,6.595000E-002,-2.065000E-002,-1.004000E-001,3.469000E-004,6.498000E-003,-1.196000E-002,-1.775000E-002,1.430000E-002,-2.179000E-002,-7.277000E-004,2.243000E-005,1.736000E-004,1.044000E-001,-2.324000E-003,2.331000E-003,1.173000E-003
11,11/30/06 03:08,-5.639000E+000,8.461000E-002,-4.843000E-002,-8.509000E-003,-1.540000E-001,-1.806000E-002,-1.731000E-002,-6.807000E-003,3.347000E-002,-8.367000E-002,3.120000E-003,9.800000E-004,2.996000E-003,8.402000E-002,2.682000E-002,-1.618000E-003,1.082000E-003
11,02/02/07 03:13,-1.539000E+000,-1.536000E-002,2.599000E-002,3.153000E-002,1.539000E-001,4.971000E-003,2.029000E-003,1.990000E-002,2.343000E-003,-1.506000E-001,9.335000E-003,6.219000E-004,1.200000E-003,-7.003000E-002,8.650000E-004,-2.939000E-004,-1.548000E-003
11,02/04/07 03:16,4.551000E+000,-5.136000E-002,-3.817000E-002,1.133000E-001,2.149000E-001,9.618000E-004,-2.802000E-002,6.237000E-002,2.015000E-002,-2.336000E-001,2.333000E-002,1.859000E-004,1.301000E-003,-1.121000E-001,1.720000E-003,4.666000E-004,5.107000E-005
