**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 11

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.90300,  6.27330,  7.36160,  8.62360,  9.64138, 11.90300,  8.72236,  1.69543,  0.19438,  0.14244
Na,  0.02658,  0.00000,  0.00000,  0.00992,  0.02295,  0.02658,  0.01109,  0.01097,  0.98899,  0.41267
Mg,  0.03779,  0.00000,  0.00375,  0.00825,  0.02099,  0.03779,  0.01233,  0.01253,  1.01616,  0.33167
Al,  0.69118,  0.33172,  0.40070,  0.48595,  0.55443,  0.69118,  0.48928,  0.10900,  0.22278,  0.15771
Si,  1.62230,  0.78093,  0.94243,  1.14115,  1.30093,  1.62230,  1.14919,  0.25503,  0.22193,  0.15721
P,  0.01359,  0.00979,  0.01054,  0.01220,  0.01302,  0.01359,  0.01191,  0.00129,  0.10796,  0.09464
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00001,  0.00436,  0.00032,  0.00105,  3.23027,434548.88074
Cl,  0.37951,  0.22277,  0.25757,  0.28652,  0.29408,  0.37951,  0.28854,  0.03974,  0.13772,  0.10471
K,  0.06312,  0.02497,  0.03221,  0.04280,  0.05123,  0.06312,  0.04279,  0.01180,  0.27578,  0.18693
Ca,  0.57245,  0.33728,  0.38329,  0.44663,  0.48228,  0.57245,  0.44567,  0.07113,  0.15961,  0.12426
Ti,  0.05926,  0.03110,  0.03654,  0.04332,  0.04864,  0.05926,  0.04374,  0.00852,  0.19466,  0.14369
V,  0.00087,  0.00044,  0.00052,  0.00062,  0.00070,  0.00087,  0.00063,  0.00013,  0.20567,  0.14906
Mn,  0.00639,  0.00292,  0.00358,  0.00439,  0.00506,  0.00639,  0.00442,  0.00105,  0.23830,  0.16500
Fe,  0.61495,  0.34361,  0.39636,  0.46723,  0.51374,  0.61495,  0.46817,  0.08208,  0.17533,  0.13348
Zn,  0.00962,  0.00710,  0.00758,  0.00876,  0.00930,  0.00962,  0.00857,  0.00089,  0.10353,  0.09219
Br,  0.00015,  0.00012,  0.00013,  0.00014,  0.00015,  0.00022,  0.00014,  0.00002,  0.16285,  0.15843
Pb,  0.00180,  0.00124,  0.00136,  0.00160,  0.00171,  0.00180,  0.00155,  0.00018,  0.11855,  0.10233

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  2.58830,  2.58830,  2.99535,  3.55305,  4.16425,  4.75960,  3.59009,  0.68364,  0.19042,  0.26413
Na,  0.00159,  0.00000,  0.00000,  0.00004,  0.02328,  0.04178,  0.01012,  0.01459,  1.44242,  9.18521
Mg,  0.00000,  0.00000,  0.00559,  0.00987,  0.01611,  0.02049,  0.01050,  0.00593,  0.56479,1787.40339
Al,  0.01196,  0.00000,  0.02326,  0.06063,  0.10169,  0.14360,  0.06670,  0.04446,  0.66660,  3.71842
Si,  0.04640,  0.02120,  0.07444,  0.16199,  0.25842,  0.35608,  0.17609,  0.10404,  0.59084,  2.24207
P,  0.00130,  0.00001,  0.00113,  0.00128,  0.00162,  0.00179,  0.00130,  0.00039,  0.30248,  0.30257
S,  0.13469,  0.13469,  0.14135,  0.14454,  0.15103,  0.15242,  0.14546,  0.00558,  0.03834,  0.04140
Cl,  0.02979,  0.01490,  0.03352,  0.04978,  0.08083,  0.11817,  0.05629,  0.02728,  0.48460,  0.91587
K,  0.16959,  0.16959,  0.17788,  0.18879,  0.19860,  0.20664,  0.18902,  0.01152,  0.06094,  0.06792
Ca,  0.03794,  0.01993,  0.04521,  0.06872,  0.08425,  0.10550,  0.06559,  0.02484,  0.37881,  0.65479
Ti,  0.00251,  0.00158,  0.00331,  0.00611,  0.00904,  0.01206,  0.00642,  0.00330,  0.51440,  1.31676
V,  0.00006,  0.00005,  0.00007,  0.00012,  0.00016,  0.00021,  0.00012,  0.00005,  0.41648,  0.87886
Mn,  0.00101,  0.00096,  0.00124,  0.00157,  0.00200,  0.00245,  0.00164,  0.00046,  0.28181,  0.45652
Fe,  0.04321,  0.03232,  0.05065,  0.07688,  0.10274,  0.12943,  0.07809,  0.03061,  0.39201,  0.70841
Zn,  0.00485,  0.00436,  0.00487,  0.00515,  0.00523,  0.00562,  0.00511,  0.00031,  0.06003,  0.06315
Br,  0.00292,  0.00292,  0.00307,  0.00314,  0.00326,  0.00329,  0.00315,  0.00011,  0.03594,  0.03877
Pb,  0.00195,  0.00195,  0.00201,  0.00210,  0.00217,  0.00228,  0.00210,  0.00010,  0.04929,  0.05322

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.36600, 11.31800, 11.98650, 12.57800, 14.00625, 15.62900, 12.95175,  1.23125,  0.09506,  0.10833
Na,  0.00061,  0.00000,  0.00000,  0.00247,  0.01258,  0.01998,  0.00624,  0.00737,  1.18102, 12.06663
Mg,  0.13043,  0.12970,  0.13524,  0.14243,  0.14462,  0.15543,  0.14112,  0.00700,  0.04963,  0.05369
Al,  0.78040,  0.77768,  0.82895,  0.86848,  0.96194,  1.05530,  0.88911,  0.07984,  0.08980,  0.10231
Si,  1.82490,  1.81850,  1.93740,  2.02990,  2.24778,  2.46780,  2.07839,  0.18652,  0.08974,  0.10221
