
Factor Contributions (avg = 1) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
7,11/12/06 04:19,3.027600E-001,1.130600E+000,1.017500E+000,7.061900E-001,2.536400E+000,2.359500E+000
7,11/14/06 03:18,3.142700E-001,4.069100E-001,4.079900E-001,4.856100E-001,1.408800E+000,1.218400E+000
7,11/16/06 04:08,3.231200E-001,1.236800E+000,1.040900E+000,8.121900E-001,2.118700E+000,2.055500E+000
7,11/18/06 04:01,3.879200E-001,1.271600E+000,9.577400E-001,8.292900E-001,2.223600E+000,1.741000E+000
7,11/20/06 03:11,5.989500E-001,6.955500E-001,1.378500E+000,7.000500E-001,2.991700E+000,2.253600E+000
7,11/22/06 03:22,1.399600E+000,8.724100E-001,1.270200E+000,7.301400E-001,1.635400E+000,1.268600E+000
7,11/24/06 03:10,4.572700E-001,1.252300E+000,1.559700E+000,6.875200E-001,1.901100E+000,1.307700E+000
7,11/26/06 03:04,1.169100E+000,9.250000E-001,8.571600E-001,5.423800E-001,1.170800E+000,9.791500E-001
7,11/28/06 03:01,2.459700E+000,1.201700E+000,6.108800E-001,1.934800E-001,9.019800E-001,8.253400E-001
7,11/30/06 03:08,5.640800E-001,2.251000E+000,1.298100E+000,3.687800E-001,6.650000E-001,8.382300E-001
7,12/02/06 05:11,7.781900E-001,1.930900E+000,6.924600E-001,5.991500E-001,4.518500E-001,8.682000E-001
7,12/04/06 05:21,1.847600E+000,2.429500E+000,1.093000E+000,3.336700E-001,9.169800E-001,1.083700E+000
7,12/06/06 03:32,1.009600E+000,2.587900E+000,2.108500E+000,-1.736900E-001,2.627800E+000,2.053500E+000
7,12/08/06 03:28,1.549800E+000,2.809000E+000,9.969200E-001,-6.787900E-002,2.048700E+000,1.362000E+000
7,12/10/06 03:20,1.116400E+000,3.339200E+000,9.851800E-001,2.186000E-001,1.985800E+000,1.725100E+000
7,12/12/06 03:18,1.290900E+000,2.189100E+000,1.628900E+000,6.770100E-001,1.510900E+000,1.151100E+000
7,12/14/06 03:19,2.622200E+000,1.777900E+000,8.029000E-001,4.727200E-001,1.619800E+000,9.892900E-001
