**** Analysis Summary ****

Time of run: ,10/16/15 20:14
Concentration file: ,E:\pmf_fa\RIcH.csv
Uncertainty file: ,E:\pmf_fa\RIcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  7.83000, 42.96500, 58.72000,109.27000,1178.22000, 100.00 %, 100.00 %
Na,Strong,      5.2,  0.01555,  0.35177,  0.58536,  0.97724,  4.84980, 100.00 %, 100.00 %
Mg,Strong,      6.0,  0.08476,  0.20039,  0.31924,  0.87247,  5.39446, 100.00 %, 100.00 %
Al,Strong,     10.0,  0.16102,  0.89447,  2.47315,  5.97099, 33.80708, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.34213,  2.10657,  5.25874, 13.45982, 94.11045, 100.00 %, 100.00 %
P,Strong,      6.4,  0.00069,  0.02094,  0.03143,  0.05194,  0.19410, 100.00 %, 100.00 %
S,Strong,     10.0,  0.11687,  0.61376,  0.89618,  1.18910,  3.21398, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.29429,  1.44550,  1.91746,  2.58190,  6.86616, 100.00 %, 100.00 %
K,Strong,     10.0,  0.18113,  0.94679,  1.27446,  2.12961, 11.31172, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.25519,  0.85267,  1.57351,  2.82844, 24.81726, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.01552,  0.07428,  0.19087,  0.41898,  3.78084, 100.00 %, 100.00 %
V,Strong,      5.8,  0.00033,  0.00229,  0.00413,  0.00790,  0.06720, 100.00 %, 100.00 %
Mn,Strong,      9.9,  0.00455,  0.01245,  0.02547,  0.05819,  0.75172, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.14514,  0.80610,  1.78780,  3.68595, 35.88559, 100.00 %, 100.00 %
Zn,Strong,      9.8,  0.01414,  0.03297,  0.04363,  0.05468,  0.23771, 100.00 %, 100.00 %
Br,Strong,      9.8,  0.00896,  0.01838,  0.02534,  0.03661,  0.11718, 100.00 %, 100.00 %
Pb,Strong,      7.9,  0.00713,  0.01553,  0.02007,  0.02641,  0.10325, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,6
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,12099.7     ,18846.9     ,Yes      ,1137,10.08935
2,12099.7     ,18873.6     ,Yes      ,1131,10.10364
3,12172.6     ,19285       ,Yes      ,675,10.32388
4,12100.4     ,18841.4     ,Yes      ,806,10.0864
5,12173.6     ,19261.8     ,Yes      ,1008,10.31146
6,12099.9     ,18841.6     ,Yes      ,1797,10.08651
7,12099.5     ,18843.5     ,Yes      ,1086,10.08753
8,12171.9     ,19272.8     ,Yes      ,759,10.31734
9,12099.6     ,18867       ,Yes      ,1302,10.10011
10,12100.5     ,18866       ,Yes      ,647,10.09957
11,12100       ,18876.5     ,Yes      ,1099,10.10519
12,12099.7     ,18842       ,Yes      ,1078,10.08672
13,12099.9     ,18900.3     ,Yes      ,1095,10.11793
14,12099.9     ,18845.2     ,Yes      ,1437,10.08844
15,12099.7     ,18869       ,Yes      ,720,10.10118
16,12099.7     ,18850.3     ,Yes      ,1383,10.09117
17,12099.5     ,18851.9     ,Yes      ,1101,10.09202
18,12099.9     ,18885       ,Yes      ,976,10.10974
19,12099.6     ,18842.4     ,Yes      ,1169,10.08694
20,12173.7     ,19289       ,Yes      ,1069,10.32602

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,15.74873,
3,2829.46945,2764.49985,
4,3.50648,28.32390,2838.37644,
5,2827.55584,2771.02269,1.55232,2833.40218,
6,5.64509,39.14631,2871.38000,1.66934,2864.37150,
7,13.71974,58.02127,2909.13224,6.41958,2899.20411,1.86977,
8,2863.04975,2798.12849,1.30140,2871.99575,1.53090,2904.96906,2942.72139,
9,10.54830,0.53458,2774.92509,21.78531,2779.95695,30.88244,47.80895,2808.53980,
10,64.53029,137.85318,3007.30909,41.29449,2988.51706,32.22114,19.98580,3040.95968,122.89473,
11,77.52667,160.59893,3059.13165,54.79225,3038.19130,41.49468,26.06411,3092.72833,143.63506,2.77304,
12,10.50426,50.55996,2890.78046,3.87654,2881.90193,0.75220,0.32802,2924.36625,41.15654,23.29765,31.11454,
13,38.31121,4.94767,2739.35278,55.65072,2750.53885,71.46762,96.37574,2772.99105,8.70781,191.89053,220.32316,86.49083,
14,0.26736,16.44044,2823.67892,2.13204,2821.42751,4.85453,12.71492,2857.26775,11.26966,60.52686,74.53520,9.36170,39.13080,
15,64.19730,141.77542,3037.59095,44.49390,3018.33762,32.04754,18.57912,3071.18307,125.70684,2.86812,0.72291,23.06535,198.53077,61.77933,
16,0.79461,9.47715,2811.15521,6.27622,2811.12536,10.38929,20.88972,2844.74667,5.56685,78.11735,93.34639,16.71089,28.08181,1.13528,78.80299,
17,33.85653,94.67077,2969.02338,20.69349,2954.51210,12.08831,4.48936,3002.61946,81.53060,7.28205,9.06210,6.90925,142.17083,32.24850,4.83460,44.71664,
18,89.44049,178.54016,3092.75625,66.10692,3070.36436,50.61525,33.16576,3126.34465,160.39819,6.24127,0.73631,39.17342,241.70764,86.76122,2.14163,106.62816,13.26288,
19,9.57286,49.12535,2892.50471,3.98662,2883.89218,0.58875,0.37479,2926.08164,39.75174,25.35401,32.64833,0.09821,84.84485,8.74873,24.21731,15.68019,7.44946,40.57435,
20,2821.30871,2756.33272,0.17256,2830.22598,1.84006,2863.22438,2900.98310,1.90920,2766.75957,2999.19948,3051.00941,2882.62943,2731.18731,2815.52038,3029.46398,2802.99132,2960.87471,3084.62606,2884.35474,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.09848,0.00203,0.00532,0.00719,0.00907,0.00744,0.04601,0.00048,9.35130,0.01606,0.04493,0.00045,0.13388,5.41884,0.52311,0.00076,0.08337,
3                    1,2.17542,156.19725,46.87713,55.95378,67.05784,70.08366,6.62327,17.85991,408.82349,1241.80380,22.07215,6.17334,44.11858,49.28195,597.34486,1.57436,35.44865,
3                    2,1.79181,156.04246,46.95538,56.35619,67.36029,69.99015,6.31976,17.82695,366.34485,1239.79644,21.97211,6.16920,43.30025,33.46151,594.28244,1.57926,34.95080,
4                    1,0.01836,0.00130,0.00391,0.00439,0.00619,0.00381,0.00868,0.00033,1.99495,0.00270,0.00670,0.00111,0.03027,0.78769,0.57013,0.00035,0.06561,
4                    2,0.17992,0.00071,0.00435,0.01040,0.01333,0.00881,0.08019,0.00099,16.77318,0.02661,0.08018,0.00122,0.23935,10.29247,0.50674,0.00091,0.10456,
4                    3,2.25395,156.35450,47.08731,56.30468,67.57781,70.13424,6.52287,17.89151,409.51400,1242.26310,22.14092,6.13239,44.16480,57.94389,595.39648,1.57049,35.12352,
5                    1,2.08271,155.39500,47.24068,56.41833,67.68097,71.01805,6.52107,17.89950,398.83472,1250.43897,22.22526,6.22108,44.27088,43.78935,600.00867,1.58628,35.92432,
5                    2,1.75193,155.24035,47.32154,56.82577,67.98896,70.92596,6.24216,17.86690,361.29764,1248.42110,22.14810,6.21710,43.52528,31.10721,597.09375,1.59170,35.45726,
5                    3,0.00753,0.00396,0.00587,0.00346,0.00575,0.01079,0.00447,0.00066,0.69306,0.22555,0.00857,0.00111,0.01373,0.46870,0.08799,0.00031,0.01080,
5                    4,2.14136,155.55245,47.45290,56.77017,68.20363,71.06998,6.41409,17.93093,397.70516,1250.90382,22.28568,6.17954,44.29025,51.26349,598.06026,1.58234,35.59616,
6                    1,0.03518,0.00024,0.00102,0.00227,0.00267,0.00225,0.01612,0.00035,3.25504,0.00525,0.01559,0.00032,0.04711,2.11570,0.12220,0.00024,0.02354,
6                    2,0.24705,0.00291,0.00817,0.01451,0.01731,0.01467,0.11370,0.00136,23.04007,0.03847,0.11226,0.00092,0.32964,14.29814,0.75483,0.00139,0.15090,
6                    3,2.43938,156.09001,46.98980,56.01975,67.29242,70.23141,6.71986,17.88337,432.43432,1243.08140,22.16870,6.15147,44.59683,64.57586,597.53797,1.57504,35.59242,
6                    4,0.00822,0.00188,0.00284,0.00237,0.00306,0.00261,0.00484,0.00020,0.93254,0.00184,0.00349,0.00044,0.01431,0.33491,0.31936,0.00024,0.03619,
6                    5,2.31475,155.28810,47.35347,56.48269,67.91495,71.16697,6.60389,17.92246,419.48248,1251.72543,22.30801,6.19889,44.70551,57.12053,600.14205,1.58666,36.05467,
7                    1,0.08508,0.00151,0.00237,0.00524,0.00530,0.00478,0.03839,0.00125,7.84202,0.01320,0.03918,0.00052,0.11370,5.29642,0.22264,0.00055,0.04759,
7                    2,0.36328,0.00286,0.01250,0.02141,0.02396,0.02156,0.16650,0.00275,33.87334,0.05699,0.16697,0.00136,0.48611,21.42258,1.17070,0.00215,0.22627,
7                    3,2.65203,156.60342,47.05100,56.05641,67.39766,70.33996,6.88129,17.93165,452.89450,1244.51359,22.24659,6.15661,45.04499,75.51071,600.50934,1.57575,35.76674,
7                    4,0.03625,0.00112,0.00501,0.00425,0.00499,0.00528,0.01856,0.00066,3.60242,0.00699,0.01680,0.00053,0.05320,2.02720,0.56660,0.00055,0.06919,
7                    5,2.50961,155.80150,47.41455,56.51826,68.01941,71.27569,6.75708,17.97038,438.27512,1253.16469,22.37792,6.20394,45.12924,66.91073,603.06984,1.58715,36.21901,
7                    6,0.01128,0.00217,0.00054,0.00083,0.00073,0.00073,0.00524,0.00043,1.04748,0.00215,0.00547,0.00007,0.01532,0.71811,0.05081,0.00014,0.00826,
8                    1,2.18784,155.74429,47.70487,56.66415,68.23816,71.81719,6.65820,17.91747,412.08797,1257.03737,22.25068,6.23361,44.74258,49.42816,606.29433,1.59678,36.44613,
