
Factor Profiles (conc. of species) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
7,mass,8.271000E+000,1.135200E+001,2.898100E+001,9.191800E+000,2.457100E+001,1.975700E+001
7,Na,0.000000E+000,0.000000E+000,0.000000E+000,7.199600E-001,0.000000E+000,0.000000E+000
7,Mg,4.910100E-002,0.000000E+000,4.950100E-002,7.977000E-002,3.809800E-001,1.513100E-001
7,Al,3.714400E-001,1.703900E-001,7.719500E-001,4.492100E-007,1.907100E+000,1.791400E+000
7,Si,8.275900E-001,4.437400E-001,1.745500E+000,8.162600E-003,4.715400E+000,3.954300E+000
7,P,4.969700E-003,1.629500E-002,7.053500E-003,1.426000E-003,0.000000E+000,1.203400E-002
7,S,1.041100E-001,4.506200E-001,0.000000E+000,2.477000E-001,1.338100E-001,0.000000E+000
7,Cl,7.595900E-002,0.000000E+000,7.068900E-002,1.520500E+000,3.730000E-001,0.000000E+000
7,K,1.988500E-001,4.206500E-001,6.081800E-001,1.859100E-001,3.464700E-001,1.087700E-001
7,Ca,1.912400E-001,8.932700E-002,5.173300E-001,2.061100E-001,1.376600E-001,1.510700E+000
7,Ti,2.549200E-002,1.052800E-002,6.086900E-002,6.165200E-003,1.012200E-001,1.556900E-001
7,V,4.261100E-004,5.395200E-004,1.233900E-003,4.347300E-004,1.326000E-003,2.855900E-003
7,Mn,3.976700E-003,2.686200E-003,1.030700E-002,9.562700E-004,1.904200E-002,1.563900E-002
7,Fe,2.439400E-001,1.322000E-001,7.371300E-001,7.075700E-002,7.938600E-001,1.385900E+000
7,Zn,7.123000E-003,1.086300E-002,2.149100E-002,1.017000E-002,1.146600E-003,0.000000E+000
7,Br,2.367600E-002,2.135100E-004,0.000000E+000,7.314100E-003,0.000000E+000,4.340800E-004
7,Pb,3.992800E-003,4.724600E-003,8.987400E-003,4.873800E-003,1.704600E-007,4.625100E-004

Factor Profiles (% of species sum) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
7,mass,8.098993E+000,1.111592E+001,2.837830E+001,9.000645E+000,2.406001E+001,1.934613E+001
7,Na,0.000000E+000,0.000000E+000,0.000000E+000,1.000000E+002,0.000000E+000,0.000000E+000
7,Mg,6.909192E+000,0.000000E+000,6.965477E+000,1.122475E+001,5.360917E+001,2.129142E+001
7,Al,7.410599E+000,3.399451E+000,1.540117E+001,8.962188E-006,3.804855E+001,3.574022E+001
7,Si,7.076629E+000,3.794371E+000,1.492557E+001,6.979747E-002,4.032085E+001,3.381277E+001
7,P,1.189544E+001,3.900359E+001,1.688321E+001,3.413263E+000,0.000000E+000,2.880450E+001
7,S,1.112001E+001,4.813082E+001,0.000000E+000,2.645689E+001,1.429228E+001,0.000000E+000
7,Cl,3.723210E+000,0.000000E+000,3.464896E+000,7.452891E+001,1.828299E+001,0.000000E+000
7,K,1.064035E+001,2.250874E+001,3.254336E+001,9.947935E+000,1.853941E+001,5.820219E+000
7,Ca,7.210164E+000,3.367822E+000,1.950447E+001,7.770795E+000,5.190081E+000,5.695667E+001
7,Ti,7.081815E+000,2.924735E+000,1.690974E+001,1.712726E+000,2.811946E+001,4.325152E+001
7,V,6.251467E+000,7.915307E+000,1.810257E+001,6.377931E+000,1.945377E+001,4.189896E+001
7,Mn,7.559236E+000,5.106148E+000,1.959239E+001,1.817756E+000,3.619659E+001,2.972789E+001
7,Fe,7.251945E+000,3.930094E+000,2.191369E+001,2.103492E+000,2.360019E+001,4.120059E+001
7,Zn,1.402342E+001,2.138655E+001,4.231045E+001,2.002221E+001,2.257371E+000,0.000000E+000
7,Br,7.483479E+001,6.748596E-001,0.000000E+000,2.311831E+001,0.000000E+000,1.372034E+000
7,Pb,1.732890E+001,2.050494E+001,3.900565E+001,2.115247E+001,7.398026E-004,2.007310E+000

Factor Profiles (% of total variable) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
7,mass,*,*,*,*,*,*
7,Na,0.000000E+000,0.000000E+000,0.000000E+000,7.832633E+000,0.000000E+000,0.000000E+000
7,Mg,5.936525E-001,0.000000E+000,1.708050E-001,8.678387E-001,1.550527E+000,7.658551E-001
