
Residuals from Base Run #7 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
7,11/12/06 04:19,-3.482000E+000,-9.387000E-002,2.635000E-001,-6.693000E-002,2.546000E+000,-1.067000E-002,9.325000E-003,-8.928000E-003,-6.560000E-002,8.538000E-002,-6.032000E-002,-1.073000E-003,5.022000E-003,-4.781000E-001,8.064000E-003,-2.874000E-004,5.037000E-003
7,11/14/06 03:18,-4.558000E+000,-2.082000E-001,1.476000E-001,2.084000E-001,1.874000E+000,5.900000E-003,-7.972000E-004,2.129000E-003,-1.392000E-002,5.105000E-002,-5.717000E-002,-9.737000E-004,5.751000E-004,-3.268000E-001,5.416000E-003,-2.793000E-004,6.932000E-003
7,11/16/06 04:08,7.667000E+000,-2.651000E-001,1.789000E-001,-2.709000E-001,1.720000E+000,8.649000E-003,-4.721000E-003,1.278000E-002,-5.916000E-003,9.291000E-002,-7.214000E-002,-1.509000E-003,3.195000E-003,-3.553000E-001,-6.292000E-004,-1.001000E-004,4.727000E-003
7,11/18/06 04:01,-2.442000E+000,-1.539000E-001,2.580000E-002,-1.126000E-002,1.316000E+000,1.939000E-002,-3.742000E-003,9.171000E-003,-4.763000E-002,2.431000E-002,-4.518000E-002,-2.174000E-003,4.363000E-003,-1.502000E-001,3.622000E-003,-1.222000E-004,2.165000E-003
7,11/20/06 03:11,3.604000E+000,-2.515000E-001,1.851000E-001,-3.547000E-001,1.573000E+000,-1.637000E-002,1.104000E-002,-1.527000E-003,-7.907000E-002,6.170000E-002,-4.413000E-002,-1.586000E-003,8.516000E-003,-2.692000E-001,6.642000E-003,-2.117000E-004,1.528000E-003
7,11/22/06 03:22,5.643000E-001,-2.295000E-001,1.796000E-001,-1.056000E-001,1.426000E+000,-5.286000E-003,5.894000E-003,2.850000E-003,-4.935000E-002,6.323000E-002,-4.442000E-002,4.166000E-005,1.924000E-003,-2.953000E-001,8.644000E-003,-1.597000E-004,-3.440000E-003
7,11/24/06 03:10,-8.347000E+000,-1.878000E-001,7.426000E-002,-3.686000E-001,2.008000E-001,1.306000E-002,-1.554000E-002,1.791000E-002,1.120000E-001,5.771000E-002,-4.272000E-002,-1.174000E-003,3.509000E-003,-7.135000E-002,-1.205000E-002,1.474000E-004,-2.182000E-003
7,11/26/06 03:04,-5.743000E+000,-1.599000E-001,-1.796000E-002,1.822000E-002,4.179000E-001,1.215000E-002,-5.308000E-003,9.237000E-003,-3.980000E-003,2.056000E-002,-2.024000E-002,-7.163000E-004,1.251000E-003,-1.211000E-001,1.761000E-003,-1.317000E-005,-2.605000E-003
7,11/28/06 03:01,3.969000E+000,6.836000E-003,-4.540000E-002,-1.235000E-001,-5.621000E-002,1.227000E-002,-8.971000E-003,1.786000E-003,1.835000E-002,-6.193000E-003,-8.118000E-003,1.799000E-004,1.975000E-003,1.080000E-001,-2.849000E-003,2.869000E-004,-3.123000E-003
7,11/30/06 03:08,-1.749000E+001,-9.130000E-002,-6.226000E-002,4.400000E-002,-2.619000E-001,6.138000E-003,1.383000E-002,1.117000E-003,-7.955000E-002,-2.514000E-002,2.774000E-003,7.682000E-004,3.650000E-003,1.192000E-001,2.980000E-002,-1.235000E-004,1.474000E-003
7,12/02/06 05:11,-1.760000E+000,-5.816000E-002,-2.924000E-002,1.251000E-002,-3.393000E-001,1.649000E-002,-1.286000E-002,6.206000E-003,1.207000E-002,-1.777000E-002,5.685000E-003,-8.580000E-004,1.303000E-003,1.222000E-001,-2.524000E-003,8.952000E-005,-2.565000E-003
7,12/04/06 05:21,1.157000E+000,-4.545000E-002,-2.737000E-003,-4.779000E-002,1.995000E-002,9.080000E-003,3.945000E-003,1.084000E-003,-3.933000E-002,-1.996000E-002,-1.102000E-002,-3.546000E-004,6.771000E-004,3.056000E-001,8.461000E-004,-9.887000E-005,4.381000E-003
7,12/06/06 03:32,1.105000E+001,3.535000E-001,2.671000E-001,-4.329000E-001,1.348000E+000,-3.441000E-002,2.225000E-002,-4.073000E-003,-6.367000E-002,4.671000E-002,-4.525000E-002,-1.130000E-003,4.186000E-003,6.014000E-003,7.637000E-003,-1.259000E-004,-1.776000E-003
7,12/08/06 03:28,6.989000E-002,1.046000E-001,2.374000E-002,-4.322000E-001,3.327000E-001,-8.348000E-003,-1.506000E-002,-5.020000E-004,1.381000E-001,3.645000E-002,-2.390000E-002,2.990000E-004,1.326000E-003,-3.427000E-002,-8.746000E-003,2.501000E-004,6.840000E-004
7,12/10/06 03:20,-4.875000E+000,1.929000E-001,1.778000E-001,-3.235000E-001,8.564000E-001,1.308000E-002,-5.022000E-002,-1.239000E-003,3.488000E-001,7.399000E-002,-4.523000E-002,-1.348000E-003,-6.128000E-004,-2.278000E-001,-7.824000E-003,2.338000E-004,-4.062000E-003
7,12/12/06 03:18,-1.633000E+001,-2.600000E-002,2.316000E-001,-1.286000E-001,1.514000E+000,-5.038000E-003,-2.004000E-003,-4.329000E-003,1.262000E-002,6.661000E-002,-4.048000E-002,-8.042000E-004,-2.034000E-003,-2.511000E-001,1.121000E-003,-7.917000E-005,4.403000E-004
7,12/14/06 03:19,-9.815000E+000,9.990000E-002,2.214000E-002,-7.164000E-002,4.809000E-001,-2.916000E-003,-2.306000E-003,-3.472000E-003,1.786000E-002,2.997000E-003,-9.778000E-003,1.243000E-003,-2.309000E-003,3.771000E-002,6.817000E-004,1.815000E-004,-4.668000E-003
7,12/16/06 03:09,-4.114000E+000,-1.574000E-002,-2.305000E-001,2.771000E-001,-1.126000E-001,2.913000E-002,3.518000E-003,3.911000E-003,-8.826000E-002,-6.042000E-002,3.240000E-002,1.875000E-003,-1.036000E-003,3.336000E-001,9.355000E-003,-1.386000E-004,-3.498000E-004
7,12/18/06 03:10,-1.786000E+000,-8.215000E-002,-2.226000E-001,1.933000E-001,2.985000E-001,2.478000E-002,-1.748000E-002,1.024000E-002,-1.662000E-002,-3.158000E-002,1.589000E-002,5.658000E-005,-2.827000E-003,1.334000E-001,6.875000E-006,-1.728000E-005,2.030000E-003
7,12/20/06 03:26,-5.585000E+000,1.196000E-002,-8.819000E-002,1.672000E-002,2.534000E-001,1.583000E-002,-2.186000E-002,3.232000E-003,9.773000E-004,-3.274000E-002,3.258000E-003,3.109000E-003,-2.598000E-003,1.550000E-001,-2.609000E-003,1.000000E-005,5.176000E-003
7,12/22/06 03:29,1.883000E+000,-5.878000E-003,-1.363000E-001,9.944000E-002,-2.781000E-001,5.510000E-003,1.130000E-002,1.999000E-003,-3.979000E-002,-3.369000E-002,1.744000E-002,2.016000E-004,-6.451000E-004,2.563000E-001,2.976000E-003,-3.943000E-005,1.239000E-003
7,12/24/06 04:27,-1.039000E+001,2.260000E-001,-3.882000E-002,2.906000E-001,-1.076000E-001,-1.940000E-002,-7.321000E-004,-1.421000E-003,1.516000E-003,9.659000E-003,8.038000E-004,-1.150000E-003,-1.202000E-003,-1.115000E-001,1.838000E-002,-7.256000E-004,8.661000E-003
7,12/26/06 03:20,-2.887000E+000,7.824000E-002,-3.156000E-002,1.028000E-001,3.606000E-003,1.288000E-002,-4.790000E-002,2.297000E-003,1.212000E-001,-7.941000E-005,3.930000E-003,-2.888000E-005,-2.991000E-003,-2.691000E-002,-1.664000E-002,4.269000E-004,-3.911000E-003
7,12/28/06 03:22,-8.066000E+000,1.097000E-002,-8.693000E-002,6.765000E-002,-7.468000E-002,1.040000E-002,-1.824000E-002,5.682000E-003,3.118000E-002,-1.593000E-002,3.938000E-003,4.919000E-004,-1.202000E-003,7.126000E-002,-2.215000E-003,1.528000E-004,-3.657000E-003
7,12/30/06 03:26,-3.115000E+000,-4.079000E-001,-1.936000E-001,1.043000E-001,-4.677000E-001,1.348000E-002,1.016000E-002,2.878000E-002,-8.094000E-002,-7.268000E-002,2.976000E-002,9.349000E-004,7.135000E-004,6.953000E-001,5.724000E-003,-4.046000E-005,-2.352000E-003
7,01/01/07 03:20,-9.404000E+000,-1.514000E-001,1.449000E-001,-7.757000E-001,6.016000E-001,-3.608000E-002,3.848000E-002,2.337000E-002,-3.626000E-001,1.682000E-002,1.122000E-002,-3.069000E-003,1.347000E-002,2.129000E-001,3.299000E-002,-1.186000E-003,2.685000E-002
7,01/03/07 03:07,3.427000E+002,9.673000E-002,2.283000E-001,-1.005000E+001,-6.699000E+000,-2.631000E-002,-3.303000E-003,-2.988000E-002,1.872000E+000,-2.763000E-001,4.953000E-001,9.858000E-003,3.193000E-001,5.671000E+000,-1.979000E-002,1.804000E-003,-2.673000E-002
