**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 7

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.27100,  0.08005,  0.76413,  2.93005,  5.24485,  8.27100,  3.24942,  2.47532,  0.76177,  0.29928
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.04910,  0.00000,  0.01660,  0.03219,  0.03479,  0.04910,  0.02677,  0.01533,  0.57273,  0.31229
Al,  0.37144,  0.01747,  0.07196,  0.16103,  0.25817,  0.37144,  0.16986,  0.10183,  0.59951,  0.27415
Si,  0.82759,  0.00000,  0.13727,  0.34821,  0.56437,  0.82759,  0.36162,  0.23883,  0.66044,  0.28858
P,  0.00497,  0.00092,  0.00135,  0.00339,  0.00375,  0.00497,  0.00290,  0.00134,  0.46436,  0.27055
S,  0.10411,  0.00000,  0.04939,  0.08731,  0.10038,  0.11579,  0.07221,  0.03856,  0.53393,  0.37033
Cl,  0.07596,  0.01605,  0.04464,  0.05593,  0.06535,  0.12272,  0.05746,  0.02388,  0.41558,  0.31435
K,  0.19885,  0.00525,  0.02998,  0.09954,  0.15077,  0.20303,  0.09357,  0.06404,  0.68441,  0.32207
Ca,  0.19124,  0.00000,  0.03200,  0.08489,  0.13370,  0.19124,  0.08750,  0.06144,  0.70222,  0.32129
Ti,  0.02549,  0.00093,  0.00552,  0.01025,  0.01747,  0.02549,  0.01112,  0.00726,  0.65240,  0.28460
V,  0.00043,  0.00000,  0.00006,  0.00012,  0.00028,  0.00043,  0.00016,  0.00013,  0.80575,  0.29548
Mn,  0.00398,  0.00000,  0.00079,  0.00172,  0.00262,  0.00398,  0.00170,  0.00106,  0.62670,  0.26765
Fe,  0.24394,  0.01648,  0.03825,  0.07296,  0.16359,  0.24394,  0.09735,  0.06719,  0.69015,  0.27542
Zn,  0.00712,  0.00042,  0.00193,  0.00413,  0.00548,  0.00775,  0.00401,  0.00206,  0.51397,  0.28935
Br,  0.02368,  0.01820,  0.01886,  0.02051,  0.02312,  0.02643,  0.02131,  0.00259,  0.12172,  0.10958
Pb,  0.00399,  0.00097,  0.00171,  0.00260,  0.00318,  0.00429,  0.00255,  0.00091,  0.35856,  0.22862

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.35200,  1.70740,  5.45600, 11.13300, 14.16775, 19.72800, 10.75012,  5.47269,  0.50908,  0.48209
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00000,  0.00000,  0.00041,  0.00808,  0.02769,  0.04400,  0.01493,  0.01569,  1.05117,  0.00000
Al,  0.17039,  0.10553,  0.14770,  0.26954,  0.37163,  0.46255,  0.26638,  0.11657,  0.43760,  0.68413
Si,  0.44374,  0.29826,  0.39646,  0.65221,  0.91788,  1.09270,  0.65522,  0.25757,  0.39310,  0.58044
P,  0.01630,  0.01442,  0.01613,  0.01721,  0.01796,  0.02185,  0.01730,  0.00185,  0.10704,  0.11366
S,  0.45062,  0.41361,  0.46070,  0.47548,  0.50172,  0.53171,  0.47786,  0.03256,  0.06815,  0.07227
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00812,  0.04605,  0.00564,  0.01194,  2.11952,  0.00000
K,  0.42065,  0.13636,  0.25659,  0.42260,  0.47760,  0.61103,  0.39206,  0.14844,  0.37863,  0.35289
Ca,  0.08933,  0.02732,  0.09057,  0.16025,  0.23940,  0.35489,  0.17072,  0.09820,  0.57523,  1.09936
Ti,  0.01053,  0.00457,  0.00822,  0.01914,  0.02646,  0.03605,  0.01872,  0.00995,  0.53136,  0.94490
V,  0.00054,  0.00038,  0.00054,  0.00070,  0.00079,  0.00110,  0.00068,  0.00019,  0.28659,  0.36034
Mn,  0.00269,  0.00099,  0.00218,  0.00296,  0.00389,  0.00588,  0.00324,  0.00133,  0.41128,  0.49552
Fe,  0.13220,  0.00000,  0.10565,  0.18760,  0.24626,  0.39800,  0.18449,  0.10399,  0.56367,  0.78661
Zn,  0.01086,  0.00000,  0.00415,  0.01065,  0.01263,  0.01734,  0.00918,  0.00529,  0.57620,  0.48708
Br,  0.00021,  0.00000,  0.00048,  0.00293,  0.00604,  0.01144,  0.00334,  0.00309,  0.92539, 14.47247
Pb,  0.00472,  0.00056,  0.00221,  0.00472,  0.00563,  0.00768,  0.00423,  0.00214,  0.50522,  0.45260

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 28.98100, 17.33500, 21.42700, 27.61100, 31.08050, 38.29400, 26.68855,  5.35313,  0.20058,  0.18471
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.04950,  0.00000,  0.00007,  0.04480,  0.06835,  0.13468,  0.04266,  0.03797,  0.89007,  0.76715
Al,  0.77195,  0.20124,  0.36135,  0.65989,  0.93290,  1.35480,  0.67362,  0.33050,  0.49064,  0.42814
Si,  1.74550,  0.49509,  0.88004,  1.50535,  2.11415,  3.12140,  1.53628,  0.74197,  0.48297,  0.42508
P,  0.00705,  0.00133,  0.00457,  0.00824,  0.00852,  0.00969,  0.00697,  0.00255,  0.36569,  0.36120
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00316,  0.16303,  0.02431,  0.05353,  2.20202,  0.00000
Cl,  0.07069,  0.00000,  0.03000,  0.05700,  0.09629,  0.14378,  0.06210,  0.04361,  0.70228,  0.61699
K,  0.60818,  0.40663,  0.55146,  0.57645,  0.64380,  0.73661,  0.58343,  0.08276,  0.14185,  0.13608
Ca,  0.51733,  0.01648,  0.12230,  0.49887,  0.65019,  0.74412,  0.40845,  0.26055,  0.63791,  0.50365
Ti,  0.06087,  0.01189,  0.02103,  0.05880,  0.07491,  0.09986,  0.05112,  0.02724,  0.53288,  0.44758
V,  0.00123,  0.00031,  0.00054,  0.00125,  0.00150,  0.00186,  0.00105,  0.00049,  0.46649,  0.39863
Mn,  0.01031,  0.00470,  0.00601,  0.00942,  0.01192,  0.01622,  0.00924,  0.00316,  0.34155,  0.30618
Fe,  0.73713,  0.25511,  0.35283,  0.71062,  0.85898,  1.09550,  0.63228,  0.25587,  0.40469,  0.34712
Zn,  0.02149,  0.01425,  0.01906,  0.01994,  0.02232,  0.02585,  0.02062,  0.00275,  0.13328,  0.12787
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00002,  0.00303,  0.00029,  0.00079,  2.69899,  0.00000
Pb,  0.00899,  0.00591,  0.00787,  0.00822,  0.00939,  0.01085,  0.00857,  0.00119,  0.13826,  0.13190

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  9.19180,  3.89510,  9.29610, 10.74650, 12.25250, 15.95300, 10.46961,  2.78392,  0.26590,  0.30287
Na,  0.71996,  0.71439,  0.71952,  0.71996,  0.72006,  0.72053,  0.71900,  0.00215,  0.00298,  0.00298
Mg,  0.07977,  0.07246,  0.07820,  0.08495,  0.09196,  0.09493,  0.08401,  0.00765,  0.09106,  0.09591
Al,  0.00000,  0.00000,  0.00000,  0.00001,  0.04124,  0.18270,  0.02433,  0.04791,  1.96908,106659.67687
Si,  0.00816,  0.00003,  0.01319,  0.03619,  0.11383,  0.42856,  0.07706,  0.10626,  1.37892, 13.01731
P,  0.00143,  0.00000,  0.00050,  0.00096,  0.00151,  0.00271,  0.00104,  0.00078,  0.74281,  0.54362
S,  0.24770,  0.18449,  0.23059,  0.23979,  0.24828,  0.26514,  0.23856,  0.01948,  0.08167,  0.07866
Cl,  1.52050,  1.38310,  1.49015,  1.51820,  1.52668,  1.54360,  1.49577,  0.05173,  0.03458,  0.03402
K,  0.18591,  0.03367,  0.18062,  0.23535,  0.27874,  0.29983,  0.21422,  0.07919,  0.36968,  0.42597
Ca,  0.20611,  0.08111,  0.13667,  0.20088,  0.24408,  0.32609,  0.19347,  0.06795,  0.35123,  0.32970
Ti,  0.00617,  0.00099,  0.00320,  0.00597,  0.00970,  0.02102,  0.00703,  0.00497,  0.70652,  0.80584
V,  0.00043,  0.00033,  0.00037,  0.00045,  0.00048,  0.00072,  0.00045,  0.00010,  0.21493,  0.22263
Mn,  0.00096,  0.00001,  0.00108,  0.00141,  0.00163,  0.00345,  0.00141,  0.00064,  0.45306,  0.66921
Fe,  0.07076,  0.04230,  0.05366,  0.07389,  0.10452,  0.25616,  0.08781,  0.04902,  0.55825,  0.69281
Zn,  0.01017,  0.00401,  0.00836,  0.01021,  0.01306,  0.01418,  0.01029,  0.00303,  0.29474,  0.29835
Br,  0.00731,  0.00000,  0.00183,  0.00573,  0.00767,  0.00824,  0.00477,  0.00313,  0.65612,  0.42809
Pb,  0.00487,  0.00214,  0.00435,  0.00510,  0.00603,  0.00627,  0.00490,  0.00127,  0.25831,  0.25982

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 24.57100, 20.77200, 25.61800, 28.45400, 32.68025, 44.17700, 30.50955,  6.64075,  0.21766,  0.27027
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.38098,  0.33321,  0.38313,  0.40630,  0.44965,  0.48847,  0.41183,  0.04365,  0.10598,  0.11457
Al,  1.90710,  1.64620,  1.92295,  2.19775,  2.66005,  3.07630,  2.26280,  0.42555,  0.18806,  0.22314
Si,  4.71540,  4.11150,  4.75200,  5.36160,  6.34030,  7.29670,  5.50456,  0.95131,  0.17282,  0.20174
P,  0.00000,  0.00000,  0.00000,  0.00016,  0.00187,  0.00745,  0.00113,  0.00184,  1.62996,  0.00000
S,  0.13381,  0.00000,  0.06418,  0.11978,  0.14847,  0.18885,  0.10584,  0.05434,  0.51339,  0.40607
Cl,  0.37300,  0.08630,  0.33525,  0.36978,  0.38533,  0.40928,  0.34209,  0.08519,  0.24903,  0.22839
K,  0.34647,  0.31489,  0.34362,  0.37534,  0.46541,  0.69816,  0.41520,  0.10309,  0.24830,  0.29755
Ca,  0.13766,  0.00000,  0.14606,  0.37799,  0.60572,  1.04710,  0.41425,  0.31984,  0.77209,  2.32341
Ti,  0.10122,  0.08181,  0.10239,  0.12833,  0.16092,  0.20107,  0.13148,  0.03557,  0.27056,  0.35144
V,  0.00133,  0.00102,  0.00134,  0.00178,  0.00243,  0.00310,  0.00188,  0.00063,  0.33714,  0.47796
Mn,  0.01904,  0.01644,  0.01919,  0.02166,  0.02543,  0.03028,  0.02265,  0.00422,  0.18651,  0.22183
Fe,  0.79386,  0.61241,  0.80397,  1.04155,  1.39818,  1.71720,  1.08447,  0.32787,  0.30234,  0.41301
Zn,  0.00115,  0.00000,  0.00070,  0.00112,  0.00154,  0.00887,  0.00182,  0.00225,  1.23753,  1.96478
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00335,  0.00063,  0.00130,  2.05468,  0.00000
Pb,  0.00000,  0.00000,  0.00000,  0.00008,  0.00118,  0.00320,  0.00056,  0.00089,  1.59549,5244.93088

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 19.75700,  1.68280, 16.59400, 19.98350, 28.32850, 34.70400, 20.68076,  9.19893,  0.44481,  0.46560
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.15131,  0.00000,  0.12505,  0.14102,  0.15726,  0.25495,  0.13218,  0.05559,  0.42060,  0.36742
Al,  1.79140,  0.33298,  1.48728,  1.80325,  1.88350,  2.46410,  1.62536,  0.50039,  0.30787,  0.27933
Si,  3.95430,  0.67015,  3.29063,  3.97120,  4.15825,  5.53690,  3.58346,  1.13854,  0.31772,  0.28793
P,  0.01203,  0.00949,  0.01112,  0.01223,  0.01353,  0.01507,  0.01232,  0.00168,  0.13658,  0.13979
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00001,  0.19243,  0.01768,  0.04620,  2.61267,  0.00000
Cl,  0.00000,  0.00000,  0.00000,  0.01042,  0.08014,  0.43638,  0.07742,  0.13544,  1.74942,  0.00000
K,  0.10877,  0.00000,  0.08839,  0.11335,  0.22856,  0.49487,  0.17564,  0.15787,  0.89880,  1.45138
Ca,  1.51070,  0.48199,  1.14873,  1.49630,  1.57580,  1.76390,  1.36409,  0.34420,  0.25233,  0.22784
Ti,  0.15569,  0.03587,  0.12403,  0.15617,  0.16321,  0.20045,  0.14053,  0.04042,  0.28760,  0.25960
V,  0.00286,  0.00080,  0.00218,  0.00286,  0.00310,  0.00354,  0.00260,  0.00072,  0.27924,  0.25385
Mn,  0.01564,  0.00175,  0.01260,  0.01584,  0.01853,  0.02221,  0.01454,  0.00511,  0.35145,  0.32682
Fe,  1.38590,  0.29594,  1.07510,  1.40220,  1.58190,  1.77070,  1.27676,  0.38426,  0.30097,  0.27727
Zn,  0.00000,  0.00000,  0.00000,  0.00404,  0.00912,  0.01510,  0.00494,  0.00509,  1.02941,  0.00000
