
Factor Contributions (avg = 1) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,11/12/06 06:43,2.571100E-001,7.610000E-001,1.181400E+000,3.442300E+000,2.548200E+000
9,11/14/06 03:18,-2.000000E-001,3.407100E-001,1.452700E+000,3.641100E+000,2.822800E+000
9,11/16/06 04:08,6.057800E-001,1.168500E+000,1.163800E+000,2.103000E+000,1.969100E+000
9,11/18/06 04:01,6.907000E-001,9.645900E-001,1.084700E+000,1.992000E+000,1.841400E+000
9,11/20/06 03:11,2.317200E-001,1.728900E+000,7.236400E-001,2.923500E+000,2.485400E+000
9,11/22/06 03:22,7.429000E-001,1.121600E+000,1.363200E+000,1.819200E+000,1.995000E+000
9,11/26/06 03:04,7.350900E-001,7.228400E-001,1.164500E+000,1.278700E+000,9.568800E-001
9,11/28/06 03:01,1.159700E+000,2.886800E-001,1.171200E+000,9.781900E-001,7.002400E-002
9,11/30/06 03:08,1.760400E+000,5.941200E-001,6.905800E-001,7.781200E-001,8.975200E-002
9,12/02/06 05:11,1.716600E+000,6.445900E-001,3.730000E-001,3.460400E-001,3.912100E-001
9,12/04/06 05:21,2.070800E+000,8.330400E-001,9.528000E-001,1.010500E+000,-7.712800E-002
9,12/06/06 03:32,1.780000E+000,1.750000E+000,1.246900E+000,3.578900E+000,-2.000000E-001
9,12/08/06 03:28,2.377700E+000,1.165200E+000,-1.288300E-001,2.593100E+000,2.717500E-001
9,12/10/06 03:20,2.623700E+000,-2.000000E-001,2.836900E-001,1.278000E+000,3.785500E-001
9,12/12/06 03:18,1.978500E+000,1.205900E+000,3.042900E-001,1.928700E+000,1.183500E+000
9,12/14/06 03:19,1.608800E+000,6.333100E-001,7.812100E-001,1.725700E+000,8.228100E-001
9,12/16/06 03:09,1.493500E+000,2.937400E-001,4.846800E-001,1.733900E+000,4.743000E-001
9,12/18/06 03:10,1.847300E+000,3.340400E-001,1.284900E-001,2.023500E+000,5.650000E-001
9,12/20/06 03:26,2.222300E+000,4.601100E-001,3.513600E-001,1.483200E+000,1.452200E+000
9,12/28/06 03:22,2.769100E+000,4.363500E-001,4.942400E-001,4.524500E-001,8.166800E-001
9,01/03/07 03:07,-2.000000E-001,1.568000E+001,4.172400E-001,5.220300E+000,-2.000000E-001
9,01/05/07 02:54,1.774400E+000,2.227100E+001,-2.000000E-001,1.719000E+000,-6.148100E-002
9,01/07/07 03:09,9.653400E-001,6.325100E+000,4.113700E-001,4.254200E+000,2.649100E+000
9,01/09/07 03:02,-2.000000E-001,7.345200E+000,-2.000000E-001,8.978000E+000,1.929200E+000
9,01/11/07 02:55,1.047400E+000,6.736800E+000,-1.596400E-001,6.439100E+000,2.085900E+000
9,02/14/07 03:01,1.170500E+000,4.120700E-001,7.226400E-001,4.144600E-001,7.436900E-001
9,02/16/07 02:51,1.069500E+000,5.521100E-001,1.059700E+000,1.140500E+000,9.966000E-001
9,02/18/07 02:34,8.058300E-001,3.900900E-001,1.490800E+000,5.952500E-001,1.000200E+000
9,02/20/07 02:37,1.010300E+000,3.177500E-001,7.832600E-001,6.343000E-001,3.368200E+000
9,02/22/07 02:35,8.927100E-001,5.334500E-002,1.285600E+000,4.798000E-001,1.778300E+000
9,02/24/07 02:38,1.199200E+000,2.490100E-001,1.307400E+000,1.044800E+000,5.533100E-001
9,02/26/07 00:46,8.572100E-001,4.108700E-001,8.975900E-001,7.875900E-001,8.663700E-001
9,02/28/07 00:39,1.119600E+000,6.858200E-001,6.669200E-001,8.316100E-001,8.887700E-001
9,03/02/07 00:30,8.849500E-001,5.669400E-001,9.483900E-001,9.845500E-001,6.607800E-001
9,03/04/07 00:54,6.378500E-001,6.424900E-001,7.583100E-001,1.741400E+000,1.000200E+000
9,03/06/07 01:01,-2.721900E-002,2.249100E-001,7.762700E-001,3.440600E+000,1.487400E+000
9,03/08/07 00:42,4.171200E-001,3.644300E-001,1.152700E+000,1.781600E+000,2.295100E+000
9,03/10/07 00:43,3.532600E-001,3.790400E-001,1.118300E+000,1.604000E+000,1.501700E+000
9,03/12/07 00:44,7.118900E-001,3.426000E-001,6.552300E-001,1.440600E+000,1.647800E+000
9,03/14/07 00:44,6.962000E-001,4.904800E-001,8.722300E-001,1.060900E+000,1.657000E+000
9,03/16/07 00:42,6.377700E-001,5.833700E-001,1.991300E+000,3.255800E-001,1.899200E+000
9,03/18/07 00:52,8.039800E-001,4.646400E-001,1.027800E+000,3.894400E-001,1.480400E+000
9,03/20/07 00:53,6.457600E-001,3.954700E-001,9.262500E-001,9.200600E-001,1.644500E+000
9,03/22/07 00:46,4.637700E-001,2.391400E-001,8.880100E-001,1.086800E+000,1.077500E+000
9,03/24/07 00:30,5.578000E-001,2.052200E-001,1.286400E+000,6.588700E-001,1.273900E+000
9,03/26/07 01:08,4.003000E-001,7.234300E-002,2.575200E+000,-3.293700E-002,2.391300E+000
9,03/28/07 01:29,7.704600E-001,4.092000E-002,1.304700E+000,1.615800E-001,6.353000E-001
9,04/15/07 01:15,5.226300E-001,3.290600E-002,9.224500E-001,4.246000E-001,1.134900E+000
9,04/23/07 01:00,5.761100E-001,3.113600E-001,1.447500E+000,7.291200E-003,4.963400E-001
9,04/25/07 01:11,4.544300E-001,2.153700E-001,1.497500E+000,-1.328100E-001,1.111400E+000
9,04/27/07 01:17,2.903000E-001,2.671300E-001,1.878400E+000,-1.582900E-001,1.241500E+000
9,04/29/07 01:20,3.606800E-001,1.586600E-001,1.285700E+000,-2.624100E-002,5.926000E-001
9,05/01/07 01:31,6.717800E-001,2.996400E-001,1.900800E+000,-6.592600E-002,4.837900E-001
9,05/03/07 01:39,5.497000E-001,2.369400E-001,1.305600E+000,-6.345900E-002,3.322600E-001
9,05/05/07 01:33,7.335400E-001,5.536800E-001,1.374900E+000,-1.484500E-001,5.587000E-001
9,05/07/07 01:31,3.884300E-001,4.798500E-001,1.125500E+000,-1.760600E-001,9.640200E-001
9,05/09/07 01:25,8.112500E-001,5.789700E-001,1.388900E+000,-1.500900E-001,1.005200E+000
9,05/11/07 01:32,6.971600E-001,1.937300E-001,1.172600E+000,-4.909100E-003,1.551500E-001
9,05/13/07 01:55,2.586800E-001,8.283200E-002,1.454700E+000,4.792700E-001,5.972500E-001
9,05/15/07 01:51,1.229400E-001,1.157000E-001,2.031500E+000,6.907200E-001,6.658300E-001
9,05/17/07 01:54,9.374500E-001,1.083700E-001,8.846500E-001,-7.840700E-002,5.128600E-001
9,05/19/07 01:20,7.790000E-001,7.783100E-002,7.205100E-001,2.161800E-001,4.541900E-001
9,09/27/07 01:51,7.742200E-001,1.583000E-001,6.434400E-001,-8.784300E-002,7.071600E-001
9,10/03/07 02:00,1.013100E+000,1.082900E-001,4.729300E-001,-2.674400E-002,8.733700E-001
9,10/09/07 02:25,4.842400E-001,-1.835000E-001,1.554300E+000,-1.848500E-001,2.532500E+000
9,10/15/07 04:53,6.957400E-001,1.061100E-002,1.024000E+000,-3.775000E-002,4.376300E-001
9,10/21/07 03:11,9.965300E-001,1.781800E-001,9.547100E-001,6.294100E-002,2.933700E-001
9,10/27/07 03:49,7.113200E-001,5.041900E-002,1.329800E+000,-7.331900E-002,5.170000E-001
9,11/02/07 04:36,1.005300E+000,5.351500E-002,8.025100E-001,3.078600E-002,2.108100E-001
9,11/08/07 03:53,1.120100E+000,1.004200E-001,7.562800E-001,1.377700E-001,8.881600E-001
9,11/14/07 04:52,1.036700E+000,3.563000E-001,5.725500E-001,5.136700E-001,1.407300E+000
9,11/20/07 05:07,1.062900E+000,1.225300E-001,7.376000E-001,1.296300E-001,3.158700E-001
9,11/26/07 04:17,1.155400E+000,1.993600E-001,7.583500E-001,4.715500E-002,7.053000E-001
9,12/02/07 04:30,1.697700E+000,1.939000E-001,3.308300E-001,6.039500E-002,3.779800E-001
9,12/08/07 04:07,1.002500E+000,3.118500E-001,1.418800E+000,8.306400E-001,3.515700E-001
9,12/14/07 04:26,1.859100E+000,3.395700E-001,7.562200E-001,4.938300E-001,2.514700E-001
9,12/20/07 03:43,1.856400E+000,1.352300E-001,6.046600E-001,2.115800E-001,1.567100E-001
9,12/26/07 03:31,1.432000E+000,2.625300E-001,5.520800E-001,3.983000E+000,1.066000E+000
9,01/01/08 03:23,1.869100E+000,2.319700E-001,2.446900E+000,1.672500E+000,2.700300E-001
9,01/07/08 03:04,1.626500E+000,3.849200E+000,1.051000E+000,1.320700E+000,1.366600E+000
9,01/13/08 03:21,1.565100E+000,2.797200E-001,1.152000E+000,9.484000E-001,7.914000E-001
9,01/19/08 02:55,1.521800E+000,3.950100E+000,1.327100E+000,8.888900E-001,1.080000E+000
9,01/25/08 03:09,1.571400E+000,3.658900E+000,1.621800E+000,6.801800E-001,2.274800E+000
9,01/31/08 03:32,3.193400E-001,7.392800E+000,9.425500E-001,4.435800E+000,4.263100E-001
9,02/06/08 03:36,1.517300E+000,4.445300E-001,4.599600E-001,2.567800E+000,2.779600E-001
9,02/12/08 04:53,2.018500E+000,1.816900E-001,-6.489600E-002,8.791100E-001,1.719500E-001
9,02/18/08 02:24,1.280000E+000,8.488400E-001,5.545300E-001,1.489900E+000,1.034400E+000
9,02/24/08 01:52,-2.000000E-001,5.511800E+000,-2.000000E-001,5.891900E+000,4.504200E+000
9,03/01/08 02:35,5.152600E-001,1.293500E+000,1.150700E+000,2.979300E+000,1.322900E+000
9,03/07/08 01:56,1.118700E+000,4.160500E-001,1.592000E+000,2.860800E-001,2.275200E-001
9,03/13/08 02:56,7.330800E-001,2.801600E-001,2.004600E+000,1.352000E-001,1.287300E-002
9,03/19/08 02:44,5.001200E-001,5.516800E-001,1.622100E+000,5.956400E-001,8.105100E-001
9,03/25/08 02:28,6.563100E-001,3.990200E-001,1.759900E+000,1.086300E-001,8.333500E-001
9,03/31/08 02:14,9.234200E-001,1.787500E-001,2.045000E+000,8.664300E-003,3.585000E-001
9,04/06/08 02:31,4.225000E-001,1.097000E-001,1.990000E+000,6.560800E-001,4.474300E-001
9,04/12/08 01:33,5.583400E-001,5.501400E-001,1.348000E+000,8.674400E-001,8.088300E-001
9,04/18/08 01:50,7.592400E-001,2.071300E-001,1.929000E+000,1.193400E-001,7.405500E-001
9,04/24/08 02:36,7.134500E-001,1.852400E-001,1.379800E+000,6.876100E-002,1.165000E+000
9,04/30/08 02:40,3.146800E-001,-3.922100E-002,2.077100E+000,-7.444500E-002,5.753200E-001
9,05/06/08 02:29,7.749700E-001,1.047900E-003,1.883300E+000,2.635000E-001,3.549300E-001
9,05/12/08 02:19,5.434500E-001,1.702700E-002,1.914300E+000,-5.548700E-002,4.437300E-001
9,05/18/08 02:14,5.627700E-001,5.679300E-002,1.476600E+000,-1.634800E-002,5.068800E-001
9,05/24/08 02:16,5.072200E-002,9.776900E-003,1.829800E-001,1.331600E-002,6.351300E-002
9,05/30/08 03:25,8.937100E-001,3.749200E-002,2.292500E+000,-1.145100E-001,1.153300E+000
9,06/05/08 03:13,9.743700E-001,3.197500E-002,1.673600E+000,-4.231100E-002,3.216800E-001
9,06/11/08 02:45,9.736700E-001,-8.251500E-002,1.095200E+000,-3.232400E-003,6.511300E-001
9,06/17/08 02:36,8.122400E-001,-2.000000E-001,1.414300E+000,2.023100E-002,1.482300E+000
9,06/23/08 02:27,1.927300E+000,-1.505400E-001,-3.253900E-002,-1.857000E-002,2.397400E+000
9,06/29/08 02:07,1.671900E+000,-4.157600E-002,1.200500E-001,5.645400E-002,2.629700E-001
9,07/05/08 02:15,1.822200E+000,-1.230500E-001,6.098600E-002,3.918800E-002,8.853800E-001
