**** Analysis Summary ****

Time of run: ,10/16/15 20:16
Concentration file: ,E:\pmf_fa\RIsH.csv
Uncertainty file: ,E:\pmf_fa\RIsHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0,  2.45000, 25.18500, 39.48000, 68.94000,3318.47000, 100.00 %, 100.00 %
Na,Strong,      2.3,  0.02182,  0.10810,  0.16884,  0.26556,  1.43352, 100.00 %, 100.00 %
Mg,Strong,      5.2,  0.00236,  0.08005,  0.21142,  0.51985,  3.97355, 100.00 %, 100.00 %
Al,Strong,     10.0,  0.11597,  0.53089,  1.57286,  3.46568, 25.99831, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.12979,  1.05454,  3.46795,  8.26565, 72.73362, 100.00 %, 100.00 %
P,Strong,      5.8,  0.00040,  0.01191,  0.01812,  0.02974,  0.12503, 100.00 %, 100.00 %
S,Strong,     10.0,  0.04298,  0.51264,  0.68629,  1.00306,  1.65989, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.02523,  0.20434,  0.38755,  0.63818,  3.53752, 100.00 %, 100.00 %
K,Strong,     10.0,  0.07243,  0.79746,  1.06524,  1.60143,  9.75564, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.02640,  0.26041,  0.58156,  1.07737, 18.55965, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.00615,  0.03525,  0.09663,  0.20338,  2.76983, 100.00 %, 100.00 %
V,Strong,      5.3,  0.00052,  0.00164,  0.00284,  0.00440,  0.05313, 100.00 %, 100.00 %
Mn,Strong,      9.7,  0.00202,  0.00667,  0.01542,  0.03323,  0.52763, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.04657,  0.37116,  0.89581,  1.77457, 26.52248, 100.00 %, 100.00 %
Zn,Strong,      9.6,  0.00075,  0.02332,  0.02917,  0.04435,  0.18204, 100.00 %, 100.00 %
Br,Strong,      9.8,  0.00727,  0.01389,  0.01974,  0.03259,  0.10359, 100.00 %, 100.00 %
Pb,Strong,      8.1,  0.00848,  0.01269,  0.01610,  0.02116,  0.06076, 100.00 %, 100.00 %
BC,Strong,     10.0,  0.39235,  2.72533,  3.13924,  3.63598,  5.64587, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,5
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,14790       ,44346.1     ,Yes      ,1376,33.44352
2,15578.6     ,47556       ,Yes      ,902,35.86425
3,14818.9     ,44236.3     ,Yes      ,1277,33.36071
4,14791.6     ,44337       ,Yes      ,3684,33.43665
5,14814.5     ,44222.8     ,Yes      ,747,33.35053
6,15288.1     ,46814.6     ,Yes      ,2205,35.30513
7,14790.3     ,44340       ,Yes      ,1950,33.43892
8,15356.1     ,48084.5     ,Yes      ,1476,36.26282
9,14789.4     ,44351.3     ,Yes      ,1382,33.44744
10,14893.5     ,43827.2     ,Yes      ,1750,33.05219
11,14790.4     ,44345       ,Yes      ,1497,33.44268
12,14790.9     ,44339.9     ,Yes      ,3829,33.43884
13,14818.6     ,44236.1     ,Yes      ,1875,33.36056
14,15286.1     ,46827.3     ,Yes      ,1696,35.3147
15,15287.7     ,46816       ,Yes      ,2647,35.30618
16,14818.5     ,44236.1     ,Yes      ,3052,33.36056
17,14792.3     ,44336.7     ,Yes      ,3814,33.43642
18,14894.5     ,43936.8     ,Yes      ,1937,33.13484
19,14791.6     ,44332.8     ,Yes      ,657,33.43348
20,14790.4     ,44339.7     ,Yes      ,4842,33.43869

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,17815.44730,
3,95.74527,17735.12774,
4,3.35242,17791.49034,71.23761,
5,52.99246,17836.72310,42.84820,51.28093,
6,20406.94410,17195.73017,20336.59091,20373.97070,20492.02213,
7,1.86402,17788.04276,80.68257,0.51320,55.30151,20367.26001,
8,17574.02407,7250.65997,17473.49328,17542.32033,17627.54575,8756.24085,17537.60738,
9,0.21340,17815.31645,98.31066,3.21001,57.78739,20402.26569,1.48709,17572.25538,
10,2024.70755,16710.89199,1812.72805,1995.16854,1862.61106,19601.57098,2013.54658,16149.71101,2038.14088,
11,2.73705,17787.28279,80.54745,0.64205,58.85949,20364.40439,0.16138,17535.13741,2.10681,2017.23187,
12,4.35877,17778.07664,73.01848,0.34031,56.96516,20353.33859,0.55183,17524.28791,3.75132,2004.39982,0.37613,
13,85.91087,17747.08243,0.64576,62.85736,39.48529,20338.58870,71.46452,17482.48244,88.07568,1829.07824,71.27786,64.25150,
14,20427.03804,17216.32831,20363.59605,20394.25266,20518.74006,2.69766,20387.49106,8762.84623,20422.36067,19613.56264,20384.63627,20373.63185,20365.63225,
15,20405.14666,17198.00606,20334.67762,20372.14772,20490.23000,0.15059,20365.45037,8754.87051,20400.47714,19598.64096,20362.59123,20351.51955,20336.69365,2.00896,
16,83.47511,17748.88222,0.90792,60.97991,37.39600,20341.91156,69.46907,17485.91056,85.65710,1829.34185,69.41181,62.44945,0.06754,20368.95325,20340.02163,
17,6.05754,17782.54888,64.47005,0.40835,52.67039,20362.16539,1.57043,17530.53233,5.77186,1987.27654,1.38876,0.48175,56.60663,20382.50032,20360.33163,54.95625,
18,1510.46341,17143.22823,1287.32687,1479.86484,1339.73239,20163.75674,1499.75695,16766.51839,1523.08455,140.68795,1501.83701,1490.07225,1301.97770,20186.21543,20161.15393,1302.05926,1471.62755,
19,3.18270,17782.87392,71.55168,0.18141,49.83407,20368.64039,0.60318,17537.66724,3.13624,1990.43853,0.92066,0.55611,63.09785,20388.94923,20366.82999,61.11993,0.75819,1476.66072,
20,3.45024,17777.56301,76.47117,0.38248,57.11469,20353.87948,0.26968,17525.02654,2.86477,2009.14125,0.22332,0.08476,67.42130,20374.14995,20352.06604,65.51609,0.86676,1495.57170,0.50585,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,12.95465,41.40890,232.80983,1445.96524,1450.48719,75.12318,186.77639,5.08402,790.24143,6316.28592,101.71197,14.48878,103.54766,97.06843,194.00722,6188.11431,22.65096,536.72122,
3                    1,0.02578,16.76547,0.32096,1.50023,1.39920,2.15356,22.14191,0.24635,13.39235,19.79958,0.15917,0.12340,0.40558,0.44327,4.02898,3.11537,0.40217,9.32196,
3                    2,13.25390,104.19276,231.81485,1483.71332,1453.64275,80.82135,139.75461,5.69481,744.44886,6287.58344,101.68752,14.52070,103.17349,96.99474,166.27284,6157.91112,22.35012,527.29655,
4                    1,0.00050,0.01052,0.00125,0.00721,0.01285,0.05071,1.88216,0.00058,0.50915,0.18457,0.00560,0.00295,0.01178,0.01471,0.04158,0.06936,0.01307,0.53387,
4                    2,12.98095,42.58819,232.90155,1449.95515,1451.95804,74.66658,170.87633,5.07885,786.16611,6314.95878,101.71089,14.52075,103.38586,96.93731,192.05828,6186.55139,22.62555,531.56979,
4                    3,0.02014,16.00466,0.29092,1.34304,1.23343,1.88540,11.53365,0.23726,9.81605,16.34697,0.11284,0.09381,0.29404,0.31536,3.35726,2.46650,0.28720,5.59910,
5                    1,0.01764,16.25657,0.28534,1.35046,1.18380,1.56262,0.84815,0.24505,8.40945,16.40199,0.10133,0.07595,0.26302,0.26208,3.13606,1.65114,0.14265,0.79916,
5                    2,13.27667,102.59821,231.99182,1482.03708,1454.04716,82.67148,189.96663,5.69856,756.51342,6304.64934,101.59093,14.44713,103.83365,97.32474,168.06935,6173.96906,21.92446,532.11342,
5                    3,0.00522,0.07078,0.00577,0.01523,0.10258,0.69150,25.85545,0.00477,6.52619,0.30807,0.03321,0.03325,0.08884,0.12252,0.37459,1.32440,0.18936,7.09648,
5                    4,0.01420,15.52358,0.25918,1.20695,1.07778,1.65607,4.03972,0.23820,8.20222,13.28062,0.07533,0.06330,0.20337,0.20432,2.66155,1.55617,0.12240,0.89599,
6                    1,29.13809,46.08035,207.13979,1268.98181,1417.43467,60.75198,279.12348,20.06425,4830.08866,8296.23799,84.53662,12.67473,131.30642,114.30273,1481.60832,301.22140,82.28754,1743.96527,
6                    2,16.60499,26.04751,60.98358,137.25934,261.45160,41.81852,98.30345,15.14091,4129.80163,3794.62408,53.49766,7.15908,73.98159,88.28766,1634.52884,5967.26755,94.56103,694.41115,
6                    3,29.48303,94.44959,208.73871,1309.77734,1421.90944,63.54340,219.37227,20.60780,4866.26222,8197.05700,82.81449,12.28059,129.10511,109.48797,1499.05416,297.38903,80.61358,1694.64518,
6                    4,29.16309,46.88964,207.29088,1272.70830,1418.79554,60.07375,259.54572,20.01463,4830.76136,8293.01729,84.21165,12.65646,130.77965,113.63363,1480.95419,301.25758,81.71282,1730.50454,
6                    5,29.53328,93.19000,208.73972,1307.64165,1421.37890,66.27032,283.26024,20.55805,4880.73734,8223.84278,83.03551,12.34857,130.50602,110.78591,1507.05017,301.28779,82.99734,1728.85855,
7                    1,0.00025,0.00184,0.00065,0.00311,0.00710,0.03116,1.11371,0.00070,0.29133,0.03504,0.00207,0.00133,0.00454,0.00676,0.01388,0.03793,0.00655,0.30607,
7                    2,12.94125,41.85126,232.83611,1443.64775,1449.09274,74.63193,173.88989,5.08707,786.56151,6311.85376,101.48009,14.47313,103.23946,96.69007,195.03908,6188.45352,22.70581,533.56835,
7                    3,0.02365,16.47060,0.33046,1.55654,1.40323,1.88385,13.56340,0.23609,11.31927,19.25053,0.13988,0.11098,0.36004,0.38380,4.04815,2.80387,0.33828,6.45996,
7                    4,0.00033,0.00503,0.00222,0.01316,0.01266,0.00510,0.10556,0.00102,0.08960,0.15196,0.00224,0.00102,0.00431,0.00538,0.03647,0.01607,0.00298,0.05810,
7                    5,0.01745,15.97327,0.29544,1.40786,1.22645,1.58123,2.94851,0.23620,9.01302,15.91862,0.09545,0.07556,0.25346,0.25445,3.26058,1.75210,0.14519,0.84669,
7                    6,29.10783,46.40459,207.14024,1266.88871,1416.26984,60.06335,263.45917,20.06714,4824.57183,8293.27426,84.26149,12.63491,130.82743,113.83332,1479.42978,301.37189,81.79733,1735.85690,
8                    1,17.28330,48.10009,217.31982,1382.68034,1385.53041,55.83249,281.66898,13.24081,2970.89948,6351.84302,104.21088,11.49987,98.64414,112.60656,369.21148,3179.79006,35.36276,938.29958,
8                    2,4.06702,10.31095,8.60841,32.28945,79.11643,11.95831,34.40884,6.58324,1492.64469,1962.07153,15.63976,5.21094,18.30924,44.34393,222.34216,3050.39383,19.49228,232.86897,
