
Factor Profiles (conc. of species) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,mass,1.136500E+001,2.357400E+001,7.499000E+000,1.867400E+001,3.395200E+000
9,Na,9.495900E-002,0.000000E+000,3.811600E-002,0.000000E+000,5.661300E-002
9,Mg,0.000000E+000,1.723500E-001,8.645600E-003,2.365400E-001,5.600400E-002
9,Al,1.988300E-002,1.317800E+000,1.221400E-001,1.579300E+000,2.186700E-001
9,Si,0.000000E+000,2.968800E+000,2.141300E-001,3.755900E+000,5.168400E-001
9,P,1.302100E-002,2.367800E-003,0.000000E+000,9.782200E-003,0.000000E+000
9,S,5.069400E-001,0.000000E+000,4.852600E-002,1.738100E-001,3.675700E-002
9,Cl,0.000000E+000,1.595000E-001,0.000000E+000,0.000000E+000,3.799900E-001
9,K,4.984200E-001,3.886600E-001,2.233500E-001,3.509500E-001,0.000000E+000
9,Ca,5.850600E-002,7.840500E-001,4.003000E-002,2.880600E-001,1.051500E-001
9,Ti,2.137900E-003,1.004200E-001,7.133000E-003,8.443500E-002,1.478700E-002
9,V,7.489000E-004,1.739100E-003,3.679600E-004,1.232700E-003,2.223000E-004
9,Mn,8.745400E-004,1.545500E-002,1.785700E-003,1.275800E-002,2.205300E-003
9,Fe,3.878600E-002,9.175700E-001,7.616200E-002,7.049000E-001,1.302600E-001
9,Zn,1.258600E-002,6.475600E-003,9.361600E-003,4.267500E-003,9.964900E-004
9,Br,1.073300E-002,2.031900E-003,4.049400E-003,2.107000E-003,9.492600E-004
9,Pb,5.997200E-003,3.048400E-003,5.864300E-003,1.901900E-003,1.203700E-003
9,BC,1.365300E+000,2.967300E-002,1.413500E+000,3.836900E-001,0.000000E+000

Factor Profiles (% of species sum) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,mass,1.761819E+001,3.654476E+001,1.162506E+001,2.894871E+001,5.263288E+000
9,Na,5.006063E+001,0.000000E+000,2.009405E+001,0.000000E+000,2.984533E+001
9,Mg,0.000000E+000,3.639611E+001,1.825740E+000,4.995147E+001,1.182668E+001
9,Al,6.103212E-001,4.045070E+001,3.749164E+000,4.847760E+001,6.712213E+000
9,Si,0.000000E+000,3.981936E+001,2.872042E+000,5.037643E+001,6.932174E+000
9,P,5.173017E+001,9.406857E+000,0.000000E+000,3.886298E+001,0.000000E+000
9,S,6.617731E+001,0.000000E+000,6.334714E+000,2.268962E+001,4.798357E+000
9,Cl,0.000000E+000,2.956496E+001,0.000000E+000,0.000000E+000,7.043504E+001
9,K,3.410612E+001,2.659541E+001,1.528350E+001,2.401497E+001,0.000000E+000
9,Ca,4.585843E+000,6.145575E+001,3.137649E+000,2.257884E+001,8.241913E+000
9,Ti,1.023345E+000,4.806788E+001,3.414342E+000,4.041637E+001,7.078069E+000
9,V,1.737200E+001,4.034136E+001,8.535454E+000,2.859456E+001,5.156624E+000
9,Mn,2.643829E+000,4.672213E+001,5.398364E+000,3.856881E+001,6.666860E+000
9,Fe,2.076696E+000,4.912892E+001,4.077898E+000,3.774205E+001,6.974436E+000
9,Zn,3.736138E+001,1.922274E+001,2.778979E+001,1.266802E+001,2.958068E+000
9,Br,5.401458E+001,1.022568E+001,2.037889E+001,1.060363E+001,4.777218E+000
9,Pb,3.328911E+001,1.692098E+001,3.255141E+001,1.055702E+001,6.681469E+000
9,BC,4.277037E+001,9.295578E-001,4.428032E+001,1.201975E+001,0.000000E+000

Factor Profiles (% of total variable) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
9,mass,*,*,*,*,*
9,Na,8.355389E-001,0.000000E+000,5.082811E-001,0.000000E+000,1.667442E+000
9,Mg,0.000000E+000,7.311020E-001,1.152900E-001,1.266681E+000,1.649505E+000
9,Al,1.749494E-001,5.590057E+000,1.628750E+000,8.457213E+000,6.440563E+000
9,Si,0.000000E+000,1.259354E+001,2.855447E+000,2.011299E+001,1.522267E+001
9,P,1.145710E-001,1.004412E-002,0.000000E+000,5.238406E-002,0.000000E+000
9,S,4.460537E+000,0.000000E+000,6.470996E-001,9.307594E-001,1.082617E+000
9,Cl,0.000000E+000,6.765928E-001,0.000000E+000,0.000000E+000,1.119198E+001
9,K,4.385570E+000,1.648681E+000,2.978397E+000,1.879351E+000,0.000000E+000
9,Ca,5.147910E-001,3.325910E+000,5.338045E-001,1.542573E+000,3.097019E+000
9,Ti,1.881126E-002,4.259778E-001,9.511935E-002,4.521527E-001,4.355266E-001
9,V,6.589529E-003,7.377195E-003,4.906788E-003,6.601157E-003,6.547479E-003
9,Mn,7.695029E-003,6.555951E-002,2.381251E-002,6.831959E-002,6.495346E-002
9,Fe,3.412758E-001,3.892297E+000,1.015629E+000,3.774767E+000,3.836593E+000
9,Zn,1.107435E-001,2.746925E-002,1.248380E-001,2.285263E-002,2.934996E-002
9,Br,9.443907E-002,8.619241E-003,5.399920E-002,1.128307E-002,2.795888E-002
9,Pb,5.276903E-002,1.293120E-002,7.820109E-002,1.018475E-002,3.545299E-002
9,BC,1.201320E+001,1.258717E-001,1.884918E+001,2.054675E+000,0.000000E+000
