
Residuals from Base Run #9 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
9,11/12/06 06:43,1.525000E-001,-6.640000E-002,1.099000E-001,-1.860000E-001,9.707000E-001,4.681000E-003,4.595000E-002,-8.312000E-003,-7.868000E-002,4.205000E-001,-2.756000E-002,-3.588000E-005,6.753000E-004,-1.952000E-001,-5.876000E-003,-7.603000E-003,1.030000E-003,2.892000E-001
9,11/14/06 03:18,8.961000E-001,-1.010000E-001,1.577000E-001,-2.924000E-001,1.142000E+000,-4.085000E-003,3.196000E-002,-1.472000E-002,-1.155000E-001,9.567000E-001,-2.523000E-002,-7.376000E-004,4.183000E-003,-7.247000E-002,-2.507000E-003,-2.142000E-003,3.474000E-004,2.152000E-001
9,11/16/06 04:08,1.550000E+000,-1.557000E-001,1.206000E-001,-1.845000E-001,1.070000E+000,5.021000E-003,4.038000E-002,-5.871000E-003,-7.101000E-002,2.084000E-001,-3.702000E-002,-3.431000E-004,1.779000E-003,-1.949000E-001,-3.363000E-003,-8.895000E-003,1.184000E-003,2.898000E-001
9,11/18/06 04:01,1.122000E+000,-4.158000E-002,5.674000E-002,-1.856000E-001,5.584000E-001,5.272000E-003,4.803000E-002,-6.923000E-003,-1.075000E-001,5.237000E-002,-1.799000E-002,-2.047000E-005,3.068000E-003,-8.548000E-002,1.006000E-002,-7.910000E-003,-1.879000E-003,1.644000E-001
9,11/20/06 03:11,3.325000E+000,-2.577000E-002,9.036000E-002,-2.623000E-001,1.010000E+000,-1.395000E-002,2.870000E-002,-1.326000E-002,-8.826000E-002,9.871000E-002,-2.107000E-002,-9.126000E-004,3.830000E-003,-1.193000E-001,-2.223000E-003,-8.017000E-004,-2.114000E-003,9.243000E-002
9,11/22/06 03:22,9.492000E-002,-1.206000E-001,4.963000E-002,-1.067000E-001,1.005000E+000,-5.475000E-003,-3.339000E-002,7.240000E-003,8.152000E-002,-2.928000E-002,-2.376000E-002,-3.728000E-004,2.205000E-003,-1.446000E-001,1.199000E-002,1.369000E-002,-4.415000E-003,-2.209000E-001
9,11/26/06 03:04,-2.026000E+000,-3.854000E-002,-9.991000E-003,-2.595000E-002,3.565000E-001,-2.361000E-003,-1.315000E-002,5.778000E-004,1.341000E-002,-1.277000E-004,-1.163000E-002,-3.248000E-004,2.011000E-003,-7.083000E-002,-9.479000E-004,1.140000E-002,-3.721000E-003,-3.447000E-002
9,11/28/06 03:01,1.585000E+000,-7.191000E-003,8.155000E-003,-2.812000E-002,-2.698000E-002,2.062000E-003,-1.303000E-002,4.532000E-005,1.107000E-002,-9.199000E-004,-5.459000E-003,1.632000E-005,3.926000E-003,-3.765000E-003,-6.293000E-003,3.472000E-002,-4.580000E-003,1.185000E-001
9,11/30/06 03:08,-2.199000E+000,1.983000E-002,-3.922000E-003,-2.123000E-002,-1.897000E-001,1.898000E-002,-8.686000E-003,2.845000E-004,6.386000E-002,-9.006000E-003,-5.275000E-003,-1.325000E-004,3.052000E-003,4.309000E-002,-1.045000E-003,-1.136000E-002,1.513000E-003,-2.452000E-002
9,12/02/06 05:11,-3.284000E+000,-4.657000E-002,-3.933000E-002,-1.626000E-002,-4.445000E-002,8.408000E-003,3.684000E-003,5.011000E-004,1.317000E-002,-1.654000E-003,-3.546000E-003,-2.963000E-004,1.302000E-003,3.342000E-002,-3.849000E-003,-1.344000E-003,-6.082000E-004,9.873000E-002
9,12/04/06 05:21,5.481000E+000,-2.604000E-002,5.702000E-002,-2.893000E-002,-1.268000E-002,1.327000E-002,-5.899000E-003,-1.692000E-004,-7.987000E-002,2.997000E-003,-9.660000E-003,-1.002000E-003,2.195000E-003,8.078000E-002,3.644000E-004,1.043000E-002,2.201000E-003,1.831000E-002
9,12/06/06 03:32,1.976000E+000,-4.300000E-002,1.027000E-001,-3.817000E-001,3.544000E-001,4.967000E-003,3.033000E-002,-2.412000E-003,3.062000E-003,5.846000E-002,-4.101000E-002,3.073000E-004,4.188000E-003,-3.378000E-002,1.766000E-002,-1.479000E-002,-4.925000E-003,2.780000E-002
9,12/08/06 03:28,-1.558000E+000,-1.226000E-001,1.869000E-002,-2.512000E-001,3.519000E-001,-6.178000E-004,-6.364000E-002,7.305000E-004,1.392000E-001,-1.940000E-002,-1.375000E-002,3.047000E-004,1.764000E-003,3.541000E-002,-5.327000E-003,1.584000E-003,-2.931000E-004,-2.763000E-002
9,12/10/06 03:20,3.363000E+000,-2.081000E-001,-4.835000E-002,-8.319000E-002,2.023000E-001,-9.827000E-004,-9.293000E-004,3.546000E-004,5.516000E-001,-2.309000E-003,-5.238000E-003,2.443000E-004,1.247000E-003,4.883000E-003,4.092000E-003,-8.565000E-003,-3.295000E-003,-8.191000E-002
9,12/12/06 03:18,-2.264000E+000,-1.839000E-001,4.865000E-002,-5.464000E-002,1.241000E+000,1.677000E-002,-9.364000E-002,3.699000E-003,3.027000E-001,-1.662000E-002,-3.173000E-002,-6.948000E-004,-8.298000E-004,-9.769000E-002,1.518000E-002,1.945000E-003,2.091000E-003,-2.584000E-001
9,12/14/06 03:19,2.955000E+000,-1.297000E-001,-2.308000E-002,-8.651000E-002,2.920000E-001,-7.059000E-004,-3.841000E-002,9.150000E-004,2.859000E-002,-1.163000E-002,-6.503000E-003,-5.434000E-005,9.410000E-004,1.904000E-002,3.189000E-003,2.749000E-002,-3.255000E-003,-1.308000E-001
9,12/16/06 03:09,7.744000E+000,-1.668000E-002,-1.213000E-001,1.068000E-001,-3.446000E-001,1.412000E-002,1.551000E-002,-6.083000E-004,-1.257000E-001,-9.664000E-005,1.100000E-002,-3.671000E-005,3.961000E-004,1.045000E-001,2.975000E-003,1.832000E-002,-1.383000E-003,6.721000E-002
9,12/18/06 03:10,-7.118000E-001,3.349000E-002,-1.026000E-001,-6.379000E-002,-2.070000E-001,7.752000E-003,2.503000E-002,1.773000E-004,-4.085000E-004,-2.680000E-003,1.304000E-002,-2.483000E-004,1.902000E-004,6.016000E-002,-1.763000E-003,-1.853000E-003,1.661000E-003,7.164000E-002
9,12/20/06 03:26,3.090000E+000,-1.847000E-001,-1.436000E-001,-7.360000E-002,8.167000E-002,1.452000E-002,-5.588000E-002,2.514000E-003,1.110000E-002,-1.447000E-002,2.527000E-003,-2.808000E-004,1.074000E-003,6.964000E-002,2.504000E-003,1.840000E-003,2.132000E-003,-1.565000E-001
9,12/28/06 03:22,-1.808000E+000,-2.933000E-002,-7.331000E-002,7.497000E-003,-3.799000E-002,1.782000E-003,-1.831000E-001,1.777000E-003,1.725000E-001,-1.395000E-002,-1.090000E-003,-9.416000E-005,3.981000E-005,5.921000E-002,3.191000E-003,4.061000E-003,-1.601000E-003,-3.773000E-001
9,01/03/07 03:07,1.307000E+002,5.497000E-002,4.360000E-002,-4.866000E+000,-1.573000E+000,3.498000E-002,-5.747000E-003,2.148000E-003,2.387000E-001,-5.570000E-001,2.004000E-001,2.575000E-003,1.275000E-001,2.238000E+000,4.418000E-003,-7.687000E-003,-1.030000E-002,-3.152000E-003
9,01/05/07 02:54,2.079000E+002,-1.168000E-001,-6.370000E-001,-6.065000E+000,2.302000E-001,3.237000E-002,1.505000E-002,8.379000E-003,-3.434000E-001,5.129000E-001,3.865000E-001,1.103000E-002,1.604000E-001,4.829000E+000,-3.502000E-002,-1.425000E-003,-1.979000E-002,6.937000E-002
9,01/07/07 03:09,4.595000E+001,-2.167000E-001,-1.806000E-001,-5.922000E-001,-7.636000E-001,1.626000E-002,-2.923000E-002,2.338000E-002,1.277000E+000,-5.398000E-001,5.440000E-002,6.313000E-004,1.231000E-002,2.300000E-001,1.042000E-001,8.036000E-004,8.223000E-003,-1.137000E-001
9,01/09/07 03:02,9.555000E+001,-4.204000E-002,-4.924000E-001,-2.807000E+000,-2.013000E+000,-1.662000E-002,-1.258000E-003,1.550000E-002,5.957000E-001,-6.486000E-001,1.937000E-001,8.479000E-003,4.735000E-002,1.583000E+000,3.711000E-003,-8.570000E-003,1.247000E-003,-3.965000E-002
9,01/11/07 02:55,5.566000E+001,-1.709000E-001,-2.279000E-001,-1.067000E+000,-1.292000E-001,1.173000E-002,-5.929000E-002,1.489000E-002,2.175000E-001,-1.995000E+000,8.846000E-002,3.925000E-003,2.080000E-002,5.674000E-001,4.346000E-002,3.501000E-002,4.207000E-003,-1.387000E-001
9,02/14/07 03:01,6.780000E-001,-4.831000E-002,-4.963000E-002,4.467000E-002,-1.810000E-001,2.089000E-003,7.741000E-003,3.808000E-004,-9.038000E-003,-5.609000E-003,7.267000E-003,8.580000E-004,-7.502000E-004,6.952000E-002,-3.358000E-004,-3.931000E-004,-4.032000E-003,7.590000E-002
9,02/16/07 02:51,-1.571000E+000,-5.398000E-002,-1.855000E-002,-3.293000E-002,-2.177000E-001,9.283000E-004,2.475000E-002,4.702000E-004,-1.975000E-003,-2.240000E-003,1.165000E-002,7.177000E-005,-4.517000E-004,5.174000E-002,1.074000E-003,-4.633000E-003,1.153000E-003,6.880000E-002
9,02/18/07 02:34,-4.157000E+000,-2.929000E-002,-6.411000E-002,5.278000E-002,3.227000E-002,2.007000E-003,1.138000E-002,-1.547000E-003,-2.986000E-002,9.129000E-003,4.307000E-003,2.036000E-003,-2.149000E-003,-1.468000E-002,-5.259000E-003,1.983000E-004,-1.777000E-003,1.913000E-001
9,02/20/07 02:37,-1.639000E+000,2.982000E-001,-1.063000E-001,5.756000E-002,5.891000E-002,-4.621000E-003,-1.830000E-002,2.469000E-002,5.550000E-002,-9.449000E-003,3.006000E-003,-6.886000E-004,-1.852000E-003,-2.160000E-002,6.007000E-003,-3.296000E-003,2.134000E-003,-1.313000E-001
9,02/22/07 02:35,-6.825000E-001,1.107000E-001,-4.861000E-002,2.913000E-003,1.097000E-001,-6.176000E-003,-2.695000E-002,3.772000E-003,3.161000E-002,-1.997000E-003,4.142000E-004,-6.149000E-005,-6.334000E-004,-2.579000E-002,1.598000E-003,3.320000E-003,-1.034000E-004,-1.942000E-001
9,02/24/07 02:38,9.452000E-001,1.771000E-002,8.107000E-002,9.529000E-002,-4.021000E-001,4.914000E-004,-2.075000E-002,6.126000E-004,5.527000E-002,-1.071000E-002,6.815000E-003,7.144000E-004,9.094000E-005,4.363000E-002,5.104000E-004,-5.064000E-004,1.022000E-003,-1.750000E-001
9,02/26/07 00:46,-8.594000E-001,-1.498000E-002,9.477000E-002,2.513000E-001,-3.146000E-001,-4.685000E-003,-1.996000E-002,2.283000E-003,1.173000E-001,-7.673000E-003,6.892000E-003,9.970000E-005,-2.350000E-003,2.223000E-002,-3.168000E-003,5.987000E-004,-1.805000E-003,-7.559000E-002
9,02/28/07 00:39,-6.571000E+000,3.576000E-002,1.482000E-001,2.366000E-001,-3.303000E-001,-5.720000E-003,1.403000E-002,9.494000E-004,3.205000E-002,9.731000E-003,1.653000E-003,5.775000E-004,-3.053000E-003,1.660000E-002,-7.857000E-003,-7.633000E-003,-2.667000E-003,1.263000E-001
9,03/02/07 00:30,-4.544000E+000,-6.531000E-002,9.590000E-002,1.357000E-001,-1.210000E-001,-2.176000E-003,4.142000E-002,-1.339000E-003,-4.776000E-002,2.069000E-002,2.953000E-003,6.365000E-005,-2.255000E-003,-3.825000E-004,3.362000E-003,-3.352000E-003,-9.607000E-004,1.791000E-001
9,03/04/07 00:54,-3.928000E+000,-1.242000E-001,5.679000E-002,9.731000E-002,7.310000E-003,5.466000E-003,-4.675000E-004,5.331000E-004,-1.854000E-003,1.553000E-002,-4.219000E-003,3.969000E-004,-1.128000E-003,-7.810000E-002,-2.865000E-003,-1.024000E-004,-2.391000E-003,7.314000E-002
9,03/06/07 01:01,-3.776000E+000,-7.064000E-002,4.425000E-002,2.649000E-001,-6.109000E-001,8.927000E-003,-4.975000E-003,-2.163000E-003,-4.166000E-002,1.634000E-003,1.520000E-002,1.670000E-003,9.319000E-004,-3.590000E-002,4.334000E-004,2.073000E-002,5.764000E-004,1.210000E-003
9,03/08/07 00:42,-4.221000E+000,-9.264000E-003,-5.100000E-002,9.266000E-002,-1.054000E-001,6.521000E-003,-1.136000E-002,8.925000E-003,4.800000E-002,-3.838000E-003,4.172000E-003,-2.635000E-004,-1.225000E-003,-6.862000E-002,-3.267000E-003,-1.032000E-003,3.226000E-003,-2.739000E-002
9,03/10/07 00:43,-3.271000E+000,-7.002000E-002,-6.776000E-002,8.259000E-002,-1.595000E-002,7.266000E-003,-5.531000E-003,4.495000E-003,3.005000E-002,4.521000E-003,9.570000E-004,6.341000E-005,-4.937000E-004,-9.864000E-002,-4.411000E-003,-1.024000E-003,-1.567000E-003,5.438000E-002
9,03/12/07 00:44,-6.789000E+000,-7.080000E-002,-7.227000E-002,9.412000E-002,-6.252000E-002,8.582000E-003,-3.713000E-002,6.247000E-003,4.938000E-002,-1.368000E-002,5.697000E-003,1.583000E-004,-6.365000E-004,-4.021000E-002,-1.172000E-003,7.710000E-003,9.056000E-004,-8.764000E-002
9,03/14/07 00:44,-7.464000E+000,-2.587000E-002,8.789000E-002,1.675000E-001,-1.498000E-001,-4.917000E-003,5.694000E-003,-4.448000E-004,-7.663000E-005,6.814000E-003,-4.883000E-004,1.362000E-003,-1.320000E-003,-1.136000E-002,-5.618000E-004,-6.772000E-004,-1.323000E-003,3.249000E-002
9,03/16/07 00:42,1.437000E+000,-1.574000E-001,3.110000E-002,1.708000E-001,-1.049000E-001,2.945000E-003,-1.010000E-002,1.215000E-002,1.669000E-001,1.141000E-003,-1.391000E-003,-7.326000E-004,-1.940000E-003,-5.253000E-002,2.204000E-003,-2.359000E-003,-1.662000E-003,-1.209000E-001
9,03/18/07 00:52,-1.967000E+000,3.745000E-002,1.289000E-002,1.105000E-001,-1.995000E-002,-2.144000E-003,5.617000E-003,-1.724000E-003,-1.029000E-002,9.048000E-003,-1.142000E-003,2.199000E-004,-1.625000E-003,-1.838000E-002,2.064000E-003,-3.789000E-004,-3.548000E-003,4.594000E-002
9,03/20/07 00:53,-2.893000E+000,1.187000E-002,-2.734000E-003,7.174000E-002,8.002000E-002,-2.103000E-003,6.265000E-003,-5.651000E-003,-3.073000E-002,8.536000E-003,-2.375000E-003,2.036000E-004,-3.480000E-005,-2.597000E-002,7.640000E-004,2.853000E-002,2.385000E-004,2.426000E-002
9,03/22/07 00:46,-5.936000E-001,-1.230000E-002,-4.704000E-002,1.769000E-001,-1.445000E-001,2.686000E-003,8.080000E-003,-3.143000E-003,-3.779000E-002,8.871000E-003,4.187000E-003,1.043000E-003,-7.645000E-004,-1.468000E-002,-3.270000E-003,1.140000E-002,-9.223000E-004,9.724000E-002
9,03/24/07 00:30,-2.374000E+000,-8.220000E-002,-6.368000E-002,1.186000E-001,-2.387000E-001,2.801000E-003,6.575000E-003,-3.374000E-003,-3.783000E-002,-1.249000E-003,7.743000E-003,4.237000E-004,2.095000E-004,2.854000E-002,7.639000E-003,2.413000E-003,-3.349000E-003,3.895000E-002
9,03/26/07 01:08,8.681000E+001,-1.705000E-002,-6.651000E-002,3.595000E-003,-4.903000E-002,8.787000E-004,-7.248000E-003,1.795000E-002,3.258000E-001,-6.656000E-003,5.708000E-004,6.588000E-005,1.585000E-003,5.701000E-003,2.972000E-002,-5.812000E-003,-9.436000E-004,-2.954000E-001
9,03/28/07 01:29,2.339000E+000,1.082000E-003,-2.373000E-002,2.470000E-002,-9.478000E-002,-3.264000E-003,1.896000E-002,-1.204000E-004,-1.069000E-002,-3.393000E-003,2.182000E-003,6.220000E-004,1.407000E-003,3.230000E-002,-5.768000E-003,-1.355000E-003,-7.950000E-004,1.245000E-001
9,04/15/07 01:15,-1.326000E+000,6.324000E-002,-3.931000E-002,5.265000E-002,-7.431000E-002,1.207000E-003,1.472000E-002,-6.661000E-003,-3.589000E-002,1.592000E-003,3.447000E-003,6.304000E-004,-3.090000E-004,7.419000E-003,1.703000E-002,3.978000E-003,1.217000E-002,3.652000E-002
9,04/23/07 01:00,-5.047000E-001,7.462000E-002,-5.821000E-003,2.179000E-002,-8.159000E-002,9.542000E-003,7.127000E-003,-1.999000E-004,-1.413000E-002,-3.152000E-003,3.252000E-003,-1.345000E-004,-1.396000E-005,3.803000E-002,-8.357000E-004,-1.901000E-003,-3.303000E-003,1.759000E-001
9,04/25/07 01:11,-3.465000E+000,9.322000E-002,-3.449000E-002,5.840000E-002,-1.844000E-002,4.817000E-003,5.004000E-003,-4.700000E-003,-1.988000E-002,2.919000E-003,4.954000E-004,1.073000E-003,-1.332000E-004,-7.766000E-003,1.199000E-002,1.119000E-002,5.477000E-003,3.419000E-002
9,04/27/07 01:17,-4.242000E+000,1.848000E-001,6.955000E-002,8.230000E-002,6.503000E-003,-1.717000E-003,1.849000E-002,-1.181000E-002,-4.639000E-002,1.070000E-002,-3.157000E-003,3.069000E-003,1.347000E-003,-1.019000E-002,2.881000E-002,5.792000E-003,2.919000E-004,2.417000E-001
9,04/29/07 01:20,-3.838000E-001,4.811000E-002,-4.352000E-002,3.007000E-002,-2.482000E-002,-8.801000E-004,1.291000E-002,-2.569000E-003,-2.639000E-002,1.612000E-003,1.078000E-004,5.161000E-005,1.151000E-003,1.120000E-002,-2.782000E-003,-1.974000E-003,3.567000E-004,1.703000E-001
9,05/01/07 01:31,-6.085000E+000,-2.517000E-002,6.316000E-004,1.983000E-002,-2.909000E-002,-5.037000E-004,-4.483000E-003,1.090000E-003,3.176000E-002,-3.453000E-003,1.030000E-003,5.494000E-004,-1.455000E-004,8.226000E-003,-4.604000E-003,-5.244000E-003,-1.070000E-003,-6.261000E-002
9,05/03/07 01:39,-7.173000E-001,1.490000E-001,1.736000E-002,4.090000E-002,-1.362000E-002,2.824000E-003,1.302000E-002,-1.229000E-003,-5.496000E-002,3.873000E-003,-1.008000E-003,3.390000E-004,-6.593000E-004,7.051000E-003,-2.392000E-003,2.704000E-003,-2.866000E-003,2.209000E-001
9,05/05/07 01:33,-9.434000E+000,1.849000E-001,-9.615000E-003,9.490000E-002,9.697000E-003,6.332000E-003,2.157000E-002,-4.023000E-003,-4.516000E-002,1.527000E-002,2.066000E-003,3.945000E-003,-2.668000E-004,-1.970000E-002,6.249000E-003,8.959000E-003,1.083000E-002,1.046000E+000
9,05/07/07 01:31,-1.002000E+000,4.466000E-001,1.025000E-001,1.815000E-001,-8.054000E-003,9.710000E-003,1.368000E-002,-7.506000E-003,-2.802000E-002,1.576000E-002,1.315000E-004,1.698000E-003,1.735000E-003,-2.464000E-002,4.936000E-003,7.107000E-004,8.909000E-003,1.120000E+000
9,05/09/07 01:25,3.747000E-001,3.963000E-002,-4.466000E-002,4.938000E-002,-9.167000E-002,5.688000E-003,8.546000E-003,9.091000E-004,-2.823000E-003,-1.558000E-003,2.283000E-003,8.975000E-004,-1.035000E-003,5.326000E-002,-6.637000E-003,-3.313000E-003,-3.515000E-003,2.379000E-001
9,05/11/07 01:32,-1.829000E+000,-1.722000E-002,-4.869000E-002,2.653000E-002,-2.313000E-002,4.728000E-003,2.532000E-002,-4.660000E-004,-3.783000E-002,1.577000E-003,2.059000E-003,1.551000E-003,7.212000E-004,-3.777000E-003,-2.564000E-003,-1.660000E-003,2.264000E-003,2.067000E-001
9,05/13/07 01:55,-2.039000E+000,5.910000E-002,-2.004000E-003,6.078000E-002,-1.811000E-001,9.469000E-004,-6.460000E-004,-4.726000E-004,-1.038000E-002,-3.203000E-003,4.699000E-003,7.448000E-004,7.850000E-004,2.215000E-002,3.007000E-003,3.655000E-003,-2.197000E-003,-3.220000E-002
9,05/15/07 01:51,-7.293000E-001,-1.682000E-002,3.204000E-002,8.602000E-002,-1.819000E-001,3.735000E-003,-5.316000E-003,1.420000E-003,3.083000E-002,-3.880000E-003,6.295000E-004,2.561000E-004,-2.146000E-004,1.513000E-002,-8.627000E-003,-3.512000E-005,-3.219000E-003,-6.237000E-002
9,05/17/07 01:54,3.669000E+000,-8.930000E-002,4.016000E-003,-5.892000E-002,-7.068000E-003,1.112000E-003,2.780000E-002,2.031000E-004,-1.147000E-002,-5.050000E-003,3.983000E-003,5.801000E-004,1.474000E-003,7.980000E-002,-3.399000E-003,-3.500000E-003,-3.125000E-003,1.491000E-001
9,05/19/07 01:20,4.158000E+000,1.793000E-001,3.964000E-004,2.017000E-002,-5.384000E-002,1.399000E-003,1.049000E-001,-1.378000E-003,-8.968000E-002,9.068000E-004,1.281000E-003,1.370000E-003,2.069000E-005,1.767000E-002,-2.718000E-003,-1.644000E-003,-1.228000E-003,4.781000E-001
9,09/27/07 01:51,-1.397000E+000,1.042000E-001,-2.258000E-002,-5.055000E-003,1.002000E-002,1.291000E-003,2.927000E-002,-2.535000E-003,-2.457000E-002,3.300000E-003,-1.387000E-003,1.796000E-004,-1.146000E-003,1.429000E-002,-1.949000E-003,-2.911000E-003,-3.856000E-004,3.716000E-001
9,10/03/07 02:00,-2.809000E+000,1.652000E-001,1.172000E-002,1.955000E-002,-3.265000E-002,2.909000E-003,3.123000E-002,-4.281000E-003,-7.942000E-002,-8.935000E-004,1.167000E-003,-2.620000E-004,-1.085000E-004,1.715000E-002,-1.118000E-003,5.590000E-003,8.373000E-004,9.894000E-002
9,10/09/07 02:25,3.369000E+000,7.019000E-002,-3.466000E-002,-3.700000E-002,7.369000E-003,2.916000E-003,-1.537000E-002,2.872000E-002,1.947000E-001,-2.064000E-003,5.296000E-004,-4.276000E-004,-2.032000E-004,5.307000E-003,-1.411000E-003,-6.033000E-004,-1.947000E-003,-1.388000E-001
9,10/15/07 04:53,4.169000E-002,8.155000E-003,-4.409000E-003,-2.036000E-002,1.434000E-002,-2.168000E-004,1.179000E-003,1.992000E-004,8.736000E-003,1.397000E-003,-5.787000E-004,1.256000E-004,-1.068000E-003,-1.384000E-003,-7.817000E-003,-4.706000E-003,-9.033000E-004,1.487000E-001
9,10/21/07 03:11,-2.077000E-001,2.005000E-002,-2.619000E-002,2.452000E-003,4.807000E-003,3.284000E-003,3.708000E-002,-4.700000E-004,-3.537000E-002,2.453000E-003,-1.137000E-003,-2.258000E-004,-1.676000E-003,3.012000E-002,2.168000E-004,-2.860000E-003,7.724000E-004,2.690000E-001
