**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.36500,  4.55920,  6.63048, 10.43300, 11.37175, 11.43500,  9.25145,  2.63095,  0.28438,  0.23150
Na,  0.09496,  0.00000,  0.04119,  0.09525,  0.09597,  0.10963,  0.07618,  0.03575,  0.46923,  0.37644
Mg,  0.00000,  0.00000,  0.00000,  0.00004,  0.02094,  0.03782,  0.00820,  0.01285,  1.56614,  0.00000
Al,  0.01988,  0.00224,  0.01133,  0.01994,  0.02019,  0.19308,  0.02724,  0.04078,  1.49732,  2.05102
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.49219,  0.03677,  0.11309,  3.07564,  0.00000
P,  0.01302,  0.01247,  0.01301,  0.01302,  0.01367,  0.01463,  0.01331,  0.00066,  0.04953,  0.05062
S,  0.50694,  0.42162,  0.49098,  0.50649,  0.50720,  0.50824,  0.49392,  0.02327,  0.04711,  0.04590
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.49842,  0.24323,  0.31862,  0.46599,  0.49833,  0.49972,  0.42053,  0.09768,  0.23228,  0.19598
Ca,  0.05851,  0.00000,  0.05856,  0.05971,  0.06763,  0.07828,  0.05711,  0.01731,  0.30300,  0.29579
Ti,  0.00214,  0.00000,  0.00166,  0.00220,  0.00252,  0.00915,  0.00246,  0.00183,  0.74356,  0.85707
V,  0.00075,  0.00039,  0.00053,  0.00073,  0.00075,  0.00076,  0.00067,  0.00011,  0.17272,  0.15340
Mn,  0.00087,  0.00000,  0.00048,  0.00085,  0.00089,  0.00118,  0.00067,  0.00037,  0.55172,  0.42487
Fe,  0.03879,  0.00479,  0.02851,  0.03926,  0.04018,  0.07543,  0.03634,  0.01575,  0.43343,  0.40611
Zn,  0.01259,  0.00147,  0.00419,  0.01079,  0.01259,  0.01263,  0.00898,  0.00441,  0.49120,  0.35044
Br,  0.01073,  0.00527,  0.00727,  0.01006,  0.01073,  0.01076,  0.00915,  0.00193,  0.21120,  0.18006
Pb,  0.00600,  0.00005,  0.00199,  0.00480,  0.00600,  0.00602,  0.00412,  0.00218,  0.52932,  0.36358
BC,  1.36530,  0.00000,  0.56424,  1.05485,  1.36520,  1.36860,  0.96171,  0.45925,  0.47754,  0.33637

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 23.57400, 21.15600, 23.65075, 23.94600, 29.01250, 33.85500, 25.78140,  3.45965,  0.13419,  0.14676
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.17235,  0.13455,  0.17284,  0.17794,  0.31643,  0.38380,  0.22425,  0.08930,  0.39822,  0.51813
Al,  1.31780,  0.98083,  1.32063,  1.33110,  2.36783,  2.75490,  1.66681,  0.61815,  0.37086,  0.46907
Si,  2.96880,  2.15930,  2.97673,  3.00420,  5.43305,  6.33530,  3.79352,  1.45875,  0.38454,  0.49136
P,  0.00237,  0.00047,  0.00237,  0.00238,  0.00656,  0.00872,  0.00373,  0.00272,  0.72916,  1.14818
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.04655,  0.00453,  0.01152,  2.54019,  0.00000
Cl,  0.15950,  0.10165,  0.12810,  0.15955,  0.15977,  0.16852,  0.14933,  0.02148,  0.14381,  0.13464
K,  0.38866,  0.32952,  0.38951,  0.39013,  0.40592,  0.52420,  0.40257,  0.03793,  0.09421,  0.09759
Ca,  0.78405,  0.78405,  0.78641,  0.82282,  0.85487,  0.89166,  0.82156,  0.03641,  0.04432,  0.04644
Ti,  0.10042,  0.08659,  0.10072,  0.10187,  0.15013,  0.16810,  0.11756,  0.02837,  0.24130,  0.28249
V,  0.00174,  0.00148,  0.00174,  0.00175,  0.00221,  0.00251,  0.00191,  0.00029,  0.15146,  0.16629
Mn,  0.01546,  0.01382,  0.01551,  0.01584,  0.02252,  0.02543,  0.01798,  0.00403,  0.22439,  0.26103
Fe,  0.91757,  0.81248,  0.92032,  0.93030,  1.31305,  1.46570,  1.05625,  0.22505,  0.21307,  0.24527
Zn,  0.00648,  0.00278,  0.00585,  0.00647,  0.00648,  0.00781,  0.00587,  0.00140,  0.23917,  0.21677
Br,  0.00203,  0.00000,  0.00072,  0.00204,  0.00204,  0.00263,  0.00160,  0.00090,  0.55987,  0.44102
Pb,  0.00305,  0.00155,  0.00271,  0.00305,  0.00306,  0.00344,  0.00281,  0.00057,  0.20152,  0.18569
BC,  0.02967,  0.00000,  0.00000,  0.02973,  0.03007,  0.19751,  0.03049,  0.04612,  1.51274,  1.55415

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.49900,  4.17020,  7.51603,  7.59350, 12.93225, 16.88100,  9.29229,  3.51469,  0.37824,  0.46869
Na,  0.03812,  0.00000,  0.03674,  0.03770,  0.11076,  0.14404,  0.05663,  0.04757,  0.84011,  1.24811
Mg,  0.00865,  0.00000,  0.00868,  0.00986,  0.02306,  0.04316,  0.01581,  0.01493,  0.94447,  1.72681
Al,  0.12214,  0.10685,  0.12240,  0.13023,  0.15514,  0.41180,  0.18396,  0.11607,  0.63094,  0.95028
Si,  0.21413,  0.00000,  0.13494,  0.21804,  0.24279,  0.85298,  0.29408,  0.29502,  1.00321,  1.37775
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00011,  0.00391,  0.00025,  0.00087,  3.52746,  0.00000
S,  0.04853,  0.00000,  0.03092,  0.04724,  0.04860,  0.17574,  0.05112,  0.03945,  0.77179,  0.81304
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.22335,  0.10969,  0.22375,  0.22435,  0.35072,  0.50851,  0.26727,  0.09569,  0.35804,  0.42845
Ca,  0.04003,  0.04003,  0.04077,  0.10803,  0.20547,  0.24482,  0.12210,  0.08415,  0.68922,  2.10222
Ti,  0.00713,  0.00713,  0.00724,  0.01044,  0.01679,  0.02772,  0.01352,  0.00781,  0.57750,  1.09437
V,  0.00037,  0.00037,  0.00037,  0.00047,  0.00074,  0.00089,  0.00053,  0.00018,  0.34514,  0.49508
