
Factor Contributions (avg = 1) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
12,11/12/06 03:20,-3.102700E-002,1.816600E+000,1.673200E+000,3.019300E+000,7.968200E-001,-2.000000E-001
12,11/14/06 02:25,-1.800300E-001,2.245000E+000,2.004700E+000,3.493000E+000,8.266100E-001,-7.316300E-002
12,11/16/06 03:20,3.028600E-001,1.740500E+000,1.330700E+000,2.841800E+000,6.439800E-001,-1.347600E-001
12,11/18/06 03:18,4.170500E-001,1.374500E+000,1.101200E+000,2.555900E+000,1.079300E+000,2.352900E-002
12,11/20/06 02:28,4.359900E-001,1.909200E+000,1.311500E+000,2.099500E+000,5.990400E-001,1.261700E-001
12,11/22/06 02:36,8.163900E-001,1.810600E+000,1.896700E+000,1.271600E+000,1.005200E+000,1.056800E+000
12,11/24/06 02:30,8.049500E-001,1.668000E+000,1.386700E+000,2.239700E+000,1.468200E+000,5.058900E-002
12,11/26/06 02:31,8.349400E-001,1.174700E+000,1.108300E+000,1.150300E+000,9.360000E-001,1.759100E+000
12,11/28/06 02:26,1.211500E+000,7.511700E-001,1.620700E-001,1.281500E+000,1.051900E+000,9.262400E-001
12,11/30/06 02:31,1.969600E+000,5.539500E-001,4.141900E-001,1.620800E+000,1.045200E+000,3.843900E-001
12,12/02/06 02:40,1.700700E+000,1.671500E-001,2.804700E-001,1.018500E+000,9.093900E-001,6.418500E-001
12,12/04/06 02:53,1.960300E+000,6.830500E-001,3.930800E-001,1.536900E+000,9.622200E-001,2.451900E+000
12,12/06/06 02:55,2.291800E+000,1.930700E+000,-1.999900E-001,2.655300E+000,1.186300E+000,2.536200E-001
12,12/08/06 02:45,2.747800E+000,1.583000E+000,-1.427300E-001,1.876100E+000,3.749000E-001,1.993100E+000
12,12/10/06 02:48,3.233600E+000,1.609000E+000,6.525900E-001,2.021200E+000,7.707900E-001,1.032100E+000
12,12/12/06 02:49,2.318500E+000,1.518200E+000,5.373200E-001,1.333100E+000,4.308600E-001,1.030800E+000
12,12/14/06 02:50,1.682900E+000,1.267700E+000,4.150100E-001,1.625500E+000,8.316300E-001,3.552300E+000
12,12/16/06 02:39,1.986700E+000,1.086500E+000,1.473300E-001,1.387700E+000,3.840800E-001,2.123200E+000
12,12/18/06 02:36,2.478100E+000,1.081300E+000,9.633600E-001,1.018000E+000,4.027300E-001,8.907700E-001
12,12/20/06 02:55,2.555100E+000,8.294100E-001,6.196500E-001,1.224300E+000,6.514500E-001,1.259700E+000
12,12/22/06 02:57,2.601500E+000,8.046600E-001,1.799300E+000,1.072000E+000,5.243000E-001,7.562600E-001
12,12/24/06 04:00,2.638900E+000,4.188300E-001,9.001300E-001,1.498100E+000,5.624800E-001,1.094200E+000
12,12/26/06 02:52,2.874600E+000,3.355300E-001,5.665100E-001,1.804700E+000,3.021500E-001,3.000000E+000
12,12/28/06 02:53,1.959800E+000,2.176400E-001,9.171700E-001,1.637700E+000,9.010300E-001,1.929600E+000
12,12/30/06 03:04,1.478700E+000,4.025700E-001,2.178100E+000,3.063600E+000,2.575200E+000,6.383800E-001
12,01/01/07 03:27,3.818300E+000,4.658700E+000,-2.000000E-001,-2.000000E-001,-3.729600E-002,3.136300E+000
12,01/03/07 03:25,-2.000000E-001,1.352600E+001,-2.000000E-001,4.920700E+000,-1.071300E-001,-2.000000E-001
12,01/05/07 02:58,-2.000000E-001,1.550800E+001,7.073100E-001,5.644200E+000,-2.000000E-001,9.371200E-001
12,01/07/07 02:53,2.563000E+000,6.849500E+000,1.017100E+000,6.555700E-001,4.064200E-001,6.489600E-001
12,01/09/07 02:25,2.105000E+000,7.733700E+000,-3.812700E-002,2.834300E+000,-2.000000E-001,-1.986500E-001
12,01/11/07 02:28,2.859900E+000,4.787500E+000,2.367900E-001,1.930300E-001,5.432400E-001,1.673800E+000
12,01/13/07 02:51,1.546200E+000,8.370300E+000,1.980800E-001,1.621700E+000,5.364600E-001,1.826200E-001
12,01/15/07 02:43,1.052400E+000,2.351500E+001,-2.793800E-003,8.654800E+000,1.276200E+000,-2.000000E-001
12,01/17/07 02:40,2.363100E+000,7.456300E+000,4.032100E-001,2.337400E-001,1.038300E+000,7.726200E-001
12,01/19/07 03:06,5.259600E-001,1.130200E+001,-1.395400E-001,4.962700E+000,3.991500E-001,1.325200E-001
12,01/21/07 02:59,2.410100E+000,6.828700E+000,1.253000E+000,1.681400E-001,7.700100E-001,1.803800E+000
12,01/23/07 05:16,1.705600E+000,4.884400E+000,1.489900E+000,2.965300E+000,4.416800E-001,-6.179300E-003
12,01/25/07 03:02,1.617000E+000,2.684200E+000,1.488000E+000,1.722800E+000,4.883600E-001,1.744200E+000
12,01/27/07 02:55,1.800200E+000,1.948800E+000,8.707200E-001,1.619900E+000,3.357100E-001,1.068900E-001
12,01/29/07 03:00,1.705900E+000,1.970400E+000,7.708100E-001,2.274600E+000,1.245000E+000,9.732600E-002
12,01/31/07 02:59,1.734400E+000,6.891900E-001,5.478600E-001,1.184100E+000,6.133800E-001,1.032800E+000
12,02/02/07 02:41,1.536300E+000,7.858800E-001,8.519500E-001,1.643600E+000,7.150700E-001,5.963600E-001
12,02/04/07 02:45,1.646600E+000,8.487400E-001,9.807000E-001,1.040200E+000,5.579400E-001,4.546000E-001
12,02/06/07 02:47,8.721200E-001,3.825100E-001,1.913200E+000,1.275900E+000,1.025300E+000,1.055900E+000
12,02/08/07 02:47,1.184800E+000,3.285500E-001,2.295100E+000,1.193100E+000,8.083800E-001,4.937800E-001
12,02/10/07 02:43,8.717000E-001,3.117200E-001,1.963200E+000,1.421900E+000,1.057700E+000,6.771100E-001
12,02/12/07 02:42,5.427100E-001,1.792800E-001,1.239300E+000,1.015200E+000,1.173000E+000,1.560900E+000
12,02/14/07 02:34,1.101000E+000,2.589700E-001,3.565100E-001,1.066700E+000,8.918200E-001,7.706400E-001
12,02/16/07 02:20,1.064700E+000,8.321000E-001,7.654800E-001,1.379400E+000,9.044900E-001,1.697700E-001
12,02/18/07 02:08,6.164800E-001,9.082900E-001,2.010000E+000,1.619400E+000,1.778300E+000,3.993300E-001
12,02/20/07 02:12,5.644300E-001,7.839300E-001,3.282300E+000,1.205500E+000,9.477100E-001,7.543500E-001
12,02/22/07 02:11,9.562000E-001,3.787000E-001,1.511800E+000,4.491900E-001,1.142400E+000,7.624200E-001
12,02/24/07 02:17,1.517400E+000,6.355300E-001,6.293100E-001,6.222900E-001,1.129400E+000,9.298400E-001
12,02/26/07 00:17,8.611400E-001,6.585500E-001,8.723200E-001,9.595100E-001,1.032100E+000,7.106300E-001
12,02/28/07 00:09,1.009000E+000,7.192000E-001,7.610900E-001,1.546900E+000,9.747400E-001,1.523800E-001
12,03/02/07 00:06,9.577900E-001,6.866300E-001,4.619400E-001,1.179800E+000,8.614800E-001,4.317300E-001
12,03/04/07 00:26,5.955200E-001,1.705900E+000,9.360900E-001,2.138300E+000,6.202100E-001,3.122000E-001
12,03/06/07 00:33,-2.000000E-001,2.592500E+000,1.894800E+000,3.042600E+000,4.564500E-001,1.093000E+000
12,03/08/07 00:13,4.754700E-001,1.300800E+000,1.578900E+000,1.308900E+000,8.072400E-001,1.892700E-001
12,03/10/07 00:11,6.287600E-001,1.241000E+000,1.383400E+000,1.099300E+000,8.263100E-001,1.892200E-001
12,03/12/07 00:18,7.444900E-001,9.507100E-001,1.545300E+000,7.438300E-001,8.265000E-001,6.970700E-001
12,03/16/07 00:10,4.631600E-001,5.463600E-001,1.572200E+000,1.143900E+000,1.642700E+000,3.153200E-001
12,03/18/07 00:15,7.163000E-001,2.913800E-001,8.405800E-001,7.270800E-001,1.019900E+000,3.922700E-001
12,03/20/07 00:26,6.110800E-001,7.741500E-001,1.358500E+000,8.319900E-001,1.129000E+000,1.315300E+000
12,03/22/07 00:21,5.904400E-001,8.247600E-001,1.053800E+000,9.342000E-001,8.811700E-001,1.098500E+000
12,03/24/07 00:07,4.550200E-001,4.711600E-001,1.210500E+000,6.792000E-001,9.948400E-001,5.685900E-001
12,03/26/07 00:47,3.418300E-001,8.683000E-002,1.222300E+000,4.083700E-001,2.344800E+000,1.913600E-001
12,03/28/07 00:47,9.327900E-001,4.867500E-002,7.339200E-001,2.508500E-001,1.436900E+000,6.615500E-001
12,03/30/07 00:36,5.425200E-001,7.808400E-002,8.320100E-001,9.349000E-001,1.392100E+000,5.494100E-001
12,04/01/07 00:27,3.006700E-001,6.927100E-002,8.136700E-001,4.581200E-001,9.961100E-001,2.513300E-001
12,04/03/07 00:30,1.361100E-001,1.547300E-002,7.603900E-001,4.610800E-001,1.682800E+000,1.923900E+000
12,04/05/07 00:29,5.524700E-001,1.868300E-001,6.393600E-001,1.816200E-002,1.305100E+000,2.596300E-001
12,04/07/07 00:12,6.657300E-001,1.250700E-001,5.028700E-001,2.829600E-001,1.175900E+000,5.625900E-001
12,04/09/07 00:30,6.885800E-001,1.542900E-001,4.809900E-001,3.785900E-001,1.239600E+000,5.397000E-001
12,04/11/07 00:36,3.765000E-001,5.263300E-002,7.091500E-001,4.619300E-001,1.038000E+000,4.016600E-001
12,04/13/07 00:28,6.455800E-001,1.406800E-001,9.238100E-001,6.268300E-001,1.109400E+000,1.665300E+000
12,04/15/07 00:33,4.323300E-001,2.800500E-001,1.008200E+000,4.408600E-001,8.959400E-001,6.236900E-001
12,04/17/07 00:38,4.622700E-001,2.503300E-001,1.180400E+000,2.720300E-001,1.407400E+000,2.755400E-001
12,04/19/07 00:42,4.953600E-001,2.202200E-001,1.017000E+000,7.984600E-001,1.258300E+000,9.691700E-001
12,04/21/07 00:40,1.240000E-001,2.289900E-001,1.567700E+000,9.722400E-001,1.237300E+000,7.234500E-001
12,04/23/07 00:42,3.005700E-001,1.122100E-001,6.411000E-001,8.863800E-001,1.378200E+000,2.445000E-001
12,04/25/07 00:54,3.022900E-001,6.155800E-002,1.334300E+000,4.431700E-001,1.578800E+000,1.438300E+000
12,04/27/07 00:45,-1.059000E-002,4.119200E-002,6.944800E-001,5.000400E-001,1.192400E+000,1.191700E+000
12,04/29/07 00:52,2.671700E-001,2.764400E-002,6.487500E-001,3.756100E-001,1.254300E+000,8.519800E-001
12,05/01/07 00:57,3.450900E-001,7.880200E-002,6.902500E-001,6.900100E-001,1.409900E+000,4.042000E-001
12,05/03/07 01:03,3.521700E-001,5.506400E-002,5.448200E-001,7.400200E-001,1.238300E+000,8.830200E-001
12,05/05/07 00:59,-2.508700E-002,6.769800E-002,1.204700E+000,7.155900E-001,1.659600E+000,7.031300E-001
12,05/07/07 00:57,9.425800E-002,6.779900E-002,1.024700E+000,5.792200E-001,1.365700E+000,2.347600E-001
12,05/09/07 00:57,3.562900E-001,7.177400E-002,5.007900E-001,9.697800E-001,1.446100E+000,1.612500E-001
12,05/11/07 01:03,5.677000E-001,2.146900E-002,4.313800E-001,4.788300E-001,1.189900E+000,2.473700E-001
12,05/13/07 01:04,4.108700E-001,2.669000E-001,5.933900E-001,2.283300E-001,1.406900E+000,5.237900E-001
12,05/15/07 01:10,4.691000E-001,3.217300E-001,6.474000E-001,1.838200E-001,1.090000E+000,2.006700E-001
12,05/17/07 01:01,9.208100E-001,1.545300E-002,6.760900E-001,7.171000E-001,1.036500E+000,3.071500E-001
12,05/19/07 01:01,-8.982100E-003,-1.892300E-002,2.767100E-001,5.722100E-001,6.291600E-001,9.859700E-002
12,05/21/07 00:47,4.840900E-001,-2.734600E-002,8.209500E-001,3.271700E-001,1.496900E+000,2.163300E-001
12,05/23/07 01:28,1.651200E-001,2.382600E-002,1.241100E+000,6.921400E-002,1.357500E+000,5.888700E-001
12,05/25/07 01:33,3.248100E-001,7.645500E-002,1.084400E+000,3.048300E-001,1.327900E+000,3.855000E-001
12,05/27/07 01:29,2.116200E-001,9.830200E-002,1.033600E+000,5.220400E-001,1.122800E+000,7.428900E-001
12,05/29/07 02:04,4.115400E-001,2.656400E-002,8.850500E-001,4.097200E-001,1.615700E+000,2.023300E-001
12,05/31/07 02:01,5.999600E-001,2.691100E-003,3.227300E-001,3.600600E-001,1.231600E+000,3.332100E-001
12,06/02/07 01:20,5.278500E-001,-3.870500E-002,7.420700E-001,2.826400E-001,9.537200E-001,3.392100E-001
12,06/04/07 00:54,7.129500E-001,-8.935100E-002,8.216300E-001,-1.705500E-001,1.389700E+000,4.510600E-001
12,06/06/07 00:44,5.099300E-001,-5.280900E-002,9.920500E-001,-5.809500E-002,1.342000E+000,5.418900E-001
12,06/08/07 00:33,5.361500E-001,-6.858400E-002,1.028000E+000,-1.330600E-001,1.723400E+000,7.888000E-001
12,06/10/07 00:25,3.589500E-001,-7.050000E-004,1.498600E+000,2.818300E-001,1.136000E+000,7.355500E-001
12,06/12/07 00:47,2.477700E-001,5.363000E-002,1.564700E+000,-1.349100E-001,1.474400E+000,2.720300E-001
12,06/14/07 01:15,3.518900E-001,-2.582500E-002,4.949000E-001,2.112300E-001,1.407300E+000,1.596900E-001
12,06/16/07 01:14,2.101200E-001,3.473500E-002,1.941800E+000,4.742500E-002,1.598400E+000,5.837000E-001
12,06/18/07 01:21,7.399900E-001,-7.440300E-002,1.672400E+000,5.051500E-001,9.386700E-001,6.370800E-001
12,06/20/07 01:10,9.884100E-001,-8.985600E-002,1.672000E+000,3.481400E-001,1.328800E+000,9.762300E-001
12,06/22/07 01:10,1.497000E+000,-1.246300E-001,1.201000E+000,5.000200E-001,1.429200E+000,7.530400E-001
12,06/24/07 01:38,1.809300E+000,-2.000000E-001,9.115000E-001,4.357600E-001,1.348300E+000,1.191900E+000
12,06/26/07 01:30,2.091600E+000,-1.922100E-001,4.542200E-001,6.827400E-001,8.737000E-001,2.556300E+000
12,06/28/07 00:38,1.333900E+000,-1.336400E-001,6.899100E-001,4.105900E-001,7.839400E-001,2.206900E+000
12,06/30/07 00:20,1.241900E+000,-1.204400E-001,8.366000E-001,4.711300E-001,7.696700E-001,1.179500E+000
12,07/02/07 01:02,1.822500E+000,-1.873500E-001,1.156100E+000,6.114900E-001,6.871800E-001,1.750700E+000
12,07/04/07 00:43,1.746800E+000,-1.747100E-001,5.468500E-001,7.705500E-001,7.164500E-001,1.382000E+000
12,07/06/07 00:39,8.115400E-001,-6.921800E-002,7.477500E-001,-4.618000E-002,1.284900E+000,5.180100E-001
12,07/08/07 00:44,7.065800E-001,-7.509700E-002,1.347100E+000,1.242500E-001,1.218600E+000,6.424200E-001
12,07/12/07 00:41,1.553200E+000,-1.185100E-001,3.170200E-001,1.081300E+000,8.466500E-001,6.378700E-001
12,07/14/07 00:40,1.699100E+000,-1.628100E-001,6.109200E-001,6.996200E-001,4.430900E-001,2.929600E+000
12,07/16/07 00:42,1.605700E+000,-1.017800E-001,9.055800E-001,6.823200E-001,5.678700E-001,1.379600E+000
12,07/18/07 00:40,2.294900E+000,-1.821400E-001,1.602300E+000,3.370100E-001,7.133900E-001,9.824300E-001
