**** Analysis Summary ****

Time of run: ,10/16/15 20:25
Concentration file: ,E:\pmf_fa\TFcH.csv
Uncertainty file: ,E:\pmf_fa\TFcHunc.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,     10.0, 11.98000, 29.92875, 36.36000, 65.54250,1292.02000, 100.00 %, 100.00 %
Na,Strong,      2.8,  0.00335,  0.13000,  0.21842,  0.35112,  1.27128, 100.00 %, 100.00 %
Mg,Strong,      4.0,  0.00110,  0.05792,  0.11183,  0.41005,  6.95825, 100.00 %, 100.00 %
Al,Strong,      9.9,  0.09335,  0.40596,  0.99584,  3.17087, 47.26370, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.18537,  0.79790,  1.90230,  6.85642,125.05882, 100.00 %, 100.00 %
P,Strong,      6.2,  0.00115,  0.01384,  0.02142,  0.03534,  0.16725, 100.00 %, 100.00 %
S,Strong,     10.0,  0.17551,  0.49891,  0.78739,  1.05081,  2.31183, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.04426,  0.29868,  0.47927,  0.75255,  4.50778, 100.00 %, 100.00 %
K,Strong,     10.0,  0.23489,  0.83753,  1.04046,  1.59069, 15.45510, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.07104,  0.30272,  0.50025,  1.15615, 24.40530, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.00656,  0.03011,  0.06874,  0.20469,  4.05869, 100.00 %, 100.00 %
V,Strong,      4.9,  0.00039,  0.00152,  0.00226,  0.00430,  0.06958, 100.00 %, 100.00 %
Mn,Strong,      9.9,  0.00318,  0.00756,  0.01231,  0.03355,  0.78532, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.07834,  0.33710,  0.63302,  1.71436, 36.90912, 100.00 %, 100.00 %
Zn,Strong,      9.8,  0.01001,  0.02703,  0.03314,  0.04266,  0.29750, 100.00 %, 100.00 %
Br,Strong,      9.8,  0.00550,  0.01402,  0.02082,  0.03456,  0.13954, 100.00 %, 100.00 %
Pb,Strong,      8.3,  0.00929,  0.01419,  0.01664,  0.02162,  0.09755, 100.00 %, 100.00 %
BC,Strong,     10.0,  1.55456,  3.11401,  3.48436,  3.95274,  8.88342, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,6
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,19864.1     ,54496.2     ,Yes      ,1346,26.04981
2,19833.2     ,54418.3     ,Yes      ,2013,26.01257
3,19836.4     ,54388.2     ,Yes      ,1804,25.99818
4,19809.1     ,54285.3     ,Yes      ,1707,25.949
5,19804.6     ,54329.8     ,Yes      ,1555,25.97027
6,19806.1     ,54279       ,Yes      ,1304,25.94598
7,19806.1     ,54277.4     ,Yes      ,1386,25.94522
8,19861.8     ,54466.3     ,Yes      ,1118,26.03552
9,19864.2     ,54501.9     ,Yes      ,1406,26.05253
10,18407.9     ,36611.2     ,Yes      ,2102,17.50057
11,19804.3     ,54329       ,Yes      ,1531,25.96988
12,18361.3     ,36543.5     ,Yes      ,4697,17.46821
13,19804       ,54329.4     ,Yes      ,1379,25.97008
14,19804       ,54326.5     ,Yes      ,1334,25.96869
15,19803.9     ,54328.5     ,Yes      ,1023,25.96965
16,19805.8     ,54276.5     ,Yes      ,1872,25.94479
17,19836.4     ,54390.7     ,Yes      ,1964,25.99938
18,19804       ,54328.4     ,Yes      ,1171,25.9696
19,19998.9     ,54866.8     ,Yes      ,1355,26.22696
20,19864.4     ,54505.2     ,Yes      ,1017,26.05411

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,230.16729,
3,266.13893,6.43252,
4,366.75066,97.75497,83.61442,
5,349.98878,89.57395,78.67761,7.39653,
6,347.32316,97.02165,85.05737,1.47130,8.20619,
7,333.55035,93.93326,84.14215,2.84689,8.74325,0.51669,
8,21.25909,161.12560,189.64032,276.52677,262.89950,261.59155,250.61018,
9,0.41648,240.21515,276.90485,377.32792,360.36765,357.58186,343.58139,26.38549,
10,50241.63799,49571.88537,49479.54708,49023.07029,49102.25472,49055.47226,49095.82976,50124.69985,50251.85109,
11,365.03737,95.10802,82.52922,6.79733,0.44145,7.87750,8.94246,276.28261,375.53426,49069.95161,
12,50170.79875,49486.34912,49391.08993,48898.41662,48986.05309,48932.43966,48972.80398,50046.40083,50180.96137,210.60761,48954.03922,
13,342.48142,89.16916,79.57951,8.22363,0.30070,8.03808,7.92014,257.43988,352.69268,49125.66751,0.93772,49009.31694,
14,346.01646,90.76319,80.77474,7.92793,0.36378,7.66524,7.63803,260.70958,356.24151,49116.73489,0.72818,49000.13028,0.05740,
15,348.89451,91.41853,81.11676,7.88929,0.32723,7.77010,7.87224,263.13387,359.14645,49113.16698,0.58367,48996.60933,0.09408,0.01909,
16,332.91417,94.41043,84.36540,3.19551,8.96051,0.48937,0.10880,250.04857,342.96321,49089.81668,9.15410,48967.60577,8.11178,7.81535,8.04558,
17,256.60162,4.62684,0.24297,86.83350,81.17315,87.83548,86.45466,182.01224,267.21064,49503.12286,85.39637,49415.60918,81.80527,83.08278,83.49039,86.71831,
18,344.64190,90.58178,80.81411,8.20911,0.44896,7.82019,7.68279,259.69977,354.83116,49121.33171,0.85346,49005.16506,0.05921,0.01865,0.04090,7.86270,83.07427,
19,991.90736,1050.85584,1077.75850,892.09401,873.03590,859.82575,842.68663,951.99431,993.39873,50027.45394,879.92872,49828.09965,857.98896,857.83374,860.12342,842.78796,1072.16352,855.90628,
20,1.16747,248.10008,285.33970,385.75662,368.65302,365.75646,351.53898,30.12292,0.20325,50260.88124,383.94648,50189.76323,360.83463,364.39971,367.33904,350.93061,275.50756,362.95993,993.84486,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.12896,11.45826,11.92213,7.41531,7.54249,35.90407,10.96220,1.14316,70.46428,5.51076,1.78956,0.08903,3.67803,3.37432,8.13190,46.42629,2.25782,1.96873,
3                    1,0.15120,13.64881,12.31421,8.24679,8.44289,44.50993,10.66890,1.62940,81.24194,5.67658,2.29454,0.10675,4.42876,4.19205,9.27865,54.48647,2.38232,2.43875,
3                    2,0.00545,0.23717,0.13165,0.46219,0.80319,0.52420,0.53434,0.08919,1.20555,0.34386,0.14907,0.00421,0.24939,0.18343,0.13292,0.94865,0.06755,0.36051,
4                    1,0.24511,29.36513,13.47100,13.01371,13.37842,60.67365,12.11885,2.55183,117.07245,5.66469,3.64419,0.18133,10.32052,7.27627,14.14047,55.49850,3.95442,4.18013,
4                    2,0.04833,33.16073,1.10923,4.14260,5.20531,5.20461,3.56414,1.96468,19.08836,0.94898,1.31666,0.05175,3.63425,2.24159,3.75500,10.01720,0.69665,1.60494,
4                    3,0.02890,31.26298,0.59637,2.66521,3.02394,2.98490,2.72701,2.22725,13.54695,1.10436,0.86616,0.03460,2.48273,1.64549,3.46050,12.89756,0.83027,1.22922,
5                    1,0.23165,28.90306,13.17942,11.19373,11.46757,55.58138,13.08289,2.31890,111.82130,5.54156,3.11836,0.16607,9.58504,6.26112,14.54340,55.33695,3.65575,4.00064,
5                    2,0.04320,28.05697,0.92040,2.97374,3.80299,4.42763,4.28686,1.49905,17.64308,1.02181,0.97331,0.04137,3.09986,1.81673,4.31236,12.63719,0.66241,1.35500,
5                    3,0.02593,25.98167,0.51313,1.85492,2.09770,2.60602,3.54525,1.64529,12.80151,1.25305,0.61976,0.02679,2.11246,1.33490,4.02393,16.53330,0.71361,0.98842,
5                    4,0.00217,1.35239,0.17502,0.24806,0.27252,0.38013,0.76604,0.20712,0.93639,0.11100,0.10207,0.00286,0.14586,0.28540,0.24542,1.32651,0.10031,0.73725,
6                    1,0.23155,29.80282,13.28793,12.51197,12.83261,60.45062,11.40931,2.18224,109.71070,5.64354,3.47544,0.16786,9.96084,6.87318,13.04796,47.98624,3.61560,4.13275,
6                    2,0.04374,34.31206,1.00250,3.77058,4.75596,5.14904,3.63648,1.68519,17.27600,0.95016,1.20056,0.04525,3.40831,2.07510,3.39561,12.01627,0.58532,1.71352,
6                    3,0.02574,32.44035,0.53026,2.41884,2.73525,2.95409,2.91488,1.97160,12.24120,1.11177,0.78453,0.02977,2.32441,1.52728,3.12623,15.86286,0.70099,1.35732,
6                    4,0.00052,0.01681,0.00602,0.02682,0.03444,0.01639,0.11661,0.03320,0.26115,0.00491,0.01215,0.00056,0.01742,0.02785,0.05573,0.78651,0.02232,0.03191,
6                    5,0.00173,1.55152,0.16677,0.20998,0.24354,0.37380,0.80170,0.25483,1.00869,0.10468,0.09303,0.00252,0.13734,0.23909,0.32338,1.68525,0.10935,0.89903,
7                    1,0.21802,29.46282,12.91571,11.52960,11.78248,60.85105,11.25883,2.43135,104.03935,5.62882,3.16372,0.15692,9.24780,6.33868,12.44901,44.74851,3.47333,3.85437,
7                    2,0.03904,34.05172,0.82871,3.15476,3.97695,5.18571,3.72385,1.90778,16.15383,0.94042,1.01494,0.03889,2.93989,1.83169,3.30797,12.70837,0.56691,1.56184,
7                    3,0.02272,32.21394,0.43039,2.05491,2.28834,2.96056,3.02671,2.19184,11.67706,1.08760,0.68521,0.02564,1.99843,1.38484,3.08388,17.06557,0.69068,1.25382,
7                    4,0.00124,0.02180,0.03100,0.11861,0.13892,0.03186,0.14065,0.01035,0.61053,0.00859,0.04086,0.00153,0.06452,0.07121,0.11045,1.37625,0.03123,0.03731,
7                    5,0.00193,1.60085,0.16582,0.17094,0.19420,0.39178,0.84458,0.24047,1.20210,0.09048,0.08605,0.00260,0.13613,0.23706,0.36722,2.02484,0.11257,0.87363,
7                    6,0.00036,0.00352,0.01250,0.04703,0.05851,0.00897,0.01220,0.01393,0.13657,0.00302,0.01575,0.00046,0.02626,0.02154,0.01569,0.12646,0.00309,0.01083,
8                    1,0.01567,1.17493,0.81362,0.38114,0.41152,0.14821,1.30488,0.05849,10.59070,0.27777,0.12980,0.01006,0.34182,0.23989,1.35697,3.51616,0.33755,0.14992,
8                    2,0.07003,12.16463,12.26268,6.30695,6.34679,33.82769,8.20004,1.11659,33.40725,5.27063,1.32214,0.05415,2.40958,2.42460,3.97837,28.67554,1.24830,2.03966,
