
Factor Profiles (conc. of species) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
12,mass,1.186600E+001,3.626800E+001,2.039100E+000,5.859500E+000,1.351900E+001,6.993600E-001
12,Na,2.323200E-002,0.000000E+000,1.572300E-001,0.000000E+000,3.790100E-002,3.094800E-002
12,Mg,1.036600E-002,3.594700E-001,1.777300E-002,6.366800E-002,0.000000E+000,1.435400E-002
12,Al,1.571700E-001,2.646300E+000,0.000000E+000,3.957000E-001,2.003100E-001,3.695400E-002
12,Si,4.222600E-001,6.069700E+000,1.921700E-002,7.143900E-001,3.459400E-001,6.676200E-002
12,P,1.098900E-002,3.689900E-003,0.000000E+000,1.255300E-002,1.371000E-003,0.000000E+000
12,S,4.306900E-001,2.701900E-003,9.429900E-002,2.017200E-001,4.729300E-002,4.108900E-002
12,Cl,0.000000E+000,1.907400E-001,4.259300E-001,2.990500E-003,0.000000E+000,0.000000E+000
12,K,4.878700E-001,5.978800E-001,5.229700E-002,4.098800E-002,3.374300E-001,4.501600E-002
12,Ca,0.000000E+000,7.004200E-001,4.049900E-002,3.528600E-001,1.088900E-001,1.507600E-002
12,Ti,7.564800E-003,1.606900E-001,1.405800E-003,3.144300E-002,1.422600E-002,1.739300E-003
12,V,4.741600E-004,2.424100E-003,1.293100E-004,5.438500E-004,7.470200E-004,2.947100E-005
12,Mn,3.326800E-003,2.530800E-002,9.132500E-005,2.062000E-003,4.306500E-003,0.000000E+000
12,Fe,8.275300E-002,1.345100E+000,6.823700E-004,2.786900E-001,1.723300E-001,4.209900E-003
12,Zn,1.045300E-002,1.056300E-002,2.645400E-003,0.000000E+000,1.458500E-002,2.054900E-003
12,Br,5.060200E-004,2.640700E-003,2.694400E-005,1.558100E-003,3.212600E-003,1.980200E-002
12,Pb,4.401800E-003,4.184600E-003,1.422700E-003,0.000000E+000,7.880000E-003,1.702600E-003
12,BC,8.406400E-001,0.000000E+000,0.000000E+000,6.298100E-001,2.093100E+000,0.000000E+000

Factor Profiles (% of species sum) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
12,mass,1.689087E+001,5.162634E+001,2.902594E+000,8.340812E+000,1.924387E+001,9.955167E-001
12,Na,9.318481E+000,0.000000E+000,6.306581E+001,0.000000E+000,1.520230E+001,1.241341E+001
12,Mg,2.226226E+000,7.720061E+001,3.816971E+000,1.367349E+001,0.000000E+000,3.082699E+000
12,Al,4.573637E+000,7.700716E+001,0.000000E+000,1.151484E+001,5.829008E+000,1.075359E+000
12,Si,5.528216E+000,7.946434E+001,2.515884E-001,9.352774E+000,4.529037E+000,8.740462E-001
12,P,3.841918E+001,1.290044E+001,0.000000E+000,4.388716E+001,4.793220E+000,0.000000E+000
12,S,5.266492E+001,3.303893E-001,1.153091E+001,2.466639E+001,5.783004E+000,5.024377E+000
12,Cl,0.000000E+000,3.078137E+001,6.873602E+001,4.826030E-001,0.000000E+000,0.000000E+000
12,K,3.124406E+001,3.828929E+001,3.349192E+000,2.624944E+000,2.160961E+001,2.882904E+000
12,Ca,0.000000E+000,5.751779E+001,3.325737E+000,2.897651E+001,8.941937E+000,1.238026E+000
12,Ti,3.484977E+000,7.402718E+001,6.476285E-001,1.448526E+001,6.553679E+000,8.012663E-001
12,V,1.090547E+001,5.575321E+001,2.974072E+000,1.250831E+001,1.718112E+001,6.778198E-001
12,Mn,9.479514E+000,7.211361E+001,2.602250E-001,5.875544E+000,1.227111E+001,0.000000E+000
12,Fe,4.392957E+000,7.140486E+001,3.622373E-002,1.479431E+001,9.148168E+000,2.234833E-001
12,Zn,2.593713E+001,2.621007E+001,6.564056E+000,0.000000E+000,3.618990E+001,5.098843E+000
12,Br,1.823734E+000,9.517283E+000,9.710822E-002,5.615510E+000,1.157845E+001,7.136791E+001
12,Pb,2.246768E+001,2.135905E+001,7.261749E+000,0.000000E+000,4.022112E+001,8.690414E+000
12,BC,2.358996E+001,0.000000E+000,0.000000E+000,1.767367E+001,5.873637E+001,0.000000E+000

Factor Profiles (% of total variable) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6
12,mass,*,*,*,*,*,*
12,Na,1.957863E-001,0.000000E+000,7.710755E+000,0.000000E+000,2.803536E-001,4.425189E+000
12,Mg,8.735884E-002,9.911492E-001,8.716100E-001,1.086577E+000,0.000000E+000,2.052448E+000
12,Al,1.324541E+000,7.296515E+000,0.000000E+000,6.753136E+000,1.481692E+000,5.283974E+000
12,Si,3.558571E+000,1.673569E+001,9.424256E-001,1.219200E+001,2.558917E+000,9.546157E+000
12,P,9.260914E-002,1.017398E-002,0.000000E+000,2.142333E-001,1.014128E-002,0.000000E+000
12,S,3.629614E+000,7.449818E-003,4.624540E+000,3.442615E+000,3.498262E-001,5.875229E+000
12,Cl,0.000000E+000,5.259182E-001,2.088814E+001,5.103678E-002,0.000000E+000,0.000000E+000
12,K,4.111495E+000,1.648506E+000,2.564710E+000,6.995136E-001,2.495969E+000,6.436742E+000
12,Ca,0.000000E+000,1.931234E+000,1.986121E+000,6.022016E+000,8.054590E-001,2.155685E+000
12,Ti,6.375190E-002,4.430628E-001,6.894218E-002,5.366157E-001,1.052297E-001,2.486988E-001
12,V,3.995955E-003,6.683853E-003,6.341523E-003,9.281509E-003,5.525704E-003,4.213996E-003
12,Mn,2.803641E-002,6.978052E-002,4.478692E-003,3.519072E-002,3.185517E-002,0.000000E+000
12,Fe,6.973959E-001,3.708779E+000,3.346428E-002,4.756208E+000,1.274724E+000,6.019647E-001
12,Zn,8.809203E-002,2.912485E-002,1.297337E-001,0.000000E+000,1.078852E-001,2.938258E-001
12,Br,4.264453E-003,7.281074E-003,1.321367E-003,2.659101E-002,2.376359E-002,2.831446E+000
12,Pb,3.709590E-002,1.153800E-002,6.977098E-002,0.000000E+000,5.828834E-002,2.434511E-001
12,BC,7.084443E+000,0.000000E+000,0.000000E+000,1.074853E+001,1.548265E+001,0.000000E+000
