
Residuals from Base Run #12 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
12,11/12/06 03:20,4.023000E+000,-2.551000E-001,2.583000E-001,7.803000E-001,3.853000E+000,-1.574000E-003,2.280000E-002,6.827000E-003,-5.788000E-002,-1.161000E-001,-2.396000E-002,1.422000E-003,1.464000E-002,-6.766000E-002,-2.798000E-003,1.788000E-004,3.174000E-003,1.648000E-001
12,11/14/06 02:25,-8.260000E+000,2.049000E-002,2.430000E-001,-1.407000E-001,2.727000E+000,-8.723000E-003,8.636000E-003,-3.397000E-003,-2.044000E-002,3.277000E-002,-7.250000E-002,-2.188000E-004,7.783000E-003,-3.119000E-001,-4.502000E-004,-5.214000E-005,2.841000E-003,2.774000E-002
12,11/16/06 03:20,6.669000E+000,-1.856000E-001,1.706000E-001,-7.674000E-002,1.879000E+000,2.258000E-003,1.057000E-002,9.685000E-004,-3.638000E-002,7.321000E-004,-4.772000E-002,1.931000E-004,1.295000E-002,-1.893000E-001,5.845000E-004,-5.389000E-005,7.105000E-003,3.909000E-003
12,11/18/06 03:18,9.305000E+000,-1.100000E-001,1.128000E-001,1.970000E-001,1.937000E+000,-7.879000E-003,4.083000E-002,1.946000E-003,-8.141000E-002,-1.003000E-001,-1.010000E-002,-2.458000E-003,2.456000E-002,2.619000E-001,1.800000E-003,1.697000E-004,-1.737000E-003,3.045000E-001
12,11/20/06 02:28,9.136000E+000,-6.537000E-002,1.431000E-001,-4.912000E-002,1.488000E+000,2.734000E-003,7.498000E-003,2.148000E-003,-3.564000E-002,-2.478000E-002,-3.126000E-002,-5.067000E-004,1.007000E-002,-1.380000E-001,6.344000E-005,6.705000E-005,-9.001000E-004,5.014000E-002
12,11/22/06 02:36,-8.068000E+000,-1.970000E-001,1.170000E-001,-3.685000E-001,6.465000E-001,-3.079000E-003,-5.906000E-003,4.921000E-005,1.774000E-002,7.605000E-002,-3.800000E-002,-1.222000E-003,3.624000E-003,-2.118000E-001,6.034000E-003,-3.851000E-005,-3.802000E-003,-7.247000E-002
12,11/24/06 02:30,-6.347000E+000,-1.338000E-001,1.750000E-001,-2.327000E-001,9.294000E-001,4.367000E-003,-9.591000E-003,6.080000E-003,3.927000E-002,7.407000E-003,-3.976000E-002,-8.475000E-004,2.223000E-002,-1.189000E-001,-8.262000E-003,2.970000E-004,-7.141000E-003,2.453000E-001
12,11/26/06 02:31,-9.050000E+000,-9.980000E-002,-1.228000E-002,-5.350000E-002,3.995000E-001,9.383000E-003,-1.096000E-002,6.294000E-003,2.783000E-002,-4.240000E-003,-1.821000E-002,1.566000E-004,6.643000E-003,-9.250000E-002,-7.450000E-003,5.825000E-004,-4.885000E-003,1.412000E-001
12,11/28/06 02:26,1.888000E+000,2.649000E-002,6.521000E-003,-6.033000E-002,1.286000E-001,1.714000E-003,-2.722000E-003,2.249000E-004,8.745000E-003,1.065000E-003,-1.127000E-002,4.073000E-004,1.053000E-002,-2.172000E-002,-4.258000E-003,2.222000E-004,-3.081000E-003,1.220000E-001
12,11/30/06 02:31,-6.537000E+000,-2.559000E-002,-4.012000E-002,-1.104000E-001,-3.477000E-001,9.603000E-003,-6.415000E-002,-5.209000E-004,7.948000E-002,5.070000E-002,-8.335000E-003,-4.279000E-004,1.044000E-002,-3.466000E-002,1.953000E-002,-1.356000E-004,5.950000E-004,-7.900000E-001
12,12/02/06 02:40,-1.268000E+000,-4.601000E-002,-2.114000E-002,-9.749000E-003,-1.278000E-001,6.763000E-003,-4.471000E-002,4.458000E-005,5.634000E-002,1.280000E-002,-1.676000E-003,-5.549000E-004,4.625000E-003,-2.772000E-002,-7.218000E-004,3.848000E-005,-1.348000E-003,-2.128000E-001
12,12/04/06 02:53,2.222000E+000,-9.884000E-002,-2.138000E-002,-9.500000E-002,-1.521000E-001,9.827000E-003,-2.677000E-002,-3.003000E-006,1.317000E-002,2.073000E-002,-1.207000E-002,4.143000E-004,2.618000E-003,2.767000E-002,2.004000E-003,-1.264000E-004,4.799000E-003,-2.284000E-001
12,12/06/06 02:55,-5.616000E-001,1.552000E-001,1.805000E-001,-5.795000E-002,1.240000E+000,-2.207000E-003,2.666000E-002,-2.742000E-004,-7.211000E-002,-5.832000E-003,-3.365000E-002,1.023000E-003,6.243000E-003,-1.895000E-001,3.124000E-003,2.069000E-005,-4.859000E-003,1.118000E-001
12,12/08/06 02:45,-1.669000E+000,-6.695000E-002,2.797000E-002,-2.141000E-001,6.385000E-001,4.516000E-003,-4.178000E-002,3.810000E-004,8.935000E-002,1.855000E-002,-2.198000E-002,-8.643000E-004,-1.559000E-005,-2.969000E-002,-3.072000E-003,2.522000E-004,-3.449000E-003,5.276000E-002
12,12/10/06 02:48,-1.708000E+001,8.791000E-002,1.809000E-001,-7.349000E-002,1.546000E+000,-9.613000E-004,-6.869000E-002,7.735000E-005,1.758000E-001,5.543000E-002,-4.660000E-002,-7.838000E-004,-2.728000E-003,-2.489000E-001,-2.008000E-002,-1.625000E-005,-1.339000E-003,2.216000E-002
