**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 12

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.86600,  1.89700,  7.62288,  9.24640, 11.23058, 13.23800,  8.55493,  3.62692,  0.42396,  0.30566
Na,  0.02323,  0.00094,  0.03690,  0.05782,  0.06401,  0.06590,  0.04812,  0.01911,  0.39722,  0.82274
Mg,  0.01037,  0.00000,  0.00296,  0.00936,  0.02331,  0.02441,  0.01076,  0.00953,  0.88543,  0.91923
Al,  0.15717,  0.00235,  0.06149,  0.09312,  0.12950,  0.15717,  0.08581,  0.04766,  0.55539,  0.30323
Si,  0.42226,  0.00234,  0.13195,  0.21906,  0.37014,  0.42226,  0.21577,  0.14209,  0.65851,  0.33650
P,  0.01099,  0.00877,  0.00900,  0.00975,  0.01272,  0.01759,  0.01131,  0.00311,  0.27486,  0.28284
S,  0.43069,  0.39549,  0.42888,  0.43148,  0.45025,  0.45307,  0.43522,  0.01444,  0.03318,  0.03352
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.48787,  0.00000,  0.35414,  0.51173,  0.53763,  0.67177,  0.43079,  0.21773,  0.50541,  0.44628
Ca,  0.00000,  0.00000,  0.03746,  0.06145,  0.06855,  0.10808,  0.05703,  0.02406,  0.42186,  0.00000
Ti,  0.00756,  0.00146,  0.00453,  0.00558,  0.00689,  0.00756,  0.00527,  0.00202,  0.38371,  0.26736
V,  0.00047,  0.00016,  0.00029,  0.00032,  0.00044,  0.00051,  0.00033,  0.00011,  0.34369,  0.24100
Mn,  0.00333,  0.00000,  0.00057,  0.00183,  0.00213,  0.00333,  0.00136,  0.00099,  0.72906,  0.29836
Fe,  0.08275,  0.00000,  0.00000,  0.00000,  0.05306,  0.13470,  0.02883,  0.04935,  1.71139,  0.59631
Zn,  0.01045,  0.00093,  0.00680,  0.00985,  0.01032,  0.01483,  0.00885,  0.00443,  0.50050,  0.42373
Br,  0.00051,  0.00000,  0.00396,  0.01276,  0.01383,  0.01595,  0.01041,  0.00564,  0.54175, 11.14277
Pb,  0.00440,  0.00000,  0.00267,  0.00375,  0.00425,  0.00655,  0.00352,  0.00209,  0.59542,  0.47565
BC,  0.84064,  0.00000,  0.00790,  0.50016,  0.68259,  0.84064,  0.41624,  0.32850,  0.78919,  0.39077

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 36.26800, 10.42800, 15.78050, 20.44350, 28.80075, 36.26800, 22.03895,  6.99258,  0.31728,  0.19280
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.35947,  0.00000,  0.03009,  0.06734,  0.20598,  0.35947,  0.11313,  0.11104,  0.98156,  0.30891
Al,  2.64630,  0.24796,  0.54186,  0.76874,  1.62395,  2.64630,  1.06637,  0.68960,  0.64667,  0.26059
Si,  6.06970,  0.36665,  0.98306,  1.48520,  3.47788,  6.06970,  2.19632,  1.61898,  0.73713,  0.26673
P,  0.00369,  0.00253,  0.00374,  0.00430,  0.00446,  0.00982,  0.00441,  0.00149,  0.33824,  0.40458
S,  0.00270,  0.00000,  0.00000,  0.00000,  0.00000,  0.00270,  0.00014,  0.00060,  4.47214,  0.22361
Cl,  0.19074,  0.04643,  0.07431,  0.08384,  0.15100,  0.19074,  0.10455,  0.04374,  0.41838,  0.22933
K,  0.59788,  0.06659,  0.16672,  0.22454,  0.32767,  0.59788,  0.24400,  0.12106,  0.49616,  0.20248
Ca,  0.70042,  0.54795,  0.74729,  0.84479,  1.05533,  1.06460,  0.87033,  0.16230,  0.18648,  0.23172
Ti,  0.16069,  0.03351,  0.05451,  0.07266,  0.12262,  0.16069,  0.08683,  0.03819,  0.43983,  0.23767
V,  0.00242,  0.00084,  0.00123,  0.00157,  0.00220,  0.00242,  0.00168,  0.00048,  0.28793,  0.19898
Mn,  0.02531,  0.00223,  0.00499,  0.00709,  0.01465,  0.02531,  0.00967,  0.00621,  0.64250,  0.24548
Fe,  1.34510,  0.28384,  0.45222,  0.60305,  1.01838,  1.34510,  0.72325,  0.31741,  0.43887,  0.23597
Zn,  0.01056,  0.00106,  0.00313,  0.00471,  0.00584,  0.01056,  0.00477,  0.00208,  0.43604,  0.19701
Br,  0.00264,  0.00000,  0.00135,  0.00184,  0.00226,  0.00283,  0.00163,  0.00094,  0.57678,  0.35618
Pb,  0.00418,  0.00000,  0.00071,  0.00149,  0.00173,  0.00418,  0.00142,  0.00088,  0.61733,  0.20941
BC,  0.00000,  0.00000,  0.00000,  0.00501,  0.00931,  0.03437,  0.00817,  0.01089,  1.33280,  0.00000

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  2.03910,  1.77000,  1.80908,  1.98615,  3.15320,  4.19840,  2.38801,  0.77307,  0.32373,  0.37912
Na,  0.15723,  0.13892,  0.15338,  0.16012,  0.16137,  0.16776,  0.15779,  0.00768,  0.04864,  0.04882
Mg,  0.01777,  0.01094,  0.01512,  0.01943,  0.02045,  0.02826,  0.01915,  0.00542,  0.28333,  0.30521
Al,  0.00000,  0.00000,  0.00706,  0.01286,  0.02201,  0.06788,  0.02094,  0.02254,  1.07663,  0.00000
Si,  0.01922,  0.00000,  0.00000,  0.02120,  0.06065,  0.14423,  0.03926,  0.05130,  1.30647,  2.66940
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.09430,  0.04917,  0.05892,  0.06255,  0.08068,  0.10427,  0.06835,  0.01627,  0.23805,  0.17254
Cl,  0.42593,  0.33352,  0.41120,  0.41171,  0.41764,  0.42593,  0.41036,  0.01872,  0.04562,  0.04395
K,  0.05230,  0.00000,  0.00000,  0.00000,  0.06542,  0.16214,  0.02796,  0.04501,  1.60996,  0.86073
Ca,  0.04050,  0.00000,  0.00000,  0.00000,  0.02362,  0.04350,  0.00894,  0.01550,  1.73338,  0.38282
Ti,  0.00141,  0.00000,  0.00030,  0.00079,  0.00146,  0.00315,  0.00110,  0.00104,  0.94456,  0.74171
V,  0.00013,  0.00012,  0.00014,  0.00015,  0.00019,  0.00023,  0.00017,  0.00003,  0.19630,  0.25645
Mn,  0.00009,  0.00003,  0.00032,  0.00035,  0.00069,  0.00087,  0.00046,  0.00025,  0.53679,  2.72866
Fe,  0.00068,  0.00000,  0.02356,  0.02550,  0.02661,  0.05191,  0.02560,  0.01534,  0.59937, 22.48214
Zn,  0.00265,  0.00241,  0.00372,  0.00393,  0.00509,  0.00633,  0.00418,  0.00101,  0.24072,  0.38034
Br,  0.00003,  0.00000,  0.00160,  0.00203,  0.00322,  0.00492,  0.00225,  0.00122,  0.54349, 45.29914
Pb,  0.00142,  0.00130,  0.00270,  0.00291,  0.00337,  0.00367,  0.00286,  0.00062,  0.21621,  0.43426
