
Factor Contributions (avg = 1) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
12,11/12/06 03:20,-2.000000E-001,5.726000E+000,5.495000E-001,5.145500E-001
12,11/14/06 02:25,-1.005800E-001,6.397400E+000,1.122100E+000,3.233200E-001
12,11/16/06 03:20,-1.162200E-001,5.211200E+000,3.678600E-001,7.579400E-001
12,11/18/06 03:18,1.679600E-001,4.326900E+000,2.985200E-001,1.139700E+000
12,11/20/06 02:28,1.147400E-001,5.265300E+000,5.185700E-001,4.617100E-001
12,11/22/06 02:36,1.000300E+000,4.568200E+000,1.283900E+000,4.986900E-001
12,11/24/06 02:30,2.384300E-001,4.810200E+000,5.402800E-001,1.364200E+000
12,11/26/06 02:31,1.536900E+000,3.164500E+000,6.092000E-001,7.097800E-001
12,11/28/06 02:26,1.249700E+000,2.152100E+000,-2.000000E-001,1.568500E+000
12,11/30/06 02:31,7.998900E-001,1.850600E+000,4.874400E-002,2.172600E+000
12,02/02/07 02:41,9.419900E-001,2.460800E+000,4.084900E-001,1.370300E+000
12,02/04/07 02:45,6.905600E-001,2.409100E+000,5.670000E-001,1.241400E+000
12,02/06/07 02:47,1.388000E+000,1.413100E+000,1.736800E+000,7.998000E-001
12,02/08/07 02:47,7.005000E-001,1.335200E+000,2.058400E+000,7.531600E-001
12,02/10/07 02:43,1.007700E+000,1.317700E+000,1.712600E+000,9.701800E-001
12,02/12/07 02:42,1.558500E+000,8.746200E-001,1.152300E+000,8.346400E-001
12,02/14/07 02:34,1.145700E+000,1.001600E+000,1.570400E-001,1.398100E+000
12,02/16/07 02:20,3.898900E-001,2.462200E+000,3.421900E-001,1.420100E+000
12,02/18/07 02:08,6.610500E-001,2.757300E+000,1.600100E+000,1.387900E+000
12,02/20/07 02:12,8.626600E-001,2.397900E+000,3.159900E+000,1.214100E-001
12,02/22/07 02:11,1.008400E+000,1.100900E+000,1.473900E+000,9.942100E-001
12,02/24/07 02:17,1.255800E+000,1.690800E+000,3.838100E-001,1.633500E+000
12,02/26/07 00:17,9.242100E-001,1.917000E+000,5.708600E-001,1.135800E+000
12,02/28/07 00:09,3.825900E-001,2.330700E+000,3.596700E-001,1.230000E+000
12,03/02/07 00:06,6.646900E-001,2.042600E+000,1.133800E-001,1.237400E+000
12,03/04/07 00:26,3.730200E-001,4.735300E+000,1.568300E-001,6.687900E-001
12,03/06/07 00:33,7.156400E-001,6.917800E+000,8.359200E-001,-1.544000E-001
12,03/08/07 00:13,2.261300E-001,3.621400E+000,1.070900E+000,5.071500E-001
12,03/10/07 00:11,2.491200E-001,3.416400E+000,8.211600E-001,6.087500E-001
12,03/12/07 00:18,8.013900E-001,2.555600E+000,1.207700E+000,5.774200E-001
12,03/16/07 00:10,5.423700E-001,1.715700E+000,1.277800E+000,1.292800E+000
12,03/18/07 00:15,6.165300E-001,9.707800E-001,6.948000E-001,1.031300E+000
12,03/20/07 00:26,1.169100E+000,2.188600E+000,1.097100E+000,6.735100E-001
12,03/22/07 00:21,1.066600E+000,2.322700E+000,6.119800E-001,7.488300E-001
12,03/24/07 00:07,6.790400E-001,1.413200E+000,1.018600E+000,7.653900E-001
12,03/26/07 00:47,4.173700E-001,4.483700E-001,1.275300E+000,1.623500E+000
12,03/28/07 00:47,9.346700E-001,2.564300E-001,7.319900E-001,1.451200E+000
12,03/30/07 00:36,8.460300E-001,5.565600E-001,7.600100E-001,1.326200E+000
12,04/01/07 00:27,3.954900E-001,3.641400E-001,8.302300E-001,8.203600E-001
12,04/03/07 00:30,5.630100E-001,2.990600E-001,7.636800E-001,1.184200E+000
12,04/05/07 00:29,4.200100E-001,4.922800E-001,6.158200E-001,1.068500E+000
12,04/07/07 00:12,7.559900E-001,4.146300E-001,4.651200E-001,1.254500E+000
12,04/09/07 00:30,7.582600E-001,5.199800E-001,4.242500E-001,1.301900E+000
12,04/11/07 00:36,5.847600E-001,3.481100E-001,6.825900E-001,8.311000E-001
