**** Analysis Summary ****

Time of run: ,02/02/16 23:09
Concentration file: ,\\VBOXSVR\Downloads\pmf_fa\TFsH.csv
Uncertainty file: ,\\VBOXSVR\Downloads\pmf_fa\TFsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      9.4, 11.98000, 28.02000, 32.71000, 42.85000,155.76000, 100.00 %, 100.00 %
Na,Strong,      2.9,  0.01309,  0.16090,  0.24889,  0.39071,  1.27128, 100.00 %, 100.00 %
Mg,Strong,      2.5,  0.00110,  0.04995,  0.08090,  0.18121,  1.85695, 100.00 %, 100.00 %
Al,Strong,      9.7,  0.09335,  0.33629,  0.65648,  1.65754,  9.93467, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.18537,  0.66661,  1.22112,  3.48622, 27.91813, 100.00 %, 100.00 %
P,Strong,      4.7,  0.00115,  0.01148,  0.01825,  0.02438,  0.05787, 100.00 %, 100.00 %
S,Strong,     10.0,  0.17551,  0.45560,  0.66288,  0.87904,  1.39513, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.04426,  0.29309,  0.45757,  0.71678,  1.60694, 100.00 %, 100.00 %
K,Strong,     10.0,  0.23489,  0.78349,  0.93867,  1.23427,  2.58463, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.07104,  0.27643,  0.42411,  0.68729,  3.83228, 100.00 %, 100.00 %
Ti,Strong,      9.9,  0.00656,  0.02660,  0.04940,  0.10631,  0.62132, 100.00 %, 100.00 %
V,Strong,      3.5,  0.00039,  0.00143,  0.00197,  0.00289,  0.00888, 100.00 %, 100.00 %
Mn,Strong,      9.3,  0.00318,  0.00716,  0.01036,  0.01619,  0.10245, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.07834,  0.29563,  0.51886,  0.93935,  5.23073, 100.00 %, 100.00 %
Zn,Strong,      9.0,  0.01001,  0.02538,  0.03170,  0.03715,  0.26166, 100.00 %, 100.00 %
Br,Strong,      9.2,  0.00550,  0.01273,  0.01898,  0.02961,  0.13954, 100.00 %, 100.00 %
Pb,Strong,      6.5,  0.00929,  0.01312,  0.01581,  0.01979,  0.04307, 100.00 %, 100.00 %
BC,Strong,     10.0,  1.55456,  3.07883,  3.42154,  3.70819,  5.40571, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  666
Number of factors:  ,4
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,6035.95     ,6645.34     ,Yes      ,716,3.330997
2,6036.03     ,6645.33     ,Yes      ,558,3.330992
3,6036.1      ,6645.29     ,Yes      ,363,3.330972
4,6035.98     ,6645.3      ,Yes      ,721,3.330977
5,6035.98     ,6645.33     ,Yes      ,600,3.330992
6,6157.65     ,6583.56     ,Yes      ,456,3.30003
7,6035.9      ,6645.35     ,Yes      ,524,3.331002
8,6036        ,6645.33     ,Yes      ,690,3.330992
9,6035.94     ,6645.35     ,Yes      ,587,3.331002
10,6036.01     ,6645.31     ,Yes      ,703,3.330982
11,6036.04     ,6645.31     ,Yes      ,697,3.330982
12,6035.87     ,6645.38     ,Yes      ,633,3.331017
13,6036.06     ,6645.32     ,Yes      ,551,3.330987
14,6036.01     ,6645.32     ,Yes      ,716,3.330987
15,6036.08     ,6645.31     ,Yes      ,480,3.330982
16,6157.72     ,6583.5      ,Yes      ,588,3.3
17,6035.94     ,6645.35     ,Yes      ,489,3.331002
18,6036.09     ,6645.3      ,Yes      ,728,3.330977
19,6035.99     ,6645.31     ,Yes      ,728,3.330982
20,6157.6      ,6583.54     ,Yes      ,556,3.30002

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00078,
3,0.00082,0.00047,
4,0.00052,0.00051,0.00041,
5,0.00067,0.00035,0.00035,0.00041,
6,1032.42351,1031.74643,1031.50926,1031.83555,1031.79935,
7,0.00046,0.00126,0.00111,0.00083,0.00094,1032.60727,
8,0.00051,0.00062,0.00052,0.00049,0.00056,1031.83154,0.00076,
9,0.00039,0.00090,0.00071,0.00059,0.00065,1032.18707,0.00043,0.00047,
10,0.00045,0.00063,0.00050,0.00044,0.00058,1031.84726,0.00075,0.00027,0.00039,
11,0.00066,0.00115,0.00067,0.00066,0.00079,1032.04298,0.00048,0.00061,0.00034,0.00056,
12,0.00037,0.00083,0.00124,0.00086,0.00087,1032.74145,0.00070,0.00083,0.00073,0.00085,0.00118,
13,0.00038,0.00044,0.00041,0.00040,0.00040,1031.95627,0.00069,0.00029,0.00041,0.00029,0.00054,0.00066,
14,0.00050,0.00061,0.00087,0.00062,0.00085,1032.06114,0.00097,0.00049,0.00072,0.00046,0.00107,0.00065,0.00045,
15,0.00058,0.00034,0.00059,0.00053,0.00060,1031.82419,0.00113,0.00044,0.00076,0.00043,0.00104,0.00078,0.00037,0.00027,
16,1032.38602,1031.70915,1031.47180,1031.79801,1031.76198,0.00045,1032.56968,1031.79407,1032.14956,1031.80978,1032.00529,1032.70410,1031.91886,1032.02369,1031.78677,
17,0.00021,0.00069,0.00074,0.00049,0.00059,1032.28762,0.00052,0.00050,0.00029,0.00040,0.00063,0.00042,0.00033,0.00049,0.00056,1032.25018,
18,0.00071,0.00045,0.00021,0.00037,0.00046,1031.58164,0.00103,0.00045,0.00065,0.00041,0.00062,0.00109,0.00036,0.00067,0.00043,1031.54411,0.00062,
19,0.00040,0.00088,0.00065,0.00053,0.00069,1032.03640,0.00055,0.00038,0.00024,0.00025,0.00041,0.00082,0.00039,0.00057,0.00061,1031.99882,0.00037,0.00057,
20,1032.42668,1031.74981,1031.51257,1031.83872,1031.80269,0.00027,1032.61044,1031.83474,1032.19027,1031.85043,1032.04612,1032.74472,1031.95953,1032.06433,1031.82743,0.00034,1032.29084,1031.58486,1032.03954,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.00001,0.00004,0.00008,0.00002,0.00004,0.00003,0.00008,0.00004,0.00004,0.00002,0.00002,0.00001,0.00002,0.00004,0.00003,0.00013,0.00002,0.00010,
3                    1,0.00001,0.00003,0.00010,0.00002,0.00001,0.00005,0.00015,0.00003,0.00003,0.00002,0.00001,0.00001,0.00003,0.00002,0.00002,0.00021,0.00003,0.00006,
3                    2,0.00001,0.00002,0.00001,0.00002,0.00004,0.00002,0.00004,0.00003,0.00002,0.00002,0.00002,0.00001,0.00002,0.00003,0.00002,0.00005,0.00001,0.00007,
4                    1,0.00001,0.00003,0.00007,0.00001,0.00001,0.00003,0.00007,0.00001,0.00002,0.00002,0.00001,0.00000,0.00003,0.00002,0.00002,0.00009,0.00002,0.00005,
4                    2,0.00001,0.00005,0.00001,0.00002,0.00003,0.00004,0.00002,0.00007,0.00002,0.00001,0.00001,0.00001,0.00002,0.00003,0.00003,0.00004,0.00001,0.00008,
4                    3,0.00000,0.00003,0.00002,0.00001,0.00001,0.00005,0.00006,0.00004,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00007,0.00001,0.00003,
5                    1,0.00000,0.00004,0.00020,0.00001,0.00001,0.00003,0.00007,0.00002,0.00002,0.00002,0.00001,0.00001,0.00002,0.00002,0.00002,0.00009,0.00002,0.00004,
5                    2,0.00001,0.00001,0.00006,0.00002,0.00003,0.00001,0.00001,0.00002,0.00002,0.00003,0.00001,0.00001,0.00001,0.00003,0.00001,0.00002,0.00000,0.00004,
5                    3,0.00000,0.00003,0.00005,0.00000,0.00001,0.00002,0.00006,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00007,0.00001,0.00003,
5                    4,0.00000,0.00006,0.00007,0.00001,0.00001,0.00003,0.00001,0.00004,0.00001,0.00002,0.00001,0.00001,0.00002,0.00001,0.00002,0.00003,0.00001,0.00004,
6                    1,1.54364,8.52975,10.74076,3.79506,2.81693,50.04749,300.44023,12.59172,14.85039,5.15322,1.32759,3.08749,20.43564,10.73471,15.06027,442.13106,20.62161,108.51595,
6                    2,1.54227,8.52434,10.70903,3.79182,2.80997,50.01603,300.26035,12.57409,14.83182,5.15399,1.32622,3.08591,20.43097,10.71431,15.04455,441.84212,20.60713,108.48152,
6                    3,1.54277,8.52038,10.70381,3.79273,2.81426,49.99726,300.19178,12.57359,14.83211,5.14898,1.32598,3.08575,20.43293,10.72525,15.04414,441.72404,20.59957,108.45393,
6                    4,1.54271,8.52478,10.71195,3.79367,2.81423,50.03017,300.25400,12.59599,14.83540,5.15109,1.32648,3.08647,20.44297,10.72773,15.04630,441.89841,20.60527,108.44794,
6                    5,1.54282,8.52228,10.69225,3.79407,2.81395,50.00882,300.26202,12.57987,14.83424,5.15022,1.32584,3.08669,20.42626,10.72795,15.04779,441.90364,20.60552,108.47513,
7                    1,0.00001,0.00002,0.00003,0.00003,0.00005,0.00003,0.00002,0.00002,0.00003,0.00005,0.00002,0.00001,0.00003,0.00003,0.00002,0.00003,0.00001,0.00005,
7                    2,0.00002,0.00003,0.00006,0.00005,0.00010,0.00006,0.00009,0.00005,0.00008,0.00008,0.00003,0.00001,0.00004,0.00008,0.00006,0.00019,0.00003,0.00019,
7                    3,0.00001,0.00002,0.00007,0.00003,0.00005,0.00008,0.00014,0.00004,0.00006,0.00006,0.00002,0.00001,0.00003,0.00004,0.00003,0.00027,0.00003,0.00011,
7                    4,0.00001,0.00002,0.00005,0.00003,0.00005,0.00004,0.00007,0.00002,0.00005,0.00007,0.00002,0.00001,0.00003,0.00004,0.00003,0.00015,0.00003,0.00012,
7                    5,0.00001,0.00004,0.00015,0.00003,0.00005,0.00006,0.00007,0.00004,0.00005,0.00005,0.00002,0.00001,0.00003,0.00004,0.00003,0.00013,0.00002,0.00010,
7                    6,1.54397,8.52560,10.73171,3.79969,2.82272,50.07789,300.43904,12.59309,14.85952,5.15365,1.32872,3.08865,20.45535,10.74490,15.06532,442.21072,20.61880,108.54796,
8                    1,0.00000,0.00004,0.00002,0.00001,0.00001,0.00003,0.00008,0.00002,0.00003,0.00004,0.00001,0.00001,0.00002,0.00001,0.00002,0.00008,0.00002,0.00004,
8                    2,0.00001,0.00001,0.00013,0.00002,0.00004,0.00003,0.00001,0.00003,0.00003,0.00007,0.00001,0.00001,0.00003,0.00004,0.00003,0.00004,0.00002,0.00007,
