
Factor Profiles (conc. of species) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
12,mass,3.089400E+000,1.527200E+001,6.002800E+000,1.598200E+001
12,Na,7.741800E-002,0.000000E+000,1.560100E-001,3.814900E-002
12,Mg,2.271000E-002,1.716900E-001,1.699700E-003,0.000000E+000
12,Al,3.209500E-002,1.167300E+000,0.000000E+000,2.420400E-001
12,Si,4.015400E-002,2.366000E+000,1.063300E-002,4.882500E-001
12,P,6.560900E-003,6.513500E-003,0.000000E+000,6.582900E-003
12,S,2.980000E-001,1.100800E-001,5.704800E-002,1.751200E-001
12,Cl,0.000000E+000,1.421900E-001,3.839200E-001,0.000000E+000
12,K,1.921100E-001,2.542200E-001,1.503600E-001,4.112800E-001
12,Ca,3.961100E-002,4.343000E-001,3.524300E-002,1.299800E-001
12,Ti,1.363900E-003,7.501200E-002,1.501800E-003,1.747900E-002
12,V,1.089400E-004,1.063100E-003,3.410500E-004,8.489300E-004
12,Mn,0.000000E+000,9.861900E-003,1.021700E-003,4.750800E-003
12,Fe,2.135300E-003,6.341500E-001,2.397800E-002,1.993400E-001
12,Zn,4.323200E-003,4.505900E-003,6.872100E-003,1.505200E-002
12,Br,1.785700E-002,2.082600E-003,1.294800E-003,0.000000E+000
12,Pb,2.348900E-003,2.127000E-003,3.825200E-003,7.515000E-003
12,BC,8.116600E-002,3.332600E-001,8.015500E-001,2.161700E+000

Factor Profiles (% of species sum) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
12,mass,7.657227E+000,3.785239E+001,1.487823E+001,3.961216E+001
12,Na,2.850683E+001,0.000000E+000,5.744595E+001,1.404721E+001
12,Mg,1.158084E+001,8.755241E+001,8.667530E-001,0.000000E+000
12,Al,2.226601E+000,8.098180E+001,0.000000E+000,1.679160E+001
12,Si,1.382220E+000,8.144475E+001,3.660194E-001,1.680701E+001
12,P,3.337640E+001,3.313527E+001,0.000000E+000,3.348832E+001
12,S,4.654446E+001,1.719334E+001,8.910297E+000,2.735190E+001
12,Cl,0.000000E+000,2.702667E+001,7.297334E+001,0.000000E+000
12,K,1.905910E+001,2.522099E+001,1.491711E+001,4.080280E+001
12,Ca,6.197605E+000,6.795132E+001,5.514180E+000,2.033689E+001
12,Ti,1.430314E+000,7.866463E+001,1.574929E+000,1.833012E+001
12,V,4.612154E+000,4.500809E+001,1.443891E+001,3.594085E+001
12,Mn,0.000000E+000,6.307821E+001,6.534948E+000,3.038684E+001
12,Fe,2.484053E-001,7.377240E+001,2.789426E+000,2.318977E+001
12,Zn,1.405772E+001,1.465181E+001,2.234597E+001,4.894450E+001
12,Br,8.409467E+001,9.807671E+000,6.097653E+000,0.000000E+000
12,Pb,1.485132E+001,1.344832E+001,2.418548E+001,4.751487E+001
12,BC,2.403013E+000,9.866548E+000,2.373081E+001,6.399963E+001

Factor Profiles (% of total variable) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
12,mass,*,*,*,*
12,Na,2.505924E+000,0.000000E+000,2.598954E+000,2.386998E-001
12,Mg,7.350942E-001,1.124214E+000,2.831512E-002,0.000000E+000
12,Al,1.038875E+000,7.643400E+000,0.000000E+000,1.514454E+000
12,Si,1.299735E+000,1.549240E+001,1.771340E-001,3.054999E+000
12,P,2.123681E-001,4.264995E-002,0.000000E+000,4.118946E-002
12,S,9.645885E+000,7.207962E-001,9.503565E-001,1.095733E+000
12,Cl,0.000000E+000,9.310503E-001,6.395682E+000,0.000000E+000
12,K,6.218359E+000,1.664615E+000,2.504831E+000,2.573395E+000
12,Ca,1.282158E+000,2.843766E+000,5.871093E-001,8.132899E-001
12,Ti,4.414773E-002,4.911734E-001,2.501833E-002,1.093668E-001
12,V,3.526251E-003,6.961105E-003,5.681515E-003,5.311788E-003
12,Mn,0.000000E+000,6.457504E-002,1.702039E-002,2.972594E-002
12,Fe,6.911698E-002,4.152370E+000,3.994469E-001,1.247278E+000
12,Zn,1.399366E-001,2.950432E-002,1.144816E-001,9.418096E-002
12,Br,5.780087E-001,1.363672E-002,2.156993E-002,0.000000E+000
12,Pb,7.603095E-002,1.392745E-002,6.372359E-002,4.702165E-002
12,BC,2.627242E+000,2.182163E+000,1.335293E+001,1.352584E+001
